Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
62.326787472,0.700531999999999,-4.156546,-1.221648,0.1555926,-0.05484495,0.9442993,-19.68538,-17.09197,-54.05625
62.336675644,0.2031867,-4.038861,-1.404922,0.1570487,-0.0528569,0.9471765,-19.68538,-17.09197,-54.05625
62.346563816,0.0788503600000002,-3.921176,-1.282739,0.1589581,-0.06310819,0.9457877,-19.68538,-17.09197,-54.05625
62.356451035,0.2031867,-3.862334,-1.527105,0.161363,-0.07143423,0.9429469,-20.069,-17.07928,-53.67572
62.36633873,1.011373,-3.685806,-1.038373,0.1613641,-0.06945049,0.9453415,-20.069,-17.07928,-53.67572
62.376226902,1.44655,-3.509279,-1.160556,0.1652674,-0.06261933,0.9467543,-20.069,-17.07928,-53.67572
62.388586521,1.322214,-3.391594,-1.527105,0.1623925,-0.05787356,0.9380704,-20.069,-17.07928,-53.67572
62.398474693,1.44655,-3.273909,-1.404922,0.1633655,-0.05689438,0.9385475,-20.069,-17.07928,-53.67572
62.408362866,1.197877,-3.215066,-1.466013,0.1633268,-0.07307151,0.9314154,-20.37536,-17.08303,-54.13683
62.418250561,1.322214,-3.273909,-0.794007799999998,0.1608789,-0.07542234,0.9367145,-20.37536,-17.08303,-54.13683
62.428138733,1.384382,-2.920854,-0.1830939,0.1618203,-0.08121008,0.9405923,-20.37536,-17.08303,-54.13683
62.438026428,1.44655,-2.685484,0.1834544,0.1667111,-0.06552951,0.9477324,-20.37536,-17.08303,-54.13683
62.4479146,1.011373,-2.038217,0.3056372,0.1677235,-0.05086548,0.9515069,-20.37536,-17.08303,-54.13683
62.457802296,-0.2319904,-1.508634,0.2445458,0.1633612,-0.0464168,0.9553267,-20.37647,-17.08184,-54.07198
62.467690468,-1.040177,-1.626319,-0.1830939,0.1657895,-0.05439253,0.9433467,-20.37647,-17.08184,-54.07198
62.477578163,-1.164513,-1.155579,-0.4885509,0.1701666,-0.05893472,0.9332753,-20.37647,-17.08184,-54.07198
62.487466335,-0.4806631,-0.979051599999999,-0.671825100000002,0.1697146,-0.0546663,0.9255586,-20.37647,-17.08184,-54.07198
62.497353554,0.2031867,-1.214422,-1.160556,0.1726427,-0.05079086,0.9245805,-20.37647,-17.08184,-54.07198
62.507241726,0.762700200000003,-1.273264,-1.404922,0.1711555,-0.05706075,0.9284579,-20.37647,-17.08184,-54.07198
62.517129421,0.949204699999999,-1.273264,-1.588196,0.1764646,-0.06235581,0.9332998,-20.37647,-17.08184,-54.07198
62.527017594,1.322214,-0.9202092,-1.34383,0.1769415,-0.06379604,0.9347504,-20.37647,-17.08184,-54.07198
62.536905289,1.135709,-0.802524200000001,-1.038373,0.1808629,-0.05309807,0.93422,-20.37647,-17.08184,-54.07198
62.546793461,0.638363800000001,-0.743681699999999,-1.038373,0.168707,-0.05891027,0.9347163,-20.37647,-17.08184,-54.07198
62.556681156,0.327523,-1.214422,-0.916190600000002,0.1643173,-0.06672873,0.9323462,-20.38314,-17.07468,-53.68287
62.566569328,0.638363800000001,-1.449792,-0.671825100000002,0.1604143,-0.065102,0.9429138,-20.38314,-17.07468,-53.68287
62.576457024,0.3896912,-1.273264,-0.610733599999998,0.1647946,-0.06468841,0.9385885,-20.38314,-17.07468,-53.68287
62.586345196,0.576195700000001,-1.273264,-0.3052767,0.1671903,-0.06997051,0.943908,-20.38314,-17.07468,-53.68287
62.596232891,0.2653548,-0.9202092,0.0001802528,0.1711298,-0.05540575,0.9414343,-20.38314,-17.07468,-53.68287
62.608592987,0.0788503600000002,-0.9202092,0.0612716499999998,0.1750575,-0.04624053,0.9361023,-20.06302,-17.4645,-54.05953
62.618481159,-0.2941586,-1.037894,0.0001802528,0.1653716,-0.04635799,0.9269543,-20.06302,-17.4645,-54.05953
62.628368854,-0.853671999999998,-1.214422,-0.1220025,0.1658254,-0.05412134,0.9289178,-20.06302,-17.4645,-54.05953
62.638256073,-0.667167500000002,-1.273264,-0.1830939,0.1662837,-0.06390439,0.9260823,-20.06302,-17.4645,-54.05953
62.648144245,-0.1076541,-1.685161,-0.2441853,0.1682359,-0.05949693,0.9279859,-20.76078,-17.44721,-53.68614
62.65803194,0.0166822,-2.038217,-0.3052767,0.1672555,-0.06092708,0.9299157,-20.76078,-17.44721,-53.68614
62.667920113,0.762700200000003,-1.920531,-0.8550992,0.1663153,-0.056142,0.9241194,-20.76078,-17.44721,-53.68614
62.677807808,1.570886,-2.508956,-0.977281999999999,0.1716363,-0.05703295,0.9303818,-20.76078,-17.44721,-53.68614
62.68769598,1.508718,-1.979374,-1.160556,0.1721096,-0.05347425,0.9404638,-20.76078,-17.44721,-53.68614
62.697584152,1.197877,-2.332429,-1.160556,0.1677429,-0.05297868,0.9404564,-21.50624,-17.06646,-54.16257
62.707471847,0.762700200000003,-2.273587,-1.282739,0.1648284,-0.05295855,0.9414148,-21.50624,-17.06646,-54.16257
62.71736002,0.700531999999999,-2.508956,-1.160556,0.1745033,-0.06571025,0.936681,-21.50624,-17.06646,-54.16257
62.727247715,0.949204699999999,-2.803169,-0.977281999999999,0.1745146,-0.0647867,0.9333099,-21.50624,-17.06646,-54.16257
62.737135887,0.762700200000003,-2.862011,-0.4274595,0.1672199,-0.06816655,0.9342806,-21.50624,-17.06646,-54.16257
62.747023582,1.322214,-3.215066,0.1834544,0.1681834,-0.07359682,0.9294999,-21.51402,-17.0581,-53.70861
62.756911755,1.570886,-3.156224,0.916551200000003,0.1638709,-0.05950987,0.9265382,-21.51402,-17.0581,-53.70861
62.76679945,1.570886,-3.509279,1.222008,0.1613879,-0.06462417,0.9424316,-21.51402,-17.0581,-53.70861
62.776686668,1.011373,-3.450436,1.222008,0.1609239,-0.05878704,0.9419207,-21.51402,-17.0581,-53.70861
62.78657484,0.576195700000001,-2.803169,1.344191,0.1657855,-0.05386963,0.9457487,-21.51402,-17.0581,-53.70861
62.796463013,0.4518593,-2.567799,1.405282,0.1725979,-0.05498639,0.9371055,-21.13774,-17.44169,-53.69472
62.806350708,0.824868299999998,-2.626641,1.099825,0.1706717,-0.05358644,0.932768,-21.13774,-17.44169,-53.69472
62.81623888,0.824868299999998,-2.744326,1.038734,0.1711751,-0.04772966,0.9337007,-21.13774,-17.44169,-53.69472
62.828598499,0.887036500000001,-3.332751,0.916551200000003,0.1803868,-0.06012292,0.9203081,-21.13774,-17.44169,-53.69472
62.838486671,1.197877,-3.685806,0.855459800000001,0.1789577,-0.05133343,0.9217048,-21.13774,-17.44169,-53.69472
62.848374367,1.633054,-3.450436,0.611094199999998,0.1837706,-0.05407052,0.934709,-21.5218,-17.04975,-53.25463
62.858262539,2.068232,-2.862011,0.733277000000002,0.1900844,-0.05062403,0.9380652,-21.5218,-17.04975,-53.25463
62.868150234,1.633054,-2.508956,0.3056372,0.1915517,-0.04472601,0.9418845,-21.5218,-17.04975,-53.25463
62.878038406,0.700531999999999,-2.097059,0.3056372,0.1896074,-0.04619739,0.9409279,-21.5218,-17.04975,-53.25463
62.887926578,-0.2319904,-2.391271,0.3056372,0.1856933,-0.05345796,0.9433646,-21.5218,-17.04975,-53.25463
62.897814274,-0.4184949,-1.567477,0.4889114,0.1846796,-0.06214198,0.9486975,-21.89166,-17.43063,-53.71188
62.907702446,-0.04548596,-1.332107,0.977642599999999,0.1812995,-0.05975807,0.9448344,-21.89166,-17.43063,-53.71188
62.917589664,0.3896912,-1.214422,0.977642599999999,0.1721028,-0.05542205,0.9404737,-21.89166,-17.43063,-53.71188
