Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
87.269636631,0.918957199999998,1.637491,0.4864919,0.6821414,0.6847194,-0.1804341,-30.71247,-46.59824,30.16492
87.279495239,0.4841458,1.577982,0.4864919,0.6797986,0.6793566,-0.1775707,-30.71247,-46.59824,30.16492
87.291819096,-0.0748974799999998,1.399455,0.3025829,0.6705717,0.6753878,-0.1760351,-29.96501,-46.60688,30.16106
87.301678658,-0.758172600000002,0.863874299999997,0.2412799,0.6636493,0.677259,-0.1797543,-29.96501,-46.60688,30.16106
87.311537743,-1.130868,0.744856499999997,0.4251889,0.6645854,0.6709086,-0.1884468,-29.96501,-46.60688,30.16106
87.321396351,-1.130868,0.328294,0.731703899999998,0.6753851,0.6671088,-0.189112,-29.96501,-46.60688,30.16106
87.331255436,-0.633940800000002,0.03074929,1.038219,0.6736416,0.6738524,-0.2034062,-29.96501,-46.60688,30.16106
87.341114998,0.04933435,-0.02875964,1.283431,0.6802618,0.6831242,-0.2120479,-30.34075,-46.23442,30.15923
87.350973606,0.981073100000001,-0.0882686099999999,1.528643,0.6861382,0.6880602,-0.207298,-30.34075,-46.23442,30.15923
87.360832691,1.167421,-0.02875964,1.46734,0.6955473,0.687687,-0.1992889,-30.34075,-46.23442,30.15923
87.370692253,1.602232,-0.02875964,1.222128,0.6981772,0.6804376,-0.1921995,-30.34075,-46.23442,30.15923
87.380550861,1.540116,0.268785,0.976915900000002,0.6980709,0.6833367,-0.1974448,-30.34075,-46.23442,30.15923
87.390409947,1.415884,0.4473118,0.609097900000002,0.6956276,0.6847805,-0.1959601,-29.96903,-45.87058,30.15352
87.400269032,1.167421,0.268785,0.1799769,0.6942132,0.685271,-0.191623,-29.96903,-45.87058,30.15352
87.41012764,1.478,0.1497671,-0.1265381,0.6893216,0.6891335,-0.1881663,-29.96903,-45.87058,30.15352
87.419987202,1.478,-0.0882686099999999,-0.310447,0.6873659,0.6896048,-0.1876553,-29.96903,-45.87058,30.15352
87.429846287,0.981073100000001,-0.1477775,-0.2491441,0.6806322,0.6827416,-0.1852212,-29.96903,-45.87058,30.15352
87.439704895,0.732609399999997,-0.0882686099999999,-0.433053,0.6785697,0.6944115,-0.1826974,-30.71247,-46.59824,30.16492
87.44956398,-0.01278157,-0.4453222,-0.310447,0.67417,0.6914441,-0.1850557,-30.71247,-46.59824,30.16492
87.459423542,-0.633940800000002,-0.5048312,-0.3717501,0.673186,0.6919221,-0.1850376,-30.71247,-46.59824,30.16492
87.471747398,-2.000491,-0.5643401,-0.1878411,0.6790956,0.6885677,-0.1851502,-30.71247,-46.59824,30.16492
87.481606007,-2.248954,-0.5048312,-0.0652350599999999,0.6742681,0.6787782,-0.1889976,-30.71247,-46.59824,30.16492
87.491465092,-2.497418,-0.3858133,-0.003932063,0.676309,0.6744255,-0.1866674,-29.59329,-46.24305,30.15536
87.501324654,-2.870114,-0.3858133,0.4864919,0.6790708,0.680749,-0.1938414,-29.59329,-46.24305,30.15536
87.511183262,-3.118577,-0.3263043,0.670400900000003,0.6860106,0.6774181,-0.1901348,-29.59329,-46.24305,30.15536
87.521042347,-3.180693,-0.3858133,1.038219,0.6855569,0.6661946,-0.1974111,-29.59329,-46.24305,30.15536
87.530901909,-2.062607,-0.3858133,0.8543099,0.691452,0.6662536,-0.1955778,-29.59329,-46.24305,30.15536
87.540760517,-1.441448,-0.3263043,1.160825,0.6945014,0.6604536,-0.1923158,-30.71448,-46.2301,30.16116
87.550619602,-1.130868,-0.623849,1.283431,0.6918897,0.6667315,-0.1989344,-30.71448,-46.2301,30.16116
87.560478687,-0.9445203,-0.683357999999999,1.283431,0.6903595,0.6681653,-0.2022549,-30.71448,-46.2301,30.16116
87.570337295,-0.447593,-0.742866900000002,1.344734,0.6923201,0.6623251,-0.2071241,-30.71448,-46.2301,30.16116
87.580196857,-0.0748974799999998,-0.921393599999999,1.344734,0.6893466,0.6666821,-0.2060866,-30.71448,-46.2301,30.16116
87.590055942,0.2356821,-0.921393599999999,1.222128,0.6825362,0.6695618,-0.200694,-30.71247,-46.59824,30.16492
