Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
61.162025929,2.468658,-4.142775,-0.5568786,-0.05981303,-0.07069312,1.000679,-2.817476,-20.98944,-55.07924
61.17188549,2.158079,-4.321301,-0.863393500000002,-0.05279875,-0.07644395,1.007719,-2.817476,-20.98944,-55.07924
61.181744099,1.785383,-4.321301,-0.802090599999998,-0.05778512,-0.07504953,1.002051,-2.821909,-21.37007,-55.97165
61.191603184,1.412688,-4.321301,-0.3116666,-0.05332538,-0.07108846,1.009688,-2.821909,-21.37007,-55.97165
61.201462746,1.102108,-4.261792,-0.3729696,-0.03946677,-0.07873277,1.014697,-2.821909,-21.37007,-55.97165
61.211321831,1.474804,-3.726212,-0.5568786,-0.03998848,-0.08314041,1.008438,-2.821909,-21.37007,-55.97165
61.221180916,1.847499,-3.547685,-0.618181600000001,-0.03892493,-0.08261923,1.015136,-2.821909,-21.37007,-55.97165
61.231039524,2.220195,-2.595542,-1.108606,-0.04498315,-0.05684881,1.024065,-2.823917,-21.00192,-55.97543
61.240899086,1.350572,-2.119471,-1.721636,-0.05133261,-0.05543761,1.026085,-2.823917,-21.00192,-55.97543
61.250758171,-0.575021500000002,-1.940944,-1.59903,-0.04920168,-0.04378834,1.013214,-2.823917,-21.00192,-55.97543
61.260617733,-1.630992,-1.940944,-2.089453,-0.05012784,-0.04817615,1.01319,-2.823917,-21.00192,-55.97543
61.270476818,-2.749079,-1.643399,-2.150757,-0.05146648,-0.05791692,1.014086,-2.823917,-21.00192,-55.97543
61.280335426,-2.749079,-1.286346,-2.518574,-0.04612929,-0.06471694,1.004847,-3.568155,-20.98705,-55.52346
61.290194511,-2.127919,-1.345855,-1.844242,-0.04113441,-0.07782637,1.000832,-3.568155,-20.98705,-55.52346
61.300054073,-1.196181,-1.226837,-1.537727,-0.03816373,-0.07974314,1.001732,-3.568155,-20.98705,-55.52346
61.309913158,-0.0159783,-0.869783199999998,-1.537727,-0.03389121,-0.06607092,1.004182,-3.568155,-20.98705,-55.52346
61.31977272,0.853644499999998,-0.869783199999998,-1.59903,-0.03208015,-0.05877174,0.9999054,-3.568155,-20.98705,-55.52346
61.329631329,0.605180900000003,-0.631747500000001,-1.59903,-0.02959849,-0.05629876,1.004683,-3.192419,-21.35951,-55.52162
61.341955185,-0.1402101,-0.4532207,-1.476424,-0.03987828,-0.07103849,0.9912874,-3.192419,-21.35951,-55.52162
61.35181427,0.2946013,-0.5722386,-1.59903,-0.03643659,-0.07197966,0.9917096,-3.192419,-21.35951,-55.52162
61.361673355,0.4188331,-0.5127296,-1.660333,-0.03849572,-0.07544377,0.9811674,-3.192419,-21.35951,-55.52162
61.371532917,0.1703694,-0.810274300000001,-1.782939,-0.04908149,-0.08525333,0.9855483,-3.192419,-21.35951,-55.52162
61.381392002,0.2946013,-0.810274300000001,-1.59903,-0.05288731,-0.09648649,0.9835909,-3.564138,-21.72334,-55.51592
61.39125061,0.915760499999998,-1.167328,-1.537727,-0.05065718,-0.07943844,0.9827446,-3.564138,-21.72334,-55.51592
61.401110172,0.3567172,-1.226837,-0.9246966,-0.04916321,-0.08332372,0.9812529,-3.564138,-21.72334,-55.51592
61.410969257,-0.699253399999999,-1.345855,-0.618181600000001,-0.04327155,-0.07252464,0.9922817,-3.564138,-21.72334,-55.51592
61.420828343,-1.196181,-1.464872,-0.1277576,-0.04476399,-0.06326843,0.9986106,-3.564138,-21.72334,-55.51592
61.430687904,-1.81734,-1.345855,-0.3729696,-0.04749141,-0.05165292,0.9882051,-3.941885,-20.98273,-55.52153
61.440546513,-1.755224,-1.286346,-0.618181600000001,-0.04109564,-0.05256269,0.9900231,-3.941885,-20.98273,-55.52153
