Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
13.604630947,16.96994,0.759019800000003,8.68306499999997,-0.3277822,-0.6305824,0.4861113,2.494298,38.90833,-45.37952
13.614543915,24.03088,-0.8720351,4.080848,-0.3348431,-0.5851748,0.4706339,4.373681,38.15746,-45.83665
13.624456406,24.52638,-1.920571,-0.1531931,-0.3463779,-0.5154703,0.4764867,4.373681,38.15746,-45.83665
13.63436842,17.46544,-3.959389,-3.528153,-0.3356703,-0.4787759,0.5145646,4.373681,38.15746,-45.83665
13.64428091,9.22768300000001,-5.007925,-6.41221000000002,-0.3331646,-0.480177,0.5188535,4.373681,38.15746,-45.83665
13.654192924,1.299613,-6.34771999999997,-10.27807,-0.328539,-0.5151268,0.4998518,4.373681,38.15746,-45.83665
13.664105415,-2.168918,-7.92052300000001,-15.00302,-0.3066908,-0.5576106,0.4825611,4.751408,37.78132,-46.22292
13.674017429,-2.974113,-9.95934199999999,-20.1575,-0.3009432,-0.6017414,0.4668489,4.751408,37.78132,-46.22292
13.683930397,-0.6204669,-13.80397,-26.1097,-0.3060116,-0.6367694,0.4560989,4.751408,37.78132,-46.22292
13.693842888,6.31659499999999,-17.18258,-32.43008,-0.2925611,-0.6667186,0.4452115,4.751408,37.78132,-46.22292
13.703754902,14.18273,-20.6777,-37.95274,-0.2919721,-0.665197,0.45674,4.751408,37.78132,-46.22292
13.713667393,19.44746,-23.93981,-41.45043,-0.3040687,-0.5930974,0.4582925,4.39009,36.65567,-46.66722
13.723579407,16.10281,-25.62912,-45.86856,-0.2977774,-0.5240317,0.4851032,4.39009,36.65567,-46.66722
13.733491898,7.92698399999999,-28.01745,-50.83895,-0.2723805,-0.5159236,0.4916446,4.39009,36.65567,-46.66722
13.743404865,1.423489,-30.9883,-55.07299,-0.218563,-0.5464531,0.4587728,4.39009,36.65567,-46.66722
13.753316402,2.414498,-31.92033,-60.1047600000002,-0.2152354,-0.5691382,0.4705949,4.39009,36.65567,-46.66722
13.76322937,2.848064,-33.84264,-64.0319699999998,-0.2188831,-0.5870985,0.4753105,2.528496,35.90633,-46.65518
13.773141384,0.866046300000002,-38.32804,-65.3205899999998,-0.2655436,-0.5433989,0.5062832,2.528496,35.90633,-46.65518
13.783053875,-8.23884800000001,-38.5028,-65.8115000000001,-0.2736228,-0.5207031,0.5079495,2.528496,35.90633,-46.65518
13.792966366,-19.3877,-40.65812,-68.5728299999998,-0.2768337,-0.5557577,0.4875791,2.528496,35.90633,-46.65518
13.80287838,-25.02406,-42.40568,-74.1568500000002,-0.1879443,-0.6493216,0.4630861,2.528496,35.90633,-46.65518
13.815268993,-19.51157,-43.92023,-81.0295000000003,-0.1405598,-0.725088,0.4174884,-0.4738898,36.65685,-46.25645
13.825181484,-10.53056,-47.53186,-87.3498799999997,-0.1035137,-0.7054097,0.4768165,-0.4738898,36.65685,-46.25645
13.835093498,-6.62845799999998,-51.25998,-89.9884899999999,-0.07458865,-0.630135,0.5245861,-0.4738898,36.65685,-46.25645
13.845006466,-12.3887,-52.83278,-90.1725800000001,-0.1290506,-0.5287213,0.5776225,-0.4738898,36.65685,-46.25645
13.85491848,-32.82825,-52.25026,-89.06804,-0.1809494,-0.4974595,0.5600648,-3.838997,36.66024,-45.33951
13.864830971,-50.66641,-53.70656,-89.62031,-0.1974574,-0.5595582,0.4988236,-3.838997,36.66024,-45.33951
13.874742985,-59.0899800000001,-55.04636,-93.3020900000002,-0.1037274,-0.6957648,0.4672796,-3.838997,36.66024,-45.33951
13.884655476,-59.0280500000001,-55.62888,-99.0088300000001,-0.01270489,-0.8087242,0.4373559,-3.838997,36.66024,-45.33951
13.894567966,-49.98509,-56.4444,-106.4337,0.07920029,-0.851725,0.4323782,-3.838997,36.66024,-45.33951
13.90447998,-37.10198,-56.09489,-115.0246,0.1366575,-0.813806,0.500762,-8.261517,36.66695,-43.58187
13.914392948,-32.33275,-58.3667199999997,-118.4609,0.1192131,-0.7700416,0.5674767,-8.261517,36.66695,-43.58187
