Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
79.8,1.547365,-3.37687,-1.809992,0.978909,0.03552669,0.134671,-51.77148,-23.38173,-8.794654
79.81,1.361551,-3.493374,-1.99408,0.9833961,0.0307487,0.1374787,-51.77148,-23.38173,-8.794654
79.82,1.113798,-3.551625,-1.99408,0.9840034,0.02496274,0.1422361,-51.77148,-23.38173,-8.794654
79.83,1.113798,-3.609878,-1.932717,0.9922603,0.02503795,0.1368785,-51.78119,-22.63254,-8.796962
79.84,1.485427,-3.435122,-1.809992,0.9912554,0.02647509,0.135937,-51.78119,-22.63254,-8.796962
79.85,1.733179,-3.143862,-1.625903,0.991283,0.02209921,0.1335068,-51.78119,-22.63254,-8.796962
79.86,1.918993,-3.027358,-1.56454,0.9907621,0.02353987,0.1320808,-51.78119,-22.63254,-8.796962
79.87,2.166745,-2.910854,-1.503177,0.9898217,0.02452279,0.1368976,-51.78256,-22.63411,-9.182429
79.88,2.290622,-2.852602,-1.441814,0.9941681,0.02698867,0.1344731,-51.78256,-22.63411,-9.182429
79.89,2.166745,-2.910854,-1.503177,0.9941632,0.02698613,0.1339929,-51.78256,-22.63411,-9.182429
79.9,2.228683,-2.444838,-1.012274,0.9946088,0.03184777,0.1354617,-51.78256,-22.63411,-9.182429
79.91,2.290622,-2.153579,-0.889547900000002,0.9936079,0.0337748,0.1354838,-51.78256,-22.63411,-9.182429
79.92,2.414498,-1.920571,-0.5213705,0.9902563,0.02742743,0.1349923,-51.77797,-22.62888,-7.897537
79.93,2.414498,-1.221547,-0.3372818,0.9910973,0.03517333,0.1307147,-51.77797,-22.62888,-7.897537
79.94,2.228683,-0.8720351,-0.09183015,0.9900568,0.04000657,0.1302764,-51.77797,-22.62888,-7.897537
79.95,2.104807,-0.755531299999998,0.1536215,0.9945224,0.03619307,0.1321303,-51.77797,-22.62888,-7.897537
79.96,1.733179,-0.3477675,0.5217989,0.9890493,0.03753988,0.1245074,-51.77797,-22.62888,-7.897537
79.97,1.299613,-0.05650773,0.705887599999999,0.9964427,0.03668687,0.1292349,-52.13929,-23.75453,-8.341841
79.98,0.989922399999999,0.2347521,0.889976299999999,0.9968911,0.04008649,0.1292534,-52.13929,-23.75453,-8.341841
79.99,0.5563561,0.700767799999999,1.135428,0.9914437,0.04339796,0.1264449,-52.13929,-23.75453,-8.341841
80,-0.1869005,0.817271699999998,1.258154,0.993432,0.04148817,0.1273741,-52.13929,-23.75453,-8.341841
80.01,-0.992095199999997,1.283287,1.871783,0.9943964,0.04344458,0.1283385,-52.13929,-23.75453,-8.341841
80.02,-0.992095199999997,1.982311,2.117234,0.9968942,0.04106371,0.1307003,-52.14899,-23.00534,-8.344149
80.03,-1.673414,2.564831,2.485412,0.9904228,0.04287554,0.1216493,-52.14899,-23.00534,-8.344149
80.04,-2.230856,2.739586,2.730864,0.9890965,0.03854004,0.1302755,-52.14899,-23.00534,-8.344149
80.05,-2.354732,2.623082,2.792227,0.9929966,0.03907087,0.1297628,-52.14899,-23.00534,-8.344149
80.06,-2.292794,3.263854,2.853589,0.9856913,0.03460391,0.1273998,-52.14899,-23.00534,-8.344149
80.07,-2.292794,3.380358,2.669501,0.9842123,0.03604262,0.1279032,-52.1506,-23.00717,-8.793861
80.08,-2.478608,3.089098,2.178597,0.9788738,0.0359962,0.1317935,-52.1506,-23.00717,-8.793861
80.09,-2.540546,2.914342,1.933146,0.9858084,0.03222581,0.1360257,-52.1506,-23.00717,-8.793861
80.1,-2.726361,2.972594,1.564968,0.9911147,0.03371895,0.1307049,-52.1506,-23.00717,-8.793861
80.11,-2.664423,2.85609,1.933146,0.9897937,0.02645942,0.1364306,-52.1506,-23.00717,-8.793861
80.12,-2.726361,2.506578,1.994509,0.9864202,0.02400314,0.1383661,-52.15869,-22.25615,-8.346457
80.13,-2.478608,2.390074,1.933146,0.9824794,0.02686586,0.1389017,-52.15869,-22.25615,-8.346457
80.14,-2.230856,2.215319,1.749057,0.9790189,0.03168147,0.1408865,-52.15869,-22.25615,-8.346457
80.15,-1.983104,1.691051,1.258154,0.9707302,0.02768716,0.1385357,-52.15869,-22.25615,-8.346457
80.16,-1.859228,1.05028,0.6445247,0.9717097,0.03209047,0.1438377,-52.15869,-22.25615,-8.346457
80.17,-1.735352,0.293004,0.0922585699999997,0.976743,0.02539722,0.1499887,-52.15545,-22.63257,-8.795015
80.18,-1.859228,-0.2895156,-0.766822200000002,0.9778023,0.02106151,0.1528309,-52.15545,-22.63257,-8.795015
80.19,-1.735352,-0.4642715,-1.135,0.9822749,0.01871513,0.1570954,-52.15545,-22.63257,-8.795015
80.2,-1.301785,-0.5225234,-1.257725,0.984283,0.01144969,0.1536673,-52.15545,-22.63257,-8.795015
80.21,-0.682404900000003,-0.639027300000002,-1.257725,0.9902341,0.002786098,0.1516339,-52.15545,-22.63257,-8.795015
80.22,0.2466658,-0.4642715,-1.073637,0.9888155,0.003280701,0.156932,-52.14712,-23.38333,-9.178175
80.23,1.237675,-0.4642715,-0.950910899999997,0.9902434,0.0003519433,0.1496969,-52.14712,-23.38333,-9.178175
80.24,2.166745,-0.4642715,-0.889547900000002,0.9857292,0.006579214,0.1459389,-52.14712,-23.38333,-9.178175
80.25,2.724188,-0.4642715,-0.705459200000001,0.9914539,0.01438329,0.1411364,-52.14712,-23.38333,-9.178175
80.26,3.219692,-0.3477675,-0.582733500000001,0.9860057,0.0181821,0.1388113,-52.14712,-23.38333,-9.178175
80.27,3.529382,-0.2895156,-0.4600076,0.9913173,0.02211705,0.1368677,-52.5297,-22.6326,-8.79307
