Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
15.718343258,-0.4965908,0.642515800000001,1.135428,0.9932952,0.1657808,-0.02640757,-49.45756,-25.59205,-15.03165
15.728253841,0.1847278,0.817271699999998,0.889976299999999,0.9924083,0.1589866,-0.02548432,-49.45756,-25.59205,-15.03165
15.738164425,0.3705419,0.351256,0.705887599999999,0.9911718,0.1744496,-0.03257224,-49.45756,-25.59205,-15.03165
15.748075485,-0.06302445,-0.2312636,0.1536215,0.9852347,0.1782423,-0.03489286,-49.44947,-26.34307,-15.47906
15.757986546,-0.3727147,-0.4642715,0.3377102,0.984753,0.1797034,-0.03247788,-49.44947,-26.34307,-15.47906
15.767897129,-0.5585288,-0.639027300000002,0.767250500000003,0.9852517,0.1797146,-0.0315221,-49.44947,-26.34307,-15.47906
15.780285358,-0.744343000000003,-0.3477675,1.319517,0.9781324,0.1699786,-0.02191795,-49.44947,-26.34307,-15.47906
15.790196419,-0.4346527,-0.2312636,1.258154,0.9781115,0.1680165,-0.02625226,-49.44947,-26.34307,-15.47906
15.800107002,-0.1249625,-0.4642715,0.767250500000003,0.9765807,0.1708917,-0.02909989,-49.08976,-25.21925,-15.48447
15.810017586,0.1227897,-0.1730116,0.03089567,0.9823844,0.17581,-0.02960096,-49.08976,-25.21925,-15.48447
15.819928646,0.1847278,0.1182482,-0.3986447,0.9810621,0.1665985,-0.02628899,-49.08976,-25.21925,-15.48447
15.82983923,0.494418,0.351256,-0.5213705,0.9864098,0.1642108,-0.03211625,-49.08976,-25.21925,-15.48447
15.839749813,0.3705419,-0.05650773,-0.3372818,0.9912351,0.1666776,-0.03550555,-49.08976,-25.21925,-15.48447
15.849660873,0.1847278,-0.4060195,0.0922585699999997,0.9887192,0.1656344,-0.04365193,-49.08815,-25.21742,-15.03475
15.859571934,-0.06302445,-0.6972793,0.2149844,0.990199,0.1690742,-0.03836095,-49.08815,-25.21742,-15.03475
15.869482517,0.43248,-0.580775400000001,0.583161800000002,0.9886698,0.1792672,-0.03251701,-49.08815,-25.21742,-15.03475
15.879393101,0.742170199999999,-0.580775400000001,0.6445247,0.988135,0.1855787,-0.02958906,-49.08815,-25.21742,-15.03475
15.889303684,0.742170199999999,-0.3477675,0.889976299999999,0.9832192,0.1869673,-0.03049467,-49.08815,-25.21742,-15.03475
15.899215221,0.3086039,-0.2895156,0.460436,0.9764333,0.1844736,-0.02756758,-49.45432,-25.96847,-15.48021
15.909125805,-0.06302445,-0.1730116,0.3377102,0.981379,0.1801737,-0.0271618,-49.45432,-25.96847,-15.48021
15.919036388,-0.682404900000003,0.1182482,0.0922585699999997,0.9809107,0.1796905,-0.02572021,-49.45432,-25.96847,-15.48021
15.928946972,-1.054033,0.293004,0.3377102,0.9888101,0.1642182,-0.03645983,-49.45432,-25.96847,-15.48021
15.938858509,-0.5585288,0.759019800000003,0.3990731,0.9831328,0.1544877,-0.02926977,-49.45432,-25.96847,-15.48021
