Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
35.727199554,-1.730786,-0.682292600000002,0.989726799999999,0.9576387,0.1518811,0.1554561,-56.14154,-13.5149,8.603041
35.737086773,-1.979459,-0.6234501,0.989726799999999,0.9532716,0.1498916,0.1520948,-56.14154,-13.5149,8.603041
35.746973991,-2.228132,-0.799977499999998,0.867544000000001,0.9532744,0.1493759,0.1501737,-56.14154,-13.5149,8.603041
35.75686121,-2.041627,-0.799977499999998,0.806452599999999,0.9561777,0.1454457,0.1482732,-56.14154,-13.5149,8.603041
35.766748428,-2.165963,-0.799977499999998,0.806452599999999,0.9566472,0.1435545,0.1521306,-55.77766,-12.74879,9.444099
35.776636124,-1.855123,-0.799977499999998,0.623178399999998,0.9595658,0.1430115,0.1487702,-55.77766,-12.74879,9.444099
35.786523342,-1.419945,-0.799977499999998,0.4399042,0.9595634,0.1430259,0.149732,-55.77766,-12.74879,9.444099
35.796410561,-1.171273,-0.6234501,0.623178399999998,0.9619881,0.14204,0.1492588,-55.77766,-12.74879,9.444099
35.806297779,-1.109105,-0.682292600000002,0.6842698,0.9576174,0.1430585,0.1516533,-55.77766,-12.74879,9.444099
35.818656921,-0.736095699999999,-0.741135099999998,0.562087,0.9552059,0.1454549,0.1487529,-55.38762,-13.52595,8.620201
35.82854414,-0.673927500000001,-0.5646076,0.5009956,0.9537656,0.1483435,0.1463321,-55.38762,-13.52595,8.620201
35.838431835,-1.046937,-0.799977499999998,0.4399042,0.9610517,0.152275,0.1496869,-55.38762,-13.52595,8.620201
35.848319054,-1.357777,-0.799977499999998,0.562087,0.9576452,0.1463664,0.1449037,-55.38762,-13.52595,8.620201
35.858206272,-1.109105,-0.741135099999998,0.623178399999998,0.9644194,0.1459883,0.153089,-55.38762,-13.52595,8.620201
35.868093491,-0.673927500000001,-0.85882,0.4399042,0.9624779,0.1469876,0.1545245,-55.39224,-12.38461,8.993405
35.877980709,-1.109105,-0.976504999999998,0.1955387,0.9634407,0.147036,0.1578918,-55.39224,-12.38461,8.993405
35.887867928,-1.544282,-0.85882,0.25663,0.9595708,0.1474588,0.153076,-55.39224,-12.38461,8.993405
35.897755146,-2.2903,-0.976504999999998,0.623178399999998,0.9600522,0.1449943,0.1511654,-55.39224,-12.38461,8.993405
35.907642841,-2.911981,-1.153032,0.745361200000002,0.9581276,0.1488721,0.1497008,-55.39224,-12.38461,8.993405
35.91753006,-3.28499,-1.388402,0.623178399999998,0.9581022,0.1415679,0.1497377,-56.14684,-12.75162,8.98155
35.927417278,-3.471495,-1.447245,0.3788128,0.9551885,0.1361094,0.1425481,-56.14684,-12.75162,8.98155
35.937304497,-3.471495,-1.32956,0.4399042,0.957113,0.1342225,0.1468882,-56.14684,-12.75162,8.98155
35.947191715,-3.160654,-1.035347,0.25663,0.9541997,0.1292581,0.140177,-56.14684,-12.75162,8.98155
35.957078934,-2.60114,-0.917662500000002,0.0733558600000001,0.9532357,0.1331987,0.1430416,-56.14684,-12.75162,8.98155
35.966966152,-1.668618,-0.6234501,0.1955387,0.9532511,0.1335994,0.1372685,-55.39293,-12.76267,8.99871
35.976853847,-0.673927500000001,-0.3292377,0.1955387,0.9551944,0.1310961,0.1329551,-55.39293,-12.76267,8.99871
35.986741066,0.1342586,-0.2703952,0.0733558600000001,0.9615132,0.135008,0.1348662,-55.39293,-12.76267,8.99871
35.996628284,0.693772100000003,-0.3292377,0.25663,0.95763,0.1389975,0.1406126,-55.39293,-12.76267,8.99871
36.006515503,1.191117,-0.3292377,0.25663,0.9566536,0.1390354,0.1430159,-55.39293,-12.76267,8.99871
36.016402721,1.43979,-0.3292377,0.3788128,0.9639302,0.1415348,0.1483017,-55.0093,-12.77536,8.618173
36.02628994,1.43979,-0.3292377,0.1344473,0.9663617,0.1405058,0.1449433,-55.0093,-12.77536,8.618173
36.038649559,1.004613,-0.4469227,0.1344473,0.9692699,0.1420184,0.1487863,-55.0093,-12.77536,8.618173
36.048536778,0.7559403,-0.5057651,0.5009956,0.9687759,0.1435665,0.1545489,-55.0093,-12.77536,8.618173
36.058423996,0.3829313,-0.0938677799999998,0.5009956,0.9678195,0.1429808,0.1478179,-55.01665,-13.14626,9.012594
36.068311214,0.3207631,-0.2115527,0.6842698,0.9668368,0.1405696,0.1492718,-55.01665,-13.14626,9.012594
36.078198433,0.4450994,-0.0938677799999998,0.6842698,0.9619796,0.1396053,0.1492711,-55.01665,-13.14626,9.012594
36.088085651,0.3829313,-0.0938677799999998,0.562087,0.9619779,0.1401138,0.1507113,-55.01665,-13.14626,9.012594
36.09797287,0.7559403,0.02381719,0.745361200000002,0.9585787,0.1376426,0.1478344,-55.01665,-13.14626,9.012594
36.107860565,0.7559403,-0.03502529,0.867544000000001,0.9619752,0.1376431,0.1483192,-56.14753,-13.12968,8.986854
36.117747784,0.880276599999999,0.3768721,0.745361200000002,0.9605065,0.1367296,0.1521695,-56.14753,-13.12968,8.986854
36.127635002,1.004613,0.4357146,0.623178399999998,0.9571258,0.1406103,0.1507033,-56.14753,-13.12968,8.986854
36.137522221,0.9424447,0.3180296,0.867544000000001,0.9580852,0.1396849,0.1540755,-56.14753,-13.12968,8.986854
36.147409439,0.631603899999999,0.3768721,0.806452599999999,0.954691,0.1416609,0.1555044,-56.14753,-13.12968,8.986854
36.157296658,0.818108400000001,0.4357146,0.867544000000001,0.957093,0.1348461,0.1560225,-56.14616,-12.37356,8.976246
36.167183876,0.7559403,0.2591871,0.867544000000001,0.961496,0.1390977,0.1478304,-56.14616,-12.37356,8.976246
36.177071571,0.880276599999999,0.5533996,0.928635399999997,0.9629594,0.1435277,0.1511761,-56.14616,-12.37356,8.976246
36.18695879,0.818108400000001,0.612241999999999,1.050818,0.9586098,0.1429199,0.1425176,-56.14616,-12.37356,8.976246
36.196846008,0.7559403,0.4357146,1.234092,0.9566433,0.1420865,0.1516571,-56.14616,-12.37356,8.976246
36.206733227,1.004613,0.2003446,1.234092,0.9609939,0.1426871,0.1598347,-55.39429,-13.51879,9.009317
36.216620445,0.818108400000001,-0.0938677799999998,1.356275,0.9639319,0.1440127,0.1511747,-55.39429,-13.51879,9.009317
36.226507664,0.3207631,-0.2115527,1.295184,0.9605319,0.1450293,0.1535703,-55.39429,-13.51879,9.009317
36.236394882,0.00992228700000002,-0.3292377,1.11191,0.959552,0.1440933,0.1559785,-55.39429,-13.51879,9.009317
36.246282578,-0.114414,0.0826596800000002,1.050818,0.9605173,0.1381545,0.1497577,-55.39429,-13.51879,9.009317
36.25864172,0.00992228700000002,0.02381719,0.806452599999999,0.9580598,0.1323807,0.1541124,-55.77698,-12.37073,9.438795
36.268528938,0.3207631,0.2003446,0.928635399999997,0.9575898,0.1337777,0.1497765,-55.77698,-12.37073,9.438795
36.278416157,0.5694358,0.1415022,1.050818,0.9600161,0.1342743,0.1507386,-55.77698,-12.37073,9.438795
36.288303375,0.9424447,0.0826596800000002,0.806452599999999,0.9610077,0.1416053,0.1526264,-55.77698,-12.37073,9.438795
36.298190594,1.128949,0.0826596800000002,0.989726799999999,0.9551866,0.1415952,0.151177,-55.77698,-12.37073,9.438795
36.308078289,0.9424447,0.1415022,0.928635399999997,0.9590712,0.1450609,0.1554922,-55.78365,-12.36357,9.827912
36.317965508,0.693772100000003,0.1415022,0.745361200000002,0.9556736,0.1420812,0.1511751,-55.78365,-12.36357,9.827912
36.327852726,0.2585949,0.3768721,0.806452599999999,0.9551962,0.1450182,0.1521216,-55.78365,-12.36357,9.827912
36.337739945,0.1342586,0.3180296,0.6842698,0.9595572,0.1445586,0.1545334,-55.78365,-12.36357,9.827912
36.347627163,-0.5495912,0.1415022,0.4399042,0.9556754,0.1405772,0.1482972,-55.78365,-12.36357,9.827912
36.357514381,-0.4252549,-0.2703952,0.562087,0.9580926,0.1411313,0.1531063,-55.39293,-12.76267,8.99871
36.3674016,-0.4252549,0.0826596800000002,0.25663,0.9566423,0.1381118,0.1463871,-55.39293,-12.76267,8.99871
36.377289295,-0.3630867,0.0826596800000002,0.1344473,0.9537277,0.1401229,0.1502209,-55.39293,-12.76267,8.99871
36.387176514,-0.05224587,0.0826596800000002,0.1344473,0.9605303,0.1385695,0.1449464,-55.39293,-12.76267,8.99871
36.397063732,-0.05224587,-0.03502529,-0.04882693,0.9595516,0.1396172,0.1497492,-55.39293,-12.76267,8.99871
36.406950951,-0.114414,0.02381719,-0.1099183,0.9585893,0.1430494,0.1511735,-56.5238,-12.74609,8.97297
36.416838169,-0.3009185,-0.0938677799999998,-0.1710097,0.9624667,0.1400913,0.1492692,-56.5238,-12.74609,8.97297
36.426725388,-0.2387504,-0.0938677799999998,-0.1710097,0.9619831,0.1395837,0.1478284,-56.5238,-12.74609,8.97297
36.436612606,-0.673927500000001,-0.2115527,-0.2931925,0.9547007,0.1411021,0.150698,-56.5238,-12.74609,8.97297
36.446500301,-0.798263799999999,-0.2115527,-0.2321011,0.9590697,0.1405921,0.1497437,-56.5238,-12.74609,8.97297
36.45638752,-0.922600200000001,-0.2115527,-0.3542839,0.9614835,0.1371859,0.1502446,-55.76989,-12.75715,8.990129
36.466274738,-0.984768300000001,-0.03502529,-0.3542839,0.9590685,0.1415948,0.1516623,-55.76989,-12.75715,8.990129
36.478633881,-0.984768300000001,-0.2703952,-0.2931925,0.9614825,0.1342067,0.1464123,-55.76989,-12.75715,8.990129
