Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-7.263752,-4.036314,3.3112,1.023693,-0.06590953,0.02678309,-55.12497,-11.20253,11.83817
0.022241116,-5.025699,-4.036314,4.105388,1.022738,-0.06650243,0.01957119,-55.12497,-11.20253,11.83817
0.024712563,-4.528353,-3.624417,3.983205,1.021274,-0.06794601,0.02053866,-55.12497,-11.20253,11.83817
0.034597874,-2.911981,-3.447889,4.105388,1.015012,-0.06176145,0.009920022,-55.12497,-11.20253,11.83817
0.044482231,-1.917291,-3.447889,4.410845,1.002883,-0.05679609,0.01469035,-55.12497,-11.20253,11.83817
0.054367542,-0.860432,-3.800944,4.16648,0.9985324,-0.05590706,0.008428938,-55.49457,-10.82611,11.43517
0.064252853,-0.2387504,-3.977472,4.16648,0.9985521,-0.04956236,0.00935874,-55.49457,-10.82611,11.43517
0.074138165,0.07209045,-4.036314,3.983205,0.9970961,-0.05155041,0.006481605,-55.49457,-10.82611,11.43517
0.086493969,0.07209045,-4.977794,4.227571,1.018459,-0.05760139,-0.004524712,-55.49457,-10.82611,11.43517
0.09637928,0.3829313,-4.742424,4.227571,1.009708,-0.04853861,0.01417546,-55.13095,-10.81731,12.22198
0.106264591,1.004613,-4.095157,3.066834,1.012149,-0.04465502,0.01367769,-55.13095,-10.81731,12.22198
0.116149902,0.5072676,-4.036314,2.517012,1.008351,-0.02627282,0.004923903,-55.13095,-10.81731,12.22198
0.126034737,0.07209045,-4.565897,1.783915,1.011278,-0.02288433,0.003948265,-55.13095,-10.81731,12.22198
0.135920048,-0.1765822,-5.154321,0.9286354,1.010778,-0.02826855,0.002051221,-55.13095,-10.81731,12.22198
0.145805359,-0.3009185,-5.801589,0.8064526,1.00877,-0.04128283,0.01077128,-54.74664,-10.45194,11.83614
0.155690193,0.1964268,-6.566541,0.6842698,1.013632,-0.03984596,0.009807707,-54.74664,-10.45194,11.83614
0.165575504,0.8802766,-6.507699,0.25663,1.016029,-0.04265018,0.01800026,-54.74664,-10.45194,11.83614
0.175460339,0.9424447,-5.742746,-0.1710097,1.016991,-0.04359004,0.02041071,-54.74664,-10.45194,11.83614
0.18534565,0.9424447,-5.036636,-0.4153753,1.009717,-0.03864146,0.02470572,-54.74664,-10.45194,11.83614
0.195230961,1.750631,-4.389369,-0.7819237,1.006798,-0.03958802,0.02614995,-54.45362,-10.43387,13.07549
0.205116272,2.12364,-3.859787,-0.5986494,1.009695,-0.04646856,0.02234064,-54.45362,-10.43387,13.07549
0.215000629,2.496649,-3.330204,-0.04882693,1.010143,-0.05767649,0.02191687,-54.45362,-10.43387,13.07549
0.224885941,2.931826,-3.447889,0.3788128,1.008196,-0.06858686,0.008504,-54.45362,-10.43387,13.07549
0.234771252,3.80218,-3.506732,0.3788128,1.005804,-0.06482313,-0.0006552385,-54.45362,-10.43387,13.07549
0.244656563,5.232048,-3.271362,0.07335586,1.003859,-0.06330092,0.003182226,-54.76109,-10.43643,12.67923
0.254541397,6.413243,-2.565252,-0.6597409,1.018474,-0.04177457,0.01174664,-54.76109,-10.43643,12.67923
0.264426708,7.221429,-1.917985,-1.637203,1.035424,-0.04106949,0.02859459,-54.76109,-10.43643,12.67923
0.274312019,8.402624,-0.4469227,-2.3703,1.035378,-0.05471119,0.02818255,-54.76109,-10.43643,12.67923
0.284197331,9.148643,0.2003446,-2.859031,1.026135,-0.06053633,0.02820148,-54.76109,-10.43643,12.67923
0.296553135,10.70285,1.789092,-2.920122,1.021246,-0.06776622,0.03256075,-54.45294,-10.05581,13.07019
0.306438446,11.3867,3.318996,-2.675757,1.016423,-0.05600518,0.03682412,-54.45294,-10.05581,13.07019
0.316323757,11.63537,4.672373,-2.859031,1.018932,-0.03463465,0.03335253,-54.45294,-10.05581,13.07019
0.326209068,11.26236,5.966908,-3.347762,1.018504,-0.01459696,0.03806,-54.45294,-10.05581,13.07019
0.336093426,9.832492,7.320285,-3.469945,1.018022,-0.01262664,0.03949226,-54.45294,-10.05581,13.07019
0.345978737,7.967447,7.90871,-2.920122,1.032563,-0.01849877,0.03953847,-54.82391,-10.43551,12.6778
0.355864048,6.16457,8.438292,-2.675757,1.027153,-0.03495812,0.04538654,-54.82391,-10.43551,12.6778
0.365749359,4.859039,8.967875,-1.94266,1.023701,-0.05500972,0.03923197,-54.82391,-10.43551,12.6778
0.37563467,4.175189,9.262087,-1.148472,1.029036,-0.06246111,0.03013819,-54.82391,-10.43551,12.6778
0.385519505,4.48603,9.262087,-1.148472,1.026664,-0.05235269,0.02190875,-54.82391,-10.43551,12.6778
0.395404816,5.667225,9.262087,-1.820477,1.019439,-0.03875413,0.01846537,-54.81058,-10.44983,11.89956
0.405290127,6.84842,9.203244,-2.859031,1.013662,-0.02560944,0.01743054,-54.81058,-10.44983,11.89956
0.415174961,7.843111,8.791347,-3.897585,1.005422,-0.0147149,0.0284273,-54.81058,-10.44983,11.89956
0.425059795,7.905279,8.61482,-4.508498,1.006883,-0.01027053,0.03273479,-54.81058,-10.44983,11.89956
0.434945107,6.972757,9.026717,-4.56959,1.004893,-0.01244972,0.04957578,-54.81058,-10.44983,11.89956
0.444830418,5.16988,9.673985,-4.203042,1.013119,-0.01379741,0.05824852,-55.13275,-11.19418,12.29214
0.454715729,2.434481,10.02704,-3.469945,1.028993,-0.02934455,0.09537605,-55.13275,-11.19418,12.29214
0.46460104,2.12364,10.67431,-4.14195,1.023781,-0.02565626,0.04822123,-55.13275,-11.19418,12.29214
