Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-5.921213,-1.117681,1.233748,0.9880871,0.1538453,0.01103057,-46.76395,-26.27544,13.45848
0.123205662,7.247361,-14.32866,-2.567038,1.021982,0.1345201,-0.03178516,-46.82423,-26.64287,13.46257
0.125669479,7.185245,-15.04277,-2.260523,1.029792,0.1331199,-0.03430429,-46.82423,-26.64287,13.46257
0.135525703,7.247361,-17.00657,-1.095766,1.062056,0.1358406,-0.03378277,-46.82423,-26.64287,13.46257
0.145382404,7.55794,-18.43478,0.3142034,1.096574,0.1497574,-0.03751169,-46.82423,-26.64287,13.46257
0.26119566,-36.60647,8.87982,6.137988,0.8564823,0.1219178,-0.01707356,-46.44543,-25.95532,14.66999
0.266123295,-33.9976,9.891472,4.605413,0.8535736,0.1043232,-0.03059817,-46.44543,-25.95532,14.66999
0.275979996,-27.16486,11.61723,1.295051,0.8466555,0.06127879,-0.07351159,-46.44543,-25.95532,14.66999
0.285836697,-18.90344,12.50986,-1.708796,0.8686315,0.03509885,-0.09944332,-46.44543,-25.95532,14.66999
0.295692444,-10.14509,12.7479,-4.406127,0.9003933,0.02023529,-0.1153558,-46.44543,-25.95532,14.66999
0.305549145,-2.566953,12.86692,-6.551732,0.9307872,0.03210451,-0.1362944,-46.44543,-25.95532,14.66999
0.423826218,23.89443,-0.9391546,-5.816096,1.011234,0.1697165,0.03623217,-46.82142,-27.07149,13.53099
0.426290512,22.71422,-0.8796456,-5.019157,1.010624,0.1755363,0.03245639,-46.82142,-27.07149,13.53099
0.436147213,17.18591,-0.7011189,-2.505734,0.9917551,0.1992151,0.03292515,-46.82142,-27.07149,13.53099
0.446003437,10.78797,-0.4630831,0.1915974,0.976724,0.2248597,0.02952221,-46.82142,-27.07149,13.53099
0.455860138,4.762724,-0.6416099,2.888929,0.9648044,0.2251929,0.01675652,-46.82142,-27.07149,13.53099
0.465716362,-0.5171283,-0.9391546,5.279747,0.9538612,0.2201637,-0.0008603316,-47.19836,-27.07341,13.08482
0.576601505,1.967508,-4.093128,2.030687,1.023079,0.0975927,-0.01965326,-46.88295,-26.69728,13.91162
0.576601505,1.967508,-4.093128,2.030687,1.023079,0.0975927,-0.01965326,-46.88295,-26.69728,13.91162
0.586458206,4.265797,-3.97411,2.153293,1.0255,0.09858366,-0.0206378,-46.88295,-26.69728,13.91162
0.596313953,5.756579,-3.97411,2.398505,1.032049,0.1040644,-0.001996104,-46.88295,-26.69728,13.91162
0.606170654,6.50197,-3.795583,2.582414,1.030161,0.1065079,0.005239412,-46.88295,-26.69728,13.91162
0.616027355,6.50197,-3.736075,3.072838,1.028687,0.1152813,0.01252245,-46.88421,-25.95564,14.28816
0.736768722,-1.448867,-1.653262,3.379353,0.9706268,0.1593206,-0.04474071,-47.94035,-25.93806,14.67772
0.736768722,-1.448867,-1.653262,3.379353,0.9706268,0.1593206,-0.04474071,-47.94035,-25.93806,14.67772
0.746624947,-1.945794,-1.653262,2.766323,0.9696804,0.1588329,-0.04281454,-47.94035,-25.93806,14.67772
0.756481647,-2.566953,-1.712771,2.459808,0.9720637,0.1607896,-0.0457072,-47.94035,-25.93806,14.67772
0.766338348,-3.125997,-1.891297,2.030687,0.979031,0.1540489,-0.04298818,-46.88547,-25.21399,14.6647
0.776194096,-3.809272,-1.712771,2.09199,0.9865055,0.1507352,-0.03593469,-46.88547,-25.21399,14.6647
0.894472122,0.8494217,0.6080777,-0.7279475,0.9972202,0.1343525,-0.01801608,-47.63293,-25.20536,14.66857
0.89693594,0.7251899,0.6675866,-0.5440385,1.004039,0.1329401,-0.02147958,-47.63293,-25.20536,14.66857
0.906792641,-0.4550124,0.9651313,-0.6666446,0.9947113,0.1396834,-0.01793533,-47.26196,-25.21502,14.28255
0.916648865,-1.945794,1.381694,-0.5440385,0.9896215,0.1459306,-0.02691486,-47.26196,-25.21502,14.28255
0.926505089,-3.188113,1.262676,-0.6053416,0.9860684,0.1463517,-0.03596545,-47.26196,-25.21502,14.28255
0.93636179,-3.933504,0.9651313,-0.8505535,0.9807391,0.1453424,-0.03302282,-47.26196,-25.21502,14.28255
1.052175045,-7.908923,0.1915152,-1.647493,0.9979251,0.1002425,-0.03221078,-47.63367,-25.57886,14.28825
1.057103634,-7.163531,0.4295509,-1.463584,1.001806,0.09636203,-0.03804923,-47.2607,-25.95667,13.90601
1.066959858,-5.300054,0.6080777,-1.402281,1.000316,0.1031779,-0.03365768,-47.2607,-25.95667,13.90601
1.076816559,-3.747156,0.7866045,-1.402281,1.002279,0.1027086,-0.03368961,-47.2607,-25.95667,13.90601
1.086672783,-2.442722,1.143658,-1.279675,0.9973152,0.1065507,-0.03550325,-47.2607,-25.95667,13.90601
1.096529484,-1.510983,1.143658,-1.095766,0.9952353,0.1152863,-0.03683748,-47.2607,-25.95667,13.90601
1.207415104,0.4146104,0.7270955,-1.58619,0.987707,0.1390901,-0.0298205,-47.62966,-26.31515,14.2958
1.217270851,0.1040308,0.5485688,-1.708796,0.9867592,0.1376255,-0.02886095,-47.62966,-26.31515,14.2958
1.227127552,0.3524944,0.310533,-1.524887,0.9906133,0.1420373,-0.02935785,-47.62966,-26.31515,14.2958
1.236984253,0.2282626,0.4295509,-1.58619,0.997566,0.1299219,-0.03243439,-47.62966,-26.31515,14.2958
1.246840477,-0.1444329,0.5485688,-1.340978,0.9975068,0.1382049,-0.02948844,-47.62966,-26.31515,14.2958
1.256697178,0.04191487,0.6080777,-1.157069,0.9951286,0.1352732,-0.02708329,-47.25869,-26.32481,13.90978
1.362653732,-4.927359,-1.296208,-0.7892506,0.9896322,0.1400749,-0.03127722,-47.2607,-25.95667,13.90601
1.365118027,-4.989474,-1.17719,-0.8505535,0.9906633,0.1449809,-0.02310413,-47.2607,-25.95667,13.90601
1.377438545,-5.486402,-1.296208,-0.6666446,0.9931845,0.1391653,-0.02270994,-47.2607,-25.95667,13.90601
1.387295246,-5.486402,-1.058172,-0.4827355,0.9922137,0.139647,-0.02173364,-47.2607,-25.95667,13.90601
1.39715147,-5.300054,-0.5225921,-0.3601296,0.9937959,0.133834,-0.01845085,-47.2607,-25.95667,13.90601
1.407008171,-4.678895,-0.1060295,-0.2375236,0.9909235,0.1274789,-0.01942194,-46.88696,-25.96098,13.90408
1.466147423,1.346349,0.5485688,0.3755064,0.9982315,0.1260707,-0.02289238,-46.88696,-25.96098,13.90408
1.466147423,1.346349,0.5485688,0.3755064,0.9982315,0.1260707,-0.02289238,-46.88696,-25.96098,13.90408
1.47600317,2.278088,0.7866045,0.4368094,0.9947466,0.1328583,-0.02134783,-46.88696,-25.96098,13.90408
1.485859871,2.899247,0.8461134,0.3142034,0.9932365,0.1347861,-0.02274764,-46.88696,-25.96098,13.90408
1.495716572,3.085595,0.5485688,0.3755064,0.988848,0.1391451,-0.01785631,-46.88696,-25.96098,13.90408
1.505572796,3.147711,0.7270955,0.1915974,0.9940819,0.145986,-0.02266517,-47.25869,-26.32481,13.90978
1.515429497,3.085595,0.370042,0.1302944,0.9946036,0.1459996,-0.02027649,-47.25869,-26.32481,13.90978
1.525286198,2.837131,0.4295509,0.06899142,0.9960716,0.150895,-0.0159433,-47.25869,-26.32481,13.90978
1.535141945,2.526551,0.6675866,-0.05361458,1.000915,0.1538538,-0.01694576,-47.25869,-26.32481,13.90978
1.54746294,1.781161,0.7270955,-0.1149176,0.994446,0.1581603,-0.02113001,-47.25869,-26.32481,13.90978
1.557319164,1.532697,0.9056224,-0.2375236,0.992075,0.1513249,-0.02163311,-47.25594,-26.31947,14.29386
1.567175865,1.346349,1.143658,-0.3601296,0.9868324,0.1474109,-0.01488263,-47.25594,-26.31947,14.29386
1.577032566,1.532697,1.203167,-0.1762206,0.9872202,0.1493392,-0.02062227,-47.25594,-26.31947,14.29386
1.586889267,1.656929,1.084149,-0.1762206,0.983374,0.1459062,-0.01867963,-47.25594,-26.31947,14.29386
1.596745014,1.656929,0.9056224,0.007688423,0.9857037,0.1468711,-0.02637188,-47.25594,-26.31947,14.29386
1.606601715,1.532697,0.7866045,-0.05361458,0.9881883,0.1512979,-0.01966114,-47.25945,-26.69831,13.52947
1.616458416,1.470581,0.7270955,-0.2988266,0.9871964,0.1507971,-0.02108883,-47.25945,-26.69831,13.52947
1.626315117,0.8494217,0.8461134,0.06899142,0.9856438,0.1546657,-0.02390925,-47.25945,-26.69831,13.52947
1.636171341,0.4767263,0.8461134,0.06899142,0.9847365,0.1541891,-0.01910835,-47.25945,-26.69831,13.52947
1.646028042,-0.1444329,0.7270955,0.1302944,0.9842612,0.1546769,-0.01765986,-47.25945,-26.69831,13.52947
1.655884266,-0.3928965,0.4890598,0.06899142,0.9847494,0.1497987,-0.02202078,-47.25869,-26.32481,13.90978
1.66574049,-0.08231696,0.5485688,0.007688423,0.9858657,0.1420351,-0.01874781,-47.25869,-26.32481,13.90978
1.675597191,0.3524944,0.1915152,-0.2988266,0.9886513,0.1469007,-0.02545524,-47.25869,-26.32481,13.90978
1.685453892,0.4146104,0.2510241,-0.3601296,0.9892408,0.1444925,-0.02021278,-47.25869,-26.32481,13.90978
