Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
36.635240078,-3.37446,-0.5225921,-0.3601296,0.9900093,0.1006361,-0.03832423,-48.33445,-25.35313,12.30485
36.645098209,-3.436576,-0.582100999999999,-0.3601296,0.9925343,0.1016567,-0.03164281,-48.33445,-25.35313,12.30485
36.654956818,-3.933504,-0.641609900000002,-0.6666446,0.9943592,0.1094481,-0.03447826,-48.33445,-25.35313,12.30485
36.664814472,-4.244083,-0.582100999999999,-0.789250600000002,0.9870431,0.1142716,-0.02858289,-48.33445,-25.35313,12.30485
36.677137375,-5.424286,-0.701118900000002,-1.034463,0.9904689,0.115767,-0.0271815,-48.33445,-25.35313,12.30485
36.686995983,-6.54237199999997,-0.760627799999999,-1.157069,0.9880373,0.1206317,-0.02183459,-48.33044,-26.08942,12.3124
36.696853638,-7.59834299999997,-0.701118900000002,-1.463584,0.9879789,0.1337972,-0.01453466,-48.33044,-26.08942,12.3124
36.706712246,-9.399704,-1.236699,-1.647493,0.9816909,0.1327848,-0.01014079,-48.33044,-26.08942,12.3124
36.716570377,-11.94646,-1.712771,-2.199219,0.98503,0.1415789,-0.008676564,-48.33044,-26.08942,12.3124
36.726428986,-13.99628,-2.010315,-2.567038,0.9898334,0.139644,-0.01690774,-48.33044,-26.08942,12.3124
36.73628664,-15.54918,-2.010315,-2.750947,0.9908938,0.1250293,-0.02375499,-48.33521,-25.72662,11.92454
36.746145248,-16.66727,-1.415226,-1.58619,1.005611,0.1071068,-0.03657519,-48.33521,-25.72662,11.92454
36.756003857,-16.29457,-0.760627799999999,0.0689914200000002,1.002836,0.08320332,-0.04584216,-48.33521,-25.72662,11.92454
36.765861988,-14.61744,-0.1655384,1.295051,0.9912387,0.06849337,-0.04819701,-48.33521,-25.72662,11.92454
36.775720596,-11.63588,0.2510241,0.988536299999999,0.9833632,0.05669278,-0.06208113,-48.33521,-25.72662,11.92454
36.785578728,-8.28161699999999,0.07249729,0.1915974,0.9819559,0.05327939,-0.06065228,-48.70692,-26.09045,11.93024
36.795436382,-4.989474,0.07249729,-0.6053416,0.9829355,0.05426487,-0.05969953,-48.70692,-26.09045,11.93024
36.80529499,-1.883678,0.1320062,-0.789250600000002,0.9828488,0.05716948,-0.06350738,-48.70692,-26.09045,11.93024
36.815153599,-0.02020105,0.2510241,-0.850553500000001,0.983169,0.0790958,-0.05661811,-48.70692,-26.09045,11.93024
36.82501173,0.911537699999999,0.2510241,-1.095766,0.9765325,0.09311906,-0.06455156,-48.70692,-26.09045,11.93024
36.834870338,1.408465,-0.04652058,-1.279675,0.9804705,0.09267249,-0.06317385,-48.70215,-26.45325,12.3181
36.847192764,1.284233,-0.4035742,-1.402281,0.9880064,0.08693524,-0.05374569,-48.70215,-26.45325,12.3181
36.857050896,1.222117,-0.1655384,-1.034463,0.9891763,0.08895144,-0.03793177,-48.70215,-26.45325,12.3181
36.866909504,1.905392,0.1915152,-1.034463,0.9951677,0.0880615,-0.02987828,-48.70215,-26.45325,12.3181
36.876768112,2.464436,0.5485688,-0.850553500000001,0.9936658,0.09975617,-0.02209099,-48.70215,-26.45325,12.3181
36.886625767,2.899247,0.667586600000001,-0.727947499999999,0.9906785,0.09922706,-0.02636567,-48.70491,-26.4586,11.93401
36.896483898,3.45829,0.2510241,-0.4214326,0.9842892,0.09574464,-0.0315752,-48.70491,-26.4586,11.93401
36.906342506,3.396174,0.1320062,-0.6053416,0.9845273,0.1064184,-0.0405933,-48.70491,-26.4586,11.93401
36.916201115,3.706754,0.01298836,-0.6053416,0.9882948,0.1137348,-0.04489804,-48.70491,-26.4586,11.93401
36.926058769,3.147711,0.2510241,-0.6053416,0.9918262,0.1162368,-0.03486407,-48.70491,-26.4586,11.93401
36.935917377,2.40232,0.4890598,-0.4827355,0.9957693,0.1148152,-0.03397387,-47.96423,-25.73628,11.53853
36.945775509,1.656929,0.667586600000001,0.007688423,0.9933621,0.1143164,-0.03154777,-47.96423,-25.73628,11.53853
36.955634117,1.905392,1.262676,-0.2375236,0.9835023,0.1186021,-0.03328787,-47.96423,-25.73628,11.53853
36.965492249,1.532697,1.203167,0.3142034,0.9965693,0.1051437,-0.01969091,-47.96423,-25.73628,11.53853
36.975350857,0.5388422,1.560221,0.804627399999999,0.9916894,0.1080331,-0.01624257,-47.96423,-25.73628,11.53853
36.985208511,0.663074000000001,1.560221,0.804627399999999,0.9873041,0.1016521,-0.02054672,-47.95745,-26.46723,11.93015
36.99506712,0.787305800000002,1.441203,1.233748,0.9852826,0.1016163,-0.02531021,-47.95745,-26.46723,11.93015
37.004925251,0.849421699999999,0.9056224,1.172445,0.9837624,0.09670606,-0.03347637,-47.95745,-26.46723,11.93015
37.017248631,0.973653600000002,0.310533,0.743324399999998,0.9816304,0.1010328,-0.04251426,-47.95745,-26.46723,11.93015
37.027106285,0.911537699999999,0.1320062,0.682021400000003,0.979114,0.09708519,-0.0511373,-47.95745,-26.46723,11.93015
37.036964893,1.03577,-0.2845563,0.3755064,0.9834782,0.1024837,-0.04923714,-48.70969,-26.0958,11.54616
37.046823025,0.911537699999999,-0.2845563,0.2529004,0.9884806,0.1074408,-0.03680742,-48.70969,-26.0958,11.54616
37.056681633,0.4146104,0.1915152,0.1915974,0.9938534,0.1113919,-0.03397545,-48.70969,-26.0958,11.54616
37.066539288,-0.3928965,0.608077699999999,0.4368094,0.9806502,0.108347,-0.03620896,-48.70969,-26.0958,11.54616
37.076397896,-0.2686647,0.310533,0.3755064,0.9812071,0.1015355,-0.03723279,-48.70969,-26.0958,11.54616
37.086256027,0.4146104,0.310533,0.007688423,0.9859959,0.09422599,-0.05125951,-47.95947,-26.09908,11.92638
37.096114635,1.408465,0.07249729,-0.2988266,0.9909194,0.09867238,-0.04506256,-47.95947,-26.09908,11.92638
37.105972767,2.09174,-0.04652058,-0.5440385,0.9920248,0.09237032,-0.04129791,-47.95947,-26.09908,11.92638
37.115831375,2.650783,-0.2845563,-0.727947499999999,0.9919764,0.09479764,-0.04271433,-47.95947,-26.09908,11.92638
37.12568903,2.775015,-0.3440652,-0.973159599999999,0.9914513,0.10113,-0.03977821,-47.95947,-26.09908,11.92638
37.135547638,2.712899,-0.4630831,-1.157069,0.9918969,0.1025866,-0.04168907,-47.95469,-26.46189,12.31423
37.145405769,2.588667,-0.641609900000002,-1.034463,0.990494,0.1021038,-0.03736035,-47.95469,-26.46189,12.31423
37.155264378,2.588667,-0.641609900000002,-1.095766,0.9925401,0.1011702,-0.031647,-47.95469,-26.46189,12.31423
37.165122032,2.40232,-0.5225921,-0.973159599999999,0.9886375,0.09918571,-0.03256653,-47.95469,-26.46189,12.31423
37.17498064,2.464436,-0.4035742,-0.973159599999999,0.9895505,0.09917575,-0.03737162,-47.95469,-26.46189,12.31423
37.184838772,2.961363,-0.3440652,-0.727947499999999,0.9930255,0.09433824,-0.03794117,-47.96147,-25.73094,11.92261
37.197162151,3.520406,-0.1655384,-0.727947499999999,0.9935724,0.09387083,-0.03411931,-47.96147,-25.73094,11.92261
37.207019806,3.396174,-0.2250474,-0.4827355,0.9906467,0.09970621,-0.02827797,-47.96147,-25.73094,11.92261
37.216878414,3.147711,0.310533,-0.3601296,0.9935812,0.1085202,-0.02057822,-47.96147,-25.73094,11.92261
37.226736546,2.961363,0.310533,-0.3601296,0.995508,0.1104818,-0.02106833,-47.96147,-25.73094,11.92261
37.236595154,2.464436,0.1915152,-0.2988266,0.9901512,0.1084882,-0.0210088,-47.95193,-26.45654,12.69832
37.246452808,1.284233,0.4890598,-0.2988266,0.9940459,0.113888,-0.01766435,-47.95193,-26.45654,12.69832
37.256311417,-0.641360199999998,0.608077699999999,-0.05361458,0.9915506,0.1153169,-0.02001272,-47.95193,-26.45654,12.69832
37.266169548,-2.31849,0.370042,0.3142034,0.9948955,0.1236244,-0.01855269,-47.95193,-26.45654,12.69832
37.276028156,-3.871388,0.667586600000001,0.682021400000003,0.9939063,0.1162893,-0.02578848,-47.95193,-26.45654,12.69832
37.285886288,-4.057736,0.4295509,0.927233400000001,0.9915403,0.1040847,-0.03064975,-48.32842,-26.45757,12.31617
37.295744896,-3.188113,0.727095499999998,0.988536299999999,0.9881578,0.09674295,-0.0340179,-48.32842,-26.45757,12.31617
37.305602551,-1.510983,0.4890598,0.4981124,0.9850648,0.09960131,-0.04305448,-48.32842,-26.45757,12.31617
37.315461159,-0.3307806,0.846113400000001,-0.05361458,0.9874076,0.104964,-0.04591782,-48.32842,-26.45757,12.31617
37.32531929,-0.1444329,0.667586600000001,-0.3601296,0.9845577,0.1049624,-0.03964762,-48.32842,-26.45757,12.31617
37.335177898,-0.1444329,0.846113400000001,-0.1149176,0.9835831,0.1030019,-0.04108787,-48.3332,-26.09477,11.92831
37.345035553,0.2282626,0.786604499999998,-0.4827355,0.9839574,0.1088321,-0.0443984,-48.3332,-26.09477,11.92831
37.354894161,1.284233,0.727095499999998,-0.850553500000001,0.9913297,0.10256,-0.0474316,-48.3332,-26.09477,11.92831
37.367217064,2.09174,0.786604499999998,-1.095766,0.9879379,0.1020507,-0.04547076,-48.3332,-26.09477,11.92831
37.377075672,2.712899,0.608077699999999,-1.402281,0.9875934,0.09427603,-0.04169787,-48.3332,-26.09477,11.92831
37.386933327,3.582522,0.370042,-1.279675,0.9836619,0.09472447,-0.04259645,-47.20832,-26.78266,11.92943
37.396791935,4.079449,0.01298836,-1.463584,0.9793108,0.09811777,-0.035797,-47.20832,-26.78266,11.92943
37.406650066,4.390029,-0.2845563,-1.402281,0.9890174,0.1045294,-0.03588124,-47.20832,-26.78266,11.92943
37.416508675,4.514261,-0.2250474,-1.157069,0.9871269,0.1050192,-0.03057897,-47.20832,-26.78266,11.92943
