Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
17.479773522,-2.432514,-4.031764,2.144803,0.9876791,-0.1453728,0.1113156,-52.06272,0.1309028,-26.033
17.489770889,-2.801713,-3.853706,1.657037,0.9903458,-0.1317269,0.1098718,-52.06272,0.1309028,-26.033
17.49976778,-3.417045,-3.378887,1.230241,1.000117,-0.1329566,0.1136836,-52.06272,0.1309028,-26.033
17.509765148,-4.032378,-3.082125,0.925387699999998,0.9850335,-0.1342528,0.1108388,-52.06272,0.1309028,-26.033
17.519762516,-4.586177,-2.904068,0.681504599999997,0.9964116,-0.1432214,0.1151285,-51.69388,0.5102577,-26.48375
17.52975893,-4.893843,-2.547954,-0.1720861,0.9960683,-0.1510734,0.1074739,-51.69388,0.5102577,-26.48375
17.539756298,-4.770776,-2.073135,-0.598881400000002,0.9932934,-0.1588463,0.1137022,-51.69388,0.5102577,-26.48375
17.549753666,-4.770776,-1.835726,-0.5379106,0.9848937,-0.1527037,0.1127581,-51.69388,0.5102577,-26.48375
17.559751034,-5.01691,-2.013783,-0.8427644,0.98536,-0.1518016,0.1041427,-51.69388,0.5102577,-26.48375
17.569747448,-5.324575,-2.251192,-0.720822899999998,0.9846029,-0.1635362,0.09792555,-52.44702,0.5117149,-25.6508
17.579744816,-5.263042,-2.547954,-0.2330568,0.9867606,-0.1746878,0.09601036,-52.44702,0.5117149,-25.6508
17.589742184,-4.83231,-2.904068,0.1327677,0.9863473,-0.1785572,0.09888353,-52.44702,0.5117149,-25.6508
17.599738598,-3.540112,-3.022773,0.01082622,0.9924968,-0.16873,0.09743455,-52.44702,0.5117149,-25.6508
17.609735966,-2.678647,-2.488602,-0.3549984,1.000135,-0.1603356,0.09550478,-52.44702,0.5117149,-25.6508
17.619733333,-2.92478,-2.19184,-0.4769399,0.9912137,-0.1521938,0.1017397,-52.07059,0.5112591,-26.03502
17.629730701,-4.093911,-2.132488,-0.05014454,0.9936147,-0.1501412,0.1084351,-52.07059,0.5112591,-26.03502
17.639727592,-4.770776,-2.42925,0.2547093,0.9874725,-0.1605112,0.1036627,-52.07059,0.5112591,-26.03502
17.64972496,-5.324575,-2.607306,0.0717969800000001,0.987507,-0.1625157,0.09696308,-52.07059,0.5112591,-26.03502
17.659721851,-4.83231,-3.556944,0.1937385,0.9922108,-0.1794176,0.09839496,-52.07059,0.5112591,-26.03502
17.669719219,-3.417045,-3.556944,-0.2330568,0.9970735,-0.1788136,0.1007792,-52.48016,2.036407,-25.27191
17.67971611,-2.247914,-3.43824,-0.4159691,1.002323,-0.1728611,0.1026828,-52.48016,2.036407,-25.27191
17.689713478,-2.432514,-3.082125,-0.05014454,1.001121,-0.1607144,0.1050747,-52.48016,2.036407,-25.27191
17.699710846,-3.601645,-2.666659,0.5595631,1.003098,-0.1621024,0.1084216,-52.48016,2.036407,-25.27191
17.70970726,-4.64771,-2.013783,1.1083,1.003372,-0.1766796,0.1079463,-52.48016,2.036407,-25.27191
17.719704628,-4.83231,-1.420259,1.413154,1.00155,-0.1835407,0.1055584,-52.09756,1.658863,-25.26711
17.729701996,-3.663178,-1.18285,1.474125,0.9920795,-0.1983719,0.09840007,-52.09756,1.658863,-25.26711
17.739699364,-2.001781,-0.589326100000003,1.413154,0.9938827,-0.1905393,0.1007878,-52.09756,1.658863,-25.26711
17.749695778,-0.3403839,-0.411269,1.169271,0.988525,-0.1906276,0.1027115,-52.09756,1.658863,-25.26711
17.759693146,0.705681,-0.2925643,0.620533899999998,0.9940794,-0.174937,0.1060478,-52.09756,1.658863,-25.26711
17.769690514,0.705681,0.06354995,0.4985923,0.9978207,-0.1666152,0.1046034,-52.45657,0.89534,-25.26583
17.779687405,0.767214200000001,0.1229023,0.7424754,0.9962764,-0.1622986,0.1017335,-52.45657,0.89534,-25.26583
17.789684296,0.890280700000001,0.2416071,0.681504599999997,0.9954848,-0.1720287,0.102216,-52.45657,0.89534,-25.26583
17.799681663,1.382547,0.4790165,0.7424754,0.9890798,-0.1682545,0.1036619,-52.45657,0.89534,-25.26583
17.809679031,1.44408,0.5383689,0.925387699999998,0.9908097,-0.1565446,0.1050916,-52.45657,0.89534,-25.26583
17.819675922,0.951813900000003,0.3009594,1.1083,0.9875087,-0.162463,0.102706,-52.45827,0.8986092,-24.87883
