Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
62.705951214,-0.3403839,-2.904068,1.1083,0.911149,-0.213168,0.4613056,-58.42773,-4.796081,-18.24983
62.715948582,-0.709583300000001,-2.013783,2.205774,0.9058992,-0.2191381,0.4574877,-58.42773,-4.796081,-18.24983
62.725946426,-1.201849,-1.360907,2.937423,0.8825391,-0.2204838,0.4671003,-58.04314,-5.177438,-18.69652
62.735943794,-1.878715,-1.776374,3.059364,0.8616732,-0.2253397,0.4594807,-58.04314,-5.177438,-18.69652
62.745941162,-1.201849,-2.488602,2.388686,0.8380901,-0.2151544,0.455212,-58.04314,-5.177438,-18.69652
62.755939007,-0.4634504,-3.794354,1.352183,0.8467979,-0.2114623,0.4681174,-58.04314,-5.177438,-18.69652
62.765936375,-0.2788507,-4.565935,1.1083,0.8564794,-0.2077729,0.4786283,-58.04314,-5.177438,-18.69652
62.775933742,-0.03271778,-4.743992,1.230241,0.8692909,-0.2152729,0.4810008,-57.67627,-4.79427,-18.69577
62.785931587,0.5210813,-4.684639,0.986358399999998,0.8746396,-0.2146901,0.4800341,-57.67627,-4.79427,-18.69577
62.795928955,0.0903486900000002,-4.150468,1.352183,0.8875225,-0.1997126,0.4958008,-57.67627,-4.79427,-18.69577
62.805927277,-0.3403839,-3.022773,1.291212,0.8774515,-0.2080717,0.5068277,-57.67627,-4.79427,-18.69577
62.815924168,-0.3403839,-2.726011,0.681504599999997,0.8640781,-0.1967522,0.4982337,-57.67627,-4.79427,-18.69577
62.825921535,-0.4634504,-2.310545,0.1937385,0.8630388,-0.1934107,0.4939276,-58.05468,-4.789999,-17.86005
62.835919857,0.3980148,-2.013783,-0.3549984,0.8675199,-0.1987684,0.4829139,-58.05468,-4.789999,-17.86005
62.845916748,2.244012,-2.42925,-1.025677,0.8567094,-0.1942147,0.4728815,-58.05468,-4.789999,-17.86005
62.85591507,2.920877,-2.904068,-1.452472,0.8770596,-0.1879418,0.4771516,-58.05468,-4.789999,-17.86005
62.865912437,2.367078,-3.022773,-1.26956,0.8821612,-0.199915,0.4852815,-58.05468,-4.789999,-17.86005
62.875909805,2.120945,-2.42925,-1.26956,0.8983841,-0.207295,0.4933909,-58.05299,-4.793268,-18.24705
62.88590765,1.321013,-1.420259,-1.208589,0.8957865,-0.1985335,0.5005718,-58.05299,-4.793268,-18.24705
62.895905018,0.644147799999998,-0.589326100000003,-1.513443,0.8909501,-0.2006255,0.4948379,-58.05299,-4.793268,-18.24705
62.905902386,0.644147799999998,0.1229023,-1.696355,0.8830994,-0.1979351,0.4871937,-58.05299,-4.793268,-18.24705
62.91590023,0.3364816,0.3603118,-2.184121,0.8749219,-0.1777091,0.4848098,-58.05299,-4.793268,-18.24705
62.925897598,0.2749484,0.597721199999998,-2.488975,0.8759333,-0.179611,0.4872015,-58.05299,-4.793268,-18.24705
62.935895443,0.2749484,1.131893,-2.793829,0.8732041,-0.1898126,0.4934303,-58.05299,-4.793268,-18.24705
62.945892811,0.644147799999998,1.191245,-3.037712,0.8761201,-0.1891901,0.5020394,-58.05299,-4.793268,-18.24705
62.955890179,1.44408,1.784769,-3.464507,0.8692926,-0.188804,0.5058799,-58.05299,-4.793268,-18.24705
62.965888023,2.059412,1.666064,-3.769361,0.8620581,-0.1928607,0.5030221,-58.05299,-4.793268,-18.24705
