Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
61.138604641,-2.256374,-2.783932,0.1915974,0.9846213,-0.03389376,-0.08538593,-44.20893,-23.95444,41.0801
61.148464203,-1.945794,-3.021967,0.0689914200000002,0.9855517,-0.03975751,-0.09407427,-44.20893,-23.95444,41.0801
61.158323288,-1.759447,-2.843441,0.0689914200000002,0.9947605,-0.03921143,-0.0999513,-44.57668,-23.93854,41.91422
61.168182373,-1.014056,-2.545896,0.1302944,0.9898956,-0.04364111,-0.1018361,-44.57668,-23.93854,41.91422
61.178041935,-0.2065488,-2.545896,0.1302944,0.993301,-0.04703373,-0.1062261,-44.57668,-23.93854,41.91422
61.18790102,0.787305800000002,-2.248351,0.1302944,0.9924112,-0.04897009,-0.1014378,-44.57668,-23.93854,41.91422
61.197760582,2.526551,-2.188842,0.1915974,0.9870506,-0.05779999,-0.1076655,-44.57668,-23.93854,41.91422
61.207619667,4.390029,-2.069824,0.3142034,0.9910653,-0.05920115,-0.1015049,-44.2037,-24.31635,41.53197
61.217478752,5.694463,-1.712771,0.3142034,0.9879993,-0.0470588,-0.1004004,-44.2037,-24.31635,41.53197
61.227338314,6.19139099999999,-1.77228,0.3142034,0.9860516,-0.04560886,-0.09844357,-44.2037,-24.31635,41.53197
61.237197399,6.439854,-1.831789,0.3755064,0.9880847,-0.04215217,-0.08981778,-44.2037,-24.31635,41.53197
61.249521256,6.19139099999999,-1.653262,0.3755064,0.9915306,-0.04895085,-0.09423707,-44.2037,-24.31635,41.53197
61.259380817,5.75657900000002,-1.653262,0.4981124,0.9934335,-0.04553129,-0.09519373,-44.19772,-24.30477,42.36415
61.269239903,5.75657900000002,-1.355717,0.5594154,0.9915733,-0.04649753,-0.08894578,-44.19772,-24.30477,42.36415
61.279098988,5.88081099999999,-1.17719,0.4368094,0.9890172,-0.04655062,-0.09705619,-44.19772,-24.30477,42.36415
61.28895855,6.19139099999999,-1.355717,0.5594154,0.986118,-0.05340154,-0.1004271,-44.19772,-24.30477,42.36415
61.298817635,7.12312899999999,-1.117681,0.5594154,0.9884037,-0.04268457,-0.1027652,-44.19772,-24.30477,42.36415
61.308677197,7.68217200000001,-1.117681,0.682021400000003,0.9928511,-0.03823878,-0.09560309,-43.83398,-23.58437,41.5225
61.318536282,8.05486800000002,-0.879645599999998,0.804627399999999,0.9865667,-0.04559713,-0.09653401,-43.83398,-23.58437,41.5225
61.328395367,8.30333200000001,-0.820136700000001,0.743324399999998,0.9938214,-0.0392089,-0.0970627,-43.83398,-23.58437,41.5225
61.338254929,7.930636,-0.820136700000001,0.620718400000002,0.9924092,-0.03285916,-0.08740499,-43.83398,-23.58437,41.5225
61.348114014,7.06101299999998,-0.641609900000002,0.927233400000001,0.9873347,-0.02514295,-0.09397634,-43.83398,-23.58437,41.5225
61.357973576,5.75657900000002,-0.820136700000001,0.927233400000001,0.9875451,-0.0368004,-0.08880652,-44.57622,-23.93765,41.97823
61.367832661,4.452145,-0.820136700000001,0.988536299999999,0.9899124,-0.03680116,-0.09459066,-44.57622,-23.93765,41.97823
61.377691746,4.265797,-0.582100999999999,0.682021400000003,0.9893589,-0.03633559,-0.09889164,-44.57622,-23.93765,41.97823
61.387551308,3.955218,-0.5225921,0.8659304,0.9879212,-0.04268702,-0.1022791,-44.57622,-23.93765,41.97823
61.397410393,4.203681,-0.1655384,0.5594154,0.9879791,-0.04315875,-0.09845036,-44.57622,-23.93765,41.97823
61.407269478,4.576376,-0.3440652,0.620718400000002,0.9855885,-0.04560573,-0.09652014,-44.58023,-23.20136,41.97069
61.417129517,4.700608,-0.2250474,0.5594154,0.9859172,-0.03100037,-0.09544317,-44.58023,-23.20136,41.97069
61.429453373,3.582522,0.01298836,0.3755064,0.983307,-0.01935144,-0.09722446,-44.58023,-23.20136,41.97069
61.439312935,2.153856,-0.1060295,0.1915974,0.9828802,-0.02129092,-0.09435954,-44.58023,-23.20136,41.97069
61.44917202,0.5388422,0.07249729,0.3755064,0.9845028,-0.02611593,-0.08723539,-44.58023,-23.20136,41.97069
61.459031582,-0.4550124,-0.1655384,0.620718400000002,0.982495,-0.03444768,-0.09829868,-44.2045,-23.57382,41.97253
61.468890667,-1.076172,-0.04652058,0.743324399999998,0.98856,-0.04703407,-0.09513695,-44.2045,-23.57382,41.97253
61.478749752,-0.641360199999998,0.01298836,0.620718400000002,0.9909425,-0.04556581,-0.09851291,-44.2045,-23.57382,41.97253
61.488609314,-0.2686647,-0.04652058,0.3755064,0.9908962,-0.04606725,-0.1023501,-44.2045,-23.57382,41.97253
61.498468399,-0.2065488,0.07249729,0.3755064,0.9934479,-0.04894477,-0.09713954,-44.2045,-23.57382,41.97253
61.508327961,0.4146104,0.01298836,0.4981124,0.9914734,-0.04799069,-0.09758255,-44.58023,-23.20136,41.97069
61.518187046,0.4146104,0.01298836,0.3755064,0.9890498,-0.04654133,-0.09466057,-44.58023,-23.20136,41.97069
61.528046131,0.4146104,-0.1060295,0.2529004,0.9865241,-0.03926232,-0.09408395,-44.58023,-23.20136,41.97069
61.537905693,0.1040308,0.01298836,0.3142034,0.9870168,-0.04120991,-0.09554501,-44.58023,-23.20136,41.97069
61.547764778,-0.5171283,0.01298836,0.3755064,0.9913629,-0.03923414,-0.09798627,-44.58023,-23.20136,41.97069
61.557623863,-0.579244300000001,0.1915152,0.682021400000003,0.9889919,-0.04606961,-0.09848936,-44.94919,-23.55984,42.36047
61.567483425,-0.0823169599999999,0.07249729,0.3755064,0.9944166,-0.05089176,-0.09956577,-44.94919,-23.55984,42.36047
61.57734251,0.725189899999998,0.01298836,0.3755064,0.9890295,-0.0514294,-0.1004519,-44.94919,-23.55984,42.36047
61.587202072,1.284233,0.2510241,0.4368094,0.9861282,-0.05095751,-0.0975314,-44.94919,-23.55984,42.36047
61.599526405,1.781161,-0.1060295,0.4368094,0.9880839,-0.04703467,-0.09417178,-44.94919,-23.55984,42.36047
61.609385967,1.594813,0.01298836,0.3755064,0.9870616,-0.04168534,-0.09267446,-44.2065,-23.20567,41.96875
61.619245052,0.973653600000002,-0.1655384,0.3755064,0.9880854,-0.04166373,-0.08933447,-44.2065,-23.20567,41.96875
61.629104137,0.1040308,-0.1655384,0.3142034,0.9890476,-0.04361258,-0.09223983,-44.2065,-23.20567,41.96875
61.638963699,-0.641360199999998,-0.4035742,0.4368094,0.9914997,-0.03919514,-0.0879247,-44.2065,-23.20567,41.96875
61.648822784,-1.076172,-0.2845563,0.3755064,0.9910409,-0.04504953,-0.09084277,-44.2065,-23.20567,41.96875
61.658682346,-0.827707900000002,-0.1655384,0.3755064,0.9841379,-0.04756682,-0.09699522,-44.57948,-22.82787,42.351
61.668541431,-0.2065488,-0.2845563,0.3142034,0.9890107,-0.05094654,-0.101406,-44.57948,-22.82787,42.351
61.678400516,0.1040308,-0.4035742,0.2529004,0.9875926,-0.04850427,-0.09561477,-44.57948,-22.82787,42.351
61.688260078,0.3524944,-0.2250474,0.3142034,0.9840838,-0.04025886,-0.09453677,-44.57948,-22.82787,42.351
61.698119163,0.2282626,-0.3440652,0.1302944,0.9840533,-0.0431969,-0.09935313,-44.57948,-22.82787,42.351
61.707978725,0.04191487,-0.3440652,0.1302944,0.9855778,-0.03975008,-0.09215778,-43.45306,-23.20272,42.79707
61.71783781,-0.1444329,-0.4035742,0.0689914200000002,0.9920183,-0.04552935,-0.09133995,-43.45306,-23.20272,42.79707
61.727696896,0.1040308,-0.2845563,0.1302944,0.99338,-0.04212896,-0.09612264,-43.45306,-23.20272,42.79707
61.737556457,0.1661467,-0.3440652,0.3142034,0.9920363,-0.05089471,-0.09473988,-43.45306,-23.20272,42.79707
61.747415543,0.1661467,-0.3440652,0.0689914200000002,0.9904635,-0.04312609,-0.0956103,-43.45306,-23.20272,42.79707
61.757274628,-0.02020105,-0.4630831,0.3142034,0.9876057,-0.0441065,-0.09078585,-43.828,-23.57279,42.35468
61.76713419,-0.4550124,-0.5225921,0.0689914200000002,0.9909787,-0.04311435,-0.09370074,-43.828,-23.57279,42.35468
61.779458046,-0.3307806,-0.2250474,0.3142034,0.9895873,-0.04896435,-0.09325108,-43.828,-23.57279,42.35468
61.789317131,-0.1444329,-0.1655384,0.3142034,0.9880325,-0.05095515,-0.1013921,-43.828,-23.57279,42.35468
61.799176693,0.5388422,-0.3440652,0.1302944,0.9895352,-0.0489792,-0.09708406,-43.828,-23.57279,42.35468
61.809035778,0.787305800000002,-0.2845563,0.3142034,0.9870124,-0.04414051,-0.09844487,-44.20696,-23.20656,41.90474
61.81889534,0.663074000000001,-0.3440652,0.3755064,0.9904946,-0.04409368,-0.09418131,-44.20696,-23.20656,41.90474
61.828754902,0.4767263,-0.4035742,0.1302944,0.9845468,-0.04026198,-0.09646019,-44.20696,-23.20656,41.90474
61.838614464,0.2282626,-0.2845563,0.1915974,0.9845952,-0.0426893,-0.09504378,-44.20696,-23.20656,41.90474
61.848473549,-0.02020105,-0.2845563,0.1915974,0.9910126,-0.04652226,-0.09420919,-44.20696,-23.20656,41.90474
61.858333111,-0.2686647,-0.4035742,0.1915974,0.9920002,-0.04455805,-0.09181069,-43.83202,-22.8365,42.34713
61.868192196,-0.641360199999998,-0.4630831,0.2529004,0.9846885,-0.04559206,-0.09075681,-43.83202,-22.8365,42.34713
61.878051281,-0.765591999999998,-0.4630831,0.3755064,0.9840758,-0.04123759,-0.09598251,-43.83202,-22.8365,42.34713
61.887910843,-0.827707900000002,-0.5225921,0.1915974,0.9856203,-0.04608488,-0.09460784,-43.83202,-22.8365,42.34713
61.897769928,-0.641360199999998,-0.760627799999999,0.1915974,0.9875037,-0.04267091,-0.09700187,-43.83202,-22.8365,42.34713
61.907629013,-0.2686647,-0.820136700000001,0.3142034,0.9865268,-0.0460967,-0.09989206,-44.58023,-23.20136,41.97069
61.917488575,-0.0823169599999999,-0.820136700000001,0.3142034,0.9835671,-0.04564152,-0.1012836,-44.58023,-23.20136,41.97069
61.92734766,0.04191487,-0.760627799999999,0.620718400000002,0.9875782,-0.0450908,-0.09366896,-44.58023,-23.20136,41.97069
61.937207222,-0.0823169599999999,-0.701118900000002,0.3755064,0.9909316,-0.04410422,-0.09802122,-44.58023,-23.20136,41.97069
61.949531078,-0.0823169599999999,-0.5225921,0.4368094,0.9904085,-0.04509468,-0.1013765,-44.58023,-23.20136,41.97069
61.959390163,-0.1444329,-0.582100999999999,0.4368094,0.9904411,-0.0450854,-0.0989809,-43.46306,-22.47801,41.95735
61.969249725,-0.2065488,-0.582100999999999,0.2529004,0.9909605,-0.04653711,-0.09804217,-43.46306,-22.47801,41.95735
61.97910881,-0.0823169599999999,-0.4630831,0.1915974,0.9870659,-0.04754285,-0.09751595,-43.46306,-22.47801,41.95735
61.988967896,0.1040308,-0.3440652,0.1915974,0.9845286,-0.04368474,-0.1008016,-43.46306,-22.47801,41.95735
61.998827457,-0.0823169599999999,-0.5225921,0.0689914200000002,0.9900106,-0.04507299,-0.09466188,-43.46306,-22.47801,41.95735
62.008686543,-0.2065488,-0.4630831,0.2529004,0.9893856,-0.04023379,-0.1003625,-44.57546,-23.56416,42.35854
62.018546104,-0.641360199999998,-0.3440652,0.1302944,0.9845915,-0.04513148,-0.09746034,-44.57546,-23.56416,42.35854
62.02840519,-1.138287,-0.4035742,0.1915974,0.9885802,-0.04214601,-0.08934559,-44.57546,-23.56416,42.35854
62.038265228,-1.510983,-0.5225921,0.4981124,0.9869843,-0.04121919,-0.09794061,-44.57546,-23.56416,42.35854
62.048124313,-1.510983,-0.4630831,0.2529004,0.9903687,-0.04559426,-0.1047346,-44.57546,-23.56416,42.35854
62.057983875,-1.386751,-0.4630831,0.3142034,0.9904382,-0.04703914,-0.1009142,-44.2065,-23.20567,41.96875
62.06784296,-1.262519,-0.4630831,0.2529004,0.9910067,-0.0548238,-0.1019464,-44.2065,-23.20567,41.96875
62.077702045,-1.076172,-0.4035742,0.2529004,0.9870536,-0.04705813,-0.09799088,-44.2065,-23.20567,41.96875
62.087561607,-1.510983,-0.5225921,0.007688423,0.9816107,-0.04565874,-0.1012559,-44.2065,-23.20567,41.96875
62.097420692,-2.00791,-0.641609900000002,0.0689914200000002,0.9816317,-0.0446763,-0.0988519,-44.2065,-23.20567,41.96875
62.107279778,-2.256374,-0.5225921,0.1302944,0.9865862,-0.04998562,-0.09896732,-44.58023,-23.20136,41.97069
62.117139339,-2.256374,-0.582100999999999,0.1302944,0.9889196,-0.04657847,-0.104243,-44.58023,-23.20136,41.97069
62.129463196,-1.759447,-0.760627799999999,0.1915974,0.9880831,-0.05191716,-0.09852576,-44.58023,-23.20136,41.97069
62.139322281,-1.386751,-0.641609900000002,0.0689914200000002,0.9924806,-0.04602091,-0.09374668,-44.58023,-23.20136,41.97069
62.149181843,-1.324635,-0.701118900000002,0.0689914200000002,0.9836278,-0.04415951,-0.0955216,-44.58023,-23.20136,41.97069
62.159040928,-0.827707900000002,-0.641609900000002,0.0689914200000002,0.9840308,-0.04515621,-0.1027237,-44.57948,-22.82787,42.351
62.16890049,-0.951939799999999,-0.5225921,0.007688423,0.9933959,-0.04456557,-0.09710184,-44.57948,-22.82787,42.351
62.178759575,-1.200403,-0.5225921,0.007688423,0.9871361,-0.0484993,-0.09321222,-44.57948,-22.82787,42.351
62.18861866,-1.076172,-0.582100999999999,0.007688423,0.9885859,-0.05142071,-0.09709114,-44.57948,-22.82787,42.351
62.198478222,-1.076172,-0.4630831,0.0689914200000002,0.9884349,-0.04365216,-0.1013362,-44.57948,-22.82787,42.351
62.208337307,-0.951939799999999,-0.2845563,-0.05361458,0.9864748,-0.05050561,-0.1075957,-44.20374,-23.20033,42.35284
62.218196869,-0.765591999999998,-0.2250474,-0.05361458,0.9869602,-0.04854943,-0.1061485,-44.20374,-23.20033,42.35284
62.228055954,-0.4550124,0.07249729,-0.1762206,0.9884146,-0.04414617,-0.1032569,-44.20374,-23.20033,42.35284
62.237915993,-0.703476100000001,0.01298836,-0.05361458,0.9928344,-0.04507873,-0.1028486,-44.20374,-23.20033,42.35284
62.247775078,-1.014056,0.07249729,-0.1149176,0.9855971,-0.04853263,-0.09846176,-44.20374,-23.20033,42.35284
62.257634163,-0.951939799999999,0.2510241,0.1915974,0.9865515,-0.04267208,-0.09507151,-44.58224,-22.83321,41.96692
62.267493725,-0.827707900000002,0.310533,-0.05361458,0.9889919,-0.04606961,-0.09848936,-44.58224,-22.83321,41.96692
62.27735281,-0.765591999999998,0.4295509,-0.05361458,0.9879066,-0.04806167,-0.1080747,-44.58224,-22.83321,41.96692
62.287212372,-0.2686647,0.310533,-0.2375236,0.9924401,-0.04700892,-0.09758804,-44.58224,-22.83321,41.96692
62.299536228,0.04191487,0.5485688,0.0689914200000002,0.9850698,-0.04805964,-0.1008463,-44.58224,-22.83321,41.96692
62.309395313,-0.0823169599999999,0.310533,-0.1149176,0.9810883,-0.04616076,-0.1041279,-43.83001,-23.20465,42.35091
62.319254875,-0.02020105,0.370042,0.1302944,0.9874725,-0.04609738,-0.1023015,-43.83001,-23.20465,42.35091
62.32911396,-0.02020105,0.310533,-0.05361458,0.9898913,-0.04217765,-0.1008653,-43.83001,-23.20465,42.35091
62.338973045,0.04191487,0.310533,-0.05361458,0.9879681,-0.04609121,-0.1018293,-43.83001,-23.20465,42.35091
62.348832607,0.3524944,0.4890598,-0.05361458,0.9879204,-0.04756952,-0.1066331,-43.83001,-23.20465,42.35091
62.358691692,0.849421699999999,0.4890598,-0.05361458,0.9919329,-0.04604192,-0.09805185,-44.20374,-23.20033,42.35284
62.368551254,1.03577,0.5485688,-0.1149176,0.9855024,-0.04660674,-0.1037154,-44.20374,-23.20033,42.35284
62.378410339,0.849421699999999,0.4890598,-0.1149176,0.983518,-0.03930857,-0.09931269,-44.20374,-23.20033,42.35284
62.388269425,0.4767263,0.667586600000001,0.0689914200000002,0.9889318,-0.04706319,-0.1037681,-44.20374,-23.20033,42.35284
62.398128986,0.2282626,0.608077699999999,0.007688423,0.9894658,-0.04314026,-0.0970338,-44.20374,-23.20033,42.35284
62.407988072,0.1040308,0.608077699999999,0.1302944,0.9870355,-0.05048089,-0.1023323,-43.83478,-22.84184,41.96305
62.417847157,0.4146104,0.370042,0.007688423,0.9913873,-0.05338576,-0.1086484,-43.83478,-22.84184,41.96305
62.427706719,0.725189899999998,0.4295509,0.007688423,0.9895077,-0.0499635,-0.09996717,-43.83478,-22.84184,41.96305
62.437566757,0.787305800000002,0.1320062,-0.05361458,0.9855299,-0.04562244,-0.1008322,-43.83478,-22.84184,41.96305
62.447425842,0.4767263,0.1915152,-0.05361458,0.9884979,-0.04070485,-0.09412426,-43.83478,-22.84184,41.96305
62.457284927,-0.0823169599999999,0.01298836,-0.1149176,0.9884739,-0.04364102,-0.09846149,-44.57546,-23.56416,42.35854
62.467144489,-0.3307806,0.01298836,-0.1762206,0.9845091,-0.04369031,-0.102239,-44.57546,-23.56416,42.35854
62.479468346,-0.2686647,0.01298836,-0.1149176,0.9933133,-0.04751845,-0.1057512,-44.57546,-23.56416,42.35854
