Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.843845367,-0.02020105,6.32093599999998,0.4368094,1.008156,0.02106338,0.1102558,-34.51677,-38.19003,27.15351
19.853704929,0.3524944,15.24728,4.789322,1.007009,0.02588899,0.1021665,-34.51677,-38.19003,27.15351
19.863564014,-0.0823169599999999,24.47116,7.67056300000001,1.037087,-0.01186097,0.08608486,-34.51677,-38.19003,27.15351
19.873423576,0.600958099999998,32.80241,10.67441,1.050795,-0.002460175,0.09507361,-34.51677,-38.19003,27.15351
19.883282661,1.346349,41.07415,14.5978,1.04225,0.004724476,0.08471363,-34.51677,-38.19003,27.15351
19.89314127,1.594813,48.86982,18.21468,1.044504,0.02031465,0.08433387,-34.89172,-38.5601,26.71112
19.903000355,0.911537699999999,57.02255,21.15722,1.036099,0.01630986,0.07435668,-34.89172,-38.5601,26.71112
19.912859917,-0.3928965,64.9372300000001,23.48674,1.042588,0.003220771,0.07223695,-34.89172,-38.5601,26.71112
19.922719002,-0.4550124,72.7329100000001,26.12277,1.058975,-0.01414286,0.07473205,-34.89172,-38.5601,26.71112
19.932578087,0.725189899999998,80.5880900000002,28.69749,1.080836,-0.03387347,0.08192115,-34.89172,-38.5601,26.71112
19.942436695,1.843277,88.3242499999999,32.13046,1.11727,-0.04617998,0.08800681,-34.90167,-38.95141,25.05053
19.952296257,2.961363,96.17943,35.50212,1.155712,-0.05015475,0.1051558,-34.90167,-38.95141,25.05053
19.964620113,5.75657900000002,105.8199,41.87764,1.167236,-0.01886586,0.1167563,-34.90167,-38.95141,25.05053
19.974479198,6.50197000000002,112.9014,44.69757,1.186958,-0.02206631,0.1250739,-34.90167,-38.95141,25.05053
19.98433876,6.93678100000001,120.3401,47.70142,1.192571,-0.03122867,0.1340213,-36.79675,-37.49288,22.48455
19.994197845,6.56408599999997,127.5406,50.03093,1.219129,-0.02411915,0.1504748,-36.79675,-37.49288,22.48455
20.004056454,4.949072,135.1578,53.27999,1.211535,-0.0003339512,0.1527005,-36.79675,-37.49288,22.48455
20.013916016,3.396174,141.0492,55.4869,1.2544,0.01380027,0.1871904,-36.79675,-37.49288,22.48455
20.023775101,0.5388422,148.3688,58.0003200000001,1.282819,0.01845884,0.1944919,-36.79675,-37.49288,22.48455
20.033634186,-2.939649,155.7479,59.4716,1.313383,0.0100063,0.2040481,-39.43884,-36.02482,19.98645
20.043493748,-5.98332900000001,161.7583,60.6976500000002,1.349334,-0.02413801,0.2272076,-39.43884,-36.02482,19.98645
20.053352356,-7.47411100000001,168.7803,62.7206499999999,1.361157,-0.0537921,0.2071416,-39.43884,-36.02482,19.98645
20.063211441,-5.486402,173.303,64.8662600000002,1.370698,-0.07951568,0.2024758,-39.43884,-36.02482,19.98645
20.073071003,-2.691185,177.6472,67.3796799999998,1.385,-0.07008088,0.2191235,-39.43884,-36.02482,19.98645
20.082930088,0.2282626,182.5269,69.8318000000002,1.388537,-0.0511126,0.2082116,-39.43884,-36.02482,19.98645
20.092789173,0.911537699999999,185.4428,71.3030699999998,1.406427,-0.02304814,0.2532382,-42.47827,-34.22617,14.47786
20.102647781,-1.014056,190.263,71.8547999999999,1.429832,-0.008567952,0.2961548,-42.47827,-34.22617,14.47786
20.112507343,-4.865242,194.6072,71.9774000000002,1.45368,-0.01264956,0.3192612,-42.47827,-34.22617,14.47786
20.122366428,-7.28776300000003,198.6538,73.1421600000002,1.447814,-0.0195356,0.3135363,-42.47827,-34.22617,14.47786
20.134690285,-6.977184,200.7366,74.67474,1.44099,-0.02544779,0.3102293,-45.51926,-32.05848,9.02952
20.144549847,-6.79083600000002,202.1648,75.5329699999999,1.436247,-0.01812532,0.3276099,-45.51926,-32.05848,9.02952
20.154408932,-7.90892299999997,203.7121,76.0234000000002,1.447544,-0.01605958,0.3327375,-45.51926,-32.05848,9.02952
20.16426754,-10.82837,205.0808,76.4525200000003,1.438922,-0.02536162,0.338053,-45.51926,-32.05848,9.02952
20.174126625,-13.31301,205.7949,77.2494600000001,1.422781,-0.03966272,0.3257033,-45.51926,-32.05848,9.02952
20.183986187,-14.49321,205.6759,78.2916100000001,1.394223,-0.04910782,0.3399273,-47.08379,-28.82768,1.833764
20.193845272,-14.74167,205.2593,79.4563700000002,1.372545,-0.05848338,0.3564499,-47.08379,-28.82768,1.833764
20.203704834,-15.17648,205.0213,80.4985200000003,1.343587,-0.06937211,0.3759387,-47.08379,-28.82768,1.833764
20.213563442,-14.61744,204.1881,81.4793699999999,1.317335,-0.08567091,0.3737794,-47.08379,-28.82768,1.833764
20.223422527,-13.18878,202.4029,82.0311,1.309113,-0.1055997,0.3991259,-47.08379,-28.82768,1.833764
20.233281612,-11.51165,201.8078,82.5828199999998,1.300522,-0.1372162,0.4229415,-48.96096,-25.96766,-5.804708
20.243141174,-9.08912500000002,201.0342,83.44106,1.293493,-0.1702573,0.4524732,-48.96096,-25.96766,-5.804708
20.253000259,-6.04544500000002,199.9035,84.1767,1.280135,-0.1888344,0.4611324,-48.96096,-25.96766,-5.804708
20.262858868,-2.629069,198.7133,84.6058200000001,1.257847,-0.1836021,0.4816206,-48.96096,-25.96766,-5.804708
20.272717953,0.600958099999998,196.5115,83.9927900000001,1.238989,-0.1436737,0.5330215,-48.96096,-25.96766,-5.804708
20.282577515,-0.1444329,196.452,81.78588,1.219055,-0.1120815,0.5699914,-47.60162,-22.09572,-13.02251
20.2924366,-3.622924,196.8685,79.0272500000001,1.192261,-0.1196113,0.5717474,-47.60162,-22.09572,-13.02251
20.304760456,-5.175822,195.6784,76.94295,1.125729,-0.1963648,0.5044807,-47.60162,-22.09572,-13.02251
20.314620018,1.03577,189.787,77.1881600000002,1.047923,-0.2458834,0.4596478,-47.60162,-22.09572,-13.02251
20.324478626,10.66374,181.4557,76.5138200000001,0.9853964,-0.2429949,0.4691889,-47.60162,-22.09572,-13.02251
20.334337711,20.10535,175.5048,74.7360399999998,0.9493684,-0.207761,0.4771878,-46.18107,-18.53664,-20.62157
20.344197273,26.19271,169.7325,72.4065199999997,0.8864583,-0.1528768,0.4684843,-46.18107,-18.53664,-20.62157
