Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
218.11,1.540483,0.4863069,0.5611023,0.9866052,-0.1179264,-0.04970424,-51.6699,-5.23195,31.06734
218.12,1.478367,0.4863069,0.745011200000001,0.9841923,-0.1223327,-0.05114463,-51.6699,-5.23195,31.06734
218.13,1.851063,0.605324800000002,0.622405199999999,0.9867231,-0.1217986,-0.0444674,-51.6699,-5.23195,31.06734
218.14,1.602599,0.4863069,0.745011200000001,0.9871182,-0.1149859,-0.04537394,-51.67065,-5.605443,30.68703
218.15,1.167788,0.426798,0.745011200000001,0.985104,-0.1145314,-0.04917499,-51.67065,-5.605443,30.68703
218.16,1.043556,0.426798,0.683708299999997,0.9779022,-0.1204164,-0.04433001,-51.67065,-5.605443,30.68703
218.17,0.4845127,0.3077801,0.928920100000001,0.9870951,-0.1130396,-0.04535718,-51.67065,-5.605443,30.68703
218.18,0.732976400000002,0.2482712,0.867617199999997,0.987163,-0.1198554,-0.04637407,-51.67065,-5.605443,30.68703
218.19,0.919324200000003,-0.04927347,0.990223100000002,0.9867224,-0.122287,-0.04495071,-52.04363,-5.227634,31.06927
218.2,1.229904,-0.1087824,0.990223100000002,0.9851495,-0.1189125,-0.04969181,-52.04363,-5.227634,31.06927
218.21,1.105672,-0.2873092,1.174132,0.9857305,-0.1183937,-0.04250772,-52.04363,-5.227634,31.06927
218.22,1.043556,-0.3468181,1.112829,0.985732,-0.1174169,-0.0415411,-52.04363,-5.227634,31.06927
218.23,1.105672,-0.4063271,1.235435,0.9871724,-0.1222939,-0.04783238,-52.04363,-5.227634,31.06927
218.24,1.167788,-0.584853900000002,1.051526,0.9836816,-0.1194138,-0.05015432,-52.04408,-4.54646,31.51046
218.25,1.29202,-0.644362900000002,1.296738,0.9891483,-0.1222711,-0.04642275,-52.04408,-4.54646,31.51046
218.26,1.29202,-0.703871799999999,1.235435,0.9865922,-0.1179301,-0.05066248,-52.04408,-4.54646,31.51046
218.27,1.167788,-0.644362900000002,1.051526,0.9836875,-0.1155063,-0.04628783,-52.04408,-4.54646,31.51046
218.28,1.167788,-0.703871799999999,1.112829,0.9862224,-0.1208298,-0.04445209,-52.04408,-4.54646,31.51046
218.29,0.919324200000003,-0.703871799999999,1.051526,0.9846517,-0.1203839,-0.05161393,-52.04932,-4.184549,31.05859
218.3,1.229904,-0.822889599999998,1.051526,0.9851654,-0.1257431,-0.05454168,-52.04932,-4.184549,31.05859
218.31,0.919324200000003,-0.703871799999999,1.051526,0.9861204,-0.1237882,-0.05453879,-52.04932,-4.184549,31.05859
218.32,0.732976400000002,-0.763380700000001,1.174132,0.9837011,-0.1194083,-0.04871695,-52.04932,-4.184549,31.05859
218.33,0.1118173,-0.465836,1.051526,0.9920003,-0.1208041,-0.05124301,-52.04932,-4.184549,31.05859
218.34,0.1739332,-0.4063271,1.051526,0.9900903,-0.129108,-0.05511946,-52.04639,-5.23298,30.68519
218.35,0.4845127,-0.465836,0.806314200000002,0.9841229,-0.1208878,-0.05496504,-52.04639,-5.23298,30.68519
218.36,0.608744600000002,-0.465836,1.051526,0.9871889,-0.1286361,-0.05219893,-52.04639,-5.23298,30.68519
218.37,0.732976400000002,-0.4063271,0.990223100000002,0.9837242,-0.1257486,-0.05260438,-52.04639,-5.23298,30.68519
218.38,0.732976400000002,-0.4063271,1.174132,0.9803244,-0.1184485,-0.04434793,-52.04639,-5.23298,30.68519
218.39,0.608744600000002,-0.584853900000002,1.112829,0.982207,-0.119917,-0.05109595,-51.29784,-4.929477,31.06227
218.4,0.919324200000003,-0.584853900000002,1.051526,0.9817903,-0.1194125,-0.04533536,-51.29784,-4.929477,31.06227
218.41,0.5466287,-0.882398599999998,1.051526,0.9798295,-0.1223603,-0.04820749,-51.29784,-4.929477,31.06227
218.42,0.4845127,-1.001416,0.990223100000002,0.9841923,-0.1223327,-0.05114463,-51.29784,-4.929477,31.06227
218.43,0.5466287,-1.239452,1.051526,0.9856972,-0.1232855,-0.04925732,-51.29784,-4.929477,31.06227
218.44,0.2360491,-1.179943,0.990223100000002,0.98474,-0.1267057,-0.05071014,-52.05006,-4.558042,30.67828
218.45,0.298165,-1.179943,0.806314200000002,0.9867751,-0.1305719,-0.04837578,-52.05006,-4.558042,30.67828
218.46,0.298165,-1.35847,0.806314200000002,0.9814088,-0.1345211,-0.05072862,-52.05006,-4.558042,30.67828
