Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
13.013978481,8.92449099999999,14.29513,-2.199219,1.090298,0.0235143,0.1805065,-45.33497,-31.57761,34.76181
13.023835659,7.86851999999999,25.00674,-0.6666446,1.112146,0.03404996,0.2133488,-45.33497,-31.57761,34.76181
13.033693314,6.31562199999998,36.55148,1.049839,1.141837,0.05247131,0.2542922,-45.32823,-31.19254,35.9743
13.043550491,4.079449,49.52442,2.337202,1.170397,0.07279322,0.2856838,-45.32823,-31.19254,35.9743
13.053407669,2.029624,62.3188399999998,3.563262,1.182464,0.1050781,0.3020771,-45.32823,-31.19254,35.9743
13.063264847,-1.138287,75.3512999999998,4.237596,1.212687,0.1253337,0.3118805,-45.32823,-31.19254,35.9743
13.073122025,-5.36217,88.6218,4.973231,1.226001,0.1360866,0.2930927,-45.32823,-31.19254,35.9743
13.095301151,-17.84747,113.7346,5.402352,1.265914,0.06852104,0.2186361,-45.72145,-30.85393,33.53994
13.102694035,-16.17034,121.2327,5.218443,1.29226,0.02200052,0.208284,-45.72145,-30.85393,33.53994
13.112551212,-11.26318,130.9922,4.54411,1.325026,-0.0438405,0.2211581,-45.72145,-30.85393,33.53994
13.12240839,-3.498692,141.7038,4.728019,1.329808,-0.08568092,0.2121113,-45.72145,-30.85393,33.53994
13.134730339,4.576376,153.1295,5.95407899999997,1.332299,-0.08125234,0.2193012,-46.13086,-32.40684,27.47564
13.144587517,8.92449099999999,161.1632,7.91577499999999,1.356364,-0.06698947,0.2027858,-46.13086,-32.40684,27.47564
13.154445171,14.76339,168.0067,8.89662299999997,1.365543,-0.04692271,0.2119291,-46.13086,-32.40684,27.47564
13.164302349,19.42208,175.9214,8.71271399999999,1.400519,-0.03629311,0.2388347,-46.13086,-32.40684,27.47564
13.174159527,26.19271,182.8839,8.83531999999998,1.405534,0.00270836,0.2462803,-46.13086,-32.40684,27.47564
13.184016705,27.86984,187.8827,8.03838099999998,1.420859,0.04305813,0.3293039,-47.29497,-33.22107,20.95957
13.193873882,22.52788,196.452,6.50580599999999,1.462256,0.05278539,0.359944,-47.29497,-33.22107,20.95957
13.203731537,17.99341,204.1286,7.60926000000002,1.465531,0.08401966,0.3764537,-47.29497,-33.22107,20.95957
13.213588715,6.31562199999998,212.936,8.03838099999998,1.502589,0.09540872,0.3415193,-47.29497,-33.22107,20.95957
13.223445892,-1.448867,220.1365,10.67441,1.514647,0.09484467,0.2924643,-47.29497,-33.22107,20.95957
13.23330307,-0.641360199999998,223.9451,13.12653,1.524965,0.09592494,0.2966392,-46.98616,-32.23498,12.75256
13.243160248,-1.200403,226.623,13.80086,1.608597,0.07558398,0.3844066,-46.98616,-32.23498,12.75256
13.253017902,-3.37446,233.3475,13.24914,1.662063,0.07135019,0.4267368,-46.98616,-32.23498,12.75256
13.26287508,-5.300054,239.596,13.98477,1.636868,0.08632912,0.4578911,-46.98616,-32.23498,12.75256
13.272732258,-16.04611,247.2726,11.71656,1.594979,0.07087315,0.4578785,-46.98616,-32.23498,12.75256
13.282589436,-19.89729,252.2119,12.32959,1.539845,0.04853717,0.3415511,-47.05212,-31.99067,3.850871
13.292446613,-9.33758799999999,250.1886,12.08438,1.532,0.01553389,0.3830747,-47.05212,-31.99067,3.850871
13.304768086,-3.933504,251.5573,11.83917,1.614983,0.004907208,0.4675791,-47.05212,-31.99067,3.850871
13.314625263,0.725189899999998,253.6401,10.73571,1.646522,0.02415613,0.4653752,-47.05212,-31.99067,3.850871
13.324482441,1.905392,254.4732,9.50965299999998,1.646959,0.05428061,0.4522056,-47.05212,-31.99067,3.850871
13.334340096,1.594813,252.5689,9.01922900000002,1.592742,0.07405833,0.4042669,-46.00459,-31.03015,-5.576266
13.344197273,1.284233,248.0462,8.34489499999999,1.492108,0.05660567,0.3998035,-46.00459,-31.03015,-5.576266
13.354054451,-2.753301,242.1548,7.36404799999998,1.374007,0.02452636,0.4290096,-46.00459,-31.03015,-5.576266
13.363911629,-7.28776300000003,235.2518,7.54795700000002,1.242001,0.0549775,0.426356,-46.00459,-31.03015,-5.576266
13.373768807,-15.42495,230.015,5.95407899999997,1.15905,0.07844216,0.3913171,-46.00459,-31.03015,-5.576266
13.383626461,-11.26318,223.2905,4.850626,1.090186,0.03755821,0.2922801,-42.76653,-30.81862,-14.11093
13.393483639,-5.175822,215.0783,2.030687,1.01555,-0.02846712,0.2501378,-42.76653,-30.81862,-14.11093
13.403340817,2.278088,204.2477,0.1915974,0.9298285,-0.07319812,0.2030622,-42.76653,-30.81862,-14.11093
13.413197994,15.26031,189.3109,-1.647493,0.8476068,-0.09235428,0.219886,-42.76653,-30.81862,-14.11093
13.423055172,14.88762,177.6472,-3.118764,0.7832541,-0.03845236,0.2121532,-42.76653,-30.81862,-14.11093
13.432912827,15.32243,165.5668,-1.157069,0.6713743,0.05672484,0.1637559,-38.71243,-30.23226,-21.50131
13.442770004,14.88762,155.0338,-1.218372,0.5358787,0.07785072,0.148135,-38.71243,-30.23226,-21.50131
13.452627182,10.85008,144.0246,-1.892705,0.4731799,0.03466166,0.06863778,-38.71243,-30.23226,-21.50131
13.46248436,16.3784,131.4087,-1.034463,0.4154439,0.01350637,0.01369498,-38.71243,-30.23226,-21.50131
13.474806309,22.40364,115.2818,-1.402281,0.3450134,0.09317314,0.01345433,-38.71243,-30.23226,-21.50131
13.484663487,15.38455,104.6892,-2.444432,0.2978717,0.1651814,-0.007788451,-33.95046,-29.98187,-26.01084
13.494520664,7.74428800000002,95.0487600000003,-3.057462,0.218529,0.1423473,-0.07010465,-33.95046,-29.98187,-26.01084
13.504377365,2.588667,82.9089400000001,-2.015311,0.1734173,0.03136128,-0.1034631,-33.95046,-29.98187,-26.01084
13.521627903,5.81869499999997,59.2838899999999,-2.015311,0.1476517,-0.1148848,-0.1124765,-33.95046,-29.98187,-26.01084
13.524092198,6.68831799999999,55.89188,-2.137917,0.1403833,-0.1173712,-0.1095187,-33.95046,-29.98187,-26.01084
13.533949375,8.551796,42.85942,-2.137917,0.1313383,-0.1048236,-0.1159927,-30.59961,-30.41737,-28.0729
13.543806553,9.60776600000003,30.36255,-2.996159,0.1339277,-0.09987873,-0.1011327,-30.59961,-30.41737,-28.0729
13.553664684,14.14223,17.56812,-1.831402,0.1342161,-0.07307919,-0.09228502,-30.59961,-30.41737,-28.0729
13.563520908,14.8255,6.02339100000001,-1.402281,0.1674892,0.006175334,-0.05806723,-30.59961,-30.41737,-28.0729
13.57337904,10.29104,-6.53299399999998,-0.911856500000002,0.178111,0.04808294,-0.06744894,-30.59961,-30.41737,-28.0729
13.583236217,6.99889700000002,-22.24335,-0.05361458,0.1667814,0.03833162,-0.04580578,-28.79878,-30.44893,-28.8504
