Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
11.662417889,30.16813,-9.92500399999998,0.3755064,0.01200775,0.04631979,-0.01573889,-23.09896,-24.12325,-36.94868
11.674741268,23.83231,-20.93416,-1.708796,0.02380385,0.1032091,0.0741834,-21.2263,-24.88113,-36.95079
11.684598923,16.25417,-28.61081,-2.996159,0.02751469,0.1038094,0.09569956,-21.2263,-24.88113,-36.95079
11.694457531,7.620056,-40.39358,-5.509581,0.02125132,0.1062216,0.104914,-21.2263,-24.88113,-36.95079
11.704316139,2.588667,-51.52175,-8.75863999999999,0.03171344,0.07818452,0.1299258,-21.2263,-24.88113,-36.95079
11.714174271,-0.2686647,-64.9112599999998,-12.80464,0.01779249,0.0367705,0.1489427,-21.2263,-24.88113,-36.95079
11.724032879,2.340204,-80.1455499999999,-17.77018,0.1179798,0.008795592,0.3677104,-21.2263,-24.88113,-36.95079
11.733891487,0.911537699999999,-90.9166600000001,-19.79318,0.1780837,0.02227383,0.4460354,-21.96577,-25.22906,-36.11098
11.743749142,-4.430431,-94.0111300000002,-21.08054,0.253224,0.02231456,0.538888,-21.96577,-25.22906,-36.11098
11.75360775,-14.61744,-96.9865700000002,-20.46751,0.2764723,0.06653173,0.5964337,-21.96577,-25.22906,-36.11098
11.763466358,-25.61196,-102.8185,-22.12269,0.3124555,0.05938445,0.6816372,-21.96577,-25.22906,-36.11098
11.77332449,-37.78667,-103.8301,-22.3066,0.3380185,0.02183409,0.7293551,-21.96577,-25.22906,-36.11098
11.783183098,-46.17233,-106.27,-23.22615,0.3146953,0.001518674,0.6873465,-24.50637,-25.91805,-34.80997
11.793041706,-47.41464,-115.2558,-26.96563,0.2913629,-0.003799486,0.6219839,-24.50637,-25.91805,-34.80997
11.802899837,-45.79963,-129.1214,-32.60551,0.3311894,0.01893237,0.6206498,-24.50637,-25.91805,-34.80997
11.812758446,-44.24673,-145.3673,-39.41014,0.4094889,0.04173933,0.6781886,-24.50637,-25.91805,-34.80997
11.822617054,-43.19076,-155.8409,-46.03086,0.5234258,0.04740065,0.7508883,-24.50637,-25.91805,-34.80997
11.832474709,-47.16618,-152.6869,-49.52513,0.6923757,-0.03408209,0.9423477,-28.60864,-25.85364,-33.57246
11.844798088,-39.46381,-152.806,-51.18031,0.7355821,-0.2453586,0.9471369,-28.60864,-25.85364,-33.57246
11.854656696,-18.28228,-158.1618,-52.65158,0.7788672,-0.3351793,1.028664,-28.60864,-25.85364,-33.57246
11.864514828,2.40232,-155.5434,-46.45998,0.8482462,-0.2817249,1.104797,-28.60864,-25.85364,-33.57246
11.874373436,22.15518,-148.4618,-47.25692,0.8701307,-0.1667508,1.088684,-31.56656,-26.12935,-29.39233
11.884232044,32.96335,-141.4993,-47.80865,0.7948537,-0.1567956,1.06636,-31.56656,-26.12935,-29.39233
11.894089699,43.7094,-135.3698,-44.8048,0.7360605,-0.2773099,0.9899883,-31.56656,-26.12935,-29.39233
11.903948307,59.1762699999997,-130.4901,-42.16877,0.6870343,-0.3885186,0.776984,-31.56656,-26.12935,-29.39233
11.913806915,75.0779399999999,-137.8692,-31.01163,0.6540668,-0.4303326,0.4752054,-31.56656,-26.12935,-29.39233
11.923665047,71.4130999999998,-149.1164,-21.01924,0.7580566,-0.1768378,0.6105176,-35.25027,-28.15264,-23.52576
11.933523655,59.2383800000001,-153.282,-16.72803,0.9432303,0.05558756,0.9045476,-35.25027,-28.15264,-23.52576
11.943382263,42.96401,-154.2342,-16.72803,0.9954084,0.2596773,0.9639887,-35.25027,-28.15264,-23.52576
11.953239918,20.78863,-147.3311,-16.54412,0.9881337,0.4082691,1.027642,-35.25027,-28.15264,-23.52576
11.963098526,1.470581,-143.225,-24.51351,1.002638,0.38798,1.033015,-35.25027,-28.15264,-23.52576
11.972957134,-19.58672,-138.3453,-28.62081,0.9951476,0.1860159,0.91593,-35.25027,-28.15264,-23.52576
11.982815266,-19.40037,-131.7993,-36.03848,0.9560741,0.009083945,0.8009443,-37.75293,-30.2563,-18.04877
11.992673874,-10.57991,-124.4797,-37.38714,0.984599,-0.2226118,0.7156808,-37.75293,-30.2563,-18.04877
12.002532482,-1.759447,-132.1564,-31.86987,0.9407838,-0.307457,0.5133671,-37.75293,-30.2563,-18.04877
12.012390137,11.96817,-139.7735,-25.18784,0.9462588,-0.2173835,0.3841861,-37.75293,-30.2563,-18.04877
12.024713516,22.15518,-141.3802,-18.99624,1.052305,0.01738662,0.5820862,-39.57042,-32.36787,-12.57531
12.034572124,14.08011,-141.4397,-16.29891,1.062555,0.1556392,0.7019483,-39.57042,-32.36787,-12.57531
12.044430256,6.99889700000002,-139.8925,-16.115,1.055007,0.2266602,0.7131977,-39.57042,-32.36787,-12.57531
12.054288864,2.650783,-136.9766,-16.97324,1.055905,0.2592219,0.7000421,-39.57042,-32.36787,-12.57531
12.064147472,1.408465,-132.93,-21.32575,1.077402,0.1838648,0.6674726,-39.57042,-32.36787,-12.57531
12.074005127,4.762724,-127.2766,-22.85833,1.075159,0.05150887,0.6735755,-40.64493,-33.75267,-7.177276
12.083863735,14.94973,-120.7306,-24.69742,1.043592,-0.01657056,0.6308022,-40.64493,-33.75267,-7.177276
12.093722343,24.26712,-114.3632,-23.96178,0.9925423,-0.02417635,0.5399384,-40.64493,-33.75267,-7.177276
12.103580475,29.05005,-115.3748,-22.73572,0.9181105,-0.01807361,0.3968118,-40.64493,-33.75267,-7.177276
12.113439083,32.90123,-116.565,-19.36406,0.8911545,-0.01620802,0.1796552,-40.64493,-33.75267,-7.177276
12.123297691,36.93877,-115.6724,-17.46367,0.9849287,0.03380924,0.3196254,-40.599,-35.52392,-2.165344
12.133155823,32.09373,-114.1251,-16.29891,1.066118,0.09351671,0.4780664,-40.599,-35.52392,-2.165344
12.143014431,22.03095,-114.3632,-16.115,1.098778,0.11295,0.5223304,-40.599,-35.52392,-2.165344
12.152873039,16.12994,-114.7797,-17.58627,1.153378,0.1125401,0.5435919,-40.599,-35.52392,-2.165344
12.162730694,11.71971,-113.4706,-20.34491,1.225735,0.1419744,0.5658107,-40.599,-35.52392,-2.165344
12.172589302,6.81255000000002,-110.1976,-23.04224,1.255294,0.1319056,0.5360733,-40.599,-35.52392,-2.165344
12.18244791,0.4146104,-106.746,-23.16484,1.204918,0.08849847,0.4990473,-39.81038,-36.94099,2.454869
12.194770336,-7.28776300000003,-100.3786,-23.28745,1.136673,0.06425533,0.4241019,-39.81038,-36.94099,2.454869
12.204628944,-11.01472,-99.90251,-22.67442,1.068055,0.04381198,0.3252338,-39.81038,-36.94099,2.454869
12.214487553,-12.75396,-98.2362599999997,-21.01924,1.079137,0.05802176,0.3251958,-39.81038,-36.94099,2.454869
12.224345684,-15.05225,-96.09394,-20.09969,1.096425,0.03234476,0.3146695,-38.66049,-37.27042,6.165646
12.234204292,-13.31301,-94.9037599999998,-18.81233,1.098228,0.01780675,0.3265012,-38.66049,-37.27042,6.165646
12.244062901,-11.3253,-94.7252300000001,-18.38321,1.108456,0.03253162,0.3360636,-38.66049,-37.27042,6.165646
12.253921032,-8.15738599999999,-93.8325999999999,-17.34106,1.122868,0.06223308,0.3068777,-38.66049,-37.27042,6.165646
12.26377964,-3.68504,-92.64243,-17.34106,1.143097,0.0886891,0.3068127,-38.66049,-37.27042,6.165646
12.273638249,-2.070026,-88.9528700000001,-17.52497,1.168097,0.1045478,0.3243206,-37.1396,-38.72552,8.66954
12.283495903,1.160001,-90.1430499999997,-17.89279,1.116938,0.08581699,0.2515741,-37.1396,-38.72552,8.66954
12.293354511,7.185245,-81.93082,-16.66673,1.127281,0.03604613,0.3204906,-37.1396,-38.72552,8.66954
12.30321312,13.2726,-81.09769,-15.31806,1.089929,-0.002279272,0.3101571,-37.1396,-38.72552,8.66954
12.313071251,21.28556,-76.81305,-13.47897,1.075249,-0.007292755,0.305532,-37.1396,-38.72552,8.66954
12.322929859,23.52173,-71.1001900000002,-11.08815,1.0483,0.01464447,0.2500349,-36.00478,-39.0221,10.33125
12.332788467,24.51558,-66.5180000000001,-9.18776100000002,0.9881331,0.02395989,0.1512976,-36.00478,-39.0221,10.33125
12.342647076,28.05619,-69.3149200000001,-7.71648900000002,0.9452579,0.04470452,0.07493263,-36.00478,-39.0221,10.33125
12.35250473,30.35448,-70.4455899999999,-7.34867099999999,0.9781274,0.08540922,0.08151647,-36.00478,-39.0221,10.33125
12.36482811,24.26712,-69.5529600000003,-5.019157,1.051095,0.1266,0.1229937,-36.00478,-39.0221,10.33125
12.374686241,13.2726,-65.74438,-3.609189,1.082504,0.1206942,0.1608322,-34.1737,-39.73917,13.21007
12.384544849,6.81255000000002,-63.1855000000002,-3.8544,1.084217,0.1411477,0.1609803,-34.1737,-39.73917,13.21007
12.394403458,4.390029,-60.8646500000002,-3.731794,1.047048,0.1242212,0.1469913,-34.1737,-39.73917,13.21007
12.404261112,3.334059,-58.4247900000001,-4.528733,1.029811,0.09731928,0.1508435,-34.1737,-39.73917,13.21007
12.414119721,1.408465,-55.68737,-3.180068,1.027584,0.09150151,0.1618477,-34.1737,-39.73917,13.21007
12.423978329,-0.5171283,-51.40273,-2.689644,1.015756,0.1011372,0.1640144,-33.04131,-40.10244,14.48833
12.433836937,-1.262519,-46.82054,-2.689644,0.9984931,0.07862192,0.1698208,-33.04131,-40.10244,14.48833
12.443695068,-1.324635,-40.21505,-2.689644,0.97832,0.05511136,0.1766187,-33.04131,-40.10244,14.48833
12.453553677,1.160001,-43.78559,-3.609189,0.8898119,0.08189573,0.1316239,-33.04131,-40.10244,14.48833
12.463412285,5.383883,-42.65492,-6.30652000000001,0.9028243,0.134415,0.0916289,-33.04131,-40.10244,14.48833
12.47326994,5.81869499999997,-40.03653,-8.636034,0.8985245,0.1751461,0.06328197,-32.65682,-40.45798,15.70643
12.483128548,4.514261,-33.43103,-9.67818499999998,0.9084504,0.1745147,0.001318434,-32.65682,-40.45798,15.70643
12.492987156,6.874665,-33.07398,-12.80464,0.9072052,0.1750533,0.0181127,-32.65682,-40.45798,15.70643
12.502845287,9.42141799999999,-31.05067,-13.78549,0.945818,0.133669,0.05075709,-32.65682,-40.45798,15.70643
12.512703896,10.85008,-27.12309,-12.98855,0.9655952,0.1026556,0.03871269,-32.65682,-40.45798,15.70643
12.522562504,14.63916,-23.255,-11.63988,0.9792102,0.1061711,0.03567311,-31.89414,-41.55323,16.99415
12.532420635,17.49649,-20.69612,-10.10731,0.9798641,0.1417277,0.04315186,-31.89414,-41.55323,16.99415
12.544743538,16.87533,-18.43478,-10.10731,0.9784228,0.1801569,0.04301752,-31.89414,-41.55323,16.99415
12.554602146,15.69513,-16.59,-10.84294,0.969146,0.1776386,0.04217009,-31.89414,-41.55323,16.99415
12.564460277,15.13608,-16.53049,-11.51728,0.9670174,0.1712253,0.02393672,-31.89414,-41.55323,16.99415
12.574318886,15.32243,-16.59,-11.76249,0.973641,0.1697571,0.006099547,-31.14668,-41.56187,16.99029
12.584177494,16.19205,-16.29246,-12.31421,0.9803256,0.174165,-0.002104915,-31.14668,-41.56187,16.99029
12.594035625,16.56475,-16.47099,-12.92724,0.9735737,0.1638792,-0.004012286,-31.14668,-41.56187,16.99029
12.603894234,17.80707,-16.70902,-11.82379,0.9857425,0.1771522,0.003114286,-31.14668,-41.56187,16.99029
12.613752842,16.0057,-16.76853,-10.046,1.012064,0.2046999,0.0202228,-31.14668,-41.56187,16.99029
12.623610496,13.33472,-15.04277,-8.26821599999997,1.043152,0.205891,0.004934587,-30.76496,-41.92275,17.82431
12.633469105,11.22278,-13.2575,-5.87739899999999,1.049508,0.2000876,-0.0004761741,-30.76496,-41.92275,17.82431
12.643327713,8.86237499999997,-11.76978,-3.793097,1.044258,0.1951949,0.004828563,-30.76496,-41.92275,17.82431
12.653185844,6.31562199999998,-10.34157,-2.383129,1.025283,0.1789439,-0.001746939,-30.76496,-41.92275,17.82431
12.663044453,5.259652,-9.50844099999999,-1.279675,0.9942588,0.1678715,-0.02631658,-30.76496,-41.92275,17.82431
12.672903061,5.694463,-7.96120899999999,-0.1149176,0.9932409,0.1717574,-0.02579008,-29.64102,-41.93035,18.20259
12.682760715,6.31562199999998,-8.615807,0.1915974,0.9886323,0.1814242,-0.03235161,-29.64102,-41.93035,18.20259
12.692619324,6.75043299999998,-10.16304,-0.05361458,0.9745252,0.2049739,-0.07747575,-29.64102,-41.93035,18.20259
12.702477932,8.80025999999999,-8.79433299999997,-1.463584,0.9808133,0.2147744,-0.07412826,-29.64102,-41.93035,18.20259
12.712336063,9.918345,-8.02071800000003,-1.647493,0.9731007,0.2162025,-0.06442229,-29.64102,-41.93035,18.20259
12.724659443,11.2849,-6.77103000000002,-2.812249,0.9550214,0.1976306,-0.04323658,-28.89356,-41.93898,18.19873
12.734518051,12.89991,-5.521342,-2.934855,0.9501166,0.1883073,-0.05235015,-28.89356,-41.93898,18.19873
12.744375706,14.39069,-3.855092,-2.934855,0.9399968,0.1760543,-0.05183012,-28.89356,-41.93898,18.19873
12.754234314,15.44666,-2.248351,-3.24137,0.9318514,0.1672413,-0.04699641,-28.89356,-41.93898,18.19873
12.764092922,16.19205,-0.879645599999998,-3.8544,0.9113725,0.1612197,-0.04723456,-28.89356,-41.93898,18.19873
12.773951054,16.50263,0.07249729,-4.283521,0.9100477,0.1563651,-0.04102705,-28.14212,-41.56789,19.02328
12.783809662,16.99956,1.322185,-4.283521,0.9119099,0.1544026,-0.04969575,-28.14212,-41.56789,19.02328
12.79366827,17.80707,2.750399,-4.283521,0.9104008,0.1612129,-0.04674157,-28.14212,-41.56789,19.02328
12.803525925,17.68283,4.297632,-4.835248,0.9155704,0.1685237,-0.05585834,-28.14212,-41.56789,19.02328
12.813384533,18.17976,6.67798900000002,-5.448278,0.9323474,0.1457656,-0.0653943,-28.14212,-41.56789,19.02328
12.823243141,21.28556,8.522766,-5.203066,0.9240406,0.1290949,-0.07931338,-28.88159,-41.91582,19.86309
12.833101749,24.51558,9.65343599999998,-4.283521,0.9256278,0.1223068,-0.07651809,-28.88159,-41.91582,19.86309
12.842959881,26.25483,10.30803,-3.670491,0.9172817,0.135895,-0.06670048,-28.88159,-41.91582,19.86309
12.852818489,26.06848,11.4387,-3.24137,0.916186,0.1617289,-0.05257006,-28.88159,-41.91582,19.86309
12.862677097,23.95654,12.98594,-2.383129,0.9171441,0.1700316,-0.04676325,-28.88159,-41.91582,19.86309
12.872535229,22.52788,15.00924,-1.402281,0.917394,0.1456915,-0.04984743,-28.13493,-41.18192,20.29978
12.88239336,21.90672,15.96138,0.4981124,0.9362924,0.1288565,-0.04211246,-28.13493,-41.18192,20.29978
12.89471674,20.2917,16.79451,2.827626,0.9593289,0.135908,-0.03279729,-28.13493,-41.18192,20.29978
12.904574871,17.24802,18.69879,3.747171,0.9715266,0.1467482,-0.02569166,-28.13493,-41.18192,20.29978
12.914433479,13.95588,20.78161,4.176292,0.9697903,0.1539819,-0.03902345,-28.13493,-41.18192,20.29978
12.924292088,11.78182,23.51902,4.54411,0.9740074,0.1355505,-0.03300951,-27.75522,-41.17466,21.13003
12.934149742,10.16681,26.97054,5.83147299999998,0.964862,0.08242926,-0.03284828,-27.75522,-41.17466,21.13003
12.94400835,11.40913,29.35089,7.67056300000001,0.962772,0.05028615,-0.03500656,-27.75522,-41.17466,21.13003
12.953866959,13.70742,30.66009,9.44834999999999,0.9597941,0.04731857,-0.04073955,-27.75522,-41.17466,21.13003
12.96372509,16.68898,31.90978,10.06138,0.9735695,0.03623293,-0.04486304,-27.75522,-41.17466,21.13003
12.973583698,20.2917,32.44536,10.67441,1.000357,0.05254905,-0.03935673,-27.76124,-40.07021,21.11872
12.983442307,21.53402,32.98094,11.04223,1.042525,0.07966678,-0.04452087,-27.76124,-40.07021,21.11872
12.993300438,22.2173,33.81406,11.77786,1.063755,0.1036967,-0.04509985,-27.76124,-40.07021,21.11872
13.003159046,20.78863,35.12326,11.77786,1.0549,0.1381334,-0.05426701,-27.76124,-40.07021,21.11872
13.013017654,17.5586,36.67049,12.08438,1.027765,0.1422239,-0.06726334,-27.76124,-40.07021,21.11872
13.022875309,13.89376,37.80116,11.96177,0.9819313,0.1399064,-0.05800406,-28.88565,-40.0635,20.67642
13.032733917,11.47124,39.16987,12.26829,0.9596562,0.1104784,-0.06703973,-28.88565,-40.0635,20.67642
13.042592525,10.66374,40.00299,12.88132,0.9641383,0.06478188,-0.06557246,-28.88565,-40.0635,20.67642
13.052450657,12.40298,41.3717,14.5365,0.9724216,0.01420575,-0.07665974,-28.88565,-40.0635,20.67642
13.06477356,21.96883,40.00299,18.95032,1.009232,-0.02546925,-0.1029168,-28.88565,-40.0635,20.67642
13.074632168,27.93196,35.06375,21.15722,1.045816,0.009489775,-0.08014159,-29.26017,-39.31665,21.1189
13.084490299,30.35448,32.0883,21.58634,1.047155,0.08731185,-0.09292147,-29.26017,-39.31665,21.1189
13.094348907,29.91967,29.76746,21.89286,1.017785,0.1691516,-0.129669,-29.26017,-39.31665,21.1189
13.104207516,25.38521,27.3871,22.62849,0.9831245,0.2325517,-0.1401407,-29.26017,-39.31665,21.1189
13.114065647,16.62686,26.19692,22.8124,0.9235782,0.2524319,-0.148229,-29.26017,-39.31665,21.1189
13.123924255,8.30333200000001,25.89938,23.11892,0.8717585,0.2083124,-0.112402,-30.00763,-39.30802,21.12277
13.133782864,4.203681,24.23313,22.07677,0.7965341,0.1539718,-0.1515621,-30.00763,-39.30802,21.12277
13.143641472,5.011188,25.06625,19.93116,0.7933835,0.08043244,-0.1602842,-30.00763,-39.30802,21.12277
13.153499126,7.86851999999999,22.32884,19.50204,0.812315,0.007460723,-0.1995058,-30.00763,-39.30802,21.12277
13.163357735,16.62686,18.7583,19.99247,0.8823563,-0.02851181,-0.2252468,-30.00763,-39.30802,21.12277
13.173216343,25.26097,17.56812,19.01162,0.9017758,0.01018918,-0.2021954,-30.39629,-37.16241,20.65461
13.183074474,30.23025,16.91353,17.35644,0.8968535,0.07981841,-0.1790152,-30.39629,-37.16241,20.65461
13.192933083,31.47257,13.10495,15.70126,0.8603917,0.163616,-0.195998,-30.39629,-37.16241,20.65461
13.202791691,29.48486,10.54607,14.16868,0.8456056,0.2225299,-0.1521621,-30.39629,-37.16241,20.65461
13.212649345,22.90057,9.83196299999999,12.69741,0.8240502,0.229789,-0.11202,-30.39629,-37.16241,20.65461
13.222507954,15.1982,11.4387,12.32959,0.8034643,0.1883667,-0.07949065,-31.14254,-36.7794,21.10279
13.234831333,5.445999,13.70004,13.49435,0.7792296,0.1362443,-0.03693638,-31.14254,-36.7794,21.10279
13.244689465,0.3524944,15.4258,14.10738,0.7639331,0.03807404,-0.09696759,-31.14254,-36.7794,21.10279
13.254548073,8.36544800000002,16.19942,16.98862,0.8024234,-0.07280859,-0.1703319,-31.14254,-36.7794,21.10279
13.264406681,24.14289,14.11661,19.56334,0.8547382,-0.1438521,-0.1635307,-31.14254,-36.7794,21.10279
13.274264336,30.4166,2.631382,20.6668,0.8705114,-0.09805648,-0.1863706,-31.14454,-36.41125,21.09903
13.284122944,25.7579,4.654685,22.93501,0.9781886,0.04471621,-0.1291964,-31.14454,-36.41125,21.09903
13.293981552,20.91286,1.143658,22.62849,0.9655493,0.2028944,-0.09174135,-31.14454,-36.41125,21.09903
13.303839684,13.39684,-0.939154599999998,18.5825,0.9240124,0.2598791,-0.1098364,-31.14454,-36.41125,21.09903
13.313698292,5.383883,-4.5692,15.39474,0.8402929,0.233378,-0.1016789,-31.14454,-36.41125,21.09903
13.3235569,-5.85909699999999,-15.75688,10.3679,0.6950824,0.295125,-0.2917263,-31.14655,-36.0431,21.09525
13.333414555,-76.8575900000001,-57.05608,17.11123,0.4680258,0.8912925,-0.7755967,-31.14655,-36.0431,21.09525
13.343273163,-173.1373,-90.1430499999997,17.96947,0.7205104,1.304236,-1.162903,-31.14655,-36.0431,21.09525
13.353131771,-62.5088100000002,-97.2841200000002,-60.2531600000002,1.539209,0.7829574,0.1158257,-31.14655,-36.0431,21.09525
13.362989903,-20.20787,-28.43228,-72.6363699999998,1.951806,0.09510721,0.8866728,-31.14655,-36.0431,21.09525
