Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
16.054379463,7.24736100000001,11.14116,6.19929100000001,1.017159,0.189313,0.05739789,-36.12778,-34.86857,30.77736
16.064239502,6.50197000000002,19.59143,5.279747,1.012546,0.2004433,0.05180718,-36.12778,-34.86857,30.77736
16.074099541,5.259652,28.10121,3.992383,1.021204,0.2073143,0.04694977,-36.12778,-34.86857,30.77736
16.083959103,3.644638,36.31344,2.888929,1.021646,0.2024231,0.039235,-36.12778,-34.86857,30.77736
16.093819141,1.967508,44.10911,1.662869,1.034865,0.198149,0.03613533,-36.12853,-35.24207,30.39705
16.10367918,0.849421699999999,52.0238,0.1302944,1.053572,0.1929769,0.04013785,-36.12853,-35.24207,30.39705
16.113539219,-0.02020105,59.8789700000001,-1.279675,1.062527,0.1808917,0.04038743,-36.12853,-35.24207,30.39705
16.123399735,-0.3307806,67.5556300000002,-2.934855,1.088402,0.1850125,0.04005342,-36.12853,-35.24207,30.39705
16.133259773,-1.262519,75.2917899999999,-4.651339,1.109017,0.1861906,0.04599914,-36.12853,-35.24207,30.39705
16.143119812,-1.883678,82.9089400000001,-6.61303499999999,1.129274,0.1751962,0.05088884,-37.26494,-34.14249,29.11126
16.152979374,-2.629069,90.58559,-8.57473199999998,1.148873,0.1729374,0.05106964,-37.26494,-34.14249,29.11126
16.162839413,-3.125997,98.0242000000002,-10.35252,1.160724,0.1701435,0.05662755,-37.26494,-34.14249,29.11126
16.172699451,-3.871388,105.2843,-12.43682,1.167072,0.171661,0.05702909,-37.26494,-34.14249,29.11126
16.18255949,-4.492547,112.4254,-14.52112,1.179822,0.168365,0.05634036,-37.26494,-34.14249,29.11126
16.192419052,-4.927359,119.5069,-16.36021,1.186647,0.1752541,0.06061401,-38.40378,-33.79169,26.93681
16.204743862,-5.610633,128.1357,-18.56712,1.198874,0.1797557,0.06431133,-38.40378,-33.79169,26.93681
16.214603901,-6.977184,134.7412,-20.52881,1.203339,0.1744421,0.06420285,-38.40378,-33.79169,26.93681
16.22446394,-8.03315400000002,140.6921,-22.42921,1.21122,0.1720855,0.06598744,-38.40378,-33.79169,26.93681
16.234323502,-8.09526999999998,146.7025,-24.08439,1.21711,0.1687256,0.06443755,-38.40378,-33.79169,26.93681
16.24418354,-7.78468999999998,152.1773,-25.31045,1.222384,0.1765545,0.06347004,-39.54781,-34.195,23.48963
16.254043579,-7.97103800000001,156.9976,-26.72042,1.242085,0.17286,0.06986687,-39.54781,-34.195,23.48963
16.263903618,-7.90892299999997,161.7583,-28.19169,1.256221,0.1671125,0.06099129,-39.54781,-34.195,23.48963
16.273763657,-7.10141600000002,165.9239,-29.29514,1.279938,0.1717818,0.08225664,-39.54781,-34.195,23.48963
16.283623219,-7.16353100000001,169.7325,-30.70511,1.309848,0.1657189,0.0817792,-39.54781,-34.195,23.48963
16.293483257,-5.300054,173.184,-31.56335,1.327948,0.1639263,0.08006849,-40.32605,-35.36208,18.3837
16.303343296,-3.99562,175.5643,-32.29899,1.332732,0.1751681,0.08201198,-40.32605,-35.36208,18.3837
16.313203335,-4.244083,177.1711,-33.27984,1.33559,0.1849366,0.08492889,-40.32605,-35.36208,18.3837
16.323062897,-4.244083,178.5993,-33.95417,1.332204,0.1883348,0.09075622,-40.32605,-35.36208,18.3837
16.332922936,-5.05159,178.7183,-34.26068,1.329061,0.1971726,0.1191484,-40.32605,-35.36208,18.3837
16.342782974,-6.79083600000002,178.8969,-34.93502,1.32978,0.1904075,0.1301026,-41.48526,-35.7948,12.82407
16.352643013,-7.28776300000003,178.6588,-35.11893,1.315317,0.1913147,0.1466092,-41.48526,-35.7948,12.82407
16.362503052,-8.21950099999998,178.0042,-34.99632,1.28811,0.1950313,0.1638003,-41.48526,-35.7948,12.82407
