Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
15.570554733,0.04191487,3.881069,-1.954008,0.970141,-0.04533244,-0.1169032,-38.31924,-30.71103,32.28286
15.580414295,0.5388422,10.96263,-0.850553500000001,0.9618489,-0.0434463,-0.1134147,-38.31924,-30.71103,32.28286
15.59027338,1.097885,17.56812,0.1915974,0.9476342,-0.0469976,-0.1185133,-38.31924,-30.71103,32.28286
15.600133419,1.346349,24.53067,1.111142,0.9345734,-0.0460961,-0.1068188,-38.31924,-30.71103,32.28286
15.609992504,0.725189899999998,31.31469,2.214596,0.9311361,-0.04661838,-0.1082118,-37.20403,-30.73556,31.44488
15.619852066,-0.2686647,37.3846,3.195444,0.9315926,-0.0422293,-0.1067437,-37.20403,-30.73556,31.44488
15.629712105,-0.703476100000001,43.45451,3.808474,0.9354953,-0.04024484,-0.1058241,-37.20403,-30.73556,31.44488
15.642035961,-1.573099,51.3692,4.850626,0.940371,-0.03727676,-0.104431,-37.20403,-30.73556,31.44488
15.651895523,-1.573099,57.73666,5.83147299999998,0.9599627,-0.04441996,-0.1090833,-37.20403,-30.73556,31.44488
15.661755085,-0.951939799999999,64.1041099999999,6.01538200000003,0.9696243,-0.04632103,-0.1197794,-37.94547,-31.83137,31.46006
15.671615124,1.346349,69.8764800000002,6.26059400000001,0.9970755,-0.05680328,-0.1250511,-37.94547,-31.83137,31.46006
15.681474209,5.259652,76.1844299999998,6.44450299999999,1.028574,-0.0686774,-0.1217667,-37.94547,-31.83137,31.46006
15.691333294,9.918345,81.8377799999997,6.19929100000001,1.069335,-0.07461965,-0.115689,-37.94547,-31.83137,31.46006
15.701193333,14.94973,87.1340700000003,5.402352,1.105548,-0.07331868,-0.1137981,-37.94547,-31.83137,31.46006
15.711052895,20.04324,92.6683999999998,4.54411,1.146748,-0.07780619,-0.1101104,-39.07866,-30.72556,30.62236
15.72091198,24.5777,98.0837100000001,4.360201,1.187081,-0.07787668,-0.09439307,-39.07866,-30.72556,30.62236
15.730772018,27.86984,103.3205,4.114989,1.228991,-0.07350861,-0.06668076,-39.07866,-30.72556,30.62236
15.740631103,29.23639,108.8548,4.421504,1.25786,-0.0605572,-0.05500292,-39.07866,-30.72556,30.62236
15.750490665,29.05005,113.6751,4.176292,1.283999,-0.05831405,-0.03762617,-39.07866,-30.72556,30.62236
15.760350227,27.86984,119.2689,4.421504,1.298699,-0.04450688,-0.02382237,-40.59198,-30.74393,28.06953
15.770209789,26.00637,124.4462,4.298898,1.300496,-0.0546527,-0.00859922,-40.59198,-30.74393,28.06953
15.780069828,24.01866,129.683,4.911928,1.289419,-0.05274968,0.005950695,-40.59198,-30.74393,28.06953
15.789928913,22.15518,133.0155,5.218443,1.278041,-0.0468915,0.03778946,-40.59198,-30.74393,28.06953
15.799787998,20.6644,139.978,5.708868,1.271835,-0.03665134,0.05809071,-40.59198,-30.74393,28.06953
15.812112808,16.93744,146.7025,6.26059400000001,1.252182,-0.02757295,0.05988505,-42.86246,-28.9743,25.50235
15.821971893,15.01185,151.5822,6.44450299999999,1.244868,-0.02128415,0.06723034,-42.86246,-28.9743,25.50235
15.831831932,13.58318,156.462,6.3832,1.251894,-0.01873158,0.08248612,-42.86246,-28.9743,25.50235
15.841691017,12.89991,160.9846,6.3832,1.278053,-0.02527098,0.09355889,-42.86246,-28.9743,25.50235
15.851551056,12.65145,165.3288,6.19929100000001,1.29949,-0.03229358,0.1166749,-42.86246,-28.9743,25.50235
15.861410618,12.65145,169.8515,5.647564,1.329536,-0.03441191,0.1296463,-45.50417,-29.36569,21.67881
15.871269703,12.58933,174.1361,5.034534,1.327644,-0.04319869,0.126724,-45.50417,-29.36569,21.67881
15.881129742,13.58318,176.933,4.605413,1.328901,-0.04910455,0.1060506,-45.50417,-29.36569,21.67881
15.890988827,16.06782,179.0159,4.298898,1.350801,-0.04747711,0.09904344,-45.50417,-29.36569,21.67881
15.900848389,18.49034,180.3251,3.869777,1.367796,-0.02539144,0.1090508,-45.50417,-29.36569,21.67881
15.910707951,19.79478,181.4557,3.440656,1.379098,-0.0197717,0.1535027,-47.78691,-28.67388,16.62577
15.920567512,19.17362,182.2293,2.70502,1.382271,-0.01723686,0.173126,-47.78691,-28.67388,16.62577
15.930426598,18.49034,183.003,2.275899,1.380586,-0.01375891,0.196181,-47.78691,-28.67388,16.62577
15.940286636,18.11765,183.4195,2.153293,1.374578,-0.01957396,0.2168231,-47.78691,-28.67388,16.62577
15.950145721,19.1115,184.0146,1.662869,1.367086,-0.02247689,0.2389486,-47.78691,-28.67388,16.62577
15.96000576,19.79478,185.0263,0.3142034,1.360224,-0.01961212,0.2405081,-50.08408,-27.63798,9.840582
15.969865322,21.78248,186.6925,-0.3601296,1.356596,-0.007847986,0.2718071,-50.08408,-27.63798,9.840582
15.979724407,21.4719,188.1802,-1.524887,1.328632,-0.01677064,0.2941735,-50.08408,-27.63798,9.840582
15.99204874,20.91286,190.7986,-2.321826,1.306883,-0.02554324,0.3418502,-50.08408,-27.63798,9.840582
16.001908302,19.60843,192.2864,-2.812249,1.287146,-0.04076466,0.3520662,-51.25886,-26.24064,3.493927
16.011768341,17.12379,195.6189,-2.934855,1.271744,-0.0360843,0.3389077,-51.25886,-26.24064,3.493927
16.021627426,18.80092,196.9876,-1.770099,1.26798,-0.03594108,0.385924,-51.25886,-26.24064,3.493927
16.031486511,16.81321,197.4041,-2.444432,1.285818,-0.0166796,0.4193764,-51.25886,-26.24064,3.493927
16.04134655,14.018,198.8918,-2.444432,1.319423,-0.0003942328,0.5302091,-51.25886,-26.24064,3.493927
16.051206112,5.259652,200.9747,-2.137917,1.310893,-0.0003937304,0.5504571,-51.25886,-26.24064,3.493927
16.061065674,1.160001,203.2955,-1.340978,1.257557,-0.09482756,0.5384403,-51.32528,-25.99722,-5.471778
16.070925236,9.11083900000002,199.9035,-0.2988266,1.22293,-0.1595509,0.4895092,-51.32528,-25.99722,-5.471778
16.080784321,20.35382,193.179,-2.076613,1.188583,-0.1559782,0.4852369,-51.32528,-25.99722,-5.471778
