Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
14.168254375,0.725189899999998,13.87857,2.827626,0.9937179,0.07386474,0.2101015,-38.47853,-38.83758,21.48285
14.17811203,-3.125997,24.0546,3.869777,0.9960898,0.09437084,0.2226999,-38.47853,-38.83758,21.48285
14.187970161,-8.40584900000001,32.32634,5.586261,0.9901804,0.09710185,0.186388,-38.47853,-38.83758,21.48285
14.197827816,-12.56762,43.45451,6.93492700000001,1.020743,0.08327838,0.191107,-38.47853,-38.83758,21.48285
14.207685947,-16.17034,51.66674,9.57095500000001,1.010191,0.07334315,0.1619424,-38.47853,-38.83758,21.48285
14.217544079,-18.84132,62.9139300000002,13.12653,1.054565,0.03832672,0.1921624,-39.60168,-39.57251,20.66401
14.227401733,-19.83518,72.5543799999998,16.43689,1.055562,0.0334584,0.1892319,-39.60168,-39.57251,20.66401
14.239724636,-20.08364,84.5751899999998,20.78941,1.088082,0.03709343,0.1734647,-39.60168,-39.57251,20.66401
14.249582291,-20.26999,93.5610400000003,24.09977,1.113448,0.04510995,0.1750876,-39.60168,-39.57251,20.66401
14.259440422,-21.38808,102.2493,26.8584,1.144385,0.05469296,0.1919787,-39.60168,-39.57251,20.66401
14.269298077,-21.69866,111.8303,29.06531,1.170834,0.03638343,0.1780297,-39.25268,-38.88062,17.77391
14.279156208,-19.77306,119.745,31.57873,1.184412,0.03256491,0.165824,-39.25268,-38.88062,17.77391
14.28901434,-17.03996,127.9572,33.96955,1.209199,0.04543361,0.1651001,-39.25268,-38.88062,17.77391
14.298871994,-14.61744,134.3842,35.0117,1.239716,0.0579615,0.1896892,-39.25268,-38.88062,17.77391
14.308730125,-14.24475,143.251,35.31821,1.267086,0.07137915,0.1994755,-39.25268,-38.88062,17.77391
14.31858778,-12.62973,150.2731,35.13431,1.284035,0.05501712,0.2082007,-40.7755,-39.28942,13.62451
14.328445911,-11.20107,157.8902,35.25691,1.307343,0.0650754,0.2400597,-40.7755,-39.28942,13.62451
14.338303566,-10.02086,165.0313,35.13431,1.32266,0.0603709,0.2469897,-40.7755,-39.28942,13.62451
14.348161697,-9.64816799999999,171.5772,35.93124,1.331673,0.06099623,0.2626801,-40.7755,-39.28942,13.62451
14.358019829,-10.9526,177.7067,37.096,1.378208,0.05326085,0.2959748,-40.7755,-39.28942,13.62451
14.367877483,-11.57376,184.4907,37.27991,1.37452,0.03376142,0.2953836,-42.31342,-37.86727,8.752106
14.377735615,-11.88434,189.668,38.93509,1.41159,0.01200683,0.3756563,-42.31342,-37.86727,8.752106
14.387594223,-13.00243,198.6538,40.59027,1.428162,0.02616057,0.347746,-42.31342,-37.86727,8.752106
14.397451878,-12.62973,203.8311,41.2033,1.436967,0.0355146,0.3558459,-42.31342,-37.86727,8.752106
14.409773827,-13.37512,207.1041,40.28376,1.450325,0.03825065,0.4050361,-42.31342,-37.86727,8.752106
14.419631958,-14.74167,212.3409,40.65158,1.485509,0.02870457,0.5012524,-43.86698,-36.47542,1.703231
14.42949009,-14.43109,221.5052,41.93894,1.46534,0.06288881,0.4515124,-43.86698,-36.47542,1.703231
14.439348698,-16.72938,224.2427,41.93894,1.442209,0.08412751,0.4601677,-43.86698,-36.47542,1.703231
14.449206352,-20.51845,223.1715,40.46767,1.460064,0.08937047,0.5184198,-43.86698,-36.47542,1.703231
14.459064484,-27.41332,232.1573,43.90063,1.498264,0.0520447,0.5961491,-43.86698,-36.47542,1.703231
14.468922138,-29.46315,236.8586,44.26845,1.452064,0.0607167,0.5523152,-43.9304,-34.73803,-5.741225
14.47878027,-30.20854,237.9892,46.59797,1.449522,0.0490854,0.570942,-43.9304,-34.73803,-5.741225
14.488638401,-30.33277,239.953,48.13054,1.444766,0.06519227,0.5951057,-43.9304,-34.73803,-5.741225
14.498496056,-31.69932,237.9297,49.3566,1.416594,0.06499832,0.6098816,-43.9304,-34.73803,-5.741225
14.508354187,-32.63105,235.3113,50.64396,1.403382,0.07304498,0.5809066,-43.9304,-34.73803,-5.741225
14.518211842,-30.51912,243.9401,55.24169,1.477858,0.005438406,0.6731977,-43.63371,-32.72133,-14.85511
14.528069973,-22.63039,243.1665,54.68996,1.412123,-0.001053454,0.6544326,-43.63371,-32.72133,-14.85511
14.537928105,-14.61744,241.6788,54.87387,1.396204,-0.0312674,0.6802812,-43.63371,-32.72133,-14.85511
14.547785759,-5.175822,235.8469,52.17654,1.347834,-0.02874993,0.6872215,-43.63371,-32.72133,-14.85511
14.55764389,3.893102,240.1315,51.3183,1.395477,-0.08241563,0.7972639,-43.63371,-32.72133,-14.85511
