Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
13.825538635,-0.860432000000003,-2.977149,-0.904106400000002,0.2931586,-0.02704815,0.9000705,-16.19143,-22.45305,-20.09189
13.835426331,-2.538972,-3.035992,-1.270655,0.3033333,-0.0453658,0.8814188,-15.8225,-23.20753,-19.68359
13.845314503,-2.849813,-4.212842,-1.331746,0.3081834,-0.05580264,0.8680112,-15.8225,-23.20753,-19.68359
13.855202198,-2.974149,-5.036636,-0.965197799999999,0.320249,-0.05887567,0.8920865,-15.8225,-23.20753,-19.68359
13.865089416,-2.2903,-3.977472,-1.087381,0.3347884,-0.05080405,0.9127418,-15.8225,-23.20753,-19.68359
13.874977589,0.818108400000001,-2.153355,-1.51502,0.3454819,-0.04644263,0.9127319,-15.8225,-23.20753,-19.68359
13.884865284,3.80218,1.141824,-0.965197799999999,0.349424,-0.02542529,0.9184013,-16.20656,-22.81559,-19.2435
13.894753456,4.796871,3.789736,-0.4764667,0.3407851,-0.005622995,0.9062684,-16.20656,-22.81559,-19.2435
13.904641151,5.107712,3.260154,-0.3542839,0.3277146,-0.003327772,0.8951808,-16.20656,-22.81559,-19.2435
13.914528847,4.237358,1.494879,-0.4764667,0.3151734,0.01262258,0.8854674,-16.20656,-22.81559,-19.2435
13.924416542,2.372312,-0.917662500000002,-0.5375581,0.310343,0.02741317,0.8969293,-16.20656,-22.81559,-19.2435
13.934304714,0.3829313,-1.623772,-0.5375581,0.3131804,0.01991832,0.9171691,-15.82182,-22.82947,-19.68889
13.94419241,-0.5495912,0.2003446,-0.4764667,0.3179953,0.02712152,0.9435889,-15.82182,-22.82947,-19.68889
13.954079628,0.5072676,2.142147,-0.781923700000001,0.2976218,0.01563841,0.9219823,-15.82182,-22.82947,-19.68889
13.9639678,1.43979,2.436359,-1.576112,0.2883392,0.001607086,0.9268518,-15.82182,-22.82947,-19.68889
13.976327896,0.2585949,-0.3880802,-2.125934,0.2674772,0.0005953256,0.9215431,-15.82182,-22.82947,-19.68889
13.986215591,0.631603899999999,-3.742102,-2.431391,0.270407,0.003962241,0.9191248,-15.45333,-23.2047,-19.22104
13.99610281,1.501958,-3.035992,-2.859031,0.2670246,0.006360539,0.9162233,-15.45333,-23.2047,-19.22104
14.005990982,2.185808,-1.447245,-3.225579,0.2578793,0.02480363,0.9108296,-15.45333,-23.2047,-19.22104
14.015878677,3.304835,-1.741457,-4.325224,0.2302975,0.02880214,0.8814418,-15.45333,-23.2047,-19.22104
14.02576685,3.180499,-4.036314,-5.241595,0.2215571,0.03481378,0.8915008,-15.45333,-23.2047,-19.22104
14.035654545,0.5694358,-4.330527,-5.302687,0.26551,0.01867581,0.9579995,-15.8296,-22.82112,-19.23492
14.04554224,-0.3009185,0.2591871,-4.691772,0.2760972,0.001812939,0.9715624,-15.8296,-22.82112,-19.23492
14.055429935,0.1964268,3.966264,-4.813955,0.2712003,-0.001886062,0.9840795,-15.8296,-22.82112,-19.23492
14.065318108,0.5072676,4.319319,-4.936138,0.2552142,-0.01996702,0.9451982,-15.8296,-22.82112,-19.23492
14.075205803,1.377622,4.437004,-3.958676,0.2703277,-0.009470903,0.9326584,-15.8296,-22.82112,-19.23492
14.085093021,1.937135,4.907743,-2.920122,0.273781,-0.006843602,0.9134122,-15.82114,-22.45141,-19.69419
14.094981194,3.553508,1.436037,-4.264133,0.2756164,-0.01762291,0.9418431,-15.82114,-22.45141,-19.69419
14.104868889,2.683153,10.08588,-2.859031,0.285569,0.007682166,0.8768022,-15.82114,-22.45141,-19.69419
14.114757061,0.3207631,11.14505,-2.614666,0.2903755,0.00946423,0.898921,-15.82114,-22.45141,-19.69419
14.12464428,-1.482114,11.91,-1.637203,0.2844674,0.007515655,0.930665,-15.82114,-22.45141,-19.69419
14.134532452,-1.917291,12.85148,-0.904106400000002,0.3039173,0.02019544,0.9344704,-15.0679,-22.84052,-19.67173
14.144420147,-3.96884,13.38106,-0.1099183,0.2602844,0.04633446,0.95064,-15.0679,-22.84052,-19.67173
14.154308319,-7.38808899999998,15.61707,-1.94266,0.2878183,0.04363348,1.001662,-15.0679,-22.84052,-19.67173
14.164196014,-10.55867,14.73444,-2.736848,0.2635375,0.04525015,1.008841,-15.0679,-22.84052,-19.67173
