Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
15.806520939,-1.419945,-1.506087,-1.453929,0.3170253,0.002236726,0.9076444,-19.0671,-19.39575,-20.71892
15.81640768,-2.352468,0.2003446,-1.698295,0.3412824,-0.004206262,0.9033763,-19.0671,-19.39575,-20.71892
15.828766346,-1.855123,1.906777,-2.125934,0.3413005,-0.000339454,0.9014331,-19.06248,-20.53709,-21.09213
15.838653088,-0.922600200000001,2.436359,-2.187026,0.3364082,-0.008049096,0.9062757,-19.06248,-20.53709,-21.09213
15.848540306,-0.3630867,1.789092,-2.309208,0.3267176,-0.003160446,0.90624,-19.06248,-20.53709,-21.09213
15.858427048,-0.611759299999997,1.671407,-2.248117,0.3077947,-0.001175254,0.9062085,-19.06248,-20.53709,-21.09213
15.868313312,-0.5495912,1.024139,-2.187026,0.2917898,0.0007682266,0.9037758,-19.06248,-20.53709,-21.09213
15.878201008,-0.860432000000003,0.2591871,-2.553574,0.2893379,-0.001059699,0.911477,-19.06112,-19.78097,-21.10274
15.888087273,-1.046937,-0.2115527,-2.309208,0.2898698,0.004617295,0.9003877,-19.06112,-19.78097,-21.10274
15.897974491,-0.922600200000001,-0.682292600000002,-2.003752,0.2865143,0.002366982,0.8797157,-19.06112,-19.78097,-21.10274
15.907861233,-0.798263799999999,-0.2703952,-1.270655,0.277827,0.003564613,0.8609438,-19.06112,-19.78097,-21.10274
15.917747974,-0.2387504,-1.741457,-1.148472,0.2714724,-0.002609393,0.8705862,-19.06112,-19.78097,-21.10274
15.927635193,0.1964268,-3.389047,-0.904106400000002,0.2632023,-0.005958567,0.8734792,-19.43808,-19.77545,-21.11132
15.937521934,1.937135,-7.037281,-1.087381,0.2559209,0.0005299617,0.8830566,-19.43808,-19.77545,-21.11132
15.947408676,5.79156200000001,-9.15561100000003,-1.698295,0.2913067,-0.001236134,0.899938,-19.43808,-19.77545,-21.11132
15.957295895,10.51634,-6.743068,-2.125934,0.3106625,0.002085871,0.9292794,-19.43808,-19.77545,-21.11132
15.967182159,11.69754,-5.213164,-2.125934,0.3352859,0.01430829,1.000903,-19.43808,-19.77545,-21.11132
15.977069855,9.89465999999999,-0.741135099999998,-2.3703,0.343517,0.006457685,0.9980664,-19.0618,-20.15903,-21.09743
15.98695612,6.97275699999999,0.965297,-1.94266,0.323161,0.002329109,0.9797891,-19.0618,-20.15903,-21.09743
15.996842861,3.429171,1.906777,-0.965197799999999,0.3086811,0.02075399,0.9724657,-19.0618,-20.15903,-21.09743
16.00673008,0.5072676,2.495202,-0.843015,0.2913389,0.04185459,0.9482933,-19.0618,-20.15903,-21.09743
16.016616821,-2.414636,2.730572,-1.148472,0.2676073,0.04207211,0.9271047,-19.0618,-20.15903,-21.09743
16.026503563,-3.409327,2.789414,-2.064843,0.2424666,0.04647365,0.8924276,-19.0618,-20.15903,-21.09743
16.038862228,-1.419945,-0.2703952,-4.019767,0.2168052,0.05209456,0.874095,-19.0618,-20.15903,-21.09743
16.048749447,0.3207631,-2.977149,-4.99723,0.2264526,0.04747919,0.8924043,-19.0618,-20.15903,-21.09743
16.058635712,2.372312,-5.448534,-5.119412,0.2022284,0.02385676,0.8400757,-19.0618,-20.15903,-21.09743
16.068523407,2.310144,-3.800944,-4.630681,0.29028,0.02449903,0.9599219,-19.0618,-20.15903,-21.09743
16.078409672,1.626294,-2.50641,-4.630681,0.2654924,0.0008724453,0.9398144,-18.74767,-20.16364,-21.09028
16.088296413,1.937135,2.142147,-3.592128,0.2959411,-0.008816957,0.9798145,-18.74767,-20.16364,-21.09028
16.098183632,0.4450994,2.789414,-2.248117,0.2881974,0.003000178,0.9874406,-18.74767,-20.16364,-21.09028
16.108070374,-2.787645,4.319319,-1.51502,0.2896716,0.007859578,0.9869369,-18.74767,-20.16364,-21.09028
16.117957115,-5.460876,3.907421,-1.698295,0.2693847,0.01125606,0.9508276,-18.74767,-20.16364,-21.09028
16.127844334,-6.26906200000001,1.024139,-2.187026,0.2728444,-0.005066496,0.9018601,-19.06915,-20.52993,-20.70301
16.137731075,-3.844504,-2.153355,-3.347762,0.273368,-0.02521415,0.8572368,-19.06915,-20.52993,-20.70301
16.147618294,-2.60114,-3.506732,-4.203042,0.3008642,-0.04409944,0.9006464,-19.06915,-20.52993,-20.70301
16.157504559,-4.404017,-0.3880802,-4.56959,0.3067304,-0.02844955,0.9058641,-19.06915,-20.52993,-20.70301
16.1673913,-5.83388499999998,2.200989,-5.058321,0.2889642,0.01266718,0.8849565,-19.06915,-20.52993,-20.70301
16.177278519,-4.341849,6.20227800000001,-5.180504,0.3157141,0.04262742,0.9055151,-19.43876,-20.15351,-21.10601
16.18716526,-4.466185,6.849545,-5.85250900000001,0.2855739,0.04895456,0.9338233,-19.43876,-20.15351,-21.10601
16.197052002,-4.590521,6.08459299999998,-6.21905800000003,0.2701685,0.07804385,0.9230784,-19.43876,-20.15351,-21.10601
16.20693922,-3.222822,1.553722,-7.135428,0.3011782,0.06737751,0.9303815,-19.43876,-20.15351,-21.10601
16.216825962,-3.222822,-0.6234501,-7.74634200000002,0.3151757,0.06386404,0.9578276,-19.43876,-20.15351,-21.10601
16.226713181,-3.844504,3.201311,-8.235073,0.3544819,0.06882123,0.9689085,-19.43944,-20.53157,-21.10071
16.236599922,-3.222822,2.259832,-7.44088499999998,0.3157398,0.04097241,0.8925387,-19.43944,-20.53157,-21.10071
16.246486187,-1.357777,0.965297,-7.01324599999999,0.2991318,0.002356429,0.8806918,-19.43944,-20.53157,-21.10071
16.256373882,-2.911981,1.436037,-4.019767,0.3004431,-0.02459904,0.9019902,-19.43944,-20.53157,-21.10071
16.268732071,-4.777026,2.730572,-1.51502,0.2751906,-0.02695513,0.903897,-18.36361,-20.55558,-21.53037
16.278618813,-7.07724800000002,4.437004,-1.209563,0.2978892,-0.003886601,0.98412,-18.36361,-20.55558,-21.53037
16.288505554,-10.80734,7.26144300000002,-1.209563,0.2576444,0.003396526,0.9773046,-18.36361,-20.55558,-21.53037
16.298392773,-11.73986,7.37912799999999,-2.064843,0.2597411,0.02530321,0.9444937,-18.36361,-20.55558,-21.53037
16.308279514,-7.26375199999999,9.262087,-3.897585,0.3010325,0.01505125,0.9157372,-18.36361,-20.55558,-21.53037
16.318166733,-3.098486,12.91032,-5.85250900000001,0.3030236,0.02966301,0.9161465,-18.36292,-20.17752,-21.53567
16.328053475,-2.849813,12.73379,-7.807434,0.3045558,0.01972494,0.8705109,-18.36292,-20.17752,-21.53567
16.337939739,-3.96884,13.02801,-8.05179900000001,0.3025047,-0.02287292,0.8548535,-18.36292,-20.17752,-21.53567
16.347827435,-5.523044,13.08685,-6.82997100000002,0.281096,-0.04887623,0.8390902,-18.36292,-20.17752,-21.53567
16.357713699,-5.025699,10.08588,-5.302687,0.2727922,-0.06395528,0.8391569,-18.36292,-20.17752,-21.53567
16.367600441,-3.657999,6.79070299999997,-3.592128,0.2542032,-0.09286236,0.8575569,-17.9793,-20.1902,-21.91621
16.37748766,-2.787645,6.37880599999998,-1.576112,0.2595185,-0.09570829,0.8633483,-17.9793,-20.1902,-21.91621
16.387374401,-1.917291,6.08459299999998,-0.2931925,0.2649252,-0.07325456,0.8675693,-17.9793,-20.1902,-21.91621
16.39726162,-2.60114,4.378161,0.928635399999997,0.219796,-0.07174048,0.8651057,-17.9793,-20.1902,-21.91621
16.407148361,-3.720167,-0.2703952,1.600641,0.1974961,-0.05843373,0.8727078,-17.9793,-20.1902,-21.91621
16.417035103,-3.595831,-3.565574,2.211555,0.1848218,-0.06105001,0.8914626,-17.97152,-20.19856,-22.37018
16.426922321,-1.357777,-4.565897,1.967189,0.1790819,-0.03768662,0.8898952,-17.97152,-20.19856,-22.37018
16.436808586,-0.3630867,-4.212842,1.722824,0.1946492,-0.02052314,0.8999255,-17.97152,-20.19856,-22.37018
16.446695328,-0.1765822,-3.389047,1.906098,0.2092652,-0.02189258,0.8754221,-17.97152,-20.19856,-22.37018
16.456582546,0.880276599999999,-4.212842,2.394829,0.2145917,-0.03426379,0.8629867,-17.97152,-20.19856,-22.37018
16.466469288,1.128949,-5.213164,3.372291,0.2159758,-0.04326695,0.8798661,-17.96553,-20.58378,-22.75399
16.476356506,-0.673927500000001,-6.27232800000001,5.571581,0.2246293,-0.03877734,0.9207315,-17.96553,-20.58378,-22.75399
16.488715172,-2.725477,-4.624739,7.28214099999998,0.2327817,-0.03916345,0.96114,-17.96553,-20.58378,-22.75399
16.498601914,-3.782336,-2.50641,7.46541499999997,0.2526569,-0.03406721,0.9789311,-17.96553,-20.58378,-22.75399
16.508488655,-2.414636,-0.03502529,7.34323199999999,0.2463664,-0.0515941,0.9458289,-17.96553,-20.58378,-22.75399
16.518375874,0.5072676,0.788769499999999,7.15995799999999,0.2464649,-0.03728775,0.925558,-18.72723,-20.56437,-22.31718
16.528262138,-0.5495912,-0.2703952,7.77087200000001,0.2334572,-0.005531203,0.9306729,-18.72723,-20.56437,-22.31718
16.538149834,-3.906672,-3.918629,7.77087200000001,0.2267463,0.008380741,0.9156864,-18.72723,-20.56437,-22.31718
16.548036098,-3.409327,-5.625061,7.46541499999997,0.2261407,-0.02121418,0.923049,-18.72723,-20.56437,-22.31718
