Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
17.05197382,-3.098486,0.612241999999999,2.089372,0.3610831,0.2146862,0.8566051,-24.21804,-19.87574,-6.291944
17.061862469,-2.414636,-0.4469227,1.722824,0.3620659,0.2111246,0.8465249,-24.21804,-19.87574,-6.291944
17.071750164,-1.855123,-1.976827,1.295184,0.3576865,0.1992595,0.834076,-24.21804,-19.87574,-6.291944
17.081638336,-2.228132,-3.565574,0.806452599999999,0.3683388,0.193431,0.8365221,-24.21804,-19.87574,-6.291944
17.091526032,-3.595831,-3.565574,0.5009956,0.3717178,0.1880679,0.8365531,-23.83971,-19.12515,-6.293972
17.101414681,-5.523044,-3.035992,0.1955387,0.3683125,0.1801612,0.8284135,-23.83971,-19.12515,-6.293972
17.113774776,-5.087867,-2.74178,-0.781923700000001,0.3638992,0.1615436,0.8203269,-23.83971,-19.12515,-6.293972
17.123662472,-5.212203,-2.565252,-1.820477,0.3720534,0.1402454,0.8300622,-23.83971,-19.12515,-6.293972
17.133550644,-8.81795700000002,-2.27104,-2.675757,0.3724631,0.1218124,0.8349651,-23.83971,-19.12515,-6.293972
17.143439293,-13.60491,-1.506087,-3.042305,0.3743951,0.1153992,0.8297095,-23.83262,-19.51156,-6.742637
17.153326988,-16.46464,0.4357146,-3.042305,0.3800997,0.09524512,0.8504975,-23.83262,-19.51156,-6.742637
17.16321516,-16.77548,1.377194,-2.309208,0.3746295,0.08165202,0.8851862,-23.83262,-19.51156,-6.742637
17.173102856,-13.60491,0.2003446,-1.759386,0.3915543,0.08649719,0.9183645,-23.83262,-19.51156,-6.742637
17.182991505,-9.56397399999999,-1.09419,-1.698295,0.4008119,0.09969126,0.9226367,-23.83262,-19.51156,-6.742637
17.192879677,-7.45025699999999,-1.682615,-1.820477,0.4105288,0.08866438,0.9029858,-23.82595,-19.51872,-7.131754
17.202767372,-6.89074399999999,-0.4469227,-1.881569,0.4111249,0.09642373,0.8683209,-23.82595,-19.51872,-7.131754
17.212655544,-8.693621,0.4357146,-1.637203,0.4029405,0.1019885,0.8485656,-23.82595,-19.51872,-7.131754
17.222544193,-14.35092,1.082982,-1.148472,0.3918085,0.1107685,0.8480277,-23.82595,-19.51872,-7.131754
17.232431889,-14.7861,1.200667,-0.4764667,0.383068,0.1197665,0.8623999,-23.82595,-19.51872,-7.131754
17.242320061,-7.94760199999998,1.200667,0.01226447,0.3689367,0.1246227,0.8921764,-24.19581,-19.89961,-7.589
17.252208233,-0.05224587,0.0826596800000002,0.4399042,0.3529686,0.1502201,0.9083803,-24.19581,-19.89961,-7.589
17.262096405,3.367003,-1.447245,0.3177214,0.3472243,0.1696304,0.9029855,-24.19581,-19.89961,-7.589
17.271984577,-1.109105,-0.03502529,-0.720832200000002,0.3633727,0.1832024,0.8683089,-24.19581,-19.89961,-7.589
17.281872749,-5.77171700000003,2.436359,-2.064843,0.3502984,0.1780568,0.8481214,-24.19581,-19.89961,-7.589
17.291760445,-7.57459399999998,2.789414,-2.736848,0.3419572,0.1602287,0.8597441,-23.07134,-19.15171,-7.119898
17.301649094,-5.398708,2.259832,-3.225579,0.3380254,0.1535773,0.8703535,-23.07134,-19.15171,-7.119898
17.311537266,-1.544282,1.436037,-3.531036,0.3374579,0.1416563,0.8872454,-23.07134,-19.15171,-7.119898
17.321424961,1.812799,-0.6234501,-3.653219,0.3475745,0.1247009,0.8945564,-23.07134,-19.15171,-7.119898
17.333785057,4.423862,-2.50641,-3.836493,0.3665432,0.1328768,0.8902083,-23.07134,-19.15171,-7.119898
17.343673706,4.610366,-3.212519,-4.630681,0.3748615,0.1394045,0.8719097,-23.81748,-19.14902,-7.591028
17.353561401,2.496649,-3.094834,-5.608143,0.3850577,0.1423492,0.874792,-23.81748,-19.14902,-7.591028
17.363449574,0.4450994,-2.682937,-6.03578300000001,0.3904596,0.1563738,0.8689562,-23.81748,-19.14902,-7.591028
17.373337269,-0.3009185,-2.565252,-5.791418,0.3696745,0.1688096,0.8510756,-23.81748,-19.14902,-7.591028
17.383225918,-1.544282,-4.036314,-5.241595,0.3692189,0.1830543,0.8591788,-23.81748,-19.14902,-7.591028
17.39311409,-0.114414,-4.801267,-3.531036,0.3696519,0.1813932,0.8784246,-23.44052,-19.15454,-7.582448
17.403001785,1.937135,-4.860109,-2.736848,0.3812078,0.1749916,0.9078063,-23.44052,-19.15454,-7.582448
17.412889958,4.548198,-5.154321,-2.003752,0.3865157,0.155273,0.8925224,-23.44052,-19.15454,-7.582448
17.422778607,4.610366,-5.625061,-1.331746,0.4005692,0.1454344,0.8877789,-23.44052,-19.15454,-7.582448
17.432666302,-2.538972,-1.56493,-0.2321011,0.4146243,0.1360826,0.883033,-23.44052,-19.15454,-7.582448
17.442554474,-9.99915100000003,1.730249,0.989726799999999,0.4005914,0.1263838,0.8513252,-23.44189,-19.91066,-7.57184
