Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
20.473053932,-2.787645,-0.5057651,-0.3542839,0.3716068,0.1544326,0.8343183,-24.23511,-21.30946,-5.428525
20.482942104,-3.657999,0.02381719,-0.4153753,0.3726144,0.1606675,0.828036,-24.23511,-21.30946,-5.428525
20.4928298,-3.347158,-0.2115527,-0.598649399999998,0.3692057,0.1672131,0.8419457,-24.23511,-21.30946,-5.428525
20.502717972,-2.663309,-1.035347,-1.270655,0.3662657,0.1639109,0.8486919,-23.85746,-20.93692,-5.425249
20.512606621,-1.60645,-1.623772,-1.881569,0.3711158,0.1689002,0.8573288,-23.85746,-20.93692,-5.425249
20.522494793,-1.60645,-2.74178,-2.309208,0.3716041,0.1663926,0.8525329,-23.85746,-20.93692,-5.425249
20.532382488,-2.974149,-4.624739,-2.736848,0.3813288,0.1652701,0.8438931,-23.85746,-20.93692,-5.425249
20.542270661,-5.460876,-5.389691,-3.042305,0.3982258,0.1513811,0.8617765,-23.85746,-20.93692,-5.425249
20.552158356,-9.62614300000003,-2.74178,-3.286671,0.4137162,0.1366845,0.858021,-24.23442,-20.9314,-5.433829
20.562046528,-14.16442,0.5533996,-2.553574,0.4107086,0.1099225,0.8591147,-24.23442,-20.9314,-5.433829
20.571934223,-15.59429,4.142791,-1.51502,0.3917423,0.0987458,0.8581877,-24.23442,-20.9314,-5.433829
20.581822872,-13.35623,4.260476,-0.965197799999999,0.3771029,0.08632971,0.8726615,-24.23442,-20.9314,-5.433829
20.591711044,-9.75047899999999,2.848256,-0.904106400000002,0.3688982,0.1024728,0.8764179,-24.23442,-20.9314,-5.433829
20.60159874,-7.26375199999999,0.612241999999999,-0.781923700000001,0.3558539,0.1210242,0.8777521,-24.23511,-21.30946,-5.428525
20.611486912,-4.901362,-2.918307,-0.04882693,0.362662,0.1313805,0.8873259,-24.23511,-21.30946,-5.428525
20.621374607,-2.2903,-3.977472,0.4399042,0.3671109,0.1542512,0.8867345,-24.23511,-21.30946,-5.428525
20.633734703,-0.3630867,-3.330204,-0.4153753,0.3847612,0.1963941,0.8740377,-24.23511,-21.30946,-5.428525
20.643622875,-0.4252549,-2.859464,-1.820477,0.3838684,0.2158091,0.8696102,-24.23511,-21.30946,-5.428525
20.65351057,-1.171273,-1.388402,-3.408854,0.3858372,0.2176236,0.8609468,-24.23511,-21.30946,-5.428525
20.663399219,-3.347158,0.906454499999998,-4.813955,0.3708099,0.2155402,0.849879,-24.23511,-21.30946,-5.428525
20.673287392,-4.279681,1.847934,-5.424869,0.3687787,0.2081484,0.8763646,-24.23511,-21.30946,-5.428525
20.683175087,-1.730786,2.436359,-5.424869,0.3667642,0.1951773,0.8879701,-24.23511,-21.30946,-5.428525
20.693063259,1.377622,1.082982,-5.119412,0.3608975,0.1820196,0.8865871,-24.23511,-21.30946,-5.428525
20.702950954,2.745321,-1.8003,-3.836493,0.3521629,0.1840135,0.8884908,-23.85746,-20.93692,-5.425249
20.712839127,2.683153,-5.154321,-2.981214,0.3613372,0.1688711,0.8866541,-23.85746,-20.93692,-5.425249
20.722726822,1.937135,-4.977794,-3.653219,0.3831629,0.1604708,0.8814312,-23.85746,-20.93692,-5.425249
20.732614994,-2.538972,-4.036314,-4.99723,0.3715322,0.1563968,0.8679728,-23.85746,-20.93692,-5.425249
20.742503643,-5.709548,-3.624417,-4.875047,0.3670951,0.1329529,0.8627961,-23.85746,-20.93692,-5.425249
20.752391338,-6.39339799999998,-2.682937,-4.080859,0.3704449,0.1168266,0.8595149,-23.85815,-21.31498,-5.419945
20.76227951,-5.89605299999999,-2.329882,-2.675757,0.3646054,0.1074783,0.8523417,-23.85815,-21.31498,-5.419945
20.772167206,-3.098486,-2.74178,-1.087381,0.3567879,0.09537745,0.8562413,-23.85815,-21.31498,-5.419945
20.782055378,-0.487423,-2.682937,-1.576112,0.3732572,0.09207287,0.8654143,-23.85815,-21.31498,-5.419945
20.791943073,-0.1765822,-1.741457,-2.79794,0.394143,0.09890641,0.8692508,-23.85815,-21.31498,-5.419945
20.801831245,-2.165963,-0.682292600000002,-2.614666,0.3975575,0.1027737,0.8677924,-23.47383,-20.94961,-5.805786
20.811719894,-4.528353,-0.2115527,-2.125934,0.4034232,0.114943,0.8682185,-23.47383,-20.94961,-5.805786
20.82160759,-5.89605299999999,1.082982,-1.759386,0.4122162,0.135471,0.8743768,-23.47383,-20.94961,-5.805786
20.831495762,-6.82857599999998,2.495202,-3.592128,0.4206046,0.1604667,0.8535804,-23.47383,-20.94961,-5.805786
20.841383934,-5.89605299999999,4.319319,-4.447407,0.4158578,0.1946345,0.8582115,-23.47383,-20.94961,-5.805786
20.853743553,-6.26906200000001,6.14343500000001,-6.03578300000001,0.4051889,0.2040514,0.8677703,-24.22066,-21.32497,-6.271612
20.863631725,-7.20158399999998,5.79037999999999,-6.52451399999998,0.3906356,0.2040299,0.8643874,-24.22066,-21.32497,-6.271612
20.873519421,-8.07193900000002,3.789736,-6.891063,0.3808968,0.2037491,0.8768817,-24.22066,-21.32497,-6.271612
20.88340807,-9.253134,2.083304,-6.34123999999999,0.3925398,0.1972951,0.8701946,-24.22066,-21.32497,-6.271612
20.893296242,-7.38808899999998,2.730572,-6.402331,0.3901079,0.1928526,0.865886,-24.22066,-21.32497,-6.271612
20.903183937,-6.89074399999999,4.907743,-6.891063,0.4121641,0.1452552,0.9099154,-23.84302,-20.95244,-6.268336
20.913072109,-8.32061100000001,6.849545,-6.09687499999998,0.4069519,0.1459571,0.8584474,-23.84302,-20.95244,-6.268336
20.922959805,-6.51773500000002,6.673018,-7.31870300000003,0.3880332,0.1240295,0.8224676,-23.84302,-20.95244,-6.268336
20.932847977,-4.217513,3.789736,-7.68525100000001,0.4102057,0.1045599,0.8586603,-23.84302,-20.95244,-6.268336
20.942735672,-4.590521,4.790059,-7.990708,0.4208213,0.1069253,0.8879966,-23.84302,-20.95244,-6.268336
20.952623844,-7.512425,6.79070299999997,-8.47943899999997,0.4222549,0.100098,0.8875518,-23.08311,-21.34871,-6.634988
20.962512493,-10.683,9.438614,-8.907079,0.4271345,0.09345601,0.8673922,-23.08311,-21.34871,-6.634988
20.972400188,-11.61552,8.55597700000001,-9.090353,0.3935724,0.07506136,0.8703325,-23.08311,-21.34871,-6.634988
20.982288361,-8.81795700000002,4.731216,-7.37979399999998,0.3779878,0.0629831,0.8747041,-23.08311,-21.34871,-6.634988
20.992176533,-5.83388499999998,5.555011,-7.01324599999999,0.3863225,0.09428962,0.8851357,-23.08311,-21.34871,-6.634988
21.002064228,-7.45025699999999,6.614175,-8.35725599999999,0.4125939,0.1232122,0.9013707,-23.07464,-20.979,-7.094262
21.0119524,-9.87481500000001,9.08555899999997,-8.78489600000001,0.4111843,0.1423283,0.9094482,-23.07464,-20.979,-7.094262
21.021840096,-11.61552,11.4981,-7.807434,0.3994713,0.1497223,0.9464284,-23.07464,-20.979,-7.094262
21.031728268,-14.35092,13.02801,-6.09687499999998,0.3733639,0.1545983,0.9107859,-23.07464,-20.979,-7.094262
21.041616917,-15.59429,13.49875,-5.974692,0.3719845,0.1566044,0.881919,-23.07464,-20.979,-7.094262
21.051504612,-16.21597,10.61546,-6.21905800000003,0.3525935,0.1554963,0.8703604,-23.06823,-21.74347,-7.537624
21.061392784,-16.52681,10.14472,-5.363778,0.3631366,0.1463763,0.9132204,-23.06823,-21.74347,-7.537624
21.073752403,-19.88389,13.26338,-3.042305,0.3848572,0.1117671,0.913901,-23.06823,-21.74347,-7.537624
21.083640575,-22.61929,17.26466,-0.4764667,0.3566978,0.08251037,0.8750622,-23.06823,-21.74347,-7.537624
21.093528748,-21.12725,20.20679,1.539549,0.3226836,0.05793531,0.8554299,-23.06823,-21.74347,-7.537624
21.103416443,-17.58367,19.08878,2.944651,0.3036268,0.04882349,0.8948899,-22.28609,-22.16361,-9.201333
21.113305092,-14.72393,21.20711,4.838485,0.3141647,0.02381197,0.9171506,-22.28609,-22.16361,-9.201333
21.123193264,-11.05601,24.61997,5.51049,0.27687,0.02089734,0.880092,-22.28609,-22.16361,-9.201333
21.133080959,-6.89074399999999,23.61965,4.288662,0.2182739,0.01817384,0.8204049,-22.28609,-22.16361,-9.201333
21.142969132,-2.476804,16.26434,4.227571,0.188703,0.01650541,0.8025856,-22.28609,-22.16361,-9.201333
21.152856827,1.315454,10.26241,3.005743,0.2091537,0.03347231,0.8001185,-21.51636,-21.43406,-10.03787
21.162744999,2.558817,7.79102499999999,3.189017,0.2213517,0.05444458,0.8038738,-21.51636,-21.43406,-10.03787
21.172632694,4.610366,6.02575100000001,2.761377,0.2151424,0.07571731,0.792698,-21.51636,-21.43406,-10.03787
21.182521343,6.59974800000002,4.495846,2.517012,0.2117796,0.07500693,0.7773083,-21.51636,-21.43406,-10.03787
21.192409515,8.09178400000001,1.847934,3.250108,0.1962786,0.08031493,0.7719737,-21.51636,-21.43406,-10.03787
21.202297211,9.397315,-2.094512,3.677748,0.182762,0.1022688,0.7728093,-21.50259,-21.82763,-10.87565
21.212185383,11.26236,-5.91927400000001,3.433383,0.1915385,0.1224033,0.7852215,-21.50259,-21.82763,-10.87565
21.222073078,12.56789,-8.33181600000001,2.089372,0.2230681,0.1373953,0.8149986,-21.50259,-21.82763,-10.87565
