Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
15.148085594,2.061472,-3.271362,-2.064843,0.2811297,-0.1604794,0.8661048,-18.34697,-18.74261,-22.33424
15.15797329,3.056162,-4.801267,-2.431391,0.2748381,-0.1615775,0.8569657,-18.34834,-19.49873,-22.32363
15.167861462,5.91589799999997,-6.331171,-2.248117,0.2768091,-0.1597774,0.8473405,-18.34834,-19.49873,-22.32363
15.177749634,9.33514699999999,-7.33149300000002,-1.270655,0.2825697,-0.1708304,0.8579831,-18.34834,-19.49873,-22.32363
15.187637329,10.76501,-7.62570600000002,-0.720832200000002,0.2907315,-0.1842152,0.8758541,-18.34834,-19.49873,-22.32363
15.197525501,9.70815600000002,-7.33149300000002,-0.04882693,0.296998,-0.1944032,0.8792791,-18.34834,-19.49873,-22.32363
15.207413197,7.53226999999998,-7.50802099999999,0.0733558600000001,0.2999115,-0.198398,0.8730507,-18.73906,-19.09963,-21.49443
15.217301369,6.102402,-8.27297300000001,-0.04882693,0.3052584,-0.1934815,0.8768792,-18.73906,-19.09963,-21.49443
15.227188587,5.79156200000001,-8.21413099999998,-0.04882693,0.3082082,-0.1743166,0.8888088,-18.73906,-19.09963,-21.49443
15.237076283,5.480721,-7.68454900000002,-0.1710097,0.3189419,-0.1453273,0.9074305,-18.73906,-19.09963,-21.49443
15.246964455,5.232048,-6.91959600000003,-0.598649399999998,0.3253319,-0.1075285,0.9284073,-18.73906,-19.09963,-21.49443
15.25685215,5.107712,-6.21348599999998,-0.598649399999998,0.3262988,-0.09357226,0.9499792,-18.73906,-19.09963,-21.49443
15.266740322,4.361694,-4.565897,-0.5375581,0.3457083,-0.08213037,0.9686994,-18.73906,-19.09963,-21.49443
15.276628494,1.688463,-2.03567,-0.2931925,0.3418375,-0.07125165,0.9792203,-18.73906,-19.09963,-21.49443
15.28651619,-1.233441,-1.388402,-0.5375581,0.3311716,-0.08374941,0.9561871,-18.73906,-19.09963,-21.49443
15.298875332,-2.352468,-2.329882,0.1344473,0.3118383,-0.0762651,0.9330431,-18.73906,-19.09963,-21.49443
15.308763504,-2.538972,-1.506087,0.4399042,0.3094591,-0.05814978,0.9392009,-18.74573,-19.09247,-21.10531
15.318651199,-2.849813,0.729926999999997,-0.3542839,0.3002498,-0.04676638,0.9501941,-18.74573,-19.09247,-21.10531
15.328539372,-3.409327,1.965619,-1.637203,0.2895941,-0.0409163,0.9491905,-18.74573,-19.09247,-21.10531
15.338427544,-2.725477,0.3180296,-2.79794,0.2774993,-0.05059738,0.9189276,-18.74573,-19.09247,-21.10531
15.348315239,-0.4252549,-0.917662500000002,-2.981214,0.2930129,-0.06394824,0.9074706,-18.74573,-19.09247,-21.10531
15.358203411,0.7559403,0.3180296,-2.248117,0.3075103,-0.07800498,0.9138101,-18.3621,-19.10516,-21.48585
15.36809063,-0.05224587,1.965619,-1.94266,0.3069904,-0.09868592,0.8985245,-18.3621,-19.10516,-21.48585
15.377978325,-0.860432000000003,2.024462,-2.003752,0.2957949,-0.1168751,0.8856189,-18.3621,-19.10516,-21.48585
15.387866497,-0.984768300000001,1.671407,-1.453929,0.2816728,-0.1314844,0.883753,-18.3621,-19.10516,-21.48585
15.397754192,-1.233441,1.141824,-1.392838,0.2845385,-0.1371681,0.8948462,-18.3621,-19.10516,-21.48585
15.407642365,-2.2903,2.024462,-0.4153753,0.3058347,-0.1368292,0.9203575,-18.73974,-19.47769,-21.48912
