Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.431515694,0.5694358,2.259832,0.867544000000001,0.3286871,-0.1505612,0.8843837,-6.123753,-23.06227,-24.46377
19.441402912,0.9424447,2.083304,0.989726799999999,0.3214234,-0.1466728,0.8829131,-6.123753,-23.06227,-24.46377
19.453763008,0.9424447,1.494879,0.867544000000001,0.3185071,-0.1451487,0.8867495,-6.123753,-23.06227,-24.46377
19.463650227,1.066781,0.729926999999997,1.050818,0.3117069,-0.148587,0.8838736,-6.123753,-23.06227,-24.46377
19.473537922,1.004613,-0.1527103,0.867544000000001,0.3238503,-0.1456821,0.8843536,-6.125005,-23.75538,-24.45404
19.48342514,1.066781,0.02381719,1.173001,0.3262755,-0.1461739,0.8843588,-6.125005,-23.75538,-24.45404
19.493313313,1.004613,0.0826596800000002,0.745361200000002,0.3233756,-0.1412699,0.8862544,-6.125005,-23.75538,-24.45404
19.503200531,1.128949,-0.03502529,0.6842698,0.3277337,-0.1402183,0.8920251,-6.125005,-23.75538,-24.45404
19.513088703,1.501958,-0.03502529,0.562087,0.3219154,-0.1387532,0.8915302,-6.125005,-23.75538,-24.45404
19.522975922,1.688463,-0.3880802,0.4399042,0.3204463,-0.1421517,0.8920266,-6.870462,-23.37462,-24.93048
19.532863617,1.750631,-1.153032,0.25663,0.3228809,-0.1352386,0.8987274,-6.870462,-23.37462,-24.93048
19.542750835,1.43979,-1.153032,0.0733558600000001,0.3282075,-0.13517,0.9040232,-6.870462,-23.37462,-24.93048
19.552639007,0.7559403,-0.85882,-0.1099183,0.3296772,-0.1312773,0.9040052,-6.870462,-23.37462,-24.93048
19.562526226,0.4450994,-0.976504999999998,-0.2321011,0.3272673,-0.1293895,0.8996646,-6.870462,-23.37462,-24.93048
