Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
15.314414024,-6.06297400000002,9.44122399999999,1.96189,1.046109,-0.07032397,-0.0974647,-37.38488,-26.11047,44.32954
15.324411869,-6.80137299999998,16.68221,2.327715,1.05359,-0.07937835,-0.09412538,-37.38488,-26.11047,44.32954
15.334409714,-7.232106,24.04191,2.937423,1.068567,-0.07215206,-0.08027464,-37.38488,-26.11047,44.32954
15.344408035,-7.724371,31.63901,3.791013,1.080764,-0.07284788,-0.07646712,-37.38488,-26.11047,44.32954
15.354406357,-7.90897099999997,39.35482,4.827517,1.096058,-0.08268908,-0.06979118,-36.62753,-26.4852,44.33714
15.364404678,-7.35517199999998,47.12998,6.16887299999999,1.117336,-0.09963099,-0.05546663,-36.62753,-26.4852,44.33714
15.374402523,-5.509175,55.37996,7.14440499999997,1.127702,-0.1066977,-0.05356858,-36.62753,-26.4852,44.33714
15.384400368,-3.601645,63.5705800000002,8.36382100000002,1.136429,-0.1039816,-0.04114151,-36.62753,-26.4852,44.33714
15.394398213,-1.632582,71.2270399999999,9.339353,1.139804,-0.1019054,-0.03396929,-36.62753,-26.4852,44.33714
15.404396534,-0.2788507,79.0615499999998,10.55877,1.147456,-0.09384751,-0.01962742,-38.12731,-26.12971,42.71147
15.414394379,1.44408,86.7179999999999,11.65624,1.157852,-0.1022925,-0.009114699,-38.12731,-26.12971,42.71147
15.424392223,3.966942,94.6118700000002,12.75372,1.165954,-0.0922996,0.003311581,-38.12731,-26.12971,42.71147
15.434390545,5.25914,102.8618,13.79022,1.18013,-0.09433959,0.0152518,-38.12731,-26.12971,42.71147
15.44438839,6.36673800000001,110.9338,14.76575,1.193013,-0.1057696,0.0128394,-38.12731,-26.12971,42.71147
15.454386234,8.45886800000002,118.9463,16.16808,1.214898,-0.103332,0.01950069,-38.87393,-25.77569,40.25288
15.464384079,10.79713,127.137,17.63138,1.218743,-0.1002483,0.02954328,-38.87393,-25.77569,40.25288
15.474382877,11.474,134.4373,18.85079,1.226778,-0.08619369,0.06111168,-38.87393,-25.77569,40.25288
15.484380722,11.78166,141.2628,20.25312,1.249191,-0.08556226,0.08165123,-38.87393,-25.77569,40.25288
15.494379044,11.6586,148.2664,21.71642,1.269062,-0.07981553,0.08257225,-38.87393,-25.77569,40.25288
15.504376888,10.85866,155.1513,22.75292,1.279557,-0.09365223,0.08782185,-41.49928,-24.69571,35.3253
15.514374733,10.30486,161.0865,23.97233,1.276682,-0.09608172,0.09404898,-41.49928,-24.69571,35.3253
15.524373055,9.01266799999998,166.2502,24.64301,1.279635,-0.0973847,0.1045728,-41.49928,-24.69571,35.3253
15.534370899,7.28973700000001,170.939,25.86243,1.288339,-0.1194783,0.1141349,-41.49928,-24.69571,35.3253
15.544368744,5.81293900000002,175.0937,26.9599,1.285089,-0.1276368,0.1323285,-41.49928,-24.69571,35.3253
15.554366589,4.520741,179.3077,28.17932,1.273555,-0.1360863,0.136658,-45.257,-23.24327,30.45186
15.56436491,3.16701,182.5721,29.4597,1.26959,-0.1321455,0.1510212,-45.257,-23.24327,30.45186
15.574362755,1.751746,185.243,30.923,1.282069,-0.1479043,0.1543535,-45.257,-23.24327,30.45186
15.584361553,-0.2173175,187.5577,31.77659,1.261111,-0.147171,0.1735329,-45.257,-23.24327,30.45186
15.594359398,-2.432514,189.2789,32.26436,1.245106,-0.1507046,0.1936619,-45.257,-23.24327,30.45186
15.604357243,-4.524643,189.6944,33.91057,1.241722,-0.1515284,0.2171182,-47.84634,-23.32834,22.69236
15.614355564,-6.61677399999998,190.5253,35.73969,1.216946,-0.1289111,0.2463487,-47.84634,-23.32834,22.69236
15.624353409,-8.955036,191.0595,37.14202,1.203606,-0.1445142,0.2693477,-47.84634,-23.32834,22.69236
15.634351253,-10.98563,190.7627,38.54435,1.177408,-0.1501798,0.2909307,-47.84634,-23.32834,22.69236
15.644349098,-11.97016,190.2285,38.8492,1.156188,-0.1617055,0.2986279,-47.84634,-23.32834,22.69236
15.65434742,-11.35483,190.644,38.78823,1.140578,-0.1868189,0.2962687,-50.48285,-21.13127,14.92069
15.664345264,-9.44730199999998,190.8814,38.66629,1.123763,-0.1991329,0.3144871,-50.48285,-21.13127,14.92069
15.674343109,-6.678307,190.466,38.17852,1.104293,-0.1998325,0.3331857,-50.48285,-21.13127,14.92069
15.684341431,-3.293979,190.1692,37.69075,1.08133,-0.1962626,0.3480606,-50.48285,-21.13127,14.92069
15.694339752,-0.3403839,189.1602,36.89814,1.074694,-0.2060862,0.3509462,-50.48285,-21.13127,14.92069
15.704338074,2.182479,187.6764,35.49581,1.039077,-0.2032041,0.3711077,-51.97801,-19.6892,6.838917
15.714335918,3.228544,185.5397,34.64222,1.011456,-0.2107933,0.3979581,-51.97801,-19.6892,6.838917
15.724333763,3.720809,182.6908,35.19096,0.9926537,-0.1948655,0.4267013,-51.97801,-19.6892,6.838917
15.734331608,3.905409,182.0973,34.8861,0.9904571,-0.1810745,0.4515876,-51.97801,-19.6892,6.838917
15.744329929,1.936346,181.1476,34.09348,0.9699071,-0.1758588,0.4817724,-51.97801,-19.6892,6.838917
15.754327774,0.02881546,178.7735,33.60571,0.9402531,-0.1792068,0.498575,-51.6132,-17.47617,-1.684512
15.764325619,0.2134152,175.7466,33.17892,0.9088189,-0.1655688,0.5168123,-51.6132,-17.47617,-1.684512
15.77432394,-1.632582,172.8383,31.04494,0.8794876,-0.1858175,0.5446259,-51.6132,-17.47617,-1.684512
