Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
12.121529102,-1.509515,6.117492,2.388686,0.9689935,-0.03785795,-0.1002101,-28.76436,-24.77112,52.64358
12.13152647,-3.232446,14.66423,3.364218,0.976409,-0.04356028,-0.1021358,-28.76436,-24.77112,52.64358
12.141523838,-4.83231,23.50773,4.156838,0.9827592,-0.04441987,-0.1035824,-28.76436,-24.77112,52.64358
12.151521206,-6.24757399999999,32.70735,5.13237,0.9989512,-0.05045667,-0.1079163,-28.76436,-24.77112,52.64358
12.161518574,-7.232106,41.4915,6.04693200000002,1.001929,-0.0533135,-0.1079207,-28.76436,-24.77112,52.64358
12.171515942,-7.47823899999999,50.0976,7.14440499999997,1.023427,-0.05622454,-0.1007788,-28.38792,-24.77158,52.25935
12.18151331,-7.35517199999998,59.0598000000002,8.24187900000002,1.059405,-0.07788458,-0.1027503,-28.38792,-24.77158,52.25935
12.191509724,-5.693775,67.90331,9.64420700000001,1.084872,-0.08467495,-0.1032715,-28.38792,-24.77158,52.25935
12.201507092,-3.232446,76.7467999999998,10.92459,1.116553,-0.08499461,-0.1004552,-28.38792,-24.77158,52.25935
12.211504459,-0.955716300000001,85.6496699999999,12.50983,1.154271,-0.0953778,-0.09525392,-28.38792,-24.77158,52.25935
12.221501827,1.382547,94.1964000000002,14.15604,1.175093,-0.08803603,-0.08141341,-29.50171,-24.80017,49.86451
12.231499195,3.413143,102.8025,15.43643,1.196649,-0.09378263,-0.0656565,-29.50171,-24.80017,49.86451
12.241496086,5.44374,111.2899,16.71681,1.206182,-0.0824001,-0.06376174,-29.50171,-24.80017,49.86451
12.251493454,6.73593800000001,118.9463,18.11914,1.215763,-0.07338051,-0.05468782,-29.50171,-24.80017,49.86451
