Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
92.62,0.856693099999998,1.722609,1.203529,0.9882836,0.07522118,-0.157702,-28.32145,-38.89371,1.88988
92.63,1.841225,1.960019,1.081588,0.9953862,0.06030609,-0.1567533,-28.32145,-38.89371,1.88988
92.64,2.579623,1.663257,1.081588,0.9915907,0.05491646,-0.1533953,-28.32145,-38.89371,1.88988
92.65,2.51809,1.425847,0.898675600000003,0.9846433,0.06157799,-0.1538635,-28.32145,-38.89371,1.88988
92.66,2.271957,1.366495,0.776734100000001,0.9846729,0.06019093,-0.146206,-28.32145,-38.89371,1.88988
92.67,1.902758,0.832323400000001,0.654792599999999,0.9856939,0.05781649,-0.1423785,-29.07093,-38.89933,1.884319
92.68,1.533559,0.5355615,0.654792599999999,0.9953702,0.06134784,-0.1490964,-29.07093,-38.89933,1.884319
92.69,1.041293,0.2981521,0.5328511,0.9903978,0.06656425,-0.1524391,-29.07093,-38.89933,1.884319
92.7,0.733626700000001,0.1794474,0.5328511,0.9909291,0.06410117,-0.1572251,-29.07093,-38.89933,1.884319
92.71,0.856693099999998,0.120095,0.5328511,0.9957467,0.06715149,-0.1529271,-29.07093,-38.89933,1.884319
92.72,1.041293,0.120095,0.4718803,0.9947796,0.06658503,-0.1596254,-28.32733,-38.51716,1.43635
92.73,1.287426,0.2387997,0.288968,0.9932084,0.07237213,-0.1610598,-28.32733,-38.51716,1.43635
92.74,0.979759500000001,0.1794474,0.2279973,0.9912071,0.07530525,-0.1548356,-28.32733,-38.51716,1.43635
92.75,0.918226299999999,0.2981521,0.2279973,0.9948095,0.06520675,-0.1510107,-28.32733,-38.51716,1.43635
92.76,1.102826,0.120095,0.5328511,0.9841475,0.06206729,-0.152427,-28.32733,-38.51716,1.43635
92.77,1.718158,0.120095,0.2279973,0.9904613,0.06315515,-0.1533954,-28.69421,-38.90033,1.435597
92.78,1.779691,0.001390241,0.3499388,0.9874643,0.06693961,-0.158177,-28.69421,-38.90033,1.435597
92.79,2.271957,-0.1173145,0.3499388,0.9953236,0.06374592,-0.1524469,-28.69421,-38.90033,1.435597
92.8,2.51809,0.001390241,0.4109096,0.9879792,0.06550511,-0.1567418,-28.69421,-38.90033,1.435597
92.81,2.51809,-0.2953716,0.5328511,0.9923355,0.06704023,-0.1577069,-28.69421,-38.90033,1.435597
92.82,2.641157,-0.1766669,0.3499388,0.9899839,0.06267293,-0.1519588,-29.08049,-38.51571,2.269293
92.83,2.948823,-0.354724,0.1670265,0.997301,0.06237542,-0.1471857,-29.08049,-38.51571,2.269293
92.84,3.318022,-0.1173145,0.2279973,1.002511,0.07017446,-0.1558112,-29.08049,-38.51571,2.269293
92.85,3.625689,-0.1173145,0.1670265,0.9952474,0.06753107,-0.163455,-29.08049,-38.51571,2.269293
92.86,3.010356,-0.05796213,0.1060557,0.9908359,0.06889734,-0.1639263,-29.08049,-38.51571,2.269293
92.87,2.025825,-0.1173145,0.2279973,0.990755,0.07330869,-0.1596201,-28.69788,-38.89325,2.274101
92.88,0.856693099999998,-0.1766669,-0.01588578,0.9854613,0.06982007,-0.1576957,-28.69788,-38.89325,2.274101
92.89,0.672093400000002,0.001390241,0.1670265,0.9934737,0.058307,-0.1586638,-28.69788,-38.89325,2.274101
92.9,1.041293,0.0607426099999998,0.1670265,0.995395,0.05981155,-0.1577104,-28.69788,-38.89325,2.274101
92.91,0.979759500000001,-0.05796213,0.1060557,0.9938331,0.06511728,-0.1586662,-28.69788,-38.89325,2.274101
92.92,1.041293,0.001390241,-0.01588578,0.9937431,0.07001439,-0.1543601,-28.68833,-39.27687,1.889127
92.93,1.164359,0.120095,-0.0768565399999998,0.994258,0.0685799,-0.1529249,-28.68833,-39.27687,1.889127
92.94,0.856693099999998,0.1794474,0.1060557,0.9874636,0.06691766,-0.1605698,-28.68833,-39.27687,1.889127
92.95,0.733626700000001,0.2981521,0.2279973,0.9923818,0.06463337,-0.1553135,-28.68833,-39.27687,1.889127
92.96,0.733626700000001,0.2387997,-0.01588578,0.9953235,0.06374153,-0.1529255,-28.68833,-39.27687,1.889127
92.97,1.041293,0.1794474,0.04508498,0.9937884,0.06757681,-0.1553167,-28.69957,-38.88998,2.661103
92.98,1.164359,0.2387997,0.2279973,0.9918212,0.06849228,-0.1572278,-28.69957,-38.88998,2.661103
92.99,1.225893,0.2981521,-0.01588578,0.9938609,0.06367316,-0.1572301,-28.69957,-38.88998,2.661103
93,0.979759500000001,0.0607426099999998,-0.01588578,0.9875203,0.06406454,-0.1538691,-28.69957,-38.88998,2.661103
93.01,0.918226299999999,-0.05796213,-0.2597688,0.9919431,0.06227833,-0.1462192,-28.69957,-38.88998,2.661103
93.02,1.102826,-0.354724,-0.1378273,0.9914641,0.06175223,-0.1495682,-29.08049,-38.51571,2.269293
93.03,1.225893,-0.4734287,-0.0768565399999998,0.9939812,0.05741533,-0.1510072,-29.08049,-38.51571,2.269293
93.04,1.348959,-0.5327811,-0.2597688,0.99354,0.05498128,-0.1505273,-29.08049,-38.51571,2.269293
