Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
11.365468502,-11.72403,7.779358,2.571598,1.008632,-0.1221609,0.0007220678,-33.50277,-32.67144,29.87879
11.375466824,-9.69343500000003,19.53113,5.010429,1.020843,-0.1239907,-0.01317745,-33.50277,-32.67144,29.87879
11.385465145,-7.84743800000001,30.51132,7.32731800000001,1.022165,-0.1167237,-0.01844596,-33.50277,-32.67144,29.87879
11.395463467,-6.61677399999998,41.31345,9.88808900000002,1.022027,-0.1094855,-0.02371193,-33.50277,-32.67144,29.87879
11.405461788,-6.24757399999999,51.58141,12.50983,1.028718,-0.1025677,-0.02563967,-33.50277,-32.67144,29.87879
11.415459633,-6.30910700000001,61.7306599999998,15.0706,1.034083,-0.1030222,-0.03378471,-33.10077,-33.81678,29.04915
11.425458431,-6.61677399999998,71.10833,17.81429,1.035746,-0.08799972,-0.04192726,-33.10077,-33.81678,29.04915
11.435456276,-6.43217400000002,80.3673000000001,20.25312,1.048006,-0.09213097,-0.04194757,-33.10077,-33.81678,29.04915
11.445455074,-6.80137299999998,90.3385000000002,22.38709,1.066662,-0.09953744,-0.04197819,-33.10077,-33.81678,29.04915
11.455452919,-6.678307,100.369,24.15525,1.092748,-0.1129696,-0.02622719,-33.10077,-33.81678,29.04915
11.465450764,-5.201509,110.637,26.04534,1.120604,-0.1172874,-0.0272318,-35.35789,-33.08657,27.4159
11.475449562,-2.863246,120.6082,27.44767,1.152699,-0.1137245,-0.02585293,-35.35789,-33.08657,27.4159
11.485447407,-0.1557842,130.1046,28.97194,1.175541,-0.1102787,-0.01727927,-35.35789,-33.08657,27.4159
11.495446205,1.751746,138.77,31.04494,1.189627,-0.1081794,-0.0307045,-35.35789,-33.08657,27.4159
11.50544405,2.982411,146.3671,33.48377,1.211065,-0.1083515,-0.04270623,-35.35789,-33.08657,27.4159
11.515442848,2.920877,154.0236,36.3494,1.241862,-0.1135787,-0.04323715,-36.82925,-33.51631,22.89179
11.525440693,1.997879,161.3239,39.64182,1.274103,-0.1177924,-0.04233511,-36.82925,-33.51631,22.89179
11.535438538,0.5826145,168.4462,43.11715,1.294378,-0.1333445,-0.03327351,-36.82925,-33.51631,22.89179
