Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.737422943,-1.859228,0.351256,-0.3372818,0.313723,-0.1815876,0.9124311,-21.99468,-17.413,-15.64993
19.747333527,-1.611476,-0.639027300000002,-0.5213705,0.3115788,-0.1748809,0.9019322,-21.99468,-17.413,-15.64993
19.75724411,-0.5585288,-1.512807,-0.2759189,0.3328716,-0.1737511,0.8815761,-21.99468,-17.413,-15.64993
19.767155647,2.166745,-1.629311,-0.03046724,0.3611086,-0.1656549,0.8789682,-21.98499,-18.16219,-15.64762
19.777066231,4.830081,-0.930287099999998,0.3990731,0.3795024,-0.1538121,0.8745555,-21.98499,-18.16219,-15.64762
19.786977768,5.20171,0.933775699999999,0.460436,0.3784673,-0.1465371,0.8774945,-21.98499,-18.16219,-15.64762
19.796888351,4.024887,2.331823,0.951339199999998,0.3616967,-0.1529143,0.9035357,-21.98499,-18.16219,-15.64762
19.806798935,3.219692,2.623082,1.319517,0.3484095,-0.1660464,0.927579,-21.98499,-18.16219,-15.64762
19.816709995,1.980931,2.098815,1.687694,0.3399016,-0.1781991,0.9419815,-21.98338,-18.16036,-15.19791
19.826620579,0.3086039,0.9920276,1.749057,0.3239241,-0.1988066,0.9333491,-21.98338,-18.16036,-15.19791
19.836532116,-1.301785,-0.6972793,1.442243,0.3181549,-0.2198046,0.9183776,-21.98338,-18.16036,-15.19791
19.846442699,-1.425662,-1.454555,1.319517,0.3246407,-0.2455114,0.9008607,-21.98338,-18.16036,-15.19791
19.85635376,1.05186,-1.105043,2.117234,0.3481112,-0.2613149,0.8822923,-21.98338,-18.16036,-15.19791
19.86626482,4.582329,-0.1730116,3.405856,0.3652562,-0.2747428,0.8695602,-21.98984,-17.7876,-15.64878
19.876175404,6.502409,1.166783,4.387662,0.3788142,-0.2724409,0.9069026,-21.98984,-17.7876,-15.64878
19.886086464,7.617294,2.215319,4.14221,0.3737583,-0.2367305,0.9801711,-21.98984,-17.7876,-15.64878
19.895997047,8.36055000000001,4.487145,2.301323,0.3733903,-0.2010639,1.03371,-21.98984,-17.7876,-15.64878
19.905908585,5.20171,7.28324000000001,1.135428,0.376367,-0.1612531,1.036828,-21.98984,-17.7876,-15.64878
19.915819168,5.573338,4.545397,1.81042,0.3432582,-0.1718491,0.9429531,-21.982,-18.15879,-14.81244
19.925730228,11.08582,4.60365,2.485412,0.3398567,-0.1938322,0.9193103,-21.982,-18.15879,-14.81244
19.935640812,12.26265,7.10848400000002,2.546775,0.3050624,-0.1879661,0.9187108,-21.982,-18.15879,-14.81244
19.945551872,8.36055000000001,6.1182,3.160404,0.3085192,-0.1908324,0.9186597,-21.982,-18.15879,-14.81244
19.955462933,7.92698399999999,4.254138,4.633114,0.3290559,-0.193014,0.9160545,-21.982,-18.15879,-14.81244
19.965373516,12.94397,5.419177,5.86037199999999,0.3554907,-0.2043747,0.9056511,-21.61259,-17.78417,-14.81555
19.977762222,18.82808,8.39002600000001,6.10582399999999,0.3582702,-0.1819791,0.9168181,-21.61259,-17.78417,-14.81555
19.987673283,17.96095,9.26380600000001,5.001291,0.3361884,-0.1583931,0.936866,-21.61259,-17.78417,-14.81555
19.997584343,12.63428,8.15701899999998,3.221767,0.3167094,-0.1410357,0.9650109,-21.61259,-17.78417,-14.81555
20.007494926,9.22768300000001,7.807507,1.626331,0.3198384,-0.1148042,0.9670775,-21.61259,-17.78417,-14.81555
20.017405987,10.46644,8.15701899999998,0.2763473,0.3024325,-0.09809735,0.9582267,-21.23647,-18.16213,-15.65152
20.02731657,12.07683,7.51624699999999,-0.3986447,0.2859452,-0.1099414,0.9578201,-21.23647,-18.16213,-15.65152
20.037228107,10.83807,5.360925,-0.3372818,0.2717637,-0.1130466,0.9540893,-21.23647,-18.16213,-15.65152
20.047138691,9.66124900000002,3.555114,0.5217989,0.2674496,-0.1437885,0.9265553,-21.23647,-18.16213,-15.65152
20.057049751,12.20071,2.157067,1.196791,0.2761107,-0.1510683,0.9043395,-21.23647,-18.16213,-15.65152
20.066960335,14.74017,2.797838,0.3377102,0.2883586,-0.1518784,0.9056613,-21.61073,-18.16216,-15.64957
20.076871395,11.2097,3.030846,-1.012274,0.3136032,-0.16165,0.924089,-21.61073,-18.16216,-15.64957
20.086782455,5.139772,3.496862,-2.300895,0.3311394,-0.1458543,0.9360359,-21.61073,-18.16216,-15.64957
20.096693039,2.476436,4.661901,-3.03725,0.3507491,-0.1275339,0.9623853,-21.61073,-18.16216,-15.64957
20.106604576,1.980931,7.28324000000001,-3.159976,0.3692527,-0.1188002,1.012689,-21.61073,-18.16216,-15.64957
20.11651516,0.3705419,11.18612,-4.080419,0.3670237,-0.1394458,1.057227,-21.24132,-17.78753,-15.65267
20.12642622,-0.9301572,15.55502,-4.755411,0.3526889,-0.2053094,1.012746,-21.24132,-17.78753,-15.65267
20.136336803,-4.33675,17.53559,-3.344064,0.2967623,-0.2092789,0.9426535,-21.24132,-17.78753,-15.65267
20.146247387,-11.70738,15.67152,-3.405427,0.2828525,-0.2222472,0.9062037,-21.24132,-17.78753,-15.65267
20.156158924,-5.88520100000001,14.79774,-2.116806,0.3114058,-0.2791041,0.9060411,-21.24132,-17.78753,-15.65267
20.166069508,9.10380600000001,15.20551,0.3377102,0.322016,-0.2614848,0.9123023,-20.87005,-17.7909,-16.4898
20.175981045,11.7052,15.32201,0.1536215,0.3187732,-0.1968043,0.9578981,-20.87005,-17.7909,-16.4898
20.185891628,1.671241,15.14725,-0.582733500000001,0.3509095,-0.18769,0.9552608,-20.87005,-17.7909,-16.4898
20.195802212,-6.44264400000003,16.13754,-0.214556,0.3510066,-0.1717902,0.9356794,-20.87005,-17.7909,-16.4898
20.205713272,-7.929157,17.8851,0.0922585699999997,0.3625452,-0.1305304,0.9171214,-20.87005,-17.7909,-16.4898
20.215623856,-4.522564,19.05013,0.3377102,0.3435369,-0.09586367,0.9160876,-21.2443,-17.79093,-16.48785
20.225535393,-1.177909,18.1181,1.012702,0.3472166,-0.1000773,0.9361922,-21.2443,-17.79093,-16.48785
20.235445976,2.166745,18.29286,1.503605,0.321866,-0.1166936,0.9718477,-21.2443,-17.79093,-16.48785
20.245357037,4.768144,21.55497,0.767250500000003,0.3565499,-0.1626083,1.010114,-21.2443,-17.79093,-16.48785
20.257745743,5.75915199999997,29.82675,2.23996,0.4136352,-0.1985325,1.05112,-21.2443,-17.79093,-16.48785
20.267656326,8.17473599999999,35.06943,4.019485,0.3824618,-0.2022765,1.058586,-20.87303,-17.7943,-17.32498
20.277567387,10.65226,37.1665,5.124017,0.3378926,-0.2011692,1.005228,-20.87303,-17.7943,-17.32498
20.287478447,13.43947,35.30243,6.47400099999998,0.248436,-0.2059406,0.9546465,-20.87303,-17.7943,-17.32498
