Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
18.62609911,-2.974113,-13.1632,0.2149844,0.5126227,-0.09916906,0.8069465,-33.20327,-18.91255,-15.65117
18.636010647,-2.974113,-12.28942,0.2149844,0.5103997,-0.1103038,0.8155357,-33.20327,-18.91255,-15.65117
18.645922661,-3.345741,-12.11466,-0.1531931,0.5239249,-0.1221654,0.8330974,-33.20327,-18.91255,-15.65117
18.655833721,0.0608516599999998,-10.83312,-0.705459200000001,0.5431575,-0.1194027,0.8521442,-33.20327,-18.91255,-15.65117
18.665745735,2.600312,-8.85255399999999,-1.135,0.5529164,-0.1066078,0.8651035,-33.56946,-19.28351,-14.74865
18.675657272,3.28163,-7.57101099999998,-1.748629,0.5559983,-0.1074696,0.8785137,-33.56946,-19.28351,-14.74865
18.685568333,3.839073,-7.16324699999999,-2.607709,0.5675715,-0.115939,0.9004376,-33.56946,-19.28351,-14.74865
18.695480347,3.715197,-6.69723099999998,-3.098613,0.5729218,-0.1036913,0.9119934,-33.56946,-19.28351,-14.74865
18.705391884,3.405506,-5.590444,-3.46679,0.5766711,-0.1037268,0.8961133,-33.56946,-19.28351,-14.74865
18.717781067,3.962949,-3.260366,-3.159976,0.5593316,-0.08844887,0.892054,-34.69223,-19.2836,-14.74281
18.727692127,4.210701,-1.338051,-3.282701,0.535749,-0.0809964,0.889921,-34.69223,-19.2836,-14.74281
18.737604141,4.272639,-0.4642715,-3.282701,0.5172231,-0.09290805,0.8813701,-34.69223,-19.2836,-14.74281
18.747515678,2.414498,0.409508,-3.46679,0.5149888,-0.1113656,0.8803074,-34.69223,-19.2836,-14.74281
18.757426739,-0.4346527,0.700767799999999,-3.528153,0.5299973,-0.1456394,0.8732182,-34.31014,-19.65477,-13.90842
18.767338753,0.494418,1.574547,-3.650879,0.5476846,-0.1614725,0.8628657,-34.31014,-19.65477,-13.90842
18.77725029,4.830081,4.370642,-3.957693,0.5611969,-0.1482232,0.8609084,-34.31014,-19.65477,-13.90842
18.78716135,8.67023999999999,7.10848400000002,-4.203145,0.5590032,-0.1332495,0.8552666,-34.31014,-19.65477,-13.90842
18.797073364,12.20071,7.34149200000003,-4.080419,0.5249817,-0.1118681,0.8528427,-34.31014,-19.65477,-13.90842
18.806984901,13.93497,5.94344499999998,-4.264508,0.5126724,-0.09889487,0.8597652,-34.68302,-19.65323,-13.52101
18.816895962,12.88203,5.302673,-4.755411,0.5150462,-0.08182797,0.8728212,-34.68302,-19.65323,-13.52101
