Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.106635094,-2.168918,2.739586,0.0922585699999997,0.5032066,-0.008867397,0.85277,-18.20207,-27.23109,-19.68629
19.116547585,-2.045042,2.972594,0.2149844,0.5066798,-0.007334841,0.8594703,-18.20207,-27.23109,-19.68629
19.126460552,-2.41667,3.263854,0.2763473,0.5067836,-0.01850037,0.856514,-18.20207,-27.23109,-19.68629
19.136373043,-2.354732,4.02113,0.460436,0.512731,-0.02521459,0.8564143,-17.8359,-26.48004,-19.24083
19.146285534,-1.921166,4.778405,0.583161800000002,0.5049439,-0.02822051,0.8564662,-17.8359,-26.48004,-19.24083
19.156198502,-0.3727147,6.23470400000003,0.6445247,0.5114028,-0.02857541,0.8660073,-17.8359,-26.48004,-19.24083
19.166111469,1.113798,7.45799500000003,0.460436,0.5102452,-0.01599822,0.8632209,-17.8359,-26.48004,-19.24083
19.176024437,3.033878,8.098766,0.2149844,0.5063062,-0.00337849,0.8753453,-17.8359,-26.48004,-19.24083
19.185936928,4.582329,8.04051500000001,0.1536215,0.4988432,0.01402373,0.8832127,-17.46001,-26.85826,-20.14105
19.195849419,3.591321,7.69100299999997,0.1536215,0.5052568,0.011694,0.8860189,-17.46001,-26.85826,-20.14105
19.205762386,1.547365,8.15701899999998,0.2149844,0.5166841,-0.002705024,0.8867776,-17.46001,-26.85826,-20.14105
19.215674877,1.857055,9.84632599999999,0.1536215,0.5199232,-0.00714795,0.8636705,-17.46001,-26.85826,-20.14105
19.225587368,4.334577,10.25409,0.951339199999998,0.5105377,-0.007801627,0.8536696,-17.46001,-26.85826,-20.14105
19.235499859,7.865046,9.90457699999998,1.687694,0.5115386,-0.004362809,0.8599253,-17.8472,-25.73268,-19.69285
19.245413303,10.34257,11.53563,1.38088,0.5049029,0.01492448,0.8553135,-17.8472,-25.73268,-19.69285
19.257803917,6.56434699999999,11.36088,0.889976299999999,0.487099,0.03020905,0.8536594,-17.8472,-25.73268,-19.69285
19.267716408,4.210701,9.55506599999997,0.767250500000003,0.4867433,0.01905274,0.8535883,-17.8472,-25.73268,-19.69285
19.277629376,4.024887,8.50653100000001,1.135428,0.4887303,0.01519105,0.8521038,-17.8472,-25.73268,-19.69285
19.287541866,4.396515,8.97254599999999,1.012702,0.4873078,0.01519576,0.8564384,-17.46001,-26.85826,-20.14105
19.297454357,6.006905,8.44827800000003,1.319517,0.4717194,0.006249685,0.8517213,-17.46001,-26.85826,-20.14105
19.307367802,8.91799300000002,6.99197999999999,1.442243,0.4658143,0.008595683,0.8508313,-17.46001,-26.85826,-20.14105
19.317280293,8.36055000000001,4.836657,1.503605,0.4656482,0.02168,0.8499597,-17.46001,-26.85826,-20.14105
19.32719326,6.44047100000002,3.904626,1.749057,0.4646709,0.02947295,0.8591437,-17.46001,-26.85826,-20.14105
19.337105751,3.901011,1.982311,1.564968,0.4594434,0.01972812,0.8624882,-16.71149,-26.8582,-20.14494
19.347018242,3.219692,0.875523700000001,1.074065,0.4791244,-0.0109344,0.8861098,-16.71149,-26.8582,-20.14494
19.356930733,4.148763,3.205602,0.583161800000002,0.5073485,-0.02991373,0.8982065,-16.71149,-26.8582,-20.14494
19.3668437,5.325586,5.360925,0.767250500000003,0.503175,-0.01497704,0.8901819,-16.71149,-26.8582,-20.14494
19.376756191,7.55535600000002,5.94344499999998,1.258154,0.5020742,-0.001394606,0.8941238,-16.71149,-26.8582,-20.14494
19.386669636,10.46644,7.74925499999999,1.749057,0.5143438,-0.0107256,0.9352418,-16.33723,-26.85817,-20.14689
19.396582127,9.78512499999999,9.90457699999998,2.914952,0.5123406,0.007274069,0.9517056,-16.33723,-26.85817,-20.14689
19.406494618,6.006905,10.07933,3.835396,0.5023305,0.02995827,0.9557906,-16.33723,-26.85817,-20.14689
19.416407585,2.786126,12.58417,3.528581,0.5064743,0.007201198,0.9517595,-16.33723,-26.85817,-20.14689
19.426320076,2.476436,16.02103,3.037678,0.5071383,-0.02684798,0.928959,-16.33723,-26.85817,-20.14689
19.436232567,6.56434699999999,19.51615,2.546775,0.5010996,-0.015791,0.9252472,-17.08414,-26.8564,-19.69328
19.446145535,10.46644,21.96273,1.749057,0.4888859,-0.004231348,0.9398419,-17.08414,-26.8564,-19.69328
19.456058025,11.45745,24.40932,1.074065,0.4953912,-0.003098738,0.9556346,-17.08414,-26.8564,-19.69328
19.46597147,10.59032,28.77821,-0.214556,0.4941614,0.01139214,0.94806,-17.08414,-26.8564,-19.69328
19.475883961,10.65226,29.94325,0.2149844,0.4615012,0.007371035,0.9056011,-17.08414,-26.8564,-19.69328
19.485796452,12.07683,25.5161,2.792227,0.426279,0.01935595,0.870475,-17.08575,-26.85823,-20.14299
19.495708943,12.20071,21.49672,3.528581,0.4191718,0.02108526,0.8470245,-17.08575,-26.85823,-20.14299
19.50562191,12.44846,22.07924,3.71267,0.4530762,0.01281367,0.853378,-17.08575,-26.85823,-20.14299
19.515534401,12.82009,25.45785,3.958122,0.4456573,0.01414129,0.8467333,-17.08575,-26.85823,-20.14299
19.525446892,12.88203,24.93358,4.14221,0.4134596,0.03791742,0.8342251,-17.08575,-26.85823,-20.14299
19.537838459,7.92698399999999,21.96273,4.019485,0.4163443,0.09109947,0.8916916,-15.59356,-26.48352,-20.15193
19.54775095,6.81209899999999,21.32196,2.976315,0.4202881,0.1106774,0.9177141,-15.59356,-26.48352,-20.15193
19.557663441,9.35155899999998,20.97245,2.117234,0.4220102,0.1257022,0.9125165,-15.59356,-26.48352,-20.15193
19.567576408,11.39551,22.13749,1.012702,0.4381895,0.1244635,0.9152396,-15.59356,-26.48352,-20.15193
19.577488899,10.40451,22.66176,2.792227,0.4244057,0.1303369,0.8654698,-15.58525,-27.23428,-20.53509
19.58740139,7.74116999999998,18.75887,3.835396,0.4025783,0.1401484,0.8465307,-15.58525,-27.23428,-20.53509
19.597314358,4.024887,17.94335,3.28313,0.4296531,0.147897,0.8732207,-15.58525,-27.23428,-20.53509
19.607227325,0.989922399999999,22.02098,1.933146,0.4664078,0.105969,0.9273395,-15.58525,-27.23428,-20.53509
19.617139816,-5.451635,26.62289,1.933146,0.4841885,0.07189625,0.9523965,-15.58525,-27.23428,-20.53509
19.627052784,-8.42466199999997,29.18598,1.749057,0.4528747,0.05393277,0.9295189,-14.47079,-26.48343,-20.15777
19.636965275,-4.33675,27.78793,0.889976299999999,0.4352222,0.034662,0.9021847,-14.47079,-26.48343,-20.15777
19.646877766,-0.8682191,26.56464,1.503605,0.441164,0.02769651,0.8535873,-14.47079,-26.48343,-20.15777
19.656790733,4.830081,23.8268,3.28313,0.40633,0.02037124,0.833694,-14.47079,-26.48343,-20.15777
19.666703224,2.042869,21.38021,2.362686,0.3827656,0.03198389,0.8858464,-14.47079,-26.48343,-20.15777
19.676615715,-9.16791799999997,20.50644,1.135428,0.3717029,0.0212068,0.8911587,-13.72687,-26.4886,-21.44656
19.686529159,-12.82226,19.74916,-0.3372818,0.3732537,0.01541515,0.8925462,-13.72687,-26.4886,-21.44656
19.69644165,-8.79629,20.85595,-1.441814,0.4028809,0.0103279,0.9623414,-13.72687,-26.4886,-21.44656
19.706354618,-6.00907800000001,23.36078,-1.687266,0.4356451,0.002447425,0.9533431,-13.72687,-26.4886,-21.44656
19.716267109,1.609303,21.20546,-1.380451,0.3968362,-0.01276464,0.9180689,-13.72687,-26.4886,-21.44656
19.7261796,2.166745,18.81713,-1.56454,0.3796991,0.03310205,0.9218941,-13.34776,-26.86316,-21.44735
19.736092091,1.980931,16.77831,-3.344064,0.3494257,0.04713018,0.8948985,-13.34776,-26.86316,-21.44735
19.746005058,3.653259,15.089,-3.957693,0.3162373,0.09600501,0.8628803,-13.34776,-26.86316,-21.44735
19.755917549,6.68822300000002,13.57445,-3.712242,0.3300246,0.1250071,0.9061603,-13.34776,-26.86316,-21.44735
19.765830994,4.024887,15.49677,-3.159976,0.3276714,0.1367315,0.9288275,-13.34776,-26.86316,-21.44735
19.775743484,-2.850237,13.86571,-3.650879,0.3234992,0.1114294,0.9214952,-12.97996,-26.49037,-21.90016
19.785655975,-9.10597999999999,12.81718,-2.791798,0.3256725,0.1069285,0.8897547,-12.97996,-26.49037,-21.90016
19.795568943,-8.36272300000002,11.18612,-2.362258,0.3349437,0.0870349,0.8645682,-12.97996,-26.49037,-21.90016
19.805481434,-2.912175,10.95311,-1.748629,0.3086635,0.08628079,0.8758498,-12.97996,-26.49037,-21.90016
19.815393925,-2.974113,10.13759,-2.116806,0.2740836,0.08738044,0.8905817,-12.97996,-26.49037,-21.90016
19.827785492,-7.43365200000003,7.28324000000001,-3.46679,0.2666697,0.03115844,0.912363,-12.22312,-27.24107,-22.28721
19.837697983,-7.12396199999998,5.302673,-2.607709,0.2534246,0.04730771,0.8794622,-12.22312,-27.24107,-22.28721
19.847610474,-4.150936,4.254138,-2.730435,0.2679875,0.04280659,0.9114681,-12.22312,-27.24107,-22.28721
19.857523441,-3.531555,4.487145,-2.914524,0.2556784,0.01821895,0.8744459,-12.22312,-27.24107,-22.28721
19.867435932,-2.602484,2.506578,-2.669072,0.2301587,0.0237054,0.8718376,-12.22312,-27.24107,-22.28721
19.877348423,-2.850237,0.2347521,-3.405427,0.2181659,0.01635558,0.8858241,-11.49076,-26.11905,-22.74428
19.887260914,-0.6204669,-1.221547,-3.221339,0.2363411,0.00638178,0.8822284,-11.49076,-26.11905,-22.74428
19.897173882,2.910002,-2.328334,-3.221339,0.2453177,0.04828617,0.9006706,-11.49076,-26.11905,-22.74428
19.907086849,0.866046300000002,-4.308901,-3.650879,0.2394883,0.05213495,0.9089129,-11.49076,-26.11905,-22.74428
19.916999817,-1.115971,-6.40597199999999,-3.89633,0.2623683,0.04895547,0.8952357,-11.49076,-26.11905,-22.74428
19.926912308,-0.806281,-5.415688,-3.957693,0.2695913,0.05825762,0.8952308,-11.1165,-26.11902,-22.74623
19.936824799,-3.036051,-4.367153,-4.080419,0.2593203,0.04739587,0.8822892,-11.1165,-26.11902,-22.74623
19.946737766,-5.389697,-5.590444,-3.712242,0.2406809,0.02518127,0.8506231,-11.1165,-26.11902,-22.74623
19.956650257,-5.018068,-7.57101099999998,-2.669072,0.2454949,0.00178849,0.8158514,-11.1165,-26.11902,-22.74623
19.966562748,-2.354732,-9.78458600000001,-1.257725,0.2330483,0.0254221,0.8218859,-11.1165,-26.11902,-22.74623
19.976475239,-1.673414,-11.99816,-0.3372818,0.2473129,0.02394087,0.8760019,-11.11005,-26.49179,-22.29536
19.986388683,-2.912175,-13.2797,0.03089567,0.2889192,0.00961093,0.9110534,-11.11005,-26.49179,-22.29536
19.996301174,-1.921166,-13.0467,-0.1531931,0.3307407,0.002949478,0.9283881,-11.11005,-26.49179,-22.29536
20.006214142,-1.239847,-11.8234,-0.214556,0.333168,0.006873471,0.9312727,-11.11005,-26.49179,-22.29536
20.016126633,-2.41667,-12.28942,-0.09183015,0.3213218,0.023254,0.9396541,-11.11005,-26.49179,-22.29536
20.026039124,-3.531555,-12.40592,0.2763473,0.3250977,0.04615919,0.9532162,-11.11352,-26.11562,-21.91105
20.035952091,-3.221865,-11.76515,0.951339199999998,0.3316087,0.06216848,0.9393381,-11.11352,-26.11562,-21.91105
20.045864582,-0.682404900000003,-11.12438,1.994509,0.3555413,0.06099128,0.9352676,-11.11352,-26.11562,-21.91105
20.055777073,3.343568,-11.8234,2.117234,0.343456,0.04530061,0.9304733,-11.11352,-26.11562,-21.91105
20.065690517,1.299613,-14.09523,0.889976299999999,0.3215978,0.04314932,0.9421849,-11.11352,-26.11562,-21.91105
20.075603008,-5.513573,-14.91076,-0.582733500000001,0.3375994,0.03450115,0.9189317,-11.48293,-26.49025,-21.90795
20.085515976,-4.398688,-15.02726,-1.503177,0.350151,0.007019768,0.9186325,-11.48293,-26.49025,-21.90795
