Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.517840386,-3.097989,-1.338051,-0.828185100000001,0.5249588,-0.02310832,0.8591962,-20.00281,-27.41199,-18.07019
19.527750492,-3.407679,-2.095326,-0.828185100000001,0.5218943,-0.01833505,0.8520539,-20.00095,-27.78999,-18.90422
19.537660122,-2.478608,-2.153579,-0.582733500000001,0.5183668,-0.01696904,0.8434528,-20.00095,-27.78999,-18.90422
19.547571182,-1.735352,-2.50309,-0.5213705,0.5255484,-0.003785992,0.8439544,-20.00095,-27.78999,-18.90422
19.557480812,-1.983104,-2.619594,-0.214556,0.5262246,-0.007097033,0.8583308,-20.00095,-27.78999,-18.90422
19.567390919,-2.974113,-2.79435,0.2763473,0.5336359,-0.01769686,0.85339,-20.00095,-27.78999,-18.90422
19.577301025,-3.097989,-3.027358,0.767250500000003,0.5386871,-0.02877109,0.8561505,-19.62993,-27.41353,-18.4576
19.587211609,-1.859228,-2.677846,0.889976299999999,0.5394997,-0.02689366,0.842231,-19.62993,-27.41353,-18.4576
19.597121715,-1.4876,-1.920571,1.135428,0.5420211,-0.03414029,0.841199,-19.62993,-27.41353,-18.4576
19.607031345,-1.363724,-1.920571,1.258154,0.5328501,-0.03956036,0.8465295,-19.62993,-27.41353,-18.4576
19.616941452,-1.549538,-2.037075,1.074065,0.5348649,-0.04243209,0.8488925,-19.62993,-27.41353,-18.4576
19.626852035,-1.425662,-2.21183,0.951339199999998,0.5348639,-0.04194475,0.8493759,-20.3833,-27.039,-18.45486
19.636762142,-0.744343000000003,-2.153579,0.767250500000003,0.5352171,-0.04005811,0.8383415,-20.3833,-27.039,-18.45486
19.646671772,-0.9301572,-2.270082,0.705887599999999,0.5356828,-0.03274702,0.844628,-20.3833,-27.039,-18.45486
19.656582832,-0.682404900000003,-1.862319,0.767250500000003,0.5404961,-0.02638398,0.8446259,-20.3833,-27.039,-18.45486
19.666492462,0.1847278,-1.163295,0.6445247,0.5404605,-0.02298788,0.845129,-20.3833,-27.039,-18.45486
19.676402569,-0.06302445,-0.5225234,0.767250500000003,0.541961,-0.02002524,0.8518571,-20.00419,-27.41356,-18.45566
19.686312675,-1.177909,-0.2312636,0.828613499999998,0.5409346,-0.01762361,0.8499619,-20.00419,-27.41356,-18.45566
19.696223259,-1.239847,0.409508,0.951339199999998,0.544871,-0.02341548,0.8455655,-20.00419,-27.41356,-18.45566
19.706132889,-1.054033,1.865807,1.258154,0.5447526,-0.02298928,0.8345258,-20.00419,-27.41356,-18.45566
19.716042995,-0.4346527,2.972594,1.258154,0.5439471,-0.0233996,0.8508559,-20.00419,-27.41356,-18.45566
19.725953579,0.43248,2.797838,1.319517,0.5422405,-0.02817245,0.8695661,-20.00904,-27.03897,-18.45681
19.735863686,0.866046300000002,3.613366,1.38088,0.5422984,-0.02765453,0.8758111,-20.00904,-27.03897,-18.45681
19.745773792,0.1227897,4.02113,1.38088,0.533237,-0.0239976,0.8547922,-20.00904,-27.03897,-18.45681
19.755683422,-0.5585288,4.60365,0.889976299999999,0.5375112,-0.01425219,0.8538573,-20.00904,-27.03897,-18.45681
19.765594006,0.0608516599999998,5.419177,0.3990731,0.5345042,-0.01676609,0.843785,-20.00904,-27.03897,-18.45681
19.775504112,3.219692,5.244421,0.5217989,0.5429231,-0.0195334,0.8508911,-20.75271,-27.41362,-18.45177
19.787892342,6.19271900000002,5.302673,0.705887599999999,0.547894,-0.01357617,0.8657697,-20.75271,-27.41362,-18.45177
19.797801971,5.697214,6.05994799999998,0.951339199999998,0.5480017,-0.01352012,0.8763326,-20.75271,-27.41362,-18.45177
19.807712078,4.272639,6.17645200000001,0.767250500000003,0.5354035,0.004668663,0.8612053,-20.75271,-27.41362,-18.45177
19.817622185,3.777135,5.535681,0.951339199999998,0.5378033,0.002236842,0.8539644,-20.75271,-27.41362,-18.45177
19.827532768,3.405506,7.05023200000001,1.074065,0.5493437,-0.01503017,0.8623855,-20.00095,-27.78999,-18.90422
19.837442875,3.467444,8.85604200000002,1.38088,0.533489,-0.01240746,0.845264,-20.00095,-27.78999,-18.90422
19.847352505,3.777135,8.39002600000001,1.564968,0.5138277,-0.01319376,0.8343969,-20.00095,-27.78999,-18.90422
19.857262611,4.210701,7.45799500000003,1.442243,0.5117426,-0.03011034,0.8496686,-20.00095,-27.78999,-18.90422
19.867173195,5.88302899999997,6.81722400000001,1.81042,0.5156068,-0.02325682,0.8530396,-20.00095,-27.78999,-18.90422
19.877083302,7.18372799999999,5.88519199999999,2.117234,0.5132159,-0.02033257,0.861724,-19.63154,-27.41536,-18.90732
19.886992931,7.74116999999998,5.244421,2.546775,0.5152653,-0.03147889,0.8577896,-19.63154,-27.41536,-18.90732
19.896903992,7.67923199999999,4.60365,2.914952,0.507188,-0.02048952,0.8459335,-19.63154,-27.41536,-18.90732
19.906813621,5.82109000000002,3.904626,3.28313,0.5037689,-0.008823106,0.8599675,-19.63154,-27.41536,-18.90732
19.916723728,3.28163,3.380358,2.792227,0.4984608,-0.009341576,0.8662551,-19.63154,-27.41536,-18.90732
19.926633835,3.777135,3.030846,2.792227,0.4935598,-0.01331122,0.8605121,-19.62807,-27.79153,-19.29163
19.936544418,4.89202,2.85609,2.914952,0.5097114,-0.004808196,0.8719432,-19.62807,-27.79153,-19.29163
19.946454048,4.706205,4.894909,3.099041,0.5301278,-0.01021877,0.9014882,-19.62807,-27.79153,-19.29163
19.956364155,5.573338,7.86575900000002,2.117234,0.5370542,-0.009603096,0.910071,-19.62807,-27.79153,-19.29163
19.966274738,6.37853299999997,8.44827800000003,1.503605,0.5362257,-0.008074233,0.9264143,-19.62807,-27.79153,-19.29163
19.976184845,6.44047100000002,9.205554,1.687694,0.5364884,-0.007698025,0.9048072,-19.62508,-27.78813,-18.45645
19.986094952,8.60830200000001,10.66185,2.301323,0.5390921,-0.014414,0.9124209,-19.62508,-27.78813,-18.45645
19.996004581,8.11279800000001,13.6327,2.608138,0.5469084,-0.0006611021,0.9278054,-19.62508,-27.78813,-18.45645
20.005915165,5.573338,17.06957,2.792227,0.5398124,0.008391059,0.9140067,-19.62508,-27.78813,-18.45645
20.015825272,5.82109000000002,19.4579,1.994509,0.5321563,-0.007229666,0.9120528,-19.62508,-27.78813,-18.45645
20.025735378,8.48442599999998,21.61322,1.442243,0.5302052,-0.009690659,0.9096536,-19.24945,-27.78653,-18.07293
20.035645962,9.84706299999998,22.07924,0.5217989,0.5186377,-0.02243337,0.9111162,-19.24945,-27.78653,-18.07293
20.045556068,8.42248799999999,22.89477,0.6445247,0.5269818,-0.0271908,0.9086065,-19.24945,-27.78653,-18.07293
20.055465698,9.16574500000002,24.17631,0.889976299999999,0.5124646,-0.01290975,0.8925106,-19.24945,-27.78653,-18.07293
20.067853928,10.52838,24.75883,1.074065,0.4854933,0.0003712201,0.9005311,-18.88601,-27.4187,-19.74639
20.077764034,10.15675,26.21513,1.135428,0.4880544,-0.004415771,0.9062374,-18.88601,-27.4187,-19.74639
20.087673664,10.21869,28.13744,1.687694,0.4934631,-0.02677174,0.8829907,-18.88601,-27.4187,-19.74639
20.097584248,10.15675,28.83647,2.914952,0.4805782,-0.03336188,0.858578,-18.88601,-27.4187,-19.74639
20.107494354,12.69621,27.96269,3.037678,0.45279,-0.004160152,0.8532676,-18.88601,-27.4187,-19.74639
20.117404461,13.31559,25.98212,2.546775,0.4503005,0.02310312,0.8808413,-18.51175,-27.41867,-19.74833
20.127314091,10.46644,23.36078,3.344493,0.4598623,0.01848267,0.901849,-18.51175,-27.41867,-19.74833
20.137225151,9.66124900000002,24.58407,3.71267,0.479171,0.003724045,0.9078143,-18.51175,-27.41867,-19.74833
20.147134781,14.24467,25.3996,3.896759,0.4692066,0.04155402,0.9340869,-18.51175,-27.41867,-19.74833
20.157044888,14.92598,27.03065,1.81042,0.476442,0.05476509,0.9398699,-18.51175,-27.41867,-19.74833
20.166954994,10.03288,28.89472,0.705887599999999,0.497974,0.05577099,0.8950228,-18.13887,-27.42021,-20.13575
20.176865578,7.55535600000002,30.11801,-0.705459200000001,0.4889279,0.05114313,0.865786,-18.13887,-27.42021,-20.13575
20.186775208,10.28063,31.10829,-1.012274,0.4693608,0.07382053,0.8915664,-18.13887,-27.42021,-20.13575
20.196685314,10.34257,30.70053,-0.5213705,0.461716,0.09479114,0.9335506,-18.13887,-27.42021,-20.13575
20.206595898,11.89102,30.11801,-0.09183015,0.4393525,0.0982306,0.90257,-18.13887,-27.42021,-20.13575
20.216506004,13.8111,29.01122,-0.214556,0.4383158,0.1042898,0.9515961,-16.26273,-27.79466,-20.14433
20.226416111,6.06884200000002,32.7976,-0.766822200000002,0.4755568,0.09991864,0.9541035,-16.26273,-27.79466,-20.14433
20.236325741,-0.001086392,35.18593,-1.319088,0.4569674,0.05041297,0.8953663,-16.26273,-27.79466,-20.14433
20.246236324,1.485427,34.66166,-0.889547900000002,0.4214824,0.08811484,0.8647354,-16.26273,-27.79466,-20.14433
20.256146431,0.5563561,33.20536,0.3990731,0.387733,0.0920768,0.868435,-16.26273,-27.79466,-20.14433
20.266056538,0.989922399999999,31.05004,1.319517,0.3645974,0.05415649,0.9044082,-16.25441,-28.54542,-20.52749
20.275967121,1.175737,29.12773,1.626331,0.3594142,0.07906892,0.952638,-16.25441,-28.54542,-20.52749
20.285877228,-3.531555,28.66171,0.2149844,0.382816,0.0639658,0.9758486,-16.25441,-28.54542,-20.52749
20.295786858,-5.76132499999998,29.65199,-0.09183015,0.4009085,0.02492893,0.9778221,-16.25441,-28.54542,-20.52749
20.305696964,-6.00907800000001,30.40927,-0.828185100000001,0.4030007,0.0272151,0.9461275,-16.25441,-28.54542,-20.52749
20.315607548,-3.283803,29.7685,-0.766822200000002,0.3923765,0.0005597002,0.8802665,-14.77007,-27.79951,-21.37276
20.325517654,1.485427,27.72968,0.0922585699999997,0.3275045,0.009824116,0.859321,-14.77007,-27.79951,-21.37276
20.337905407,-3.903184,22.89477,-0.644096300000003,0.2514899,0.01924099,0.8010273,-14.77007,-27.79951,-21.37276
20.347815514,-1.921166,18.99188,-1.748629,0.2123345,0.01190184,0.7888564,-14.77007,-27.79951,-21.37276
20.35772562,0.866046300000002,16.02103,-2.300895,0.2270421,0.04283744,0.8287796,-14.77007,-27.79951,-21.37276
20.367636204,1.485427,14.04047,-2.914524,0.2604144,0.04478119,0.8428887,-14.08553,-27.80128,-21.82604
20.377546311,0.43248,11.47738,-2.975887,0.2901567,0.0504767,0.8412111,-14.08553,-27.80128,-21.82604
20.38745594,-2.230856,8.50653100000001,-2.975887,0.2794355,0.100108,0.8075497,-14.08553,-27.80128,-21.82604
20.397366047,-4.956131,5.82694100000001,-3.773605,0.2677429,0.09949533,0.8110148,-14.08553,-27.80128,-21.82604
20.40727663,-5.018068,4.079382,-4.080419,0.2567399,0.08289561,0.8153274,-14.08553,-27.80128,-21.82604
20.417186737,-3.841246,0.875523700000001,-3.957693,0.2474893,0.06548724,0.8465073,-13.35294,-26.679,-22.21886
20.427096367,-0.06302445,-2.677846,-4.325871,0.2647744,0.04847811,0.8908888,-13.35294,-26.679,-22.21886
20.437007427,1.423489,-6.75548299999999,-5.062225,0.2678223,0.03467624,0.9335028,-13.35294,-26.679,-22.21886
20.446917057,-1.239847,-10.36711,-5.92130599999998,0.2860007,0.009582139,0.9125206,-13.35294,-26.679,-22.21886
20.456827164,-3.469617,-10.89137,-5.614491,0.2793207,-0.01115366,0.8567459,-13.35294,-26.679,-22.21886
20.46673727,-2.41667,-11.12438,-5.062225,0.2418938,-0.01761104,0.8234379,-12.96276,-27.80119,-21.83188
20.476647854,-1.177909,-11.64865,-4.755411,0.2294482,0.00553523,0.828989,-12.96276,-27.80119,-21.83188
20.486557484,-1.549538,-12.28942,-4.632685,0.2490958,0.01655823,0.8504878,-12.96276,-27.80119,-21.83188
20.49646759,-2.974113,-12.58068,-4.203145,0.2734062,0.03581719,0.8595143,-12.96276,-27.80119,-21.83188
20.506378174,-2.664423,-13.68747,-4.141782,0.2775071,0.06791149,0.8678529,-12.96276,-27.80119,-21.83188
20.516288281,-2.850237,-15.37677,-4.019056,0.2765236,0.07911582,0.8804208,-12.96276,-27.80119,-21.83188
20.526198387,-4.832254,-17.59035,-4.019056,0.2907599,0.0449369,0.8935059,-12.96276,-27.80119,-21.83188
20.536108017,0.3705419,-19.57092,-3.405427,0.3040393,0.03343526,0.8875445,-12.96276,-27.80119,-21.83188
20.546018601,6.44047100000002,-21.78449,-2.423621,0.2959054,0.03049716,0.9015247,-12.96276,-27.80119,-21.83188
20.555928707,5.82109000000002,-26.5029,-1.073637,0.2778913,0.03274994,0.9117897,-12.96276,-27.80119,-21.83188
20.565838814,2.476436,-31.04655,-0.828185100000001,0.2835056,0.03196435,0.9338198,-13.70967,-27.79942,-21.37827
20.575749397,-1.301785,-31.86208,-1.073637,0.3438701,0.001125857,0.9191315,-13.70967,-27.79942,-21.37827
20.585659504,4.334577,-30.46403,-0.3372818,0.367066,-0.01189373,0.8770565,-13.70967,-27.79942,-21.37827
20.595569134,14.43048,-30.34753,-0.1531931,0.3706352,0.01749368,0.9257153,-13.70967,-27.79942,-21.37827
20.60547924,14.86405,-28.94948,0.3990731,0.4123562,0.02615029,0.9988512,-13.70967,-27.79942,-21.37827
20.61786747,7.617294,-24.9301,0.460436,0.4641903,0.02753768,1.048318,-14.77839,-27.04874,-20.9896
