Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
15.323043346,-2.912175,13.86571,1.135428,0.4541235,-0.2854,0.8446594,-23.8861,-18.9565,-26.68566
15.332954884,-1.177909,13.3997,0.6445247,0.4452946,-0.2855246,0.8418593,-23.8861,-18.9565,-26.68566
15.345344067,0.2466658,12.46766,0.3990731,0.4284026,-0.2717255,0.8320241,-23.8877,-18.95833,-27.13538
15.355255604,0.989922399999999,11.65214,0.2149844,0.4164508,-0.2593024,0.8254952,-23.8877,-18.95833,-27.13538
15.365167618,1.980931,10.54535,0.2149844,0.4199022,-0.2592446,0.8283446,-23.8877,-18.95833,-27.13538
15.375078678,3.095816,9.55506599999997,0.583161800000002,0.4183114,-0.252986,0.8235995,-23.8877,-18.95833,-27.13538
15.384990215,3.591321,8.50653100000001,0.3990731,0.4024232,-0.229405,0.8277447,-23.8877,-18.95833,-27.13538
15.394901753,3.219692,7.34149200000003,-0.09183015,0.3805584,-0.2098569,0.8165535,-23.51643,-18.9617,-27.9725
15.40481329,2.786126,5.652184,-0.03046724,0.3705518,-0.1998537,0.8061491,-23.51643,-18.9617,-27.9725
15.41472435,2.476436,3.904626,-0.3986447,0.3610693,-0.190314,0.7986178,-23.51643,-18.9617,-27.9725
15.424635887,1.733179,1.749303,-0.950910899999997,0.3595363,-0.1781716,0.8063954,-23.51643,-18.9617,-27.9725
15.434547901,0.494418,-0.3477675,-1.56454,0.3585403,-0.1762421,0.8068976,-23.51643,-18.9617,-27.9725
15.444458962,-0.992095199999997,-2.910854,-2.239532,0.3547238,-0.185022,0.8059142,-23.88446,-19.33475,-27.58393
15.454370499,-2.230856,-5.357436,-2.484983,0.3631881,-0.1965462,0.8071995,-23.88446,-19.33475,-27.58393
15.464281559,-4.150936,-8.67779800000001,-2.423621,0.3712183,-0.2139015,0.8070096,-23.88446,-19.33475,-27.58393
15.474193573,-5.327759,-11.64865,-2.178169,0.3930846,-0.2422295,0.8080592,-23.88446,-19.33475,-27.58393
15.48410511,-4.832254,-13.1632,-1.871354,0.4122353,-0.274383,0.8259138,-23.88446,-19.33475,-27.58393
15.494016171,-5.327759,-12.17292,-1.748629,0.4252066,-0.3035972,0.8644921,-23.50673,-19.71089,-27.97019
15.503928185,-8.300786,-12.23117,-1.073637,0.4230242,-0.3288572,0.8605028,-23.50673,-19.71089,-27.97019
15.513839722,-10.77831,-15.02726,-0.2759189,0.4183365,-0.3610085,0.8425661,-23.50673,-19.71089,-27.97019
15.523750782,-8.92016599999997,-16.94958,0.03089567,0.4420032,-0.3742708,0.8461001,-23.50673,-19.71089,-27.97019
15.533662319,-4.584502,-15.84279,0.460436,0.4693676,-0.3754005,0.8429586,-23.50673,-19.71089,-27.97019
15.543574333,-2.602484,-12.34767,1.564968,0.4959779,-0.340816,0.9034429,-23.13595,-19.3347,-27.58783
15.553485393,-2.602484,-8.50304200000002,1.749057,0.5039322,-0.3221132,0.9380652,-23.13595,-19.3347,-27.58783
15.563396931,-4.088998,-6.34771999999997,1.38088,0.5124361,-0.3258119,0.9523667,-23.13595,-19.3347,-27.58783
15.573307991,-3.903184,-7.04674300000001,2.23996,0.5224147,-0.3346145,0.913803,-23.13595,-19.3347,-27.58783
15.583220005,0.1847278,-7.57101099999998,2.669501,0.5276217,-0.3351242,0.8964658,-23.13595,-19.3347,-27.58783
15.593131065,3.095816,-5.47394,3.896759,0.5567239,-0.3478018,0.9061956,-23.13273,-19.33104,-26.6884
15.603042602,6.13078099999997,-3.959389,6.71945300000003,0.5581514,-0.3531699,0.8960633,-23.13273,-19.33104,-26.6884
15.612954616,9.97093999999998,-1.105043,9.17396900000002,0.567214,-0.3234158,0.9086618,-23.13273,-19.33104,-26.6884
15.6253438,13.37753,5.710437,12.36484,0.5699341,-0.2820268,0.9362814,-23.13273,-19.33104,-26.6884
15.635255337,9.78512499999999,13.05018,13.96028,0.5501456,-0.2582407,0.9894403,-23.13273,-19.33104,-26.6884
15.645166397,3.033878,17.76859,14.75799,0.5220172,-0.2667681,1.002128,-24.2555,-19.33113,-26.68256
15.655077934,-0.682404900000003,17.01132,15.7398,0.4956401,-0.2741624,0.9485447,-24.2555,-19.33113,-26.68256
15.664989471,1.113798,17.36083,16.53752,0.529898,-0.3042013,0.963873,-24.2555,-19.33113,-26.68256
15.674901009,6.502409,23.59379,15.98525,0.5646775,-0.3461638,1.016089,-24.2555,-19.33113,-26.68256
15.684812069,11.95296,32.27333,16.47615,0.5768584,-0.3826185,0.9691583,-24.2555,-19.33113,-26.68256
15.694724083,12.94397,33.26361,18.56249,0.5068007,-0.3723544,0.8728826,-23.8877,-18.95833,-27.13538
15.70463562,7.74116999999998,22.31225,21.75336,0.4772603,-0.348446,0.7859263,-23.8877,-18.95833,-27.13538
15.71454668,3.343568,14.04047,20.52611,0.4005497,-0.3142648,0.7364469,-23.8877,-18.95833,-27.13538
15.724458218,7.43147999999999,16.48705,15.12617,0.4416246,-0.2852172,0.7228161,-23.8877,-18.95833,-27.13538
15.734370232,18.82808,19.69091,13.53074,0.4306147,-0.2632839,0.77156,-23.8877,-18.95833,-27.13538
15.744281292,32.45445,22.02098,11.4444,0.3892618,-0.2629595,0.8401271,-22.76952,-18.96347,-28.42611
15.754192829,38.58632,20.7977,8.13079899999997,0.3595835,-0.2608168,0.8572214,-22.76952,-18.96347,-28.42611
15.764104843,34.37453,18.23461,6.53536400000002,0.3779114,-0.2919263,0.891416,-22.76952,-18.96347,-28.42611
15.774015903,30.47243,22.25399,8.00807399999998,0.4596703,-0.3557109,1.016997,-22.76952,-18.96347,-28.42611
15.783927441,22.29661,37.22475,13.16256,0.5924377,-0.3741473,1.163055,-22.76952,-18.96347,-28.42611
15.793838501,19.63328,55.86538,18.50113,0.6683917,-0.3150547,1.343285,-22.40522,-17.83442,-27.14662
15.803750515,30.96794,70.8943800000001,19.17612,0.6568921,-0.1889858,1.466192,-22.40522,-17.83442,-27.14662
15.813662052,41.86904,79.3991700000002,14.5739,0.6059602,-0.05212081,1.428201,-22.40522,-17.83442,-27.14662
15.823573112,43.97493,78.00112,12.11939,0.5158145,0.02443444,1.167379,-22.40522,-17.83442,-27.14662
15.833485126,45.27563,68.0400300000001,11.81257,0.4419873,0.04373474,0.9525992,-22.40522,-17.83442,-27.14662
15.843396187,42.55036,66.2924700000003,11.9353,0.4305583,0.06910408,0.916862,-21.33002,-19.33795,-28.43241
15.853307724,22.48243,67.1079999999997,12.05803,0.3674807,0.03392747,0.9234531,-21.33002,-19.33795,-28.43241
15.863218784,3.777135,60.2925199999999,13.28528,0.2969577,-0.1018778,0.8967919,-21.33002,-19.33795,-28.43241
15.873130798,0.5563561,53.94306,14.38982,0.3241986,-0.2576883,0.8911805,-21.33002,-19.33795,-28.43241
15.883042335,2.042869,52.54502,15.43299,0.3730716,-0.2965913,0.9384851,-21.33002,-19.33795,-28.43241
15.892953396,-6.318768,55.80713,16.2307,0.3780554,-0.3418381,0.9899947,-19.08906,-19.343,-29.72898
15.905343056,-10.84025,56.73916,16.90569,0.3247104,-0.2635151,0.9818868,-19.08906,-19.343,-29.72898
