Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
14.554022312,3.893102,12.03379,1.662869,1.009099,0.04107926,0.1252665,-28.48319,-28.10974,42.06404
14.56388092,1.656929,24.64969,3.379353,1.016032,0.007611443,0.1378236,-26.61178,-28.12597,42.43847
14.573740005,1.097885,37.32509,5.095838,1.034888,-0.03692951,0.1539509,-26.61178,-28.12597,42.43847
14.583598614,2.526551,50.23853,6.99623000000001,1.061816,-0.05168445,0.178361,-26.61178,-28.12597,42.43847
14.593457222,4.390029,63.7470600000002,7.97707799999999,1.086433,-0.03482345,0.2045084,-26.61178,-28.12597,42.43847
14.603316784,5.94292600000003,78.2672299999999,8.467502,1.091326,-0.02013292,0.217501,-26.61178,-28.12597,42.43847
14.613175392,5.94292600000003,92.1328199999999,9.81616800000001,1.091375,-0.008889629,0.2310128,-26.24006,-27.76214,42.43277
14.623034,4.700608,105.8794,11.65526,1.111692,0.01026771,0.2308849,-26.24006,-27.76214,42.43277
14.632893085,3.334059,119.745,13.18783,1.146473,0.02181848,0.2443835,-26.24006,-27.76214,42.43277
14.642751694,2.40232,133.7891,14.5365,1.163837,0.03362161,0.2365684,-26.24006,-27.76214,42.43277
14.652610779,2.029624,146.8215,15.14953,1.195805,0.03053434,0.2461499,-26.24006,-27.76214,42.43277
14.662469387,2.029624,158.3663,15.70126,1.23797,0.02995736,0.2522529,-28.49319,-27.38502,41.22432
14.672327995,1.781161,171.7558,16.74341,1.299501,0.01205557,0.2641632,-28.49319,-27.38502,41.22432
14.684652328,3.334059,188.1802,17.35644,1.342371,-0.005678585,0.2351298,-28.49319,-27.38502,41.22432
14.694510937,6.37773799999999,196.571,15.88517,1.374805,-0.03269115,0.2219804,-28.49319,-27.38502,41.22432
14.704369545,9.42141799999999,205.5569,16.4982,1.439897,-0.04284752,0.2147373,-28.49319,-27.38502,41.22432
14.71422863,11.96817,213.6501,16.19168,1.502854,-0.01938408,0.2241012,-33.00835,-26.276,37.84346
14.724087238,13.02414,222.8144,16.6821,1.596532,-0.0004229883,0.2579077,-33.00835,-26.276,37.84346
14.733946323,12.27875,229.539,16.86601,1.659078,0.02257,0.2725447,-33.00835,-26.276,37.84346
14.743804932,10.72585,238.7628,16.06907,1.765212,0.04268055,0.3239137,-33.00835,-26.276,37.84346
14.75366354,9.66988199999998,247.6892,14.4752,1.823135,0.06557168,0.3223229,-33.00835,-26.276,37.84346
14.763523102,7.99275200000001,255.1278,12.39089,1.868728,0.09041417,0.3511139,-38.22938,-25.19917,31.58551
14.77338171,4.265797,261.0787,11.34874,1.917294,0.1011346,0.3701594,-38.22938,-25.19917,31.58551
