Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-1.945794,-1.593753,-0.9731596,1.009049,-0.06759167,-0.04576573,-40.53563,-24.8009,23.07824
0.019713879,-1.945794,-1.593753,-0.7892506,1.015909,-0.07241019,-0.04925855,-40.9081,-25.53823,22.70363
0.024642468,-1.821563,-1.474735,-0.8505535,1.012338,-0.06613522,-0.0544259,-40.9081,-25.53823,22.70363
0.034499168,-1.573099,-1.474735,-0.8505535,1.017772,-0.07388427,-0.05744394,-40.9081,-25.53823,22.70363
0.044356346,-1.448867,-1.17719,-0.7892506,1.014617,-0.06469667,-0.06546783,-40.9081,-25.53823,22.70363
0.054213047,-1.138287,-1.058172,-0.6053416,1.01131,-0.06469338,-0.05679508,-40.9081,-25.53823,22.70363
0.064069748,-0.5171283,-0.8796456,-0.3601296,1.017084,-0.05881021,-0.05874452,-40.9081,-25.53823,22.70363
0.073926926,-1.138287,-0.7011189,-0.5440385,1.010857,-0.0583406,-0.04858861,-40.53513,-25.91603,22.32139
0.083783627,-1.759447,-0.4630831,-0.4827355,1.012942,-0.06805124,-0.04774188,-40.53513,-25.91603,22.32139
0.093639851,-1.821563,-0.3440652,-0.7279475,1.011442,-0.07246749,-0.05398737,-40.53513,-25.91603,22.32139
0.103497505,-1.138287,-0.582101,-0.7279475,1.010423,-0.06907005,-0.05394418,-40.53513,-25.91603,22.32139
0.113353729,-1.262519,-0.582101,-1.157069,1.004958,-0.06084186,-0.05283844,-40.53513,-25.91603,22.32139
0.123211384,-2.132142,-0.582101,-0.7892506,1.011276,-0.05689142,-0.05241596,-40.53236,-25.91069,22.70547
0.133067608,-2.566953,-0.4035742,-0.9118565,1.010326,-0.06030979,-0.05338965,-40.53236,-25.91069,22.70547
0.142924309,-2.442722,-0.2845563,-0.7892506,1.012734,-0.06322815,-0.05871981,-40.53236,-25.91069,22.70547
0.152781487,-1.945794,-0.2250474,-0.7892506,1.020505,-0.06024539,-0.06024299,-40.53236,-25.91069,22.70547
0.162638187,-1.759447,0.01298836,-0.8505535,1.019167,-0.06949771,-0.05886441,-40.53236,-25.91069,22.70547
0.172495365,-0.8898239,-0.04652058,-0.8505535,1.020677,-0.0758196,-0.06133528,-40.53914,-25.17974,22.31384
0.184816361,-0.02020105,0.1320062,-0.6666446,1.015813,-0.06706711,-0.05160809,-40.53914,-25.17974,22.31384
0.194673538,-0.2686647,0.1320062,-0.7892506,1.017107,-0.05245684,-0.05150323,-40.53914,-25.17974,22.31384
0.204530239,-1.014056,0.310533,-0.7892506,1.017211,-0.0568212,-0.04770795,-40.53914,-25.17974,22.31384
0.214387417,-1.386751,0.6080777,-0.5440385,1.010261,-0.0559343,-0.0543102,-40.53914,-25.17974,22.31384
0.224244118,-0.765592,0.5485688,-0.4214326,1.005583,-0.07007511,-0.05100848,-40.53638,-25.17439,22.69793
0.234100342,-0.3307806,0.310533,-0.6053416,1.015864,-0.06754069,-0.04825842,-40.53638,-25.17439,22.69793
0.243957996,-0.02020105,0.370042,-0.7279475,1.015711,-0.05635496,-0.04959945,-40.53638,-25.17439,22.69793
0.25381422,-0.6413602,0.5485688,-0.8505535,1.012927,-0.0602437,-0.04192539,-40.53638,-25.17439,22.69793
0.263671875,-1.200403,0.4890598,-0.7279475,1.014317,-0.05976463,-0.04721235,-40.53638,-25.17439,22.69793
0.273528099,-1.448867,0.370042,-0.6053416,1.011363,-0.06419009,-0.05247879,-40.53789,-25.92138,21.9373
0.2833848,-1.262519,0.6080777,-0.5440385,1.0094,-0.06860322,-0.05680085,-40.53789,-25.92138,21.9373
0.293241978,-1.262519,0.7866045,-0.5440385,1.010258,-0.06228209,-0.06011412,-40.53789,-25.92138,21.9373
0.303098679,-1.014056,0.8461134,-0.6053416,1.012799,-0.05930397,-0.05054121,-40.53789,-25.92138,21.9373
0.312955856,-0.765592,1.143658,-0.5440385,1.013695,-0.06615388,-0.06259179,-40.53789,-25.92138,21.9373
0.322812557,-0.5171283,1.203167,-0.4214326,1.013807,-0.06514544,-0.05348008,-39.47547,-25.55477,22.69622
0.332669258,-0.3928965,1.203167,-0.6053416,1.014902,-0.0699859,-0.04922374,-39.47547,-25.55477,22.69622
0.342526436,-0.3928965,1.61973,-0.5440385,1.0173,-0.07095424,-0.05357889,-39.47547,-25.55477,22.69622
0.354847908,0.04191487,1.500712,-0.6666446,1.008925,-0.06811538,-0.05535236,-39.47547,-25.55477,22.69622
0.364704609,-0.08231696,1.560221,-0.7279475,1.014822,-0.05780287,-0.0443278,-40.59817,-26.28881,21.94139
0.374560833,-0.08231696,1.500712,-0.7892506,1.006422,-0.054483,-0.04753445,-40.59817,-26.28881,21.94139
0.384418488,-0.2065488,1.381694,-0.6666446,1.004629,-0.06275348,-0.0427867,-40.59817,-26.28881,21.94139
0.394274712,-0.5171283,1.203167,-0.7279475,1.005628,-0.06176243,-0.04039657,-40.59817,-26.28881,21.94139
0.404132366,-0.3928965,0.9651313,-0.7279475,1.009546,-0.05830895,-0.03706887,-40.59817,-26.28881,21.94139
0.41398859,-0.765592,0.7270955,-0.6666446,1.009541,-0.05733394,-0.03658137,-40.59817,-26.28881,21.94139
0.423845291,-1.014056,0.7270955,-0.7892506,1.010133,-0.06218242,-0.03327634,-40.22047,-25.91339,22.76787
0.433702469,-1.014056,0.4890598,-0.7279475,1.020224,-0.06067871,-0.04538745,-40.22047,-25.91339,22.76787
0.44355917,-0.9519398,0.5485688,-0.9731596,1.015277,-0.06757284,-0.05543832,-40.22047,-25.91339,22.76787
0.453416348,-0.5792443,0.4295509,-0.7279475,1.007477,-0.0642171,-0.05050682,-40.22047,-25.91339,22.76787
0.463273049,-0.1444329,0.6675866,-0.7279475,1.011906,-0.06319407,-0.04768613,-40.22047,-25.91339,22.76787
0.473129749,-0.08231696,0.6675866,-0.6053416,1.010405,-0.05540501,-0.0432862,-40.22167,-26.28778,22.32355
0.482986927,-0.765592,0.4890598,-0.7892506,1.01288,-0.05732794,-0.0428585,-40.22167,-26.28778,22.32355
0.492843628,-1.014056,0.6675866,-0.7279475,1.015751,-0.0646435,-0.05398276,-40.22167,-26.28778,22.32355
0.502700806,-0.7034761,0.7866045,-0.7279475,1.010889,-0.06321381,-0.05054699,-40.22167,-26.28778,22.32355
0.512557507,-0.3928965,0.7270955,-1.095766,1.015637,-0.05832912,-0.05680303,-40.22167,-26.28778,22.32355
0.524878502,0.1040308,1.084149,-0.9731596,1.00933,-0.05885866,-0.05336322,-40.22569,-25.55148,22.31601
0.534735203,-0.02020105,1.02464,-1.157069,1.020212,-0.06409961,-0.04924975,-40.22569,-25.55148,22.31601
0.544592381,0.2903785,1.262676,-1.095766,1.0222,-0.06065592,-0.04397783,-40.22569,-25.55148,22.31601
0.554449081,0.1661467,1.203167,-0.7892506,1.020744,-0.06164199,-0.0439654,-40.22569,-25.55148,22.31601
0.564305782,-0.08231696,1.322185,-1.034463,1.015893,-0.06118547,-0.04053801,-39.85548,-25.93464,21.54968
0.57416296,-0.02020105,1.262676,-0.8505535,1.016295,-0.05827654,-0.04435279,-39.85548,-25.93464,21.54968
0.584019661,-0.4550124,1.262676,-1.034463,1.012285,-0.05833883,-0.05148415,-39.85548,-25.93464,21.54968
0.593876839,-0.02020105,1.322185,-0.9731596,1.002723,-0.06373271,-0.0398926,-39.85548,-25.93464,21.54968
0.603733539,0.4767263,1.143658,-1.095766,1.001112,-0.05988086,-0.04702512,-39.85548,-25.93464,21.54968
0.613590717,0.1040308,1.02464,-1.218372,1.012978,-0.05681166,-0.03518836,-39.85548,-25.93464,21.54968
0.623447418,-0.5171283,0.9651313,-1.218372,1.010103,-0.06023797,-0.03373871,-40.22443,-26.29312,21.93946
0.633304119,-1.014056,0.7270955,-1.157069,1.009191,-0.06022801,-0.02893361,-40.22443,-26.29312,21.93946
0.643161297,-1.262519,0.4295509,-1.402281,1.014929,-0.05581943,-0.03472859,-40.22443,-26.29312,21.93946
0.653017998,-1.386751,0.5485688,-1.279675,1.017836,-0.05726634,-0.03813662,-40.22443,-26.29312,21.93946
0.662875175,-1.821563,0.370042,-1.218372,1.017222,-0.05779435,-0.04771633,-40.22443,-26.29312,21.93946
0.672731876,-1.945794,0.4295509,-1.157069,1.016263,-0.05779739,-0.04626509,-40.22519,-26.66662,21.55915
0.682589054,-1.386751,0.6675866,-1.157069,1.014841,-0.0626798,-0.04724442,-40.22519,-26.66662,21.55915
0.694909573,-0.7034761,0.6675866,-1.034463,1.010006,-0.06026582,-0.04092554,-40.22519,-26.66662,21.55915
0.70476675,-0.5171283,0.8461134,-1.218372,1.0099,-0.05248427,-0.04181676,-40.22519,-26.66662,21.55915
0.714623451,-0.6413602,1.203167,-1.218372,1.009832,-0.05933908,-0.05289522,-40.22845,-25.55683,21.93192
0.724480629,-0.5792443,1.084149,-1.218372,1.015235,-0.06123805,-0.05298826,-40.22845,-25.55683,21.93192
0.73433733,0.1661467,1.084149,-1.524887,1.011428,-0.05977746,-0.04381689,-40.22845,-25.55683,21.93192
0.744194031,0.5388422,1.084149,-1.279675,1.01342,-0.05779722,-0.03951577,-40.22845,-25.55683,21.93192
0.754051208,0.9115377,0.9651313,-1.524887,1.014949,-0.06020792,-0.03716191,-40.22845,-25.55683,21.93192
0.763907909,1.160001,1.02464,-1.402281,1.008952,-0.05394891,-0.04085722,-40.59616,-26.65696,21.94517
0.773765087,0.663074,1.203167,-1.340978,1.0054,-0.04425118,-0.04168314,-40.59616,-26.65696,21.94517
0.783621788,-0.7034761,1.262676,-1.340978,1.022601,-0.04554169,-0.03714719,-40.59616,-26.65696,21.94517
0.793478966,-1.200403,1.381694,-1.095766,1.016433,-0.05774911,-0.03380791,-40.59616,-26.65696,21.94517
0.803335667,0.04191487,1.381694,-1.279675,1.007128,-0.0612518,-0.03753845,-40.59616,-26.65696,21.94517
0.813192368,0.7873058,0.9651313,-0.9731596,1.007038,-0.04809562,-0.03263414,-40.59616,-26.65696,21.94517
0.823049545,0.7251899,0.6080777,-1.279675,1.006639,-0.0441683,-0.02253212,-40.59692,-27.03045,21.56485
0.832906246,0.2282626,0.8461134,-1.157069,1.008037,-0.04710457,-0.03024402,-40.59692,-27.03045,21.56485
0.842763424,-0.6413602,0.7866045,-1.157069,1.006052,-0.04859452,-0.0335827,-40.59692,-27.03045,21.56485
0.852620125,-1.697331,0.6080777,-0.9731596,1.012381,-0.04171161,-0.02978123,-40.59692,-27.03045,21.56485
0.862477303,-2.00791,0.6675866,-1.034463,1.023117,-0.05382964,-0.04249568,-40.59692,-27.03045,21.56485
0.874797821,-1.448867,0.6675866,-0.7279475,1.01909,-0.04706127,-0.04477718,-40.97466,-26.28984,21.55925
0.884654999,-1.635215,0.6675866,-0.5440385,1.022612,-0.05139735,-0.04150956,-40.97466,-26.28984,21.55925
0.8945117,-0.8277079,0.6675866,-0.5440385,1.014832,-0.05535884,-0.04143212,-40.97466,-26.28984,21.55925
0.904368877,0.663074,0.6675866,-0.7279475,1.000142,-0.05451667,-0.04169483,-40.97466,-26.28984,21.55925
0.914225578,1.222117,0.6675866,-0.6666446,1.008482,-0.05053045,-0.03650886,-40.22519,-26.66662,21.55915
0.924082756,0.6009581,0.5485688,-0.9731596,1.010631,-0.0563169,-0.02748354,-40.22519,-26.66662,21.55915
0.933939457,0.3524944,0.1915152,-1.034463,1.008191,-0.05731343,-0.02793637,-40.22519,-26.66662,21.55915
0.943796158,-0.02020105,0.01298836,-0.9118565,1.010195,-0.05972353,-0.02654768,-40.22519,-26.66662,21.55915
0.953653336,-0.8277079,0.07249729,-1.034463,1.016188,-0.04317219,-0.03895259,-40.22519,-26.66662,21.55915
0.963510036,-1.697331,0.1320062,-0.9118565,1.016222,-0.04658009,-0.03946104,-40.22443,-26.29312,21.93946
0.973367214,-1.635215,0.310533,-0.6666446,1.010202,-0.04276882,-0.04701027,-40.22443,-26.29312,21.93946
0.983223915,-1.014056,0.2510241,-0.8505535,1.012864,-0.05489134,-0.04187931,-40.22443,-26.29312,21.93946
0.993081093,0.4767263,0.310533,-0.6666446,1.011999,-0.0573087,-0.0356578,-40.22443,-26.29312,21.93946
1.002937794,2.215972,0.1320062,-0.9731596,1.016712,-0.05438703,-0.0462427,-40.22443,-26.29312,21.93946
1.012794971,2.526551,0.1320062,-0.9118565,1.01488,-0.04997491,-0.03324097,-40.22443,-26.29312,21.93946
1.022651672,0.7873058,0.1915152,-0.7892506,1.015844,-0.0460644,-0.03082571,-40.60294,-25.92601,21.55354
1.032508373,-1.262519,0.310533,-0.8505535,1.013872,-0.04755063,-0.03320615,-40.60294,-25.92601,21.55354
1.044829369,-1.510983,0.1320062,-0.9731596,1.007131,-0.05099838,-0.02834717,-40.60294,-25.92601,21.55354
1.054686546,-1.200403,-0.1060295,-0.8505535,1.009547,-0.04463834,-0.02497353,-40.60294,-25.92601,21.55354
1.064543247,-1.076172,-0.2845563,-0.9118565,1.012402,-0.03682354,-0.02398987,-40.9734,-27.03148,21.1827
1.074399948,-1.324635,-0.1655384,-0.6666446,1.013823,-0.04121768,-0.03123521,-40.9734,-27.03148,21.1827
1.084257126,-1.448867,-0.2250474,-0.7892506,1.010411,-0.0510091,-0.0389364,-40.9734,-27.03148,21.1827
1.094113827,-1.324635,-0.1655384,-0.6053416,1.015145,-0.05589311,-0.05485867,-40.9734,-27.03148,21.1827
1.103971005,-0.9519398,0.1320062,-0.6053416,1.010386,-0.05931621,-0.04811094,-40.9734,-27.03148,21.1827
1.113827705,-0.8898239,0.370042,-0.7279475,1.01044,-0.05783604,-0.04282802,-39.85497,-27.04977,20.79283
1.123684883,-0.3928965,0.310533,-0.7279475,1.010439,-0.05393042,-0.03944065,-39.85497,-27.04977,20.79283
1.133541584,-0.1444329,0.4890598,-0.5440385,1.011824,-0.04417666,-0.03698207,-39.85497,-27.04977,20.79283
1.143398762,-0.3928965,0.5485688,-0.6666446,1.011678,-0.03689469,-0.04123134,-39.85497,-27.04977,20.79283
1.153255463,-1.138287,0.6080777,-0.4827355,1.014749,-0.04171237,-0.03556537,-39.85497,-27.04977,20.79283
1.16311264,-1.945794,0.9056224,-0.2988266,1.015794,-0.049008,-0.03707943,-40.59817,-26.28881,21.94139
1.172969341,-1.697331,0.9651313,-0.4827355,1.013005,-0.06022142,-0.03617593,-40.59817,-26.28881,21.94139
1.182826042,-0.9519398,0.6080777,-0.6053416,1.012435,-0.05780768,-0.03998103,-40.59817,-26.28881,21.94139
1.19268322,-0.02020105,0.370042,-0.5440385,1.006579,-0.04955594,-0.03168152,-40.59817,-26.28881,21.94139
1.202539921,0.04191487,0.4295509,-0.4827355,1.012929,-0.04169059,-0.02547606,-40.59817,-26.28881,21.94139
