Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.591846943,-3.622924,10.07,-4.46743,1.125355,0.290238,0.7616099,-41.11726,-36.36826,11.61153
19.601705074,-11.44953,21.25768,-7.83909500000001,1.130473,0.2343351,0.7648988,-40.74479,-35.63094,11.98614
19.611562252,-16.17034,32.6834,-8.88124700000001,1.105156,0.1941097,0.7385643,-40.74479,-35.63094,11.98614
19.621420383,-18.09593,42.26433,-9.18776100000002,1.0907,0.1697662,0.7692335,-40.74479,-35.63094,11.98614
19.631277561,-17.66112,54.82072,-8.75863999999999,1.111804,0.1463194,0.8252804,-40.74479,-35.63094,11.98614
19.641135216,-15.48706,68.15072,-8.08430800000001,1.120449,0.1368573,0.8768309,-40.74479,-35.63094,11.98614
19.65099287,-14.18263,82.2543300000001,-7.226065,1.139753,0.1385554,0.8947797,-40.74479,-35.63094,11.98614
19.660850525,-13.31301,96.9530399999998,-6.490429,1.160117,0.1598145,0.93588,-40.74956,-35.26813,11.59828
19.670707703,-12.44338,111.8898,-6.98085300000002,1.188363,0.1577235,0.9603782,-40.74956,-35.26813,11.59828
19.680565834,-10.9526,127.1241,-7.90039899999997,1.203521,0.147115,0.9504886,-40.74956,-35.26813,11.59828
19.690423012,-7.66045899999998,141.1087,-7.47127699999998,1.209879,0.1372711,0.9057494,-40.74956,-35.26813,11.59828
19.700281143,-2.504838,152.8914,-7.226065,1.223552,0.1611733,0.8889842,-40.74956,-35.26813,11.59828
19.710138321,2.775015,164.0791,-6.85824700000003,1.267521,0.2068168,0.8887427,-41.14872,-36.05713,7.510873
19.719996452,8.05486800000002,174.1956,-8.32951900000003,1.307791,0.238328,0.8917892,-41.14872,-36.05713,7.510873
19.72985363,10.72585,182.6459,-10.90425,1.36325,0.2370514,0.939387,-41.14872,-36.05713,7.510873
19.742175579,14.08011,192.6434,-14.45982,1.428664,0.2294281,0.9580376,-41.14872,-36.05713,7.510873
19.752033234,15.57089,200.2606,-16.85064,1.452738,0.2106291,0.9489103,-41.55988,-35.75327,2.57997
19.761891365,19.23573,206.0329,-17.09585,1.455683,0.2212637,0.9230813,-41.55988,-35.75327,2.57997
19.771748543,21.53402,210.3771,-17.27976,1.454447,0.2615692,0.9037918,-41.55988,-35.75327,2.57997
19.781606674,22.2173,212.7574,-18.44451,1.4569,0.3053982,0.907002,-41.55988,-35.75327,2.57997
19.791463852,18.98727,214.0071,-20.71272,1.454668,0.3428959,0.9198095,-41.55988,-35.75327,2.57997
19.801321506,11.53336,215.9114,-23.28745,1.415381,0.3658057,0.8932484,-41.98302,-35.47257,-4.01529
19.811179161,2.029624,217.5777,-24.14569,1.352171,0.4042751,0.9198715,-41.98302,-35.47257,-4.01529
19.821036816,-15.2386,220.077,-26.72042,1.300788,0.3792683,0.860972,-41.98302,-35.47257,-4.01529
19.830893993,-28.84199,222.1598,-26.4139,1.241015,0.3219442,0.7683755,-41.98302,-35.47257,-4.01529
19.840752125,-34.3703,221.1482,-24.45221,1.196703,0.2770442,0.708249,-41.98302,-35.47257,-4.01529
19.850609302,-35.48839,219.0654,-24.08439,1.175126,0.2299687,0.6631144,-41.98302,-35.47257,-4.01529
19.860467434,-35.79897,217.6372,-23.90048,1.144213,0.1797348,0.576396,-39.80556,-34.50807,-12.23196
19.870324612,-30.64335,212.1028,-22.55181,1.060103,0.1524989,0.5193818,-39.80556,-34.50807,-12.23196
19.880182743,-27.22697,203.8311,-24.2683,0.9852524,0.1122882,0.4841693,-39.80556,-34.50807,-12.23196
19.890039921,-24.49387,197.1066,-25.61696,0.8967574,0.05341871,0.4365346,-39.80556,-34.50807,-12.23196
19.899897575,-16.91573,188.5968,-23.47136,0.8005024,-0.02698291,0.374932,-39.80556,-34.50807,-12.23196
19.912219524,-2.194258,177.1711,-18.32191,0.7389164,-0.1050069,0.3463993,-36.18268,-35.3955,-20.0531
19.922077179,9.98046100000001,171.1012,-13.66288,0.7113536,-0.07041554,0.2929345,-36.18268,-35.3955,-20.0531
19.931934834,22.27941,164.6742,-10.90425,0.6390874,-0.01150746,0.2115602,-36.18268,-35.3955,-20.0531
19.941792011,33.02547,153.9626,-9.92339700000002,0.559121,0.01430324,0.146309,-36.18268,-35.3955,-20.0531
19.951650143,40.9763,140.8706,-10.22991,0.5161439,0.04150093,0.1040231,-31.74335,-34.79118,-25.84506
19.96150732,44.76537,129.1474,-9.49427599999999,0.4896593,0.08700559,0.103347,-31.74335,-34.79118,-25.84506
19.971365452,44.14421,118.7928,-9.37167100000003,0.4351816,0.1336968,0.09589192,-31.74335,-34.79118,-25.84506
19.981223106,39.29918,110.4021,-10.41382,0.3973756,0.1395355,0.05526886,-31.74335,-34.79118,-25.84506
19.991080761,38.49167,100.8211,-10.10731,0.3261871,0.1357696,-0.002210639,-31.74335,-34.79118,-25.84506
20.000938416,38.98859,87.96719,-11.45597,0.2760217,0.1153691,-0.003584625,-26.95787,-35.61138,-27.91075
20.010795593,37.063,77.3745999999997,-11.9464,0.2712179,0.08277489,0.01010555,-26.95787,-35.61138,-27.91075
20.020653725,37.31147,68.0317000000002,-10.47512,0.2498243,0.07201573,0.04625962,-26.95787,-35.61138,-27.91075
20.030510902,35.63433,59.5814299999997,-10.22991,0.2369041,0.03696368,0.07250392,-26.95787,-35.61138,-27.91075
20.040369034,34.14355,52.7379,-7.226065,0.2234727,0.02129493,0.07831351,-26.95787,-35.61138,-27.91075
20.050226212,33.39816,44.64469,-2.873553,0.1987778,0.05616348,0.09189813,-23.22455,-36.03427,-28.75848
20.060083866,29.42274,34.7067,-0.3601296,0.1896829,0.07957299,0.1272069,-23.22455,-36.03427,-28.75848
20.069941521,22.65211,25.89938,0.927233400000001,0.1914709,0.09321255,0.1268173,-23.22455,-36.03427,-28.75848
20.08226347,15.50878,12.39085,2.643717,0.1543592,0.08083177,0.1569521,-23.22455,-36.03427,-28.75848
20.092121124,8.86237499999997,1.560221,3.992383,0.1540403,0.05171758,0.1797125,-23.22455,-36.03427,-28.75848
20.101978302,3.644638,-8.08022700000001,6.01538200000003,0.1581514,0.05815552,0.1998347,-20.97138,-37.52742,-28.3709
20.111836433,0.1661467,-17.83969,9.20313699999998,0.1652333,0.07585886,0.2324687,-20.97138,-37.52742,-28.3709
20.121693611,-2.504838,-27.71818,12.14568,0.1694174,0.1261228,0.2606268,-20.97138,-37.52742,-28.3709
20.131551743,-7.59834299999997,-38.25126,13.24914,0.1847507,0.1793868,0.2838593,-20.97138,-37.52742,-28.3709
20.14140892,-13.6857,-50.68863,14.5978,0.1887444,0.2204553,0.3258394,-20.97138,-37.52742,-28.3709
20.151267052,-20.82903,-63.0664799999998,13.37174,0.2272238,0.2167616,0.4177453,-21.34189,-37.51686,-27.92087
20.161124229,-28.9041,-71.3382299999997,11.96177,0.2775389,0.1571881,0.5032605,-21.34189,-37.51686,-27.92087
