Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-3.809272,-1.77228,0.06899142,1.0166,-0.03076632,-0.1054625,-35.42486,-38.30909,13.52213
60.707417011,-37.00357,-40.84801,1.215876,0.8510355,0.02787182,-0.4275051,-40.12032,-34.39493,13.1226
60.717272758,-41.47592,-43.70444,-2.646213,0.8939248,0.01955474,-0.4109354,-40.12032,-34.39493,13.1226
60.7295928,-45.57557,-46.73939,-7.427847,0.9095485,0.03126698,-0.4388528,-40.12032,-34.39493,13.1226
60.739449024,-47.31481,-48.70319,-10.18648,0.8756348,0.02910477,-0.4163446,-40.12032,-34.39493,13.1226
60.749304771,-48.37078,-51.50011,-13.68075,0.9642046,-0.03037319,-0.3955865,-39.75136,-34.03645,12.73281
60.759160519,-45.07864,-52.27372,-16.50069,1.043624,-0.06388121,-0.3054741,-39.75136,-34.03645,12.73281
60.769016743,-43.33939,-53.16636,-17.84936,1.075309,-0.1628243,-0.2933431,-39.75136,-34.03645,12.73281
60.77887249,-36.56876,-55.60622,-17.60414,1.079609,-0.2992478,-0.3491845,-39.75136,-34.03645,12.73281
60.788728714,-20.17016,-58.34364,-16.19417,1.058874,-0.3704943,-0.353803,-39.75136,-34.03645,12.73281
60.798584461,2.315801,-59.83136,-14.78421,1.05894,-0.3732696,-0.3154914,-38.99511,-35.14418,13.12434
60.808440208,22.93828,-60.54547,-15.76505,1.051589,-0.3533213,-0.2989255,-38.99511,-35.14418,13.12434
60.818296432,42.62903,-61.31908,-17.84936,1.031833,-0.3429423,-0.3392883,-38.99511,-35.14418,13.12434
60.82815218,61.88496,-62.21172,-19.81105,1.009638,-0.3373305,-0.3475502,-38.99511,-35.14418,13.12434
60.838008404,80.45762,-62.44975,-21.15972,1.02521,-0.2975335,-0.2827443,-38.99511,-35.14418,13.12434
60.847864151,92.88081,-62.33073,-22.20187,1.039863,-0.2676285,-0.2582616,-39.34563,-37.26511,14.74862
60.857719898,102.3224,-62.44975,-21.95666,1.048507,-0.2475789,-0.2524652,-39.34563,-37.26511,14.74862
60.867576122,109.4036,-62.33073,-20.60799,1.052166,-0.2342998,-0.2236533,-39.34563,-37.26511,14.74862
60.877431869,114.0002,-60.48596,-18.46239,1.045702,-0.1919102,-0.1939723,-39.34563,-37.26511,14.74862
60.88728857,112.9442,-56.49886,-17.17502,1.039291,-0.1704991,-0.1788451,-39.34563,-37.26511,14.74862
60.899608612,108.534,-49.06024,-16.31678,1.039749,-0.2205207,-0.153397,-37.06995,-37.59858,19.09374
60.909464359,110.4596,-39.95538,-14.90681,1.055908,-0.2718551,-0.1257877,-37.06995,-37.59858,19.09374
60.919320583,118.9074,-29.42229,-13.49684,1.093774,-0.2780819,-0.1886759,-37.06995,-37.59858,19.09374
60.929176331,134.1258,-22.87631,-13.74206,1.07138,-0.181311,-0.02365385,-37.06995,-37.59858,19.09374
60.939032078,128.4111,-12.28372,-12.5773,1.189841,-0.299398,0.1284426,-37.06995,-37.59858,19.09374
60.948888302,132.2002,1.343827,-8.469998,1.201206,-0.1289274,0.1431369,-36.66774,-36.43163,23.88153
60.958744049,121.6405,11.1628,-6.998726,1.197136,-0.03052013,0.1823614,-36.66774,-36.43163,23.88153
60.968600273,105.9251,21.1603,-4.485303,1.212912,0.08140489,0.1461827,-36.66774,-36.43163,23.88153
60.97845602,85.92382,25.62347,-5.343545,1.149667,0.3220506,-0.1542182,-36.66774,-36.43163,23.88153
60.988311768,58.28224,18.24436,-12.5773,1.092804,0.4913125,-0.3005311,-36.66774,-36.43163,23.88153
60.998167992,19.70826,6.818649,-16.56199,1.111053,0.3781641,-0.2816197,-36.65841,-34.98743,26.23558
61.008023739,-20.85344,-2.167201,-14.78421,1.172717,0.1582792,-0.1506577,-36.65841,-34.98743,26.23558
61.017879963,-42.53189,-3.595415,-11.78036,1.220873,-0.09199561,-0.1759786,-36.65841,-34.98743,26.23558
61.02773571,-37.25204,-5.083138,-8.776513,1.194604,-0.3129488,-0.2517448,-36.65841,-34.98743,26.23558
61.037591457,-17.43706,-8.237111,-5.466151,1.146955,-0.4710702,-0.2615049,-36.65841,-34.98743,26.23558
61.047447681,12.68916,-11.5101,-1.542759,1.059535,-0.466081,-0.2817808,-36.66243,-34.25114,26.22804
61.057303429,38.96419,-15.25917,-0.07148726,1.012294,-0.3389315,-0.2618248,-36.66243,-34.25114,26.22804
61.06962347,49.08909,-18.47265,-0.5619112,1.018182,-0.2064824,-0.2516862,-36.66243,-34.25114,26.22804
61.079479218,50.26929,-19.42479,-0.01018427,1.034595,-0.1508748,-0.2548052,-36.66243,-34.25114,26.22804
61.089335442,49.83448,-19.84135,1.399785,1.03286,-0.09592972,-0.261984,-36.66243,-34.25114,26.22804
61.099192143,44.8652,-21.5076,1.461088,1.004324,-0.07048669,-0.2872393,-36.64766,-35.33865,27.45562
61.10904789,37.34918,-23.53091,1.154573,1.018296,-0.06421028,-0.3333887,-36.64766,-35.33865,27.45562
61.118903637,32.19356,-24.60207,0.2963307,1.01025,-0.03420725,-0.3588975,-36.64766,-35.33865,27.45562
