Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
34.572147369,1.03577,1.02464,-0.3601296,0.9938436,-0.05105515,-0.1417285,-23.96538,-26.04597,31.0066
34.582004547,-0.02020105,1.143658,-0.5440385,0.9988011,-0.05880479,-0.1437814,-23.96538,-26.04597,31.0066
34.591862202,-0.02020105,1.679239,-0.2375236,0.9980751,-0.06850598,-0.1337897,-23.96538,-26.04597,31.0066
34.601719856,-0.2065488,2.15531,-0.1149176,1.002934,-0.06407815,-0.132384,-23.96538,-26.04597,31.0066
34.611577034,0.2903785,2.512363,0.007688423,1.001932,-0.06214045,-0.1323534,-23.96538,-26.04597,31.0066
34.621435165,-0.02020105,2.631382,0.007688423,0.9994904,-0.06411386,-0.1337728,-24.70962,-26.0311,31.45855
34.631292343,-0.765591999999998,3.107453,-0.05361458,0.9959136,-0.05344669,-0.1355486,-24.70962,-26.0311,31.45855
34.641149521,-1.324635,3.404998,0.007688423,1.000772,-0.05341293,-0.1380136,-24.70962,-26.0311,31.45855
34.651007652,-1.945794,3.82156,0.1302944,0.995549,-0.05292728,-0.1259551,-24.70962,-26.0311,31.45855
34.66086483,-2.442722,4.773703,-0.05361458,1.00128,-0.04949743,-0.1331958,-24.70962,-26.0311,31.45855
34.670722008,-2.753301,4.892721,0.1915974,1.000354,-0.06657898,-0.1443483,-24.70962,-26.0311,31.45855
34.680580139,-1.821563,5.368793,0.4981124,0.9978914,-0.06514078,-0.1443011,-24.71284,-26.03733,31.01046
34.690437317,-1.014056,5.666337,1.049839,0.9989354,-0.06901922,-0.1429111,-24.71284,-26.03733,31.01046
34.700295448,0.04191487,6.20191800000002,1.233748,0.9916831,-0.06515403,-0.1331911,-24.71284,-26.03733,31.01046
34.710152626,0.2903785,6.43995299999998,1.295051,0.9965783,-0.06218037,-0.1303606,-24.71284,-26.03733,31.01046
34.720009804,0.1661467,7.03504299999997,1.111142,0.9921601,-0.05587688,-0.1259317,-24.71284,-26.03733,31.01046
34.729867935,-0.3928965,7.09455200000001,1.417657,0.9902406,-0.0529542,-0.1206084,-23.59442,-26.05563,30.62058
34.742189884,-0.579244300000001,7.27307799999999,1.356354,0.9903439,-0.06220105,-0.1211672,-23.59442,-26.05563,30.62058
34.752047062,-0.579244300000001,7.51111399999998,1.47896,0.9951872,-0.05924225,-0.1221696,-23.59442,-26.05563,30.62058
34.761904716,-0.2686647,7.74915000000002,1.47896,0.9991808,-0.06162585,-0.118413,-23.59442,-26.05563,30.62058
34.771762371,-0.1444329,8.04669499999999,1.295051,0.9986634,-0.06310289,-0.1217725,-25.08732,-26.40651,30.63208
34.781619549,0.2282626,7.92767700000003,1.540263,0.9997414,-0.06599517,-0.1170203,-25.08732,-26.40651,30.63208
34.791477203,0.3524944,8.16571199999999,1.356354,0.9988378,-0.06842369,-0.1136735,-25.08732,-26.40651,30.63208
34.801334858,0.849421699999999,8.58227499999998,1.417657,1.005292,-0.06931674,-0.1075435,-25.08732,-26.40651,30.63208
