Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
122.952255726,-7.53622700000002,1.084149,3.624565,0.9886506,0.007891045,-0.1119259,-38.73391,-39.15142,3.240186
122.962114334,-3.312345,0.965131299999997,3.31805,0.988605,0.003483989,-0.1191504,-38.73391,-39.15142,3.240186
122.971972466,-0.703476100000001,0.608077699999999,2.888929,0.9906082,-0.004297045,-0.122599,-38.73391,-39.15142,3.240186
122.981831074,0.1661467,1.143658,2.153293,0.985964,-0.005381353,-0.1412308,-38.73391,-39.15142,3.240186
122.991690636,1.222117,2.036292,1.233748,0.9808763,-0.01085103,-0.1603724,-38.73391,-39.15142,3.240186
123.004014015,1.408465,4.059596,0.4981124,1.00354,-0.03501722,-0.1700041,-37.99444,-38.80349,2.400372
123.013872623,1.470581,6.49946299999999,0.3142034,1.030506,-0.03440842,-0.2010521,-37.99444,-38.80349,2.400372
123.023731709,1.967508,9.11785500000002,-0.05361458,1.047561,-0.03769352,-0.2089901,-37.99444,-38.80349,2.400372
123.033590317,2.09174,11.55772,-0.3601296,1.041806,-0.03087738,-0.1944746,-37.99444,-38.80349,2.400372
123.043448925,1.781161,14.17612,-0.727947499999999,1.022763,-0.02761878,-0.1889045,-38.7439,-38.4267,2.400464
123.053307533,2.526551,16.67549,-0.850553500000001,1.015836,-0.01989008,-0.1877821,-38.7439,-38.4267,2.400464
123.063166618,4.949072,18.99634,-0.727947499999999,1.009625,0.00827796,-0.1879351,-38.7439,-38.4267,2.400464
123.073025227,8.11698399999998,21.19817,-0.4827355,1.024349,0.01232757,-0.1809228,-38.7439,-38.4267,2.400464
123.082883835,10.35316,22.68589,0.3142034,1.033356,0.02173916,-0.1579701,-38.7439,-38.4267,2.400464
