Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
130.26,-0.922600200000001,-0.5057651,0.5009956,0.9905012,-0.0125733,-0.2211985,-41.07457,8.964535,37.31002
130.27,-0.798263799999999,-0.2115527,0.3788128,0.9924455,-0.01110192,-0.2202419,-41.07457,8.964535,37.31002
130.28,-0.922600200000001,0.02381719,0.25663,0.9948599,-0.01500948,-0.2207003,-40.69693,9.337069,37.3133
130.29,-0.673927500000001,0.0826596800000002,0.0733558600000001,0.9929111,-0.01346569,-0.2154202,-40.69693,9.337069,37.3133
130.3,-0.798263799999999,0.3180296,0.0733558600000001,0.9924189,-0.01640799,-0.2168487,-40.69693,9.337069,37.3133
130.31,-0.736095699999999,0.3768721,0.1955387,0.9933886,-0.01540725,-0.2149289,-40.69693,9.337069,37.3133
130.32,-0.2387504,0.788769499999999,0.3177214,0.9880313,-0.01727257,-0.2101164,-40.69693,9.337069,37.3133
130.33,-0.05224587,0.788769499999999,0.0733558600000001,0.9836731,-0.01633319,-0.2130116,-41.44555,8.584842,36.91763
130.34,0.2585949,0.788769499999999,0.3177214,0.9807574,-0.01531039,-0.2101346,-41.44555,8.584842,36.91763
130.35,0.2585949,0.671084500000001,0.5009956,0.9773775,-0.01690835,-0.2197488,-41.44555,8.584842,36.91763
130.36,0.1964268,0.02381719,0.623178399999998,0.9807869,-0.01350644,-0.2197621,-41.44555,8.584842,36.91763
130.37,-0.3009185,0.02381719,0.562087,0.9885563,-0.01354336,-0.2211958,-41.44555,8.584842,36.91763
130.38,-0.922600200000001,-0.3292377,0.25663,0.9900293,-0.007681301,-0.219781,-41.07526,8.586475,37.31533
130.39,-1.668618,-0.2115527,0.1955387,0.9939339,-0.005834678,-0.2260379,-41.07526,8.586475,37.31533
130.4,-1.60645,-0.03502529,0.1344473,0.9943956,-0.01265289,-0.2260029,-41.07526,8.586475,37.31533
130.41,-1.295609,0.1415022,-0.04882693,0.9880783,-0.01209594,-0.2221655,-41.07526,8.586475,37.31533
130.42,-1.109105,0.3768721,-0.1710097,0.9841925,-0.01157256,-0.2202489,-41.07526,8.586475,37.31533
130.43,-0.922600200000001,0.4945571,-0.04882693,0.9827296,-0.012522,-0.218803,-40.68316,8.943496,36.47552
130.44,-0.860432000000003,0.788769499999999,0.01226447,0.9851469,-0.01794074,-0.2226202,-40.68316,8.943496,36.47552
130.45,-0.984768300000001,0.5533996,-0.04882693,0.9841806,-0.01597665,-0.2216694,-40.68316,8.943496,36.47552
130.46,-1.233441,1.024139,0.01226447,0.9967744,-0.02081353,-0.2177833,-40.68316,8.943496,36.47552
130.47,-1.419945,0.906454499999998,0.01226447,0.9894938,-0.02079914,-0.2177916,-40.68316,8.943496,36.47552
130.48,-1.171273,1.082982,-0.1099183,0.9880388,-0.02279439,-0.2211497,-41.45222,8.592002,37.30675
130.49,-0.5495912,0.965297,-0.2321011,0.9856098,-0.02576162,-0.2245039,-41.45222,8.592002,37.30675
130.5,0.4450994,0.847612000000001,-0.3542839,0.98704,-0.03356284,-0.2249438,-41.45222,8.592002,37.30675
130.51,1.253286,0.612241999999999,-0.4764667,0.981203,-0.03446769,-0.2210985,-41.45222,8.592002,37.30675
130.52,2.496649,0.4357146,-0.4153753,0.9880198,-0.03163135,-0.2259143,-41.45222,8.592002,37.30675
130.53,3.429171,0.671084500000001,-0.598649399999998,0.9850945,-0.03502703,-0.2254195,-40.69955,7.887841,37.33363
130.54,4.423862,1.082982,-0.5375581,0.9841338,-0.02712609,-0.2182467,-40.69955,7.887841,37.33363
130.55,4.672534,1.377194,-0.4764667,0.990478,-0.01491455,-0.2149347,-40.69955,7.887841,37.33363
130.56,4.734703,1.612564,-0.4764667,0.9880527,-0.01243187,-0.2120645,-40.69955,7.887841,37.33363
130.57,4.796871,1.730249,-0.4153753,0.9836934,-0.008498894,-0.2101657,-40.69955,7.887841,37.33363
130.58,4.48603,1.494879,-0.659740900000002,0.9841753,-0.008478278,-0.2087225,-40.68385,8.565436,36.48082
130.59,4.361694,1.318352,-0.843015,0.9856572,0.002303591,-0.2039661,-40.68385,8.565436,36.48082
130.6,3.864348,1.024139,-0.720832200000002,0.9895387,-0.0001819651,-0.2068346,-40.68385,8.565436,36.48082
130.61,3.491339,0.788769499999999,-0.659740900000002,0.9880989,0.004196241,-0.2073393,-40.68385,8.565436,36.48082
130.62,2.931826,0.788769499999999,-0.659740900000002,0.9895222,-0.001570889,-0.2020184,-40.68385,8.565436,36.48082
130.63,2.434481,0.5533996,-0.843015,0.9866127,-0.00108538,-0.2025051,-41.06722,9.335434,36.9156
130.64,1.999303,0.3768721,-0.720832200000002,0.9846649,-0.0005442549,-0.1991436,-41.06722,9.335434,36.9156
130.65,1.937135,0.1415022,-0.720832200000002,0.9798237,0.0003816967,-0.2030011,-41.06722,9.335434,36.9156
130.66,1.812799,0.0826596800000002,-0.5375581,0.9808064,0.0008020012,-0.2073304,-41.06722,9.335434,36.9156
130.67,1.315454,-0.3292377,-0.598649399999998,0.9861166,-0.00450024,-0.2029693,-41.06722,9.335434,36.9156
130.68,0.818108400000001,-0.4469227,-0.4153753,0.988543,-0.005994642,-0.2048827,-40.68958,9.707968,36.91888
130.69,0.631603899999999,-0.6234501,-0.4764667,0.988064,-0.00752644,-0.2096847,-40.68958,9.707968,36.91888
130.7,0.2585949,-0.799977499999998,-0.4764667,0.9866264,-0.003162616,-0.2111511,-40.68958,9.707968,36.91888
130.71,0.00992228700000002,-1.035347,-0.3542839,0.9880511,-0.01291881,-0.2120621,-40.68958,9.707968,36.91888
130.72,-0.2387504,-1.270717,-0.2931925,0.984637,-0.0182829,-0.2130007,-40.68958,9.707968,36.91888
130.73,-0.05224587,-1.388402,-0.2931925,0.9841794,-0.01298306,-0.2168753,-40.68316,8.943496,36.47552
130.74,0.00992228700000002,-1.859142,-0.2321011,0.9836692,-0.01879669,-0.2149229,-40.68316,8.943496,36.47552
130.75,0.0720904500000002,-1.976827,-0.2931925,0.9812503,-0.0168513,-0.2154164,-40.68316,8.943496,36.47552
130.76,-0.114414,-2.094512,-0.4764667,0.9846721,-0.01153756,-0.2178439,-40.68316,8.943496,36.47552
130.77,-0.114414,-1.859142,-0.781923700000001,0.9836826,-0.01191471,-0.2106293,-40.68915,9.328715,36.85933
130.78,-0.1765822,-1.682615,-0.781923700000001,0.9836912,-0.01147092,-0.2135171,-40.68915,9.328715,36.85933
130.79,-0.3009185,-1.153032,-0.904106400000002,0.9938784,-0.0114551,-0.211101,-40.68915,9.328715,36.85933
130.8,-0.1765822,-0.682292600000002,-0.843015,0.9992072,-0.01438733,-0.2110801,-40.68915,9.328715,36.85933
130.81,0.0720904500000002,0.0826596800000002,-0.781923700000001,1.011793,-0.01618746,-0.1995146,-40.68915,9.328715,36.85933
130.82,0.631603899999999,1.082982,-0.5375581,1.001587,-0.02304929,-0.2038198,-40.6983,8.58095,37.32391
130.83,1.501958,1.789092,-0.843015,0.9928573,-0.02258104,-0.2062367,-40.6983,8.58095,37.32391
130.84,2.496649,1.730249,-0.781923700000001,0.9856175,-0.01784821,-0.2163682,-40.6983,8.58095,37.32391
130.85,3.553508,1.789092,-0.843015,0.9875465,-0.01876841,-0.212514,-40.6983,8.58095,37.32391
130.86,4.237358,2.024462,-0.965197799999999,0.9817413,-0.01887916,-0.2206957,-40.6983,8.58095,37.32391
130.87,4.548198,1.789092,-0.843015,0.9803299,-0.007712461,-0.2231583,-41.07526,8.586475,37.31533
130.88,4.237358,1.082982,-0.720832200000002,0.9764418,-0.01215203,-0.2274686,-41.07526,8.586475,37.31533
130.89,3.80218,0.671084500000001,-0.5375581,0.9725916,-0.003393701,-0.2284791,-41.07526,8.586475,37.31533
130.9,3.864348,-0.2115527,-0.4764667,0.9769843,0.0009226552,-0.2323433,-41.07526,8.586475,37.31533
130.91,3.553508,-0.6234501,-0.2321011,0.9711795,0.007278858,-0.2314201,-41.07526,8.586475,37.31533
130.92,3.429171,-1.388402,0.01226447,0.976983,0.006902659,-0.223236,-41.82849,8.975587,37.29286
130.93,2.869658,-1.270717,-0.04882693,0.9794098,0.007893331,-0.2217955,-41.82849,8.975587,37.29286
130.94,1.750631,-1.32956,0.01226447,0.9784238,0.003512728,-0.2217745,-41.82849,8.975587,37.29286
130.95,1.004613,-1.56493,-0.3542839,0.9842079,0.003258787,-0.2054153,-41.82849,8.975587,37.29286
130.96,0.5694358,-1.741457,-0.4764667,0.9880757,-0.0001359382,-0.203951,-41.82849,8.975587,37.29286
130.97,0.3207631,-1.917985,-0.5375581,0.9968057,-0.003096458,-0.2053688,-41.0679,8.957375,36.92091
130.98,0.9424447,-1.976827,-0.4153753,0.9996946,-0.005443456,-0.1991017,-41.0679,8.957375,36.92091
130.99,1.501958,-1.56493,-0.4153753,0.9967712,-0.01034313,-0.2014849,-41.0679,8.957375,36.92091
131,2.185808,-1.32956,-0.4153753,0.9894685,-0.01367264,-0.1971481,-41.0679,8.957375,36.92091
131.01,3.056162,-1.153032,-0.2931925,0.9836519,-0.01271601,-0.1990832,-41.0679,8.957375,36.92091
131.02,3.553508,-1.32956,-0.2321011,0.9860929,-0.009326559,-0.2000594,-41.06654,9.713493,36.9103
131.03,3.740012,-1.211875,-0.1099183,0.9899781,-0.009348614,-0.2010167,-41.06654,9.713493,36.9103
131.04,4.050853,-1.270717,0.01226447,0.9957919,-0.008794069,-0.1957228,-41.06654,9.713493,36.9103
131.05,4.175189,-0.799977499999998,0.01226447,0.9972554,-0.009341426,-0.1995657,-41.06654,9.713493,36.9103
131.06,4.361694,-0.3880802,-0.1099183,0.9987121,-0.0108411,-0.2019611,-41.06654,9.713493,36.9103
131.07,4.423862,0.0826596800000002,-0.1099183,0.9909409,-0.007309254,-0.194774,-41.07321,9.720654,37.29942
131.08,4.548198,0.612241999999999,-0.1710097,0.991458,-0.004525173,-0.2039249,-41.07321,9.720654,37.29942
131.09,4.796871,0.729926999999997,-0.1710097,0.9885425,-0.007484249,-0.2067988,-41.07321,9.720654,37.29942
131.1,4.983376,0.612241999999999,-0.4153753,0.9851462,-0.0114666,-0.2130345,-41.07321,9.720654,37.29942
131.11,5.045544,0.5533996,-0.4764667,0.9817502,-0.01296388,-0.2159164,-41.07321,9.720654,37.29942
131.12,5.232048,0.2591871,-0.5375581,0.97836,-0.01350165,-0.2197649,-40.69693,9.337069,37.3133
131.13,5.418552,0.2003446,-0.598649399999998,0.9827466,-0.01063894,-0.2231408,-40.69693,9.337069,37.3133
131.14,5.294216,0.2591871,-0.5375581,0.9968303,-0.006735219,-0.2207399,-40.69693,9.337069,37.3133
131.15,4.921207,0.4357146,-0.2931925,1.001673,-0.009659299,-0.2202387,-40.69693,9.337069,37.3133
131.16,4.299526,0.729926999999997,-0.2931925,0.9972918,-0.00857609,-0.2135163,-40.69693,9.337069,37.3133
131.17,3.864348,0.847612000000001,-0.2931925,0.9909859,-0.010082,-0.2173632,-40.68111,10.07767,36.45961
131.18,3.615676,0.5533996,-0.2931925,0.9837195,-0.008664302,-0.221226,-40.68111,10.07767,36.45961
131.19,3.491339,0.2003446,-0.3542839,0.9778932,-0.004162396,-0.2140415,-40.68111,10.07767,36.45961
131.2,3.491339,-0.0938677799999998,-0.2321011,0.9788764,-0.002252485,-0.2164547,-40.68111,10.07767,36.45961
131.21,3.677844,0.02381719,-0.2931925,0.9827804,-0.0009000006,-0.22319,-40.68111,10.07767,36.45961
131.22,3.553508,0.3768721,-0.3542839,0.9871364,-0.004811399,-0.2236462,-40.68248,9.321555,36.47021
131.23,3.429171,0.4945571,-0.2321011,0.9885744,-0.007685615,-0.2202636,-40.68248,9.321555,36.47021
131.24,3.180499,0.671084500000001,-0.04882693,0.9900287,-0.004193565,-0.2145085,-40.68248,9.321555,36.47021
131.25,2.931826,0.729926999999997,-0.1710097,0.9910034,-0.002727452,-0.2140339,-40.68248,9.321555,36.47021
131.26,2.185808,0.5533996,-0.04882693,0.9895437,0.001278875,-0.206842,-40.68248,9.321555,36.47021
131.27,1.377622,0.3768721,-0.1099183,0.9880807,0.003315839,-0.2010829,-41.05876,9.70514,36.45633
131.28,0.631603899999999,0.3768721,0.3177214,0.9876095,0.004720106,-0.2049379,-41.05876,9.70514,36.45633
131.29,-0.114414,0.2003446,0.3788128,0.9875988,0.001304286,-0.2054016,-41.05876,9.70514,36.45633
131.3,-0.611759299999997,0.729926999999997,0.4399042,0.9890724,0.005669546,-0.2063838,-41.05876,9.70514,36.45633
131.31,-0.922600200000001,0.847612000000001,0.623178399999998,0.9934205,-0.001177915,-0.207787,-41.05876,9.70514,36.45633
131.32,-0.798263799999999,1.553722,0.6842698,1.000199,-0.005065342,-0.2063169,-40.69693,9.337069,37.3133
131.33,-0.611759299999997,2.142147,0.928635399999997,0.9967915,-0.004499765,-0.2015144,-40.69693,9.337069,37.3133
131.34,-0.3630867,2.259832,0.745361200000002,0.9856132,-0.01035703,-0.2039021,-40.69693,9.337069,37.3133
131.35,-0.2387504,2.612886,0.623178399999998,0.9884985,-0.0191494,-0.2052972,-40.69693,9.337069,37.3133
131.36,-0.1765822,2.318674,0.4399042,0.981236,-0.01825461,-0.2115619,-40.69693,9.337069,37.3133
131.37,-0.3009185,1.906777,0.4399042,0.9768824,-0.01535306,-0.2135052,-41.05807,10.0832,36.45102
131.38,-0.736095699999999,1.141824,0.3177214,0.9759485,-0.0101098,-0.2212275,-41.05807,10.0832,36.45102
131.39,-1.046937,0.671084500000001,0.6842698,0.9837427,-0.001345715,-0.2203011,-41.05807,10.0832,36.45102
131.4,-1.482114,0.671084500000001,0.867544000000001,0.9803219,-0.007662119,-0.2197921,-41.05807,10.0832,36.45102
131.41,-2.041627,0.788769499999999,0.928635399999997,0.9740125,-0.008150981,-0.2207587,-41.05807,10.0832,36.45102
131.42,-1.979459,0.788769499999999,0.6842698,0.9779008,-0.01267063,-0.229388,-41.4364,9.332607,36.45305
131.43,-1.668618,0.2003446,0.562087,0.9842067,-0.01116472,-0.2255411,-41.4364,9.332607,36.45305
131.44,-1.419945,-0.03502529,0.5009956,0.9958551,-0.01068641,-0.2245684,-41.4364,9.332607,36.45305
131.45,-1.482114,-0.3292377,0.5009956,0.9977735,-0.01800883,-0.2254911,-41.4364,9.332607,36.45305
131.46,-1.544282,-0.3292377,0.5009956,0.9967778,-0.0208351,-0.2192259,-41.4364,9.332607,36.45305
131.47,-1.730786,0.1415022,0.623178399999998,0.9957532,-0.02696213,-0.2057304,-41.05944,9.327081,36.46163
131.48,-1.917291,0.847612000000001,0.623178399999998,0.993354,-0.02066298,-0.2081695,-41.05944,9.327081,36.46163
131.49,-1.792954,1.200667,0.3177214,0.987491,-0.0283707,-0.203328,-41.05944,9.327081,36.46163
131.5,-1.482114,1.847934,-0.04882693,0.9850857,-0.02352521,-0.2052789,-41.05944,9.327081,36.46163
131.51,-1.109105,1.906777,0.4399042,0.9967217,-0.02794513,-0.2062052,-41.05944,9.327081,36.46163
131.52,-0.5495912,1.612564,0.3788128,1.011284,-0.03245711,-0.2128987,-40.68248,9.321555,36.47021
