Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
93.946363926,-1.513301,-2.770944,0.02692074,1.007755,0.06989408,-0.1110707,-27.56299,-19.14577,18.15944
93.956495285,-1.451075,-2.005159,0.02692074,1.007259,0.07039172,-0.1091407,-27.56299,-19.14577,18.15944
93.966626644,-0.579911399999998,-1.062655,-0.1562568,1.01128,0.05779211,-0.1144655,-27.56299,-19.14577,18.15944
93.976758003,0.291252,-0.002337579,-0.2173159,1.006487,0.05377769,-0.1260677,-28.29921,-19.13483,18.53158
93.986888885,1.473545,0.645634099999999,-0.3394342,1.005546,0.05132424,-0.1289707,-28.29921,-19.13483,18.53158
93.997020245,2.531386,1.411419,-0.583670900000002,0.9997972,0.04443381,-0.1367211,-28.29921,-19.13483,18.53158
94.004619122,3.40255,1.764858,-0.766848400000001,0.9988871,0.04000089,-0.1444537,-28.29921,-19.13483,18.53158
94.014750481,4.335939,2.23611,-1.011085,0.9930458,0.04232673,-0.1497718,-28.29921,-19.13483,18.53158
94.024882317,5.082651,2.825175,-1.133204,0.9853302,0.03784069,-0.1575222,-27.19887,-19.43685,18.98916
94.035013676,5.331554,2.825175,-1.37744,0.9780141,0.04302358,-0.1666983,-27.19887,-19.43685,18.98916
94.045145035,5.456006,2.884082,-1.438499,0.9780098,0.04678973,-0.1782714,-27.19887,-19.43685,18.98916
94.055276394,5.207102,2.825175,-1.133204,0.9726835,0.04574072,-0.1826303,-27.19887,-19.43685,18.98916
94.065407753,4.335939,2.707362,-0.9500259,0.9634266,0.04902098,-0.1865076,-27.19887,-19.43685,18.98916
94.075538635,3.278098,2.177203,-0.5226117,0.9542286,0.04694751,-0.193774,-27.93148,-19.4321,18.9822
94.085669994,2.158031,1.352512,-0.03413842,0.9566213,0.0522501,-0.1980993,-27.93148,-19.4321,18.9822
94.095802307,0.789059599999997,-0.0612440899999998,0.3322166,0.9531873,0.05514016,-0.1966543,-27.93148,-19.4321,18.9822
94.105933666,-0.891041099999997,-1.475,0.576453200000001,0.9575993,0.05176939,-0.1985804,-27.93148,-19.4321,18.9822
94.116064549,-2.322238,-3.065476,0.576453200000001,0.9550881,0.05858218,-0.1922991,-27.93148,-19.4321,18.9822
94.126195908,-3.380079,-4.655952,1.187045,0.9610168,0.04940267,-0.1956814,-27.91798,-20.15714,18.99387
94.136327267,-4.064565,-5.716269,1.125986,0.9575546,0.05379268,-0.1889252,-27.91798,-20.15714,18.99387
94.146458626,-4.43792,-7.24783800000001,1.309163,0.9580221,0.05385781,-0.1821681,-27.91798,-20.15714,18.99387
94.156590462,-4.686824,-8.13143699999999,1.675518,0.957967,0.05685332,-0.1720283,-27.91798,-20.15714,18.99387
94.166721821,-4.686824,-8.95612800000002,1.248104,0.9672076,0.05409641,-0.1638071,-27.91798,-20.15714,18.99387
94.17685318,-4.74905,-9.309567,1.248104,0.9788662,0.05186869,-0.1526832,-27.92788,-19.43828,18.6031
94.186984539,-4.811276,-9.36847399999999,1.248104,0.986686,0.04756979,-0.1531548,-27.92788,-19.43828,18.6031
94.194583416,-4.997954,-8.95612800000002,1.248104,0.9919479,0.0549272,-0.1468523,-27.92788,-19.43828,18.6031
94.204714775,-4.997954,-8.07253099999998,1.187045,0.9944376,0.04724736,-0.1420369,-27.92788,-19.43828,18.6031
94.214845657,-4.313468,-7.48346499999997,0.820689899999999,0.9924628,0.0506152,-0.1425173,-27.92788,-19.43828,18.6031
94.224977017,-3.068949,-6.776587,0.6375124,0.9930027,0.04528279,-0.143975,-27.92788,-19.43828,18.6031
94.235108376,-1.82443,-6.187521,0.3932757,0.9978818,0.04338508,-0.1439665,-27.92788,-19.43828,18.6031
94.245240688,-0.766589199999999,-5.598456,0.1490391,0.9993761,0.03858799,-0.1405951,-27.92788,-19.43828,18.6031
94.255371571,-0.01987772,-4.714859,-0.3394342,0.9973855,0.04529065,-0.146859,-27.92788,-19.43828,18.6031
94.26550293,0.664607699999999,-4.00798,-0.4615526,0.9974161,0.04284479,-0.1497594,-27.92788,-19.43828,18.6031
94.275634289,1.286867,-3.418916,-0.5226117,0.9950272,0.03893698,-0.1517042,-27.56878,-19.42829,19.36479
94.285765648,1.411319,-2.82985,-0.644730100000001,0.994047,0.04130076,-0.1570097,-27.56878,-19.42829,19.36479
94.295897007,1.722449,-2.417505,-0.766848400000001,0.9911466,0.04216257,-0.1661837,-27.56878,-19.42829,19.36479
94.306028843,2.282483,-2.181879,-1.133204,0.9858239,0.0415712,-0.173437,-27.56878,-19.42829,19.36479
94.316160202,2.842516,-2.005159,-1.499558,0.9843714,0.0434166,-0.1821226,-27.56878,-19.42829,19.36479
94.326291561,3.340324,-2.064066,-1.621677,0.9809617,0.04481987,-0.1845411,-27.19632,-19.79216,19.43728
94.33642292,3.775905,-2.240785,-1.804854,0.9755781,0.05005737,-0.1893693,-27.19632,-19.79216,19.43728
94.346554279,3.71368,-2.476411,-1.926973,0.9716902,0.05143056,-0.1946844,-27.19632,-19.79216,19.43728
94.356685639,3.589228,-2.476411,-1.804854,0.975127,0.04946889,-0.2004703,-27.19632,-19.79216,19.43728
94.366816998,3.09142,-2.299692,-1.438499,0.9756641,0.04320809,-0.1975871,-27.19632,-19.79216,19.43728
94.376948834,2.655838,-1.769533,-1.316381,0.9776101,0.04415604,-0.2014404,-27.93254,-19.78123,19.80943
94.384547234,2.282483,-1.592813,-0.9500259,0.9738131,0.03444302,-0.2019536,-27.93254,-19.78123,19.80943
94.394678593,1.722449,-1.828439,-0.8279076,0.9698418,0.04500181,-0.2082143,-27.93254,-19.78123,19.80943
94.404809952,0.975737500000002,-2.240785,-0.5226117,0.9723194,0.03876934,-0.2038784,-27.93254,-19.78123,19.80943
94.414941311,0.789059599999997,-2.82985,-0.0951975900000001,0.9756853,0.04313798,-0.205308,-27.93254,-19.78123,19.80943
94.42507267,0.1668001,-2.947663,-0.03413842,0.9707883,0.04556343,-0.2004899,-27.56263,-19.78978,19.43381
94.435204029,0.04234824,-3.654541,0.02692074,0.9732152,0.0465327,-0.2024118,-27.56263,-19.78978,19.43381
94.445335388,0.1045742,-3.772354,0.02692074,0.978472,0.05484479,-0.1975548,-27.56263,-19.78978,19.43381
94.455467224,-0.01987772,-3.890167,0.2711574,0.984189,0.06512263,-0.1897972,-27.56263,-19.78978,19.43381
94.465598583,0.1668001,-3.654541,0.2100982,0.9933968,0.06669466,-0.184462,-27.56263,-19.78978,19.43381
94.475729942,0.04234824,-2.888757,0.02692074,0.9923356,0.07260796,-0.1719058,-27.92833,-19.78844,19.36714
94.485861302,0.1045742,-2.240785,-0.2783751,0.9855535,0.07060166,-0.1738578,-27.92833,-19.78844,19.36714
94.495992661,0.291252,-1.710626,-0.2783751,0.9797222,0.07008098,-0.1729089,-27.92833,-19.78844,19.36714
94.50612402,0.1045742,-1.357187,-0.644730100000001,0.9759138,0.06228171,-0.1758308,-27.92833,-19.78844,19.36714
94.516255856,0.2290261,-0.944841800000002,-0.766848400000001,0.9715556,0.06031628,-0.1753637,-27.57861,-19.11898,19.80221
94.526387215,0.5401558,-0.4735897,-1.011085,0.9755145,0.05589502,-0.185979,-27.57861,-19.11898,19.80221
94.536518574,1.162415,-0.4735897,-1.133204,0.9692709,0.04856069,-0.1889062,-27.57861,-19.11898,19.80221
94.546649933,1.846901,-0.2968701,-1.37744,0.9697402,0.05284084,-0.1975817,-27.57861,-19.11898,19.80221
94.556780815,3.029194,-0.1790571,-1.438499,0.973689,0.04563877,-0.1946917,-27.57861,-19.11898,19.80221
94.566912174,3.900357,-0.1790571,-1.682736,0.9727032,0.04942801,-0.2028894,-27.57298,-19.42108,19.80707
94.577043533,4.398165,-0.2379636,-1.804854,0.9751683,0.04698797,-0.2072312,-27.57298,-19.42108,19.80707
94.58464241,4.771521,-0.002337579,-1.682736,0.974708,0.04408507,-0.2067561,-27.57298,-19.42108,19.80707
94.594773769,5.39378,-0.2968701,-2.049091,0.9688135,0.05127635,-0.2091686,-27.57298,-19.42108,19.80707
94.604905605,5.518232,-0.4146832,-1.743795,0.9615741,0.04729554,-0.2149864,-27.57298,-19.42108,19.80707
94.615036964,5.39378,-1.062655,-1.804854,0.9669362,0.04588115,-0.2154582,-27.56984,-19.77742,20.19201
94.625168323,5.269328,-1.357187,-1.438499,0.9732566,0.04498894,-0.2125485,-27.56984,-19.77742,20.19201
94.635299683,4.647069,-1.592813,-0.9500259,0.9859091,0.04457301,-0.2158946,-27.56984,-19.77742,20.19201
94.645431042,3.962583,-1.357187,-0.583670900000002,0.9873369,0.04703025,-0.2129903,-27.56984,-19.77742,20.19201
94.655561924,3.340324,-0.768122299999998,-0.0951975900000001,0.9795797,0.04408796,-0.2106039,-27.56984,-19.77742,20.19201
94.665694237,2.718064,-0.5324962,-0.0951975900000001,0.9664117,0.04928666,-0.2130395,-27.19678,-20.14231,20.20133
94.675825596,2.406934,-1.180468,-0.1562568,0.9629928,0.04837553,-0.2038818,-27.19678,-20.14231,20.20133
94.685956955,2.095805,-1.180468,-0.2173159,0.9630042,0.04646178,-0.2014732,-27.19678,-20.14231,20.20133
94.696087837,1.535771,-1.416094,-0.2783751,0.96243,0.05519035,-0.1990431,-27.19678,-20.14231,20.20133
94.706219196,1.100189,-1.416094,-0.03413842,0.9702476,0.05042944,-0.197103,-27.19678,-20.14231,20.20133
94.716350555,1.037963,-1.416094,0.02692074,0.9731211,0.05575336,-0.1994969,-26.83723,-19.78217,20.19897
94.726482391,0.975737500000002,-1.475,0.1490391,0.9668198,0.05611346,-0.2077157,-26.83723,-19.78217,20.19897
94.73661375,1.100189,-1.416094,0.0879799099999998,0.9702223,0.05520286,-0.204331,-26.83723,-19.78217,20.19897
94.746745109,0.726833699999999,-1.298281,-0.03413842,0.9701813,0.05862093,-0.2009459,-26.83723,-19.78217,20.19897
94.756876469,0.353478,-1.357187,-0.0951975900000001,0.9784536,0.05584329,-0.1941749,-26.83723,-19.78217,20.19897
94.767007828,-0.01987772,-1.062655,-0.2173159,0.9780267,0.05048577,-0.1975653,-27.19678,-20.14231,20.20133
94.774606705,-0.4554594,-1.062655,-0.0951975900000001,0.985274,0.05444029,-0.1946429,-27.19678,-20.14231,20.20133
94.784737587,-0.579911399999998,-0.5324962,-0.2783751,0.9823307,0.05685024,-0.1931976,-27.19678,-20.14231,20.20133
94.794868946,-0.766589199999999,-0.4146832,-0.3394342,0.9789285,0.05869799,-0.1999581,-27.19678,-20.14231,20.20133
94.805001259,-0.8288152,-0.1790571,-0.4615526,0.9867025,0.05736392,-0.1936678,-27.19678,-20.14231,20.20133
94.815132618,-0.891041099999997,0.1154754,-0.5226117,0.9769801,0.05869596,-0.1985155,-27.57659,-19.4149,20.18618
94.8252635,-0.704363199999999,0.3511015,-0.5226117,0.9731153,0.05624165,-0.1990133,-27.57659,-19.4149,20.18618
94.835394859,-0.2687815,0.586727600000001,-0.583670900000002,0.9726624,0.05378323,-0.2028801,-27.57659,-19.4149,20.18618
94.845526218,-0.0821036699999998,0.292195,-0.705789299999999,0.9746474,0.04850603,-0.1995085,-27.57659,-19.4149,20.18618
94.855657577,0.1045742,0.410008,-0.766848400000001,0.978025,0.05189808,-0.2019053,-27.57659,-19.4149,20.18618
94.865788937,0.1668001,0.292195,-0.583670900000002,0.9765571,0.05332529,-0.2033536,-27.21591,-19.11517,20.1848
94.875920773,-0.1443296,0.4689145,-0.5226117,0.9736016,0.0571826,-0.2023879,-27.21591,-19.11517,20.1848
94.886052132,-0.3310075,0.2332885,-0.4615526,0.971728,0.05083711,-0.2067493,-27.21591,-19.11517,20.1848
94.896183491,-0.704363199999999,-0.0612440899999998,-0.5226117,0.9678632,0.0483828,-0.2072471,-27.21591,-19.11517,20.1848
94.90631485,-0.8288152,-0.2968701,-0.5226117,0.9731081,0.05907941,-0.2062455,-27.21591,-19.11517,20.1848
94.916446209,-1.015493,-0.3557767,-0.5226117,0.9687291,0.05905841,-0.2048092,-27.21028,-19.41727,20.18966
94.926577568,-0.953267000000001,-0.3557767,-0.4004934,0.9745861,0.05574283,-0.2019059,-27.21028,-19.41727,20.18966
94.936709404,-0.953267000000001,-0.591402700000002,-0.4004934,0.9770273,0.05338167,-0.1975617,-27.21028,-19.41727,20.18966
94.946840763,-1.077719,-0.4146832,-0.1562568,0.9794295,0.05724566,-0.2004425,-27.21028,-19.41727,20.18966
94.956972122,-1.139945,-0.827028800000001,-0.03413842,0.9760313,0.05673519,-0.2004524,-27.21028,-19.41727,20.18966
94.964570522,-1.451075,-1.121561,0.0879799099999998,0.9759765,0.06301292,-0.2018867,-26.83002,-19.79453,19.44076
94.974701881,-1.762204,-1.180468,-0.03413842,0.9774354,0.06255354,-0.2004362,-26.83002,-19.79453,19.44076
94.984833241,-2.260012,-1.003748,0.1490391,0.9837571,0.06165694,-0.1980091,-26.83002,-19.79453,19.44076
94.9949646,-2.695594,-0.885935200000002,0.2711574,0.9856378,0.06750977,-0.1946138,-26.83002,-19.79453,19.44076
95.005095959,-2.944497,-0.6503092,0.1490391,0.9808549,0.06064883,-0.199949,-26.83002,-19.79453,19.44076
95.015227795,-3.131175,-0.6503092,0.3322166,0.9768896,0.06837425,-0.1984949,-27.58536,-18.75646,19.79638
95.025359154,-2.695594,-0.944841800000002,-0.03413842,0.9754561,0.06406021,-0.1927173,-27.58536,-18.75646,19.79638
95.035490513,-2.322238,-0.827028800000001,-0.0951975900000001,0.9789155,0.05967896,-0.1985084,-27.58536,-18.75646,19.79638
95.045621872,-1.82443,-0.709215699999997,-0.4004934,0.9744261,0.06940197,-0.1898132,-27.58536,-18.75646,19.79638
95.055753231,-1.326623,-0.4146832,-0.0951975900000001,0.9803137,0.06364053,-0.1898104,-27.58536,-18.75646,19.79638
95.06588459,-1.139945,-0.0612440899999998,-0.03413842,0.9788045,0.06754866,-0.1844978,-26.83002,-19.79453,19.44076
95.076015949,-1.015493,0.174382,-0.0951975900000001,0.9788558,0.06315838,-0.1883676,-26.83002,-19.79453,19.44076
95.086147785,-1.326623,0.174382,-0.2173159,0.9797977,0.06654898,-0.1888404,-26.83002,-19.79453,19.44076
95.096279144,-1.326623,0.586727600000001,-0.03413842,0.9720299,0.06598683,-0.1907918,-26.83002,-19.79453,19.44076
95.106410503,-1.202171,0.5278211,-0.1562568,0.979333,0.06413,-0.1883642,-27.57298,-19.42108,19.80707
95.116541863,-1.015493,0.5278211,-0.03413842,0.9788417,0.06508089,-0.1898111,-27.57298,-19.42108,19.80707
95.126673222,-0.5176854,0.645634099999999,0.02692074,0.9808109,0.0631385,-0.1922229,-27.57298,-19.42108,19.80707
95.136804104,0.04234824,1.116886,-0.0951975900000001,0.9798321,0.06315282,-0.1898127,-27.57298,-19.42108,19.80707
95.146936417,0.5401558,1.647045,-0.1562568,0.9662779,0.05863877,-0.1956479,-27.57298,-19.42108,19.80707
95.157067776,1.286867,1.588138,-0.2173159,0.9677767,0.05335777,-0.1922776,-27.56623,-19.7836,19.81291
95.164666176,1.784675,1.588138,-0.4615526,0.9643875,0.05187947,-0.1922895,-27.56623,-19.7836,19.81291
95.174797535,2.095805,1.411419,-0.705789299999999,0.957117,0.05081529,-0.1966535,-27.56623,-19.7836,19.81291
95.184928894,2.593612,0.7634471,-0.705789299999999,0.9649223,0.04750175,-0.1951928,-27.56623,-19.7836,19.81291
95.195060253,2.966968,0.5278211,-0.5226117,0.9673131,0.05327949,-0.2004823,-27.56623,-19.7836,19.81291
95.205191612,3.215872,0.174382,-0.4615526,0.9653631,0.05468976,-0.2033796,-26.83362,-19.78835,19.81987
95.215322971,3.775905,-0.0612440899999998,-0.3394342,0.9672668,0.05906017,-0.2033653,-26.83362,-19.78835,19.81987
95.225454807,4.087035,-0.768122299999998,-0.2173159,0.9652197,0.06782556,-0.1956309,-26.83362,-19.78835,19.81987
95.235586166,4.273713,-1.121561,-0.1562568,0.9734825,0.06742367,-0.1936803,-26.83362,-19.78835,19.81987
95.245717526,4.087035,-1.357187,-0.3394342,0.968578,0.06846748,-0.1811444,-26.83362,-19.78835,19.81987
95.255848885,3.900357,-1.062655,-0.644730100000001,0.9758583,0.06903022,-0.1787117,-26.46056,-20.15325,19.82918
95.265979767,3.464776,-1.592813,-1.072144,0.9850941,0.06816515,-0.1753119,-26.46056,-20.15325,19.82918
95.276111126,3.278098,-1.239374,-1.499558,0.9933369,0.06923692,-0.1709454,-26.46056,-20.15325,19.82918
95.286243439,2.966968,-0.6503092,-1.804854,0.998238,0.06773548,-0.1805869,-26.46056,-20.15325,19.82918
95.296374798,3.215872,-0.1201506,-1.682736,1.00708,0.05812112,-0.1810673,-26.46056,-20.15325,19.82918
95.30650568,3.215872,0.8223537,-1.682736,1.00272,0.05663085,-0.1815644,-26.84143,-19.77495,20.64126
95.316637039,3.340324,1.941577,-1.499558,0.9940733,0.04496614,-0.1796815,-26.84143,-19.77495,20.64126
95.326768398,3.527002,2.884082,-0.9500259,0.9844018,0.04237866,-0.1898456,-26.84143,-19.77495,20.64126
95.336899757,3.589228,3.649866,-0.583670900000002,0.9771176,0.04276623,-0.1942064,-26.84143,-19.77495,20.64126
95.347031117,3.589228,4.062212,-0.2173159,0.9721934,0.05044024,-0.1975805,-26.84143,-19.77495,20.64126
95.354629994,3.527002,4.356745,0.5153941,0.9706917,0.05479284,-0.1966099,-26.47092,-19.78454,20.20246
95.364760876,3.527002,4.651277,0.9428082,0.9696168,0.06684805,-0.2004472,-26.47092,-19.78454,20.20246
95.374893189,4.211487,5.004716,0.5153941,0.9550212,0.06958952,-0.205787,-26.47092,-19.78454,20.20246
95.385024548,4.460391,4.121119,0.3322166,0.931547,0.08628742,-0.2120847,-26.47092,-19.78454,20.20246
95.395155907,4.833747,2.412829,-0.0951975900000001,0.9339738,0.0872567,-0.2140066,-26.47092,-19.78454,20.20246
95.405286789,4.460391,0.704540600000002,-0.0951975900000001,0.9460188,0.09802394,-0.2110571,-26.84961,-19.11755,20.18828
95.415418148,3.153646,0.174382,-0.0951975900000001,0.9640044,0.09957226,-0.2158329,-26.84961,-19.11755,20.18828
95.425549507,1.846901,0.704540600000002,0.02692074,0.9713377,0.09433241,-0.2129299,-26.84961,-19.11755,20.18828
95.435681343,0.726833699999999,0.4689145,0.02692074,0.9684487,0.08765315,-0.1999229,-26.84961,-19.11755,20.18828
95.445812702,-0.704363199999999,-0.3557767,-0.2173159,0.9674667,0.08580192,-0.1897959,-26.84961,-19.11755,20.18828
95.455944061,-2.571142,-1.003748,-0.03413842,0.9751949,0.08743268,-0.1767436,-27.19992,-19.78597,19.81639
95.46607542,-4.935728,-0.3557767,-0.0951975900000001,0.9829375,0.085733,-0.1574254,-27.19992,-19.78597,19.81639
95.47620678,-7.05140999999998,1.175793,0.1490391,0.9911116,0.09125201,-0.142916,-27.19992,-19.78597,19.81639
