Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
228.158712387,-17.08617,20.68207,5.026184,1.011451,0.02600761,0.1151599,-29.4497,-31.71406,9.998598
228.168843746,-14.65936,21.68348,5.88101200000001,1.005218,0.0172303,0.1131947,-29.4497,-31.71406,9.998598
228.178975582,-11.67251,22.09583,5.88101200000001,1.002326,0.01009342,0.129096,-29.4497,-31.71406,9.998598
228.189106941,-9.43237899999999,20.79988,5.514657,1.000828,0.01115065,0.1401931,-29.4497,-31.71406,9.998598
228.1992383,-7.06779300000002,19.56285,6.06419,1.014473,0.004107719,0.1522768,-29.43407,-31.74085,8.355818
228.206837654,-4.329851,17.79565,6.43054500000001,1.02035,0.002605111,0.1416727,-29.43407,-31.74085,8.355818
228.216969013,0.2748697,18.67925,7.40749200000001,1.020529,-0.01393122,0.1324691,-29.43407,-31.74085,8.355818
228.227100849,5.004042,17.85456,8.56761599999997,1.008426,-0.01419258,0.1141005,-29.43407,-31.74085,8.355818
228.237232208,7.61753200000002,17.50112,9.544562,1.001164,-0.01387512,0.1020188,-29.43407,-31.74085,8.355818
228.247363567,8.17756699999999,16.73533,11.37634,0.997721,-0.01142515,0.1082883,-29.43722,-31.38451,7.970881
228.257495403,6.99527299999998,17.08877,11.80375,1.001045,-0.005979139,0.1189246,-29.43722,-31.38451,7.970881
228.267626762,5.066268,17.20658,12.35328,0.9941373,0.0008696083,0.1329155,-29.43722,-31.38451,7.970881
228.277759075,4.941816,16.67643,12.41434,0.9912157,0.001801525,0.1314623,-29.43722,-31.38451,7.970881
228.287889957,6.37301299999998,14.85032,11.4374,0.9814349,0.008953679,0.1280746,-29.43722,-31.38451,7.970881
228.29802227,7.92866200000002,12.19953,10.39939,0.9725809,0.02001541,0.1280755,-29.79993,-31.38832,7.588297
228.308153629,9.359859,9.84326900000002,9.72773999999999,0.980231,0.03315932,0.1300537,-29.79993,-31.38832,7.588297
228.318285465,10.4177,8.19388799999999,9.60562099999999,0.9773346,0.0316629,0.1276303,-29.79993,-31.38832,7.588297
228.328416824,11.91112,8.13498100000001,10.76575,0.9850218,0.03905681,0.1358693,-29.79993,-31.38832,7.588297
228.33854866,12.0978,9.902176,11.25422,0.9888086,0.05067919,0.1334914,-29.79993,-31.38832,7.588297
228.348680019,11.72445,12.7886,12.29222,0.9883406,0.05108482,0.1252877,-30.5528,-30.29601,7.563833
228.358811855,11.41332,16.02846,13.08599,0.9888474,0.05148927,0.1161214,-30.5528,-30.29601,7.563833
228.368943215,10.29325,18.85597,13.33023,0.9759095,0.02919689,0.1237609,-30.5528,-30.29601,7.563833
228.37907505,7.43085400000002,14.02563,12.53646,0.9579849,0.01619239,0.145884,-30.5528,-30.29601,7.563833
228.38920641,3.012812,18.85597,12.90282,0.976649,-0.001180733,0.1352787,-30.85384,-30.30124,7.118647
228.396805286,-0.845197399999999,18.62034,13.33023,0.9607778,-0.01921953,0.1342339,-30.85384,-30.30124,7.118647
228.406937122,-4.205399,17.85456,14.24612,0.9655543,-0.01937193,0.1665767,-30.85384,-30.30124,7.118647
228.417068482,-7.50337500000003,17.67784,15.16201,0.9694766,-0.02320412,0.1675436,-30.85384,-30.30124,7.118647
228.427200317,-10.55245,17.08877,15.83366,0.9577595,-0.01843852,0.1694539,-30.85384,-30.30124,7.118647
228.437331677,-13.04148,14.90923,16.56637,0.9391837,-0.006515519,0.1660537,-31.21654,-30.30505,6.736063
228.447463989,-12.79258,13.37766,17.23802,0.9304967,-0.01523293,0.1727683,-31.21654,-30.30505,6.736063
228.457594872,-11.61029,9.372018,17.29908,0.9124125,-0.002386504,0.1640634,-31.21654,-30.30505,6.736063
228.467727184,-11.79696,6.426693,16.74954,0.9299687,0.03762763,0.1854268,-31.21654,-30.30505,6.736063
228.477858544,-11.11248,1.596358,16.07789,0.9339757,0.02460545,0.1868568,-31.21654,-30.30505,6.736063
228.487989903,-9.37015200000002,-1.938033,15.10095,0.9593351,0.05849895,0.2202909,-31.22787,-29.2913,5.898146
228.498121739,-8.49898899999998,-3.233976,14.24612,0.986531,0.06067337,0.2232611,-31.22787,-29.2913,5.898146
228.508253098,-5.636596,-3.292882,12.65858,0.9962879,0.05453725,0.2319589,-31.22787,-29.2913,5.898146
228.518384934,-4.889884,-1.761313,10.64363,0.9949151,0.1013423,0.2180621,-31.22787,-29.2913,5.898146
228.528516293,-1.405231,0.0647890299999999,8.689734,0.9992012,0.05175731,0.2430591,-31.22787,-29.2913,5.898146
228.538648129,-0.09848601,2.656676,6.43054500000001,1.001681,0.04551607,0.2464299,-31.96362,-28.93021,5.506245
228.548779488,-1.031875,5.484189,5.148303,0.988922,0.05472571,0.258963,-31.96362,-28.93021,5.506245
228.558911324,-2.711976,7.07466500000002,4.354533,0.9876254,0.03729781,0.2594048,-31.96362,-28.93021,5.506245
228.569042683,-4.143173,7.89935500000002,4.354533,0.9879196,0.01053356,0.2429413,-31.96362,-28.93021,5.506245
228.579174996,-5.076562,9.07748499999997,4.476652,0.9757871,0.01365521,0.2240974,-31.96362,-28.93021,5.506245
