Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
58.186372757,4.149261,-3.654541,1.370222,1.000125,0.06137459,-0.1366838,-28.40985,-30.1118,19.77977
58.196503162,4.273713,-4.302513,0.9428082,1.001451,0.0730788,-0.1279694,-28.40985,-30.1118,19.77977
58.206634522,3.589228,-3.654541,0.1490391,1.014027,0.0747913,-0.1100789,-28.0461,-29.75887,19.33513
58.216765404,1.909127,-2.888757,-0.4615526,1.017346,0.077439,-0.08786742,-28.0461,-29.75887,19.33513
58.226896763,-0.579911399999998,-1.828439,-1.072144,1.013507,0.06739542,-0.07149226,-28.0461,-29.75887,19.33513
58.237028122,-2.13556,-0.1201506,-1.072144,1.007219,0.06255077,-0.0666934,-28.0461,-29.75887,19.33513
58.247158527,-2.13556,0.7634471,-1.011085,0.9912138,0.05761709,-0.06336744,-28.0461,-29.75887,19.33513
58.254757404,-1.326623,1.293606,-0.9500259,0.9849415,0.05459855,-0.07062835,-27.69436,-29.38533,20.15417
58.26488781,0.415704,1.705951,-1.011085,0.9781551,0.0563584,-0.08415343,-27.69436,-29.38533,20.15417
58.275019169,2.095805,1.234699,-0.705789299999999,0.98015,0.05620708,-0.1024855,-27.69436,-29.38533,20.15417
58.285149574,3.340324,0.7634471,-0.4615526,0.979144,0.06381504,-0.1164656,-27.69436,-29.38533,20.15417
58.295280933,3.278098,-0.2968701,0.02692074,0.9840814,0.0584423,-0.1261154,-27.69436,-29.38533,20.15417
58.305412293,2.469161,-1.357187,0.5153941,0.9806696,0.06172865,-0.1343205,-28.04715,-30.10799,20.16236
58.315543175,1.660223,-2.476411,0.576453200000001,0.9777596,0.06168397,-0.1367408,-28.04715,-30.10799,20.16236
58.325674534,1.286867,-3.418916,0.4543349,0.9743803,0.05970423,-0.138684,-28.04715,-30.10799,20.16236
58.335804939,1.037963,-3.772354,0.2711574,0.9792433,0.05926702,-0.1377073,-28.04715,-30.10799,20.16236
58.345936298,0.851285599999998,-3.831261,0.5153941,0.9840068,0.06806801,-0.1318855,-28.04715,-30.10799,20.16236
