Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
17.042129993,9.62799900000003,10.80633,-1.452472,1.068307,-0.1340804,0.003013989,-30.74393,-16.85192,53.6199
17.052127361,9.44340000000003,21.54911,-2.732858,1.072066,-0.1267302,0.001569814,-30.74393,-16.85192,53.6199
17.062124252,8.52040099999998,32.5293,-3.647419,1.081344,-0.1017419,0.003940087,-30.74393,-16.85192,53.6199
17.07212162,6.36673800000001,43.56884,-4.318098,1.091596,-0.07670372,0.009658679,-30.74393,-16.85192,53.6199
17.082118034,2.859344,54.19291,-4.744893,1.104896,-0.05851815,0.003409323,-30.74393,-16.85192,53.6199
17.092115402,-1.386449,65.1731000000002,-5.415571,1.142399,-0.05713334,0.02057233,-30.75599,-16.09829,52.77734
17.102111816,-5.693775,76.8655100000002,-6.02527899999998,1.164584,-0.04437543,0.03919483,-30.75599,-16.09829,52.77734
17.112109184,-9.63190200000001,88.1424599999999,-6.33013299999999,1.190772,-0.03745746,0.04824034,-30.75599,-16.09829,52.77734
17.122106075,-11.8471,99.0039399999997,-6.02527899999998,1.204803,-0.03165504,0.06783601,-30.75599,-16.09829,52.77734
17.132103443,-13.8777,109.628,-5.964308,1.225293,-0.03258083,0.08167924,-30.75599,-16.09829,52.77734
17.142099857,-15.16989,119.5399,-5.415571,1.249597,-0.05549165,0.07446413,-31.87933,-15.74326,50.76746
17.152097225,-12.9547,129.5704,-5.29363,1.266768,-0.08776312,0.06869959,-31.87933,-15.74326,50.76746
17.162094116,-8.77043599999998,139.3042,-5.29363,1.285862,-0.1184861,0.06867421,-31.87933,-15.74326,50.76746
17.172091007,-2.001781,148.9193,-5.415571,1.308791,-0.1200251,0.0633703,-31.87933,-15.74326,50.76746
17.182087898,4.520741,158.3563,-4.927805,1.320128,-0.1007924,0.06956708,-34.84236,-16.56352,46.36324
