Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.116851807,6.305205,3.56534,-0.05014454,1.064057,-0.1158828,-0.01708348,-46.75304,-24.1116,19.09228
19.126850128,4.705341,6.59230999999998,0.3766508,1.070551,-0.09817731,-0.008006418,-46.74518,-24.49195,19.0943
19.136848927,2.428612,9.38187199999997,0.803446099999999,1.060204,-0.09203817,-0.005118504,-46.74518,-24.49195,19.0943
19.146846771,-0.5249836,12.29014,1.535095,1.049417,-0.08827602,0.004470852,-46.74518,-24.49195,19.0943
19.15684557,-3.293979,15.25776,2.205774,1.043169,-0.0927247,0.009747228,-46.74518,-24.49195,19.0943
19.166844368,-5.509175,18.34408,2.998394,1.039882,-0.09897529,0.02411185,-46.74518,-24.49195,19.0943
19.176842213,-6.43217400000002,21.37105,3.48616,1.048153,-0.1239668,0.03654684,-46.74348,-24.49522,18.7073
19.186841011,-6.49370699999998,24.63543,4.217809,1.053737,-0.1353217,0.05807596,-46.74348,-24.49522,18.7073
19.196839333,-5.570708,28.01851,4.888487,1.062543,-0.1370257,0.06523968,-46.74348,-24.49522,18.7073
19.206837654,-4.155444,31.69836,5.92499000000001,1.062715,-0.1198871,0.07911368,-46.74348,-24.49522,18.7073
19.216835976,-3.970845,35.37821,6.53469799999998,1.060806,-0.121794,0.08725329,-46.74348,-24.49522,18.7073
19.226834774,-3.909311,39.59223,6.90052199999999,1.062344,-0.1255195,0.1016089,-46.35919,-24.87603,18.32511
19.236832619,-3.355512,43.62819,7.205376,1.065841,-0.1296748,0.1178754,-46.35919,-24.87603,18.32511
19.246831417,-3.109379,47.54544,7.69314200000002,1.070275,-0.1318897,0.131747,-46.35919,-24.87603,18.32511
19.256829262,-3.170913,51.87817,8.11993799999998,1.08492,-0.1329091,0.1479933,-46.35919,-24.87603,18.32511
19.26682806,-3.232446,57.16053,8.42479100000002,1.097231,-0.1392804,0.1685522,-46.35919,-24.87603,18.32511
19.276826859,-3.293979,62.97706,8.668674,1.103843,-0.1535526,0.1876874,-47.09348,-25.27618,16.64457
19.286824703,-2.986313,68.4374800000001,8.54673300000003,1.107403,-0.1611213,0.202519,-47.09348,-25.27618,16.64457
19.296823502,-2.678647,74.4914199999997,8.668674,1.108653,-0.1756222,0.2082635,-47.09348,-25.27618,16.64457
19.306821823,-2.247914,80.30795,8.72964499999998,1.113513,-0.1743218,0.2336192,-47.09348,-25.27618,16.64457
19.316820145,-0.955716300000001,86.4212399999998,9.40032399999997,1.132477,-0.1719025,0.2445928,-47.09348,-25.27618,16.64457
19.326818466,0.705681,92.65324,10.13197,1.141595,-0.163671,0.274725,-47.85413,-24.1647,13.79491
19.336817265,1.321013,98.2323600000002,10.98556,1.144306,-0.1524802,0.2704102,-47.85413,-24.1647,13.79491
19.346815109,0.951813900000003,104.0489,11.47333,1.149383,-0.1629171,0.2871543,-47.85413,-24.1647,13.79491
19.356813908,-0.586516899999998,110.5183,12.38789,1.16199,-0.1590778,0.3077101,-47.85413,-24.1647,13.79491
19.366812706,-1.078783,116.6909,13.97313,1.171149,-0.1534023,0.3239642,-47.85413,-24.1647,13.79491
19.376810551,-2.494047,122.0327,15.0706,1.177336,-0.1455138,0.3229942,-48.97801,-23.44349,10.10599
19.386809349,-6.24757399999999,127.0776,15.74128,1.177014,-0.1542233,0.3277828,-48.97801,-23.44349,10.10599
19.396807671,-8.64737,131.9445,16.35099,1.189796,-0.1859859,0.3339902,-48.97801,-23.44349,10.10599
19.406805992,-9.508835,136.5146,18.11914,1.197298,-0.1959064,0.3488155,-48.97801,-23.44349,10.10599
19.416804314,-9.878035,140.3132,19.64341,1.210871,-0.1915402,0.3717624,-48.97801,-23.44349,10.10599
19.426802635,-9.57036899999999,143.815,20.74088,1.210464,-0.1952296,0.3942572,-49.67121,-25.01848,4.432517
