Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
120.211294651,-2.083658,0.2944635,0.990263,0.996348,-0.06210988,0.1108005,-46.64179,-27.18694,7.756108
120.221291542,-1.404484,-0.002537616,0.562492,1.001135,-0.05770324,0.104091,-46.64179,-27.18694,7.756108
120.231287479,-1.033791,-0.002571687,0.1961332,1.007009,-0.05900115,0.1088668,-46.64179,-27.18694,7.756108
120.24128437,-0.2945,-0.358664,-0.04780465,1.012837,-0.05787903,0.112685,-47.02272,-26.81266,7.364297
120.251280308,0.1364092,-0.3581949,-0.3524069,1.017727,-0.05874553,0.1136338,-47.02272,-26.81266,7.364297
120.261276722,0.4436721,-0.3578382,-0.5346467,1.023005,-0.05421515,0.1193664,-47.02272,-26.81266,7.364297
120.271272659,0.750703799999999,-0.4760376,-1.08252,1.022371,-0.04648332,0.1160155,-47.02272,-26.81266,7.364297
120.28126955,0.688362900000001,-0.594200300000002,-1.203007,1.020458,-0.04849119,0.1131479,-47.02272,-26.81266,7.364297
120.291265488,0.5645091,-0.712121399999997,-1.506196,1.014723,-0.05441387,0.1155523,-46.65414,-26.43276,6.978048
120.301261902,0.748206500000003,-0.889228199999998,-1.443391,1.00069,-0.05948912,0.1222781,-46.65414,-26.43276,6.978048
120.311257839,0.747228099999998,-0.947426300000003,-1.56352,0.993207,-0.0504918,0.1127173,-46.65414,-26.43276,6.978048
120.32125473,0.5002919,-0.5309747,-1.561556,0.9916646,-0.0461137,0.1165475,-46.65414,-26.43276,6.978048
120.331250668,0.1922292,-0.3523067,-1.681459,0.9882759,-0.04706481,0.1261252,-46.65414,-26.43276,6.978048
120.341247082,0.1919491,-0.114697,-1.740299,0.9947163,-0.05281712,0.1208511,-46.64011,-27.1902,7.369106
120.351243496,0.4377829,-0.05529378,-1.616248,1.00362,-0.05997859,0.115573,-46.64011,-27.1902,7.369106
120.36123991,0.6832501,0.3006848,-1.614199,1.009005,-0.06134317,0.1141283,-46.64011,-27.1902,7.369106
120.371236801,1.297415,0.1816583,-1.30749,1.015868,-0.06368993,0.108374,-46.64011,-27.1902,7.369106
120.381232739,1.541783,0.2407079,-1.305867,1.019197,-0.05920681,0.1131528,-46.64011,-27.1902,7.369106
120.391229153,1.847474,0.418444,-1.243294,1.020579,-0.05472708,0.1217636,-46.2794,-26.42995,6.980829
120.40122509,1.599117,0.3584729,-1.058935,1.025366,-0.05031605,0.1155327,-46.2794,-26.42995,6.980829
120.411221981,1.535401,0.713913200000001,-1.11848,1.027381,-0.05359449,0.1246229,-46.2794,-26.42995,6.980829
120.421217918,1.47194,0.890961700000002,-0.934220399999998,1.023996,-0.05519376,0.1164935,-46.2794,-26.42995,6.980829
120.431214333,1.4085,1.245659,-0.689240500000001,1.018086,-0.05196159,0.11076,-46.2794,-26.42995,6.980829
120.44121027,0.976036499999998,1.95595,-0.4444917,1.017047,-0.04860245,0.1083681,-47.02272,-26.81266,7.364297
120.451207161,0.5441746,2.606108,-0.2609254,1.012607,-0.04580961,0.1045465,-47.02272,-26.81266,7.364297
120.461203098,-0.3790435,3.018003,-0.3215302,1.011173,-0.04730016,0.1040708,-47.02272,-26.81266,7.364297
120.471199513,-1.055143,3.310732,-0.1383289,1.003333,-0.04502972,0.1036053,-47.02272,-26.81266,7.364297
120.481195927,-1.60725,3.721667,0.1055938,1.006809,-0.04829245,0.1112573,-47.02272,-26.81266,7.364297
