Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
58.37106514,2.551678,0.4790165,-0.5379106,0.9975561,0.07517724,-0.1294821,-58.55916,-46.89387,27.12082
58.381062985,2.797811,0.4196641,-0.4159691,1.002437,0.07481844,-0.1261405,-58.55916,-46.89387,27.12082
58.391060352,2.551678,0.5383689,-0.4769399,1.002916,0.07535332,-0.1218343,-58.9356,-46.89341,27.50504
58.401058197,2.797811,0.4196641,-0.5379106,1.00489,0.07387309,-0.1285374,-58.9356,-46.89341,27.50504
58.411056042,2.613211,0.4790165,-0.5379106,1.000469,0.07570319,-0.1314016,-58.9356,-46.89341,27.50504
58.421054363,2.490145,0.4790165,-0.4159691,0.9980804,0.07326576,-0.1270897,-58.9356,-46.89341,27.50504
58.431052208,2.490145,0.3009594,-0.4159691,0.9985212,0.07568225,-0.1294839,-58.9356,-46.89341,27.50504
58.441049576,2.244012,0.3009594,-0.4159691,1.0024,0.07674831,-0.1275767,-58.92774,-47.27377,27.50707
58.451047421,2.244012,0.2416071,-0.4159691,0.9989542,0.07862838,-0.1270926,-58.92774,-47.27377,27.50707
58.461045742,1.936346,0.2416071,-0.5379106,1.001977,0.07332519,-0.1290108,-58.92774,-47.27377,27.50707
58.471043587,1.690213,0.5383689,-0.4769399,1.004781,0.07971979,-0.1266244,-58.92774,-47.27377,27.50707
58.481040955,1.628679,0.3603118,-0.3549984,1.001463,0.07479042,-0.127096,-58.92774,-47.27377,27.50707
58.491038799,1.690213,0.4196641,-0.4159691,1.001426,0.07670712,-0.1299678,-59.31821,-46.51587,27.50024
58.501036644,1.44408,0.4196641,-0.2940276,0.9940928,0.07806394,-0.1251696,-59.31821,-46.51587,27.50024
58.511034966,1.25948,0.3009594,-0.4159691,0.9951681,0.07276615,-0.1222987,-59.31821,-46.51587,27.50024
58.521031857,1.25948,0.1229023,-0.4769399,0.9942569,0.06931585,-0.1256463,-59.31821,-46.51587,27.50024
58.531030178,1.813279,0.06354995,-0.598881400000002,0.9981347,0.07033803,-0.1285247,-59.31821,-46.51587,27.50024
58.541028023,1.813279,0.1229023,-0.4769399,0.9971421,0.07128591,-0.1290018,-58.94177,-46.51632,27.11601
58.551025868,1.813279,-0.1738595,-0.659852100000001,0.9975201,0.07713784,-0.1275683,-58.94177,-46.51632,27.11601
58.561023235,1.567146,-0.2332119,-0.720822899999998,1.000949,0.07625563,-0.1251811,-58.94177,-46.51632,27.11601
58.57102108,1.382547,-0.3519166,-0.720822899999998,1.007805,0.07444293,-0.1256712,-58.94177,-46.51632,27.11601
58.581019402,1.25948,-0.1145072,-0.598881400000002,1.005848,0.0749297,-0.1213607,-58.94177,-46.51632,27.11601
58.591017246,1.382547,-0.1738595,-0.5379106,1.011756,0.07160535,-0.1256773,-59.31034,-46.89622,27.50226
58.601015091,1.321013,-0.1738595,-0.598881400000002,1.004944,0.0709278,-0.1318868,-59.31034,-46.89622,27.50226
58.611012459,1.07488,0.1822547,-0.4159691,1.003383,0.07625986,-0.1299711,-59.31034,-46.89622,27.50226
58.62101078,0.5826145,-0.05515479,-0.598881400000002,1.002777,0.08257391,-0.1290146,-59.31034,-46.89622,27.50226
58.631008625,0.02881546,0.3603118,-0.659852100000001,1.001941,0.07529019,-0.1266183,-59.31034,-46.89622,27.50226
58.64100647,-0.03271778,0.1822547,-0.4159691,1.001445,0.07577071,-0.126139,-58.94544,-46.50924,27.95452
58.651003838,-0.5249836,0.2416071,-0.4769399,0.9984215,0.08104756,-0.1270923,-58.94544,-46.50924,27.95452
58.661001682,-0.5249836,0.3603118,-0.3549984,0.9950934,0.07659518,-0.128521,-58.94544,-46.50924,27.95452
58.671000004,-0.5249836,0.2416071,-0.2940276,0.9974932,0.07860829,-0.1261329,-58.94544,-46.50924,27.95452
58.680997848,-0.2173175,0.3009594,-0.2330568,1.000542,0.07180832,-0.1323579,-58.94544,-46.50924,27.95452
58.690995216,0.3364816,0.3009594,-0.2330568,0.9980615,0.07421973,-0.1290042,-59.31232,-46.89241,27.95377
58.700993061,0.890280700000001,0.3009594,-0.2330568,1.00002,0.07379441,-0.1266146,-59.31232,-46.89241,27.95377
58.710990906,0.951813900000003,0.3009594,-0.2940276,0.9989722,0.07764808,-0.1280495,-59.31232,-46.89241,27.95377
58.720989227,1.25948,0.3009594,-0.3549984,0.997107,0.07327285,-0.1242165,-59.31232,-46.89241,27.95377
58.730986118,1.321013,0.3009594,-0.2330568,0.9990805,0.07178383,-0.1318768,-59.31232,-46.89241,27.95377
58.74098444,1.382547,0.1822547,-0.3549984,0.9951683,0.07277054,-0.1218201,-58.56085,-46.8906,27.50783
58.750982284,1.628679,0.004197581,-0.3549984,0.9927775,0.07026289,-0.1251653,-58.56085,-46.8906,27.50783
58.760980129,1.813279,-0.4706214,-0.4769399,0.9926521,0.07713816,-0.1170311,-58.56085,-46.8906,27.50783
58.770978451,1.628679,-0.589326100000003,-0.720822899999998,0.9966492,0.07186739,-0.1175153,-58.56085,-46.8906,27.50783
58.780975819,2.059412,-0.5299737,-0.659852100000001,1.00947,0.06387284,-0.1160998,-58.56085,-46.8906,27.50783
58.790973663,2.613211,-0.589326100000003,-0.659852100000001,1.009476,0.06330807,-0.1247141,-58.56702,-46.51351,27.1188
58.800971508,2.920877,-0.767383199999997,-0.7817937,1.005469,0.06903388,-0.12758,-58.56702,-46.51351,27.1188
58.810969353,2.920877,-0.9454404,-0.7817937,1.005828,0.07583538,-0.1285396,-58.56702,-46.51351,27.1188
58.820966721,2.244012,-0.826735599999998,-0.720822899999998,1.004737,0.08217492,-0.1237535,-58.56702,-46.51351,27.1188
58.830965042,1.813279,-0.826735599999998,-0.8427644,1.007695,0.0802545,-0.1275868,-58.56702,-46.51351,27.1188
58.840962887,1.44408,-0.648678499999998,-0.598881400000002,1.003374,0.07676318,-0.1280569,-58.9356,-46.89341,27.50504
58.850960731,1.197947,-0.589326100000003,-0.720822899999998,1.00092,0.07765585,-0.1314029,-58.9356,-46.89341,27.50504
58.860958099,1.07488,-0.886087999999999,-0.720822899999998,0.9995129,0.07470803,-0.1318783,-58.9356,-46.89341,27.50504
58.870955944,1.25948,-0.589326100000003,-0.659852100000001,1.002932,0.0743028,-0.1304484,-58.9356,-46.89341,27.50504
58.880954266,1.874812,-0.411269,-0.720822899999998,1.001057,0.07039577,-0.1285298,-58.9356,-46.89341,27.50504
58.89095211,2.490145,-0.2925643,-0.7817937,1.008868,0.0695519,-0.1314147,-58.57856,-46.12607,27.95527
58.900949478,3.043944,-0.2332119,-0.598881400000002,1.005953,0.06895572,-0.1371524,-58.57856,-46.12607,27.95527
58.910947323,3.53621,-0.05515479,-0.659852100000001,1.008869,0.06956945,-0.1295004,-58.57856,-46.12607,27.95527
58.920945168,4.274609,0.3603118,-0.720822899999998,1.004475,0.06995104,-0.1314071,-58.57856,-46.12607,27.95527
58.930943489,4.889941,0.1822547,-0.720822899999998,1.004935,0.07141795,-0.1314083,-58.57856,-46.12607,27.95527
58.940941334,4.643808,0.3009594,-0.598881400000002,1.000029,0.07329986,-0.1275716,-58.93758,-46.8896,27.95655
58.950938702,4.520741,0.2416071,-0.4769399,0.997971,0.07909929,-0.1266124,-58.93758,-46.8896,27.95655
