Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
24.671437263,-4.02706,5.710437,0.767250500000003,0.9871947,-0.03684437,-0.1909548,-38.66024,-28.9899,8.886894
24.681350231,-2.540546,6.584216,0.889976299999999,0.9963793,-0.02556347,-0.1880837,-38.66024,-28.9899,8.886894
24.691262245,-1.735352,7.807507,0.705887599999999,0.9855695,-0.01450607,-0.1802275,-39.04096,-28.61716,8.437975
24.701174736,-2.726361,7.86575900000002,0.583161800000002,0.9854209,-0.01897367,-0.1999424,-39.04096,-28.61716,8.437975
24.71108675,-4.894192,6.70071999999997,0.5217989,0.9928491,-0.03346713,-0.2077902,-39.04096,-28.61716,8.437975
24.720998764,-6.25683000000001,7.05023200000001,1.012702,0.9895304,-0.04174857,-0.2073345,-39.04096,-28.61716,8.437975
24.730911255,-4.584502,8.44827800000003,1.687694,0.9743446,-0.05170911,-0.2216651,-39.04096,-28.61716,8.437975
24.740823269,-0.4965908,8.85604200000002,1.564968,0.9657974,-0.03778902,-0.2282156,-39.41361,-28.61536,8.889633
24.75073576,2.290622,8.27352199999998,0.951339199999998,0.9720404,-0.01386605,-0.2113084,-39.41361,-28.61536,8.889633
24.760647774,0.927984400000002,8.85604200000002,0.460436,0.9867062,0.0077795,-0.1863316,-39.41361,-28.61536,8.889633
24.770560265,-3.779308,10.37059,-0.3986447,0.9746293,0.0116054,-0.1674683,-39.41361,-28.61536,8.889633
24.780472279,-9.16791799999997,10.31234,-0.889547900000002,0.9836817,-0.008641504,-0.1667266,-39.41361,-28.61536,8.889633
24.792862892,-12.63645,10.07933,-0.5213705,0.996011,-0.04525849,-0.1517195,-39.04742,-28.2444,7.987108
24.802774906,-11.21187,12.46766,0.03089567,1.006213,-0.06540406,-0.1341822,-39.04742,-28.2444,7.987108
24.812687397,-7.12396199999998,15.90453,0.5217989,1.015321,-0.07050009,-0.1102924,-39.04742,-28.2444,7.987108
24.822599411,-2.602484,19.51615,0.6445247,1.02532,-0.06050698,-0.07718741,-39.04742,-28.2444,7.987108
24.832511425,-0.4346527,23.12777,0.828613499999998,1.040507,-0.03249699,-0.04160956,-39.04742,-28.2444,7.987108
24.842424393,-1.177909,26.7394,0.828613499999998,1.066578,-0.01306694,-0.003788722,-38.66645,-28.99696,7.152288
24.85233593,-3.903184,32.27333,1.38088,1.076251,-0.01421485,0.03212604,-38.66645,-28.99696,7.152288
24.862248898,-7.43365200000003,38.7393,2.424049,1.054816,-0.01005266,0.04483612,-38.66645,-28.99696,7.152288
24.872160912,-8.92016599999997,43.16645,2.976315,1.021444,-0.01736226,0.02444925,-38.66645,-28.99696,7.152288
24.882073402,-10.22087,43.04995,4.387662,1.013544,-0.04189015,-0.01165297,-38.66645,-28.99696,7.152288
24.891985416,-12.01707,40.66161,6.35127500000001,1.003394,-0.06781106,-0.03045795,-39.04393,-29.00065,6.25481
24.901897907,-13.6894,37.80727,6.96490399999999,1.010111,-0.08925567,-0.06811528,-39.04393,-29.00065,6.25481
24.911809921,-13.50358,34.19565,6.90354199999998,1.006692,-0.08613041,-0.1117572,-39.04393,-29.00065,6.25481
24.921722412,-11.39769,31.16655,5.553557,1.02488,-0.09585794,-0.1614465,-39.04393,-29.00065,6.25481
24.931634426,-9.35373199999999,30.81703,4.326299,1.040984,-0.06226191,-0.1728955,-39.04393,-29.00065,6.25481
24.94154644,-9.663423,33.03061,2.117234,1.064948,-0.02220782,-0.1733304,-39.05475,-28.63285,4.583296
24.951458931,-12.32676,34.02089,0.705887599999999,1.081737,0.01686204,-0.1593008,-39.05475,-28.63285,4.583296
24.961370945,-12.57451,35.7102,-2.178169,1.085163,0.02812613,-0.145813,-39.05475,-28.63285,4.583296
24.971283913,-8.548538,38.09853,-4.816774,1.093151,0.04440745,-0.1107269,-39.05475,-28.63285,4.583296
24.981195927,-3.531555,42.17617,-8.00764499999998,1.124183,0.08588716,-0.04015426,-39.05475,-28.63285,4.583296
24.991108418,-2.664423,50.04018,-11.13715,1.157767,0.1303799,0.04433941,-39.44651,-27.89258,2.398617
25.001020432,-7.929157,60.7585400000003,-13.65303,1.172054,0.1881743,0.1223779,-39.44651,-27.89258,2.398617
25.010932922,-16.29079,74.0982399999998,-17.64162,1.176435,0.217736,0.2027208,-39.44651,-27.89258,2.398617
25.020844936,-24.2808,87.5544399999998,-18.13253,1.172168,0.1962867,0.1906134,-39.44651,-27.89258,2.398617
25.030757427,-22.9801,90.93305,-17.64162,1.088465,0.1617738,0.09416561,-39.44651,-27.89258,2.398617
25.040669441,-7.681405,88.60297,-21.01658,1.007941,0.1703514,0.07191987,-39.82511,-28.27766,-0.1680679
25.050581455,13.43947,91.1660599999999,-27.15287,1.003999,0.1505349,0.09343143,-39.82511,-28.27766,-0.1680679
25.060493946,32.14476,95.0689499999998,-31.93918,1.001894,0.170433,0.1022263,-39.82511,-28.27766,-0.1680679
25.072884083,46.76214,97.16602,-38.75046,0.9883364,0.1966636,0.05066934,-39.82511,-28.27766,-0.1680679
25.082796574,50.54036,93.4961399999999,-44.1504,1.017268,0.1512144,0.005444279,-39.82511,-28.27766,-0.1680679
25.092708588,45.83307,90.46704,-45.37766,1.068011,0.1554576,0.04725718,-39.45356,-29.04094,-3.636916
25.102621079,35.86105,96.4087400000001,-48.50716,1.154679,0.1770925,0.08405214,-39.45356,-29.04094,-3.636916
25.112533093,24.77413,109.9814,-50.5935,1.249338,0.08916512,0.1041981,-39.45356,-29.04094,-3.636916
25.12244606,14.98792,111.4377,-43.90495,1.161508,0.005719107,0.02474815,-39.45356,-29.04094,-3.636916
25.132357597,11.2097,97.0495099999999,-36.41867,1.008376,-0.0499012,-0.04815057,-39.45356,-29.04094,-3.636916
25.142270565,14.49242,75.84579,-31.571,0.9220451,-0.08940972,-0.07306375,-37.95117,-30.17506,-6.211025
25.152182579,20.06684,57.4381800000002,-27.21424,0.923026,-0.1045179,-0.09045918,-37.95117,-30.17506,-6.211025
25.162094593,18.89002,48.9334,-24.63699,0.9318671,-0.0461075,-0.1612152,-37.95117,-30.17506,-6.211025
25.172007084,14.55436,49.0499,-24.51427,0.9760626,-0.0003493065,-0.2323825,-37.95117,-30.17506,-6.211025
25.181919098,11.27164,54.40908,-24.88245,0.97742,0.06131502,-0.2185398,-37.95117,-30.17506,-6.211025
25.191831589,14.36854,60.40903,-25.68016,0.9415565,0.0668819,-0.1807187,-36.07315,-31.30759,-8.401611
25.201743603,22.91599,59.88476,-23.90064,0.8839996,0.04989542,-0.139006,-36.07315,-31.30759,-8.401611
25.211656094,32.33058,53.94306,-22.24384,0.8513591,0.03906418,-0.09220094,-36.07315,-31.30759,-8.401611
25.221568108,41.37353,46.07905,-21.63021,0.8427215,0.04147821,-0.0733788,-36.07315,-31.30759,-8.401611
25.231480599,50.66424,40.37035,-20.83249,0.8368751,0.06531816,-0.0433961,-36.07315,-31.30759,-8.401611
25.241392613,56.05285,36.29272,-19.91205,0.8205803,0.1055212,-0.01176729,-35.31606,-32.43811,-10.0724
25.25130558,51.903,31.98207,-19.05297,0.8098104,0.1636682,0.007445862,-35.31606,-32.43811,-10.0724
25.261217594,38.09082,26.27338,-18.5007,0.8016697,0.198527,0.01735654,-35.31606,-32.43811,-10.0724
25.271130085,20.43847,20.44818,-17.27345,0.7930642,0.1941285,0.03133141,-35.31606,-32.43811,-10.0724
25.281042099,5.5114,15.03075,-15.8621,0.7774228,0.1793012,0.01457175,-35.31606,-32.43811,-10.0724
25.290954113,-4.770316,9.72982099999999,-14.75756,0.7584013,0.1476283,0.02990173,-33.80149,-33.55838,-9.241546
25.300866604,-11.5835,4.370642,-12.18032,0.758484,0.1298709,0.06483421,-33.80149,-33.55838,-9.241546
