Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.127328873,-0.06302445,2.681334,-1.871354,0.4962661,-0.1697123,0.8935364,-21.2526,-19.25747,-24.00005
19.137239456,0.742170199999999,4.428894,-1.871354,0.4680038,-0.1619724,0.8645597,-21.2526,-19.25747,-24.00005
19.147150517,-1.301785,4.195886,-1.932717,0.4647909,-0.1584914,0.8891006,-21.2526,-19.25747,-24.00005
19.1570611,-4.956131,3.555114,-1.871354,0.4692843,-0.1774125,0.8759688,-21.2526,-19.25747,-24.00005
19.166971684,-5.947139,3.14735,-1.932717,0.4748452,-0.1918844,0.8767813,-21.2526,-19.25747,-24.00005
19.176882267,-5.018068,3.671618,-2.055443,0.4773866,-0.1913157,0.8868448,-21.25503,-18.94348,-23.5513
19.186792851,-3.655432,4.195886,-1.687266,0.4754316,-0.1942666,0.8834822,-21.25503,-18.94348,-23.5513
19.196703434,-1.79729,5.244421,-1.441814,0.4676044,-0.1914397,0.8864543,-21.25503,-18.94348,-23.5513
19.206614018,-0.1249625,5.477429,-0.889547900000002,0.4602358,-0.1935006,0.8807468,-21.25503,-18.94348,-23.5513
19.216524601,0.5563561,6.17645200000001,-0.214556,0.4594705,-0.2051095,0.8878789,-21.25503,-18.94348,-23.5513
19.226435185,0.804108299999999,6.584216,0.03089567,0.4634976,-0.2176834,0.8843969,-21.63414,-18.56891,-23.55051
19.236346245,0.2466658,6.99197999999999,0.5217989,0.4526277,-0.2139743,0.8777999,-21.63414,-18.56891,-23.55051
19.246257305,-2.478608,7.51624699999999,0.460436,0.4460045,-0.2115054,0.9023656,-21.63414,-18.56891,-23.55051
19.256167889,-6.38070599999998,6.87547600000002,0.583161800000002,0.4337023,-0.2131626,0.8928652,-21.63414,-18.56891,-23.55051
19.266078472,-7.062024,4.778405,0.705887599999999,0.43716,-0.2326137,0.8734974,-21.63414,-18.56891,-23.55051
19.275989056,-3.903184,5.82694100000001,1.38088,0.4581639,-0.2469957,0.8544811,-21.25099,-19.25564,-23.55034
19.285899639,-0.4965908,7.10848400000002,1.994509,0.4595864,-0.2416346,0.8564243,-21.25099,-19.25564,-23.55034
19.2958107,-2.045042,6.40946000000002,2.117234,0.4414632,-0.2306581,0.8662682,-21.25099,-19.25564,-23.55034
19.305721283,-5.575511,6.351208,2.055871,0.4432383,-0.2358452,0.8902251,-21.25099,-19.25564,-23.55034
19.315631867,-1.301785,6.81722400000001,2.301323,0.4448291,-0.236738,0.9012481,-21.25099,-19.25564,-23.55034
19.32554245,6.37853299999997,7.224988,2.485412,0.4470276,-0.2148843,0.9028139,-21.25664,-18.94531,-24.00101
19.335453034,10.21869,7.39974399999998,2.792227,0.4447964,-0.190174,0.9049197,-21.25664,-18.94531,-24.00101
19.347840786,9.22768300000001,6.00169699999999,3.160404,0.4319605,-0.1860069,0.8978638,-21.25664,-18.94531,-24.00101
19.35775137,5.635276,5.593933,3.651307,0.4377449,-0.1786596,0.8983395,-21.25664,-18.94531,-24.00101
19.36766243,1.918993,6.75897199999999,3.405856,0.4424348,-0.1765027,0.9290406,-21.25664,-18.94531,-24.00101
19.377573013,-0.06302445,8.91429399999998,3.835396,0.4534824,-0.1942657,0.9365026,-20.51297,-18.57065,-24.00606
19.387483597,1.113798,9.14730199999998,4.449025,0.4552197,-0.1928915,0.9168091,-20.51297,-18.57065,-24.00606
19.39739418,5.5114,9.61331700000002,5.246743,0.4710637,-0.195032,0.9334539,-20.51297,-18.57065,-24.00606
19.407304764,9.90900100000002,12.75892,5.18538,0.4769091,-0.1808237,0.9478992,-20.51297,-18.57065,-24.00606
19.417215347,10.28063,17.01132,5.062654,0.460509,-0.1821389,0.9206731,-20.51297,-18.57065,-24.00606
19.427125931,10.59032,19.28314,5.614921,0.4419384,-0.1804152,0.9237373,-20.50546,-19.25898,-24.38941
19.437036514,12.82009,20.04042,6.28991200000003,0.4172971,-0.1661877,0.9216592,-20.50546,-19.25898,-24.38941
19.446947098,14.3066,18.17636,5.18538,0.4060603,-0.1541286,0.9367284,-20.50546,-19.25898,-24.38941
19.456857681,11.27164,17.65209,4.939929,0.4295917,-0.1630711,0.9321298,-20.50546,-19.25898,-24.38941
19.466768742,9.90900100000002,19.98217,6.35127500000001,0.446353,-0.1703572,0.8891921,-20.50546,-19.25898,-24.38941
19.476679325,13.87304,23.01127,8.13079899999997,0.4474732,-0.1992909,0.9168382,-20.13871,-18.57062,-24.008
19.486589909,19.81909,25.2831,11.01486,0.4426027,-0.1851959,0.9352232,-20.13871,-18.57062,-24.008
19.496500492,24.52638,26.56464,11.50576,0.4210654,-0.1310914,0.948747,-20.13871,-18.57062,-24.008
19.506411553,21.18173,26.50639,10.40123,0.3942855,-0.09454448,0.9550001,-20.13871,-18.57062,-24.008
19.516322136,13.8111,25.3996,10.52395,0.3819083,-0.1167285,0.9141533,-20.13871,-18.57062,-24.008
19.526233196,13.74916,24.52582,11.19895,0.3719304,-0.133052,0.8757242,-19.7537,-19.63535,-24.84186
19.53614378,19.32359,25.3996,10.52395,0.3908851,-0.1538397,0.9354302,-19.7537,-19.63535,-24.84186
19.546054363,20.56235,31.16655,9.91032400000003,0.4042139,-0.1575108,0.9434451,-19.7537,-19.63535,-24.84186
19.555964947,14.3066,32.85585,8.68306499999997,0.3807707,-0.1224292,0.9395742,-19.7537,-19.63535,-24.84186
19.56587553,5.449462,32.9141,8.19216299999999,0.3953238,-0.1422969,1.000287,-19.7537,-19.63535,-24.84186
19.575786114,3.529382,34.77817,9.11260599999998,0.4142743,-0.1621201,0.9654087,-18.25805,-19.6368,-25.23512
19.585696697,4.768144,34.19565,9.35805800000003,0.4139248,-0.1559604,0.9385641,-18.25805,-19.6368,-25.23512
19.595607281,6.87403699999997,32.73935,9.91032400000003,0.4097782,-0.1678301,0.9971026,-18.25805,-19.6368,-25.23512
19.605517864,6.68822300000002,34.89467,10.52395,0.4138886,-0.1857265,0.9955049,-18.25805,-19.6368,-25.23512
19.615428448,4.334577,36.00146,11.87394,0.4095064,-0.1826058,0.9533123,-18.25805,-19.6368,-25.23512
19.627816677,5.697214,39.67133,12.73302,0.385243,-0.2162261,0.9797213,-17.88379,-19.63677,-25.23706
19.637727261,9.41349700000002,41.59365,12.91711,0.3370963,-0.1971934,0.9322777,-17.88379,-19.63677,-25.23706
19.647637844,13.99691,37.92377,12.05803,0.2871849,-0.1566222,0.9286881,-17.88379,-19.63677,-25.23706
19.657548428,14.36854,34.19565,12.85574,0.2762744,-0.1595153,0.9580595,-17.88379,-19.63677,-25.23706
19.667459011,9.22768300000001,31.2248,13.83755,0.2635439,-0.1099362,0.9191344,-16.39539,-19.32971,-26.5307
19.677369594,-0.2488386,26.9724,11.68985,0.2378689,-0.07648625,0.8864638,-16.39539,-19.32971,-26.5307
19.687280655,-7.12396199999998,22.07924,9.60350899999999,0.1944964,-0.05647676,0.8288991,-16.39539,-19.32971,-26.5307
19.697191238,-4.584502,17.82685,7.45580799999998,0.1737558,-0.06610849,0.7978165,-16.39539,-19.32971,-26.5307
19.707102299,-1.239847,16.48705,5.614921,0.1708873,-0.08269668,0.7847682,-16.39539,-19.32971,-26.5307
19.717012882,-2.292794,15.38026,4.510388,0.1656652,-0.08000407,0.7555448,-16.01847,-19.64341,-26.91715
19.726923466,-3.655432,11.36088,3.28313,0.1641141,-0.08201751,0.7449822,-16.01847,-19.64341,-26.91715
19.736834049,-1.4876,7.28324000000001,1.994509,0.1739745,-0.06575521,0.7718883,-16.01847,-19.64341,-26.91715
19.746745109,0.989922399999999,4.545397,0.3990731,0.1724254,-0.03947486,0.7946451,-16.01847,-19.64341,-26.91715
19.756655693,4.272639,1.574547,-0.644096300000003,0.1947244,-0.07928496,0.8244237,-16.01847,-19.64341,-26.91715
19.766566276,7.369542,0.409508,-1.687266,0.2375573,-0.09835132,0.8781584,-14.58542,-19.64513,-27.37432
19.77647686,3.28163,-0.5225234,-2.055443,0.2288957,-0.09351078,0.897477,-14.58542,-19.64513,-27.37432
19.786387443,-5.82326300000003,-3.435122,-3.221339,0.1949645,-0.08598045,0.9352934,-14.58542,-19.64513,-27.37432
19.796298027,-15.91917,-10.1341,-4.509959,0.1360903,-0.09218456,0.9089077,-14.58542,-19.64513,-27.37432
19.80620861,-23.41367,-18.17287,-6.22812100000001,0.1112456,-0.09806295,0.8634832,-14.58542,-19.64513,-27.37432
19.816119194,-30.41267,-24.11457,-7.394016,0.1138113,-0.1167544,0.805716,-15.34017,-19.27216,-27.75705
19.826029777,-35.36771,-29.00773,-8.00764499999998,0.1398963,-0.1404922,0.7467373,-15.34017,-19.27216,-27.75705
19.835940361,-32.33275,-31.51257,-8.13037100000001,0.1758983,-0.1494016,0.7184958,-15.34017,-19.27216,-27.75705
19.845851421,-23.22786,-31.1048,-8.55991099999998,0.2224848,-0.1494768,0.7790446,-15.34017,-19.27216,-27.75705
19.855762005,-12.20288,-27.60969,-7.45537899999998,0.2734618,-0.1731563,0.8586018,-15.34017,-19.27216,-27.75705
