Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
168.67208004,-29.91717,1.225035,2.301323,0.9472155,-0.1294904,-0.3832656,-41.68851,-13.52301,20.22561
168.681991577,-23.72336,-0.2312636,1.994509,0.9285345,-0.178547,-0.3550903,-41.68851,-13.52301,20.22561
168.691902637,-14.55653,-1.279799,1.074065,0.9136854,-0.2032059,-0.3061411,-41.68851,-13.52301,20.22561
168.701813221,-3.779308,-2.444838,-0.5213705,0.9283647,-0.2203295,-0.2775815,-41.68851,-13.52301,20.22561
168.711724758,6.502409,-2.910854,-2.239532,0.9717426,-0.2171699,-0.2400291,-41.68851,-13.52301,20.22561
168.721635818,15.04986,-1.978823,-3.221339,0.9957511,-0.1929417,-0.2069588,-41.69474,-13.14999,19.83899
168.731547356,20.31459,-0.2312636,-2.730435,0.9930341,-0.1511626,-0.1845681,-41.69474,-13.14999,19.83899
168.741457939,22.29661,1.05028,-2.239532,0.9970744,-0.1127584,-0.1747464,-41.69474,-13.14999,19.83899
168.751368999,21.49142,1.807555,-1.748629,1.015833,-0.07316924,-0.1588109,-41.69474,-13.14999,19.83899
168.761280537,18.45645,3.205602,-0.889547900000002,1.029208,-0.03316211,-0.1428229,-41.69474,-13.14999,19.83899
168.77119112,13.87304,5.302673,0.3990731,1.02104,-0.004659041,-0.1430376,-42.05655,-13.89607,20.61418
168.781102657,8.11279800000001,6.70071999999997,1.012702,1.003051,0.02321231,-0.1479673,-42.05655,-13.89607,20.61418
168.791013718,0.927984400000002,7.63275100000002,1.319517,0.999685,0.04002387,-0.1703916,-42.05655,-13.89607,20.61418
168.800925255,-6.75233400000001,8.564782,1.319517,1.000455,0.03846443,-0.1924964,-42.05655,-13.89607,20.61418
168.810835838,-13.75133,9.78807399999997,1.749057,0.9869708,0.02790835,-0.2322952,-42.05655,-13.89607,20.61418
168.820746899,-19.20188,10.13759,2.424049,0.95314,0.004023098,-0.2691136,-42.05793,-13.89764,20.22871
168.830658436,-22.17491,9.205554,2.608138,0.9394497,-0.02444072,-0.3023075,-42.05793,-13.89764,20.22871
168.840569019,-23.04204,7.45799500000003,2.546775,0.9316405,-0.04745819,-0.327837,-42.05793,-13.89764,20.22871
168.85048008,-21.9891,6.23470400000003,2.424049,0.9365408,-0.08519191,-0.3233321,-42.05793,-13.89764,20.22871
168.860391617,-18.83025,5.069665,2.730864,0.9476405,-0.1126839,-0.3221774,-42.05793,-13.89764,20.22871
168.870302677,-14.55653,4.254138,2.792227,0.951022,-0.1407068,-0.3113518,-42.05606,-14.27563,19.39469
168.880213261,-8.73435200000001,3.43861,2.301323,0.9545677,-0.159376,-0.2735765,-42.05606,-14.27563,19.39469
168.890124798,-2.850237,2.623082,1.38088,0.9564417,-0.1757312,-0.253056,-42.05606,-14.27563,19.39469
168.900035858,3.405506,1.749303,0.2763473,0.962674,-0.1774191,-0.2195138,-42.05606,-14.27563,19.39469
168.909946442,9.16574500000002,0.933775699999999,-0.644096300000003,0.9682962,-0.1772249,-0.1955565,-42.05606,-14.27563,19.39469
168.922336102,14.98792,0.759019800000003,-1.503177,0.9980246,-0.150561,-0.1740467,-42.443,-13.52987,18.55914
168.932247162,16.84606,1.283287,-1.625903,1.003374,-0.09563524,-0.1602858,-42.443,-13.52987,18.55914
168.942157745,15.6073,1.807555,-1.380451,1.001399,-0.04811319,-0.1541891,-42.443,-13.52987,18.55914
168.952069283,12.38652,2.098815,-0.950910899999997,1.00308,-0.01847576,-0.1463247,-42.443,-13.52987,18.55914
168.961980343,8.29861200000002,2.681334,-0.3986447,1.007351,-0.007268327,-0.1458093,-42.443,-13.52987,18.55914
168.971890926,4.520391,3.613366,0.460436,1.012654,-0.001386561,-0.1462994,-42.06252,-13.90287,18.94382
168.981802464,0.1847278,4.894909,1.564968,1.007406,-0.01309348,-0.1472891,-42.06252,-13.90287,18.94382
168.991713524,-3.655432,5.94344499999998,2.362686,1.002043,-0.01851848,-0.1520772,-42.06252,-13.90287,18.94382
169.001625061,-7.062024,6.87547600000002,2.914952,0.9908294,-0.0298619,-0.1621324,-42.06252,-13.90287,18.94382
169.011535645,-9.35373199999999,7.34149200000003,2.976315,0.9839347,-0.04509524,-0.1847376,-42.06252,-13.90287,18.94382
169.021446705,-10.96412,7.45799500000003,2.914952,0.9801729,-0.06506619,-0.1934787,-41.68826,-13.90284,18.94187
169.031358242,-10.96412,7.39974399999998,2.730864,0.9787194,-0.08019961,-0.2098915,-41.68826,-13.90284,18.94187
169.041268826,-10.03505,6.81722400000001,2.424049,0.9761866,-0.08808094,-0.2276864,-41.68826,-13.90284,18.94187
