Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
50.910368919,-3.188113,0.727095499999998,-0.3601296,0.9778545,-0.07152453,-0.1124422,-50.06872,-7.016911,10.07688
50.920227528,-3.250229,0.4295509,-0.1762206,0.9838003,-0.07682153,-0.1116133,-50.06872,-7.016911,10.07688
50.930086136,-3.188113,0.5485688,0.1915974,0.9804699,-0.08414847,-0.1111484,-50.06872,-7.016911,10.07688
50.939945221,-2.442722,0.370042,0.0689914200000002,0.9829291,-0.0836348,-0.1097416,-50.06872,-7.016911,10.07688
50.949803829,-1.821563,0.5485688,0.007688423,0.9773698,-0.07299229,-0.1134061,-48.9423,-7.39177,10.52295
50.959662437,-2.566953,-0.2845563,-0.1762206,0.9780375,-0.07537816,-0.1024142,-48.9423,-7.39177,10.52295
50.971986771,-4.927359,-0.2250474,-0.1149176,0.9813572,-0.06658962,-0.1023873,-48.9423,-7.39177,10.52295
50.981844902,-5.300054,-0.641609900000002,-0.2375236,0.972447,-0.07695024,-0.1191197,-48.9423,-7.39177,10.52295
50.991704464,-4.244083,-0.4035742,0.0689914200000002,0.9794309,-0.0856391,-0.1168966,-48.9423,-7.39177,10.52295
51.001563072,-3.188113,-0.582100999999999,-0.1149176,0.9835411,-0.08847771,-0.1049992,-49.32005,-6.651159,10.51734
51.01142168,-2.442722,-0.4630831,-0.1149176,0.9808606,-0.0802664,-0.1149549,-49.32005,-6.651159,10.51734
51.021280766,-2.132142,-0.4035742,-0.1149176,0.9763953,-0.07055871,-0.1109757,-49.32005,-6.651159,10.51734
51.031139374,-3.125997,-0.1060295,-0.3601296,0.9784861,-0.07636188,-0.1062625,-49.32005,-6.651159,10.51734
51.040997982,-3.747156,0.1915152,-0.1149176,0.9803196,-0.0758915,-0.1149102,-49.32005,-6.651159,10.51734
51.050857544,-3.68504,0.4295509,-0.1149176,0.9788219,-0.07444839,-0.1158351,-48.94355,-6.65013,10.89949
51.060716152,-3.871388,0.786604499999998,-0.1149176,0.9774182,-0.0754196,-0.1119897,-48.94355,-6.65013,10.89949
51.07057476,-4.803127,0.965131299999997,0.007688423,0.9831457,-0.07003787,-0.1177763,-48.94355,-6.65013,10.89949
51.080433846,-4.554663,1.02464,0.007688423,0.9793667,-0.07198706,-0.1095925,-48.94355,-6.65013,10.89949
51.090292454,-4.927359,0.608077699999999,-0.2988266,0.9745554,-0.07103095,-0.1028071,-48.94355,-6.65013,10.89949
51.100151062,-5.921213,0.965131299999997,-0.1149176,0.9773423,-0.07397658,-0.1162892,-49.31804,-7.019307,10.52111
51.110010147,-6.04544500000002,1.084149,0.007688423,0.9774096,-0.07688677,-0.1139187,-49.31804,-7.019307,10.52111
51.119868755,-5.73486500000002,1.02464,-0.1762206,0.9799634,-0.08269304,-0.1111289,-49.31804,-7.019307,10.52111
51.129728317,-5.36217,1.02464,-0.05361458,0.9769233,-0.07933139,-0.1158492,-49.31804,-7.019307,10.52111
51.142051697,-5.05159,1.441203,0.0689914200000002,0.9861785,-0.07388981,-0.1140184,-49.31804,-7.019307,10.52111
51.151910305,-4.927359,1.381694,0.1302944,0.9856279,-0.07147051,-0.1163862,-48.57179,-7.402323,10.07292
51.16176939,-4.492547,1.679239,0.2529004,0.984194,-0.07098571,-0.1134864,-48.57179,-7.402323,10.07292
51.171627998,-3.747156,1.738747,0.3755064,0.9831688,-0.06759012,-0.1139224,-48.57179,-7.402323,10.07292
51.181486607,-2.380606,1.61973,0.3755064,0.9778921,-0.07688431,-0.1144048,-48.57179,-7.402323,10.07292
51.191345692,-1.076172,1.560221,0.3755064,0.9848219,-0.07826522,-0.1097232,-48.57179,-7.402323,10.07292
51.2012043,-0.2065488,1.560221,0.3142034,0.9798926,-0.07343692,-0.1081746,-48.20083,-7.411985,9.68691
51.211062908,0.4767263,1.560221,0.4981124,0.9838082,-0.07584281,-0.1101675,-48.20083,-7.411985,9.68691
51.22092247,0.725189899999998,1.441203,0.620718400000002,0.9832722,-0.07244291,-0.1106104,-48.20083,-7.411985,9.68691
51.230781078,1.03577,1.441203,0.5594154,0.9784919,-0.07684845,-0.1062667,-48.20083,-7.411985,9.68691
51.240640163,1.346349,1.262676,0.620718400000002,0.9794745,-0.07390923,-0.1033807,-48.20083,-7.411985,9.68691
51.250498772,1.097885,1.262676,0.4368094,0.9745771,-0.07395414,-0.1037904,-48.94552,-7.398007,10.07486
51.26035738,1.03577,1.203167,0.3755064,0.9814453,-0.07730549,-0.1053542,-48.94552,-7.398007,10.07486
51.270216465,1.408465,1.262676,0.4368094,0.9790388,-0.07731587,-0.1024448,-48.94552,-7.398007,10.07486
51.280075073,1.967508,1.262676,0.3142034,0.9808846,-0.07733022,-0.1106176,-48.94552,-7.398007,10.07486
51.289933682,2.340204,1.02464,0.3142034,0.9828821,-0.07583655,-0.1063207,-48.94552,-7.398007,10.07486
51.299793243,2.775015,1.143658,0.4368094,0.9795786,-0.07827358,-0.09958538,-50.0627,-8.121353,10.08819
51.309651852,2.899247,1.203167,0.1302944,0.9775789,-0.07683849,-0.1014616,-50.0627,-8.121353,10.08819
51.321975231,3.023479,1.143658,0.2529004,0.9853283,-0.0753266,-0.105872,-50.0627,-8.121353,10.08819
51.331834316,3.147711,1.441203,0.3755064,0.9809886,-0.08169457,-0.1068223,-50.0627,-8.121353,10.08819
51.341692925,3.830986,0.846113400000001,0.4368094,0.9829594,-0.08069676,-0.1049252,-50.0627,-8.121353,10.08819
51.35155201,3.955218,1.084149,0.4368094,0.9838827,-0.07826269,-0.1068346,-48.93954,-7.386425,10.90703
51.361410618,4.638493,0.965131299999997,0.3142034,0.9790041,-0.07879046,-0.1062904,-48.93954,-7.386425,10.90703
51.371269226,5.13542,1.203167,0.3142034,0.9839702,-0.08067887,-0.1025435,-48.93954,-7.386425,10.90703
51.381128788,5.508115,1.084149,0.3142034,0.9793515,-0.07345607,-0.1120007,-48.93954,-7.386425,10.90703
51.390987396,5.570231,1.143658,0.4981124,0.9784493,-0.07051365,-0.1038166,-48.93954,-7.386425,10.90703
51.400846005,3.582522,0.5485688,0.0689914200000002,0.9795294,-0.0763347,-0.1014851,-48.94552,-7.398007,10.07486
51.41070509,1.160001,0.786604499999998,0.3755064,0.9765025,-0.05978715,-0.09363513,-48.94552,-7.398007,10.07486
51.420563698,0.04191487,0.727095499999998,0.4368094,0.9821549,-0.08212055,-0.09342497,-48.94552,-7.398007,10.07486
51.430422306,-0.02020105,0.4890598,0.4981124,0.9797202,-0.08799772,-0.09775267,-48.94552,-7.398007,10.07486
51.440281391,0.5388422,0.310533,0.3755064,0.9796761,-0.08263979,-0.09626922,-48.94552,-7.398007,10.07486
51.450139999,0.973653600000002,-0.1060295,0.2529004,0.9795504,-0.07535226,-0.09908112,-48.57179,-7.402323,10.07292
51.459998608,0.787305800000002,-0.2845563,0.1302944,0.9840195,-0.07822371,-0.09677306,-48.57179,-7.402323,10.07292
51.46985817,0.1661467,-0.2845563,0.1302944,0.9776346,-0.07438146,-0.09521203,-48.57179,-7.402323,10.07292
51.479716778,0.4767263,-0.5225921,0.3142034,0.9810039,-0.07583149,-0.1005435,-48.57179,-7.402323,10.07292
51.492040634,0.911537699999999,-0.582100999999999,0.007688423,0.9829746,-0.07922775,-0.102517,-48.57179,-7.402323,10.07292
51.501899243,1.160001,-0.701118900000002,0.0689914200000002,0.981925,-0.07046866,-0.1000322,-49.69775,-7.026573,9.690866
51.511757851,1.719045,-0.820136700000001,0.0689914200000002,0.9810458,-0.08265473,-0.1034769,-49.69775,-7.026573,9.690866
51.521616936,1.656929,-0.939154599999998,0.007688423,0.9766664,-0.08073415,-0.1000438,-49.69775,-7.026573,9.690866
51.531475544,1.843277,-1.117681,0.007688423,0.9809273,-0.0748769,-0.1053263,-49.69775,-7.026573,9.690866
51.541334152,2.340204,-1.117681,0.0689914200000002,0.9789823,-0.0846554,-0.1130483,-49.69775,-7.026573,9.690866
51.551193714,2.899247,-1.058172,0.1915974,0.9779513,-0.08516729,-0.1173507,-49.32201,-7.399036,9.692704
51.561052322,3.147711,-0.998663500000001,0.0689914200000002,0.9833958,-0.08119575,-0.1092484,-49.32201,-7.399036,9.692704
51.570910931,3.830986,-0.701118900000002,0.1915974,0.9852191,-0.07438129,-0.1130505,-49.32201,-7.399036,9.692704
51.580770016,4.327913,-0.701118900000002,0.1302944,0.9819328,-0.08267212,-0.1101984,-49.32201,-7.399036,9.692704
51.590628624,4.762724,-0.4630831,0.2529004,0.9799322,-0.08172546,-0.1125579,-49.32201,-7.399036,9.692704
51.600487709,5.383883,-0.3440652,0.3755064,0.9838616,-0.0836392,-0.1131093,-49.32327,-6.657395,10.06925
51.610346317,6.129274,0.07249729,0.3755064,0.9852479,-0.08120824,-0.1169421,-49.32327,-6.657395,10.06925
51.620204925,6.129274,0.1915152,0.5594154,0.9823959,-0.07828118,-0.1082512,-49.32327,-6.657395,10.06925
51.630064487,5.94292600000003,0.4295509,0.3755064,0.9844102,-0.07873569,-0.1044501,-49.32327,-6.657395,10.06925
51.639923096,5.81869499999997,0.727095499999998,0.5594154,0.9828438,-0.07535926,-0.1087121,-49.32327,-6.657395,10.06925
51.649781704,6.129274,0.608077699999999,0.682021400000003,0.9810061,-0.07876024,-0.1029642,-49.69298,-7.389375,10.07872
51.66210556,5.632347,0.4295509,0.804627399999999,0.9784464,-0.07246739,-0.1057498,-49.69298,-7.389375,10.07872
51.671964168,5.197536,0.608077699999999,0.743324399999998,0.985782,-0.07289127,-0.1063372,-49.69298,-7.389375,10.07872
51.681823254,4.82484,0.727095499999998,0.804627399999999,0.9809727,-0.07925797,-0.1058432,-49.69298,-7.389375,10.07872
51.691681862,4.452145,0.667586600000001,0.8659304,0.982003,-0.0792345,-0.102024,-49.69298,-7.389375,10.07872
51.70154047,4.079449,0.5485688,0.927233400000001,0.9868765,-0.07773172,-0.1020808,-48.20208,-6.670344,10.06345
51.711400032,3.644638,0.727095499999998,1.111142,0.9820023,-0.07972294,-0.1025073,-48.20208,-6.670344,10.06345
51.72125864,3.45829,0.4890598,1.049839,0.9816267,-0.082136,-0.09629277,-48.20208,-6.670344,10.06345
51.731117248,3.085595,0.5485688,0.927233400000001,0.9805112,-0.07827797,-0.1029531,-48.20208,-6.670344,10.06345
51.740976334,3.023479,0.4890598,0.927233400000001,0.9790461,-0.07243152,-0.0976117,-48.20208,-6.670344,10.06345
51.750834942,2.464436,0.2510241,1.049839,0.9825688,-0.08018479,-0.09724813,-49.32327,-6.657395,10.06925
51.76069355,2.153856,0.310533,1.049839,0.9800553,-0.07778455,-0.1000672,-49.32327,-6.657395,10.06925
51.770553112,1.656929,0.310533,1.049839,0.9791465,-0.07923805,-0.09623297,-49.32327,-6.657395,10.06925
51.780411243,1.346349,0.1320062,0.988536299999999,0.9796602,-0.08459724,-0.09916071,-49.32327,-6.657395,10.06925
51.790269852,1.346349,0.07249729,0.927233400000001,0.9800943,-0.08216748,-0.1010632,-49.32327,-6.657395,10.06925
51.800129414,1.222117,0.2510241,0.804627399999999,0.9780629,-0.07585917,-0.100981,-49.32126,-7.025543,10.07302
51.809988022,0.973653600000002,0.1915152,0.8659304,0.9800748,-0.08217305,-0.1025006,-49.32126,-7.025543,10.07302
51.819847107,0.5388422,0.310533,1.049839,0.9781366,-0.0787675,-0.0981314,-49.32126,-7.025543,10.07302
51.829705715,0.4146104,0.370042,0.988536299999999,0.9801247,-0.0836235,-0.1001175,-49.32126,-7.025543,10.07302
51.842029095,0.2903785,0.310533,0.988536299999999,0.9776764,-0.0812047,-0.09814541,-49.32126,-7.025543,10.07302
51.85188818,0.4767263,0.1320062,0.988536299999999,0.9777487,-0.0850899,-0.09626243,-49.32126,-7.025543,10.07302
51.861746788,0.4146104,0.01298836,0.927233400000001,0.9815002,-0.07973096,-0.1034587,-49.32126,-7.025543,10.07302
51.871605396,0.2282626,0.370042,0.8659304,0.979619,-0.08167963,-0.0996147,-49.32126,-7.025543,10.07302
51.881464958,0.1040308,0.370042,0.988536299999999,0.9810074,-0.08217744,-0.1058683,-49.32126,-7.025543,10.07302
51.891323566,-0.0823169599999999,0.4295509,0.927233400000001,0.9814994,-0.08461345,-0.1078127,-49.32126,-7.025543,10.07302
51.901182651,-0.2065488,0.5485688,1.049839,0.9815421,-0.08216013,-0.1025214,-48.94953,-6.661712,10.06731
51.91104126,-0.0823169599999999,0.4890598,1.049839,0.9796153,-0.0841218,-0.1020313,-48.94953,-6.661712,10.06731
51.920899868,-0.2065488,0.4295509,1.111142,0.9801239,-0.08411192,-0.1006008,-48.94953,-6.661712,10.06731
51.93075943,0.1040308,0.5485688,1.233748,0.9787573,-0.08653732,-0.09533062,-48.94953,-6.661712,10.06731
51.940618038,0.1661467,0.310533,0.988536299999999,0.9816275,-0.08164755,-0.09580946,-48.94953,-6.661712,10.06731
51.950476646,-0.0823169599999999,0.370042,1.049839,0.9836597,-0.09186148,-0.09927902,-48.94753,-7.02986,10.07108
51.960335731,-0.02020105,0.310533,1.172445,0.9796204,-0.08509681,-0.1025188,-48.94753,-7.02986,10.07108
51.97019434,0.1661467,0.2510241,0.988536299999999,0.9855119,-0.08747991,-0.103102,-48.94753,-7.02986,10.07108
51.980052948,0.725189899999998,-0.04652058,1.172445,0.984528,-0.08260789,-0.09921329,-48.94753,-7.02986,10.07108
51.989912033,0.787305800000002,0.01298836,1.233748,0.9826201,-0.08065837,-0.09389846,-48.94753,-7.02986,10.07108
51.999770641,0.787305800000002,0.07249729,1.417657,0.9776525,-0.07974683,-0.09861197,-49.69775,-7.026573,9.690866
52.012094498,0.04191487,-0.2250474,1.356354,0.9782284,-0.08264713,-0.09481105,-49.69775,-7.026573,9.690866
52.021953106,0.2903785,-0.582100999999999,1.356354,0.9826375,-0.08211811,-0.09391103,-49.69775,-7.026573,9.690866
52.031811714,0.663074000000001,-0.760627799999999,1.417657,0.9797751,-0.09042318,-0.09585712,-49.69775,-7.026573,9.690866
52.041671276,1.03577,-0.939154599999998,1.417657,0.9806782,-0.08848312,-0.09968721,-49.69775,-7.026573,9.690866
52.051529884,1.284233,-0.998663500000001,1.295051,0.981181,-0.08798666,-0.09825259,-48.57656,-7.039521,9.68507
52.061388493,1.097885,-1.415226,1.111142,0.9767539,-0.0875444,-0.09962336,-48.57656,-7.039521,9.68507
52.071247578,0.663074000000001,-1.296208,1.417657,0.9811238,-0.09142057,-0.1054687,-48.57656,-7.039521,9.68507
52.081106186,1.408465,-1.415226,1.356354,0.9801933,-0.09434494,-0.1045218,-48.57656,-7.039521,9.68507
52.090964794,1.284233,-1.891297,1.356354,0.9753704,-0.09241567,-0.09772796,-48.57656,-7.039521,9.68507
52.100824356,1.346349,-2.129333,1.417657,0.9709043,-0.08759048,-0.09810278,-49.32327,-6.657395,10.06925
52.110682964,1.905392,-2.248351,1.233748,0.9767336,-0.0880384,-0.101544,-49.32327,-6.657395,10.06925
52.120542049,2.153856,-2.426878,0.988536299999999,0.9826807,-0.09675259,-0.1036191,-49.32327,-6.657395,10.06925
52.130400658,1.843277,-2.069824,1.233748,0.9814942,-0.09242655,-0.1150665,-49.32327,-6.657395,10.06925
52.140259266,0.5388422,-1.474735,0.8659304,0.9750563,-0.1022698,-0.1294338,-49.32327,-6.657395,10.06925
52.150118351,-0.579244300000001,-0.582100999999999,0.804627399999999,0.9884133,-0.1270099,-0.1403754,-49.32925,-6.668978,9.237066
52.159976959,0.725189899999998,0.370042,0.804627399999999,0.979609,-0.1231818,-0.1368632,-49.32925,-6.668978,9.237066
52.169835568,0.2903785,1.143658,0.5594154,0.9743687,-0.0784076,-0.122993,-49.32925,-6.668978,9.237066
52.179695129,-3.747156,2.214819,0.4368094,1.002656,-0.07525148,-0.126724,-49.32925,-6.668978,9.237066
52.192018032,-7.47411100000001,3.107453,0.620718400000002,0.9975221,-0.08450482,-0.1166657,-49.32925,-6.668978,9.237066
52.201877594,-10.02086,4.119105,1.601566,0.9875888,-0.05973457,-0.1057727,-48.95355,-5.925416,10.05977
52.211736202,-11.63588,4.714194,1.908081,0.9743741,-0.05301827,-0.1002565,-48.95355,-5.925416,10.05977
52.221594811,-11.38741,4.476159,2.214596,0.9688694,-0.06614812,-0.08495444,-48.95355,-5.925416,10.05977
52.231453896,-9.399704,2.750399,2.275899,0.9818648,-0.08402103,-0.08049849,-48.95355,-5.925416,10.05977
52.241312504,-7.10141600000002,2.69089,2.582414,0.9773507,-0.08506821,-0.08954778,-48.95355,-5.925416,10.05977
52.251171112,-4.368315,1.857765,2.766323,0.9792586,-0.08701773,-0.09486262,-49.699,-6.284932,10.06741
52.261030674,-2.256374,1.500712,3.195444,0.9974142,-0.08635332,-0.09032378,-49.699,-6.284932,10.06741
52.270889282,-0.579244300000001,1.143658,3.563262,0.9885688,-0.07960757,-0.08726559,-49.699,-6.284932,10.06741
52.280747891,0.3524944,0.667586600000001,4.114989,0.979337,-0.06502516,-0.06975977,-49.699,-6.284932,10.06741
52.290606976,-0.765591999999998,-0.641609900000002,3.685868,0.9820343,-0.07079058,-0.05642928,-49.699,-6.284932,10.06741
52.300465584,-1.014056,-1.236699,3.93108,0.9858997,-0.08492818,-0.07241727,-48.94953,-6.661712,10.06731
52.310324669,0.2282626,-1.712771,3.747171,0.9743745,-0.1167055,-0.08450116,-48.94953,-6.661712,10.06731
52.320183277,1.408465,-1.831789,3.747171,0.9659166,-0.1212136,-0.09879465,-48.94953,-6.661712,10.06731
52.330041885,3.334059,-2.605405,3.624565,0.9753789,-0.1041307,-0.1074109,-48.94953,-6.661712,10.06731
52.339901447,1.843277,-1.891297,3.992383,0.9955942,-0.0742612,-0.1055302,-48.94953,-6.661712,10.06731
52.349760056,-1.014056,-0.820136700000001,4.789322,1.002795,-0.06056501,-0.1036004,-49.32803,-6.294594,9.681393
52.362082958,-3.063881,-0.2845563,5.15714,0.9990574,-0.07812554,-0.1060914,-49.32803,-6.294594,9.681393
52.37194252,-1.945794,-0.2250474,5.341049,0.9906029,-0.1059324,-0.1047679,-49.32803,-6.294594,9.681393
52.381801128,0.849421699999999,-1.117681,5.402352,0.9731533,-0.1138541,-0.09979407,-49.32803,-6.294594,9.681393
52.391660214,3.76887,-1.891297,5.463655,0.9771502,-0.09670769,-0.07862157,-49.32803,-6.294594,9.681393
52.401518822,3.644638,-2.188842,5.341049,0.9846026,-0.07623967,-0.08813903,-50.07273,-6.280615,10.06934
52.41137743,1.222117,-2.30786,5.524958,1.009801,-0.08815303,-0.08045234,-50.07273,-6.280615,10.06934
52.421236992,-0.641360199999998,-2.724423,5.95407899999997,1.006465,-0.1158519,-0.06242897,-50.07273,-6.280615,10.06934
52.4310956,-1.821563,-3.855092,5.586261,0.9847326,-0.1315901,-0.05554325,-50.07273,-6.280615,10.06934
52.440954208,-3.312345,-5.461833,5.034534,0.9918243,-0.1378071,-0.04323761,-50.07273,-6.280615,10.06934
52.450813294,-5.85909699999999,-7.30661099999998,4.666717,0.9911118,-0.1255343,-0.01293431,-49.699,-6.284932,10.06741
52.460671902,-12.56762,-10.40108,3.31805,0.9764638,-0.1178447,-0.004035058,-49.699,-6.284932,10.06741
