Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
132.74,-0.0622182099999999,0.3377354,0.1272307,0.9837598,0.09727622,-0.1408122,-34.9996,-33.43917,24.22613
132.75,0.3725932,0.2187175,-0.05667828,0.9847791,0.09436722,-0.1403721,-34.62466,-33.0691,24.66852
132.76,0.4347091,0.3972443,-0.05667828,0.9836845,0.09481362,-0.1484991,-34.62466,-33.0691,24.66852
132.77,0.2483614,0.3377354,-0.05667828,0.9813396,0.09237963,-0.143215,-34.62466,-33.0691,24.66852
132.78,0.1862455,0.3377354,-0.05667828,0.9848037,0.09779184,-0.1355515,-34.62466,-33.0691,24.66852
132.79,0.0620136200000002,0.04019073,-0.1179813,0.9828604,0.09338427,-0.1384362,-34.62466,-33.0691,24.66852
132.8,0.1241295,0.09969966,-0.05667828,0.985196,0.1026508,-0.1383913,-35.00039,-32.69664,24.66668
132.81,0.1862455,0.04019073,0.004624718,0.9891701,0.09586754,-0.1399428,-35.00039,-32.69664,24.66668
132.82,0.1241295,0.04019073,-0.1792843,0.9896939,0.09734644,-0.1361042,-35.00039,-32.69664,24.66668
132.83,0.1241295,-0.0193182,-0.1179813,0.984816,0.09291305,-0.1389473,-35.00039,-32.69664,24.66668
132.84,-0.0001022927,0.04019073,-0.05667828,0.9862573,0.09291855,-0.1408846,-35.00039,-32.69664,24.66668
132.85,-0.0001022927,-0.0788271399999998,-0.1179813,0.9833256,0.09484644,-0.1389097,-35.37211,-33.06047,24.67238
132.86,0.1862455,0.1592086,-0.1179813,0.9824082,0.0919258,-0.1370045,-35.37211,-33.06047,24.67238
132.87,-0.0001022927,0.04019073,-0.1179813,0.9823294,0.1002032,-0.1354959,-35.37211,-33.06047,24.67238
132.88,0.0620136200000002,-0.0193182,-0.05667828,0.9832916,0.09386029,-0.1422719,-35.37211,-33.06047,24.67238
132.89,-0.0001022927,0.09969966,0.004624718,0.9857631,0.09388924,-0.1403901,-35.37211,-33.06047,24.67238
132.9,0.1241295,0.1592086,0.1885337,0.982307,0.09824388,-0.1388665,-34.62988,-32.70719,24.21665
132.91,0.0620136200000002,0.2187175,0.06592771,0.9883372,0.08857697,-0.1356797,-34.62988,-32.70719,24.21665
132.92,0.1862455,0.09969966,0.06592771,0.9853449,0.09341693,-0.1355962,-34.62988,-32.70719,24.21665
132.93,0.1862455,-0.0193182,0.06592771,0.9828257,0.09630375,-0.1384111,-34.62988,-32.70719,24.21665
132.94,0.0620136200000002,-0.0193182,0.06592771,0.9828771,0.09583016,-0.1350614,-34.62988,-32.70719,24.21665
132.95,0.2483614,0.04019073,0.004624718,0.9868317,0.09343541,-0.1341796,-34.25013,-33.81595,24.22603
132.96,0.1862455,0.04019073,-0.05667828,0.9823394,0.09385911,-0.1403416,-34.25013,-33.81595,24.22603
132.97,0.496825,0.09969966,-0.1179813,0.9829631,0.0924371,-0.1317369,-34.25013,-33.81595,24.22603
132.98,0.0620136200000002,-0.0193182,-0.05667828,0.9804127,0.09189744,-0.1398515,-34.25013,-33.81595,24.22603
132.99,0.1862455,0.04019073,-0.1179813,0.9853254,0.09341136,-0.1370335,-34.25013,-33.81595,24.22603
