Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
27.681895733,-3.036318,-1.388402,-2.309208,0.9731752,0.01787997,-0.2386853,-37.48153,-19.83944,19.43115
27.691782474,-3.844504,-0.917662500000002,-2.309208,0.9741648,0.01626619,-0.2487754,-37.48153,-19.83944,19.43115
27.701668739,-4.839194,-0.85882,-2.431391,0.9697586,0.008054261,-0.2448915,-37.48153,-19.83944,19.43115
27.711555481,-5.212203,-0.3292377,-2.492483,0.964893,0.004655226,-0.2448798,-38.16416,-19.4596,18.95615
27.721442223,-5.025699,0.3768721,-2.248117,0.9571872,0.008271288,-0.2646247,-38.16416,-19.4596,18.95615
27.733799934,-4.093176,-0.3880802,-2.064843,0.9624938,0.009958902,-0.2487568,-38.16416,-19.4596,18.95615
27.743686676,-3.657999,0.0826596800000002,-1.392838,0.9653907,0.007561564,-0.2458558,-38.16416,-19.4596,18.95615
27.753573418,-2.663309,1.082982,-0.843015,0.9629549,0.007623893,-0.2420115,-37.46845,-20.61107,18.59868
27.763460159,-1.855123,1.671407,-0.720832200000002,0.961984,0.009616748,-0.2391372,-37.46845,-20.61107,18.59868
27.773345947,-1.295609,2.554044,-0.843015,0.9634386,0.005145049,-0.2448839,-37.46845,-20.61107,18.59868
27.783232689,-0.487423,2.907099,-1.087381,0.958094,-0.00376766,-0.2554253,-37.46845,-20.61107,18.59868
27.793118954,1.066781,2.848256,-1.026289,0.9512814,-0.01110878,-0.2587624,-37.46845,-20.61107,18.59868
27.803005695,2.310144,2.377517,-0.598649399999998,0.9502391,-0.0340437,-0.2620141,-37.46845,-20.61107,18.59868
27.812892437,3.491339,2.495202,0.3177214,0.9589198,-0.04017553,-0.2475456,-37.46845,-20.61107,18.59868
27.822779179,5.79156200000001,3.318996,0.5009956,0.9540533,-0.03809589,-0.239386,-37.46845,-20.61107,18.59868
27.832665443,9.70815600000002,3.730894,0.562087,0.9521864,-0.0226392,-0.2481228,-37.46845,-20.61107,18.59868
27.842552185,13.31391,3.436681,1.478458,0.9629607,0.004601529,-0.2487292,-37.46845,-20.61107,18.59868
27.85243845,14.74378,3.613209,1.845006,0.9704078,0.04682926,-0.2571097,-37.09217,-20.99466,18.61256
27.862324715,14.24643,2.436359,1.722824,0.9656965,0.07579676,-0.2745746,-37.09217,-20.99466,18.61256
27.872211456,11.26236,0.729926999999997,1.661732,0.9691299,0.09646475,-0.2597666,-37.09217,-20.99466,18.61256
27.882098198,6.22673899999999,-0.2703952,1.722824,0.9661988,0.09907784,-0.248241,-37.09217,-20.99466,18.61256
27.89198494,1.066781,-0.3880802,2.578103,0.9821181,0.08722491,-0.2245979,-37.09217,-20.99466,18.61256
27.901871204,-2.911981,1.730249,3.372291,1.001448,0.06831787,-0.2163047,-37.47444,-20.22585,18.98249
27.911757946,-6.33123000000002,4.437004,3.433383,0.9921528,0.05237473,-0.2090209,-37.47444,-20.22585,18.98249
27.921644688,-8.00976999999999,4.672373,2.700286,1.001875,0.04429831,-0.2267631,-37.47444,-20.22585,18.98249
27.931531429,-9.12879799999998,3.260154,1.234092,0.9979491,0.04159286,-0.2128072,-37.47444,-20.22585,18.98249
27.941417217,-9.62614300000003,2.671729,-0.04882693,0.9833806,0.03818423,-0.2147302,-37.47444,-20.22585,18.98249
