Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,6.84842,2.671729,-0.843015,1.011275,0.02888723,0.07919125,-35.66082,-30.79004,14.88899
0.017295361,9.086474,3.966264,-0.9041064,0.9913644,0.03744917,0.09547666,-35.66082,-30.79004,14.88899
0.022237301,8.589128,4.260476,-0.9651978,0.9841249,0.04964441,0.09588772,-35.66082,-30.79004,14.88899
0.032120228,7.780943,5.378483,-1.148472,0.9725118,0.06138292,0.09773888,-35.66082,-30.79004,14.88899
0.042003632,6.475411,5.849223,-1.331746,0.9813073,0.07691919,0.09574669,-35.66082,-30.79004,14.88899
0.051887035,4.610366,6.555333,-0.4764667,0.992879,0.05897263,0.1021025,-34.90622,-30.42303,14.90084
0.061769485,3.304835,7.614497,1.11191,1.005374,0.02440323,0.1042151,-34.90622,-30.42303,14.90084
0.074124336,3.926517,9.262087,4.533028,1.001323,-0.01583308,0.1159559,-34.90622,-30.42303,14.90084
0.084006786,5.480721,10.96852,6.915592,1.004639,-0.03771644,0.1184749,-34.90622,-30.42303,14.90084
0.09389019,8.029615,12.02768,8.198511,0.9947839,-0.06313867,0.1431191,-35.27583,-30.0466,14.49784
0.103773594,9.708156,13.20453,8.809425,0.9929754,-0.02018283,0.1496329,-35.27583,-30.0466,14.49784
0.113656521,11.63537,15.14634,8.13742,0.9833019,2.411474e-05,0.1644283,-35.27583,-30.0466,14.49784
0.123539925,13.18957,16.26434,6.182496,0.966892,0.03181614,0.1714628,-35.27583,-30.0466,14.49784
0.133423328,13.18957,16.38203,4.044297,0.9694562,0.06229482,0.1583268,-35.27583,-30.0466,14.49784
0.143306732,13.06524,15.02865,1.600641,0.9889402,0.07874073,0.1534567,-35.28249,-30.03944,14.88696
0.153189659,13.00307,12.3219,-0.2321011,1.005465,0.07707469,0.1419418,-35.28249,-30.03944,14.88696
0.163073063,12.81656,10.55662,-0.3542839,1.00302,0.06973214,0.1390906,-35.28249,-30.03944,14.88696
0.172956467,12.07055,10.43894,0.25663,0.9908709,0.05889945,0.1295131,-35.28249,-30.03944,14.88696
0.182838917,11.26236,9.673985,0.867544,0.9710115,0.0576844,0.1107407,-35.28249,-30.03944,14.88696
0.192722321,10.2055,9.379772,1.173001,0.9738927,0.04941493,0.1117476,-35.27321,-28.59738,14.47751
0.202605724,9.086474,9.909354,1.295184,0.9869905,0.05092899,0.117045,-35.27321,-28.59738,14.47751
0.212489128,6.786252,10.73315,1.906098,1.000082,0.05497126,0.1285816,-35.27321,-28.59738,14.47751
0.222372055,3.491339,12.14537,2.45592,1.005927,0.0677642,0.138142,-35.27321,-28.59738,14.47751
0.232255459,-0.05224587,13.55759,2.700286,1.014642,0.06390889,0.1420188,-35.27321,-28.59738,14.47751
0.242138863,-2.787645,14.6756,2.272646,1.012747,0.0710803,0.1328429,-35.27569,-29.3523,14.55297
0.252022266,-4.963531,15.20518,1.783915,0.9976903,0.06818835,0.1328404,-35.27569,-29.3523,14.55297
0.261905193,-6.020389,14.6756,0.7453612,0.9579252,0.07351553,0.1255544,-35.27569,-29.3523,14.55297
0.271788597,-5.958221,13.32222,-0.3542839,0.9186227,0.07699467,0.1250112,-35.27569,-29.3523,14.55297
0.281671047,-5.958221,11.20389,-2.003752,0.8914331,0.08058645,0.1336187,-35.27569,-29.3523,14.55297
0.294025898,-7.263752,7.614497,-3.469945,0.9078993,0.08277491,0.1519014,-36.01627,-29.35557,13.75758
0.303909302,-9.253134,5.555011,-4.325224,0.9311578,0.07601231,0.1586949,-36.01627,-29.35557,13.75758
0.313791752,-10.4965,3.789736,-4.691772,0.977181,0.05308502,0.1622296,-36.01627,-29.35557,13.75758
0.323675156,-10.74517,2.789414,-4.080859,0.9979475,0.02932003,0.1715108,-36.01627,-29.35557,13.75758
0.333558559,-10.37216,3.024784,-2.859031,1.006134,0.008815994,0.1692191,-36.01627,-29.35557,13.75758
0.343441486,-9.439638,3.672051,-1.820477,0.9973648,-0.0188313,0.1428982,-36.00293,-29.36989,12.97934
0.35332489,-6.766407,3.201311,-0.843015,0.9803565,-0.04703555,0.1107996,-36.00293,-29.36989,12.97934
0.363208294,-3.409327,2.848256,0.1955387,0.9720792,-0.05979493,0.10316,-36.00293,-29.36989,12.97934
0.373091698,-1.233441,2.259832,0.1344473,0.9720873,-0.04541456,0.1204005,-36.00293,-29.36989,12.97934
