Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
52.61,-0.2065556,-0.5324962,-0.0951975900000001,0.9896675,0.03143305,-0.120851,-37.39612,-25.42536,18.16698
52.62,-0.3932334,-0.1790571,-0.0951975900000001,0.9858513,0.02459722,-0.1242534,-37.39612,-25.42536,18.16698
52.63,-0.3310075,-0.1201506,-0.1562568,0.979081,0.02161433,-0.1271726,-37.39612,-25.42536,18.16698
52.64,-0.1443296,-0.1201506,-0.1562568,0.9863876,0.02021512,-0.1276393,-37.75567,-25.78551,18.16934
52.65,0.1045742,-0.0612440899999998,0.0879799099999998,0.9868723,0.0202233,-0.1271555,-37.75567,-25.78551,18.16934
52.66,0.415704,-0.0612440899999998,-0.1562568,0.9892298,0.02845566,-0.1285793,-37.75567,-25.78551,18.16934
52.67,0.4779299,-0.1790571,-0.1562568,0.9892365,0.02843376,-0.1309921,-37.75567,-25.78551,18.16934
52.68,0.353478,-0.2968701,-0.1562568,0.9877846,0.02746331,-0.1300329,-37.39973,-25.41918,18.54609
52.69,0.353478,-0.002337579,-0.03413842,0.9887637,0.02604106,-0.1276206,-37.39973,-25.41918,18.54609
52.7,-0.01987772,-0.2379636,-0.0951975900000001,0.9901716,0.03184627,-0.1290522,-37.39973,-25.41918,18.54609
52.71,0.04234824,-0.1201506,-0.2173159,0.9891792,0.03331233,-0.1266388,-37.39973,-25.41918,18.54609
52.72,0.04234824,-0.002337579,-0.2173159,0.9853154,0.02991649,-0.1242434,-37.39973,-25.41918,18.54609
52.73,0.04234824,-0.002337579,-0.0951975900000001,0.9862962,0.02942701,-0.1256895,-37.77699,-25.04707,18.97906
52.74,0.04234824,0.2332885,-0.4004934,0.9853489,0.02839902,-0.1314848,-37.77699,-25.04707,18.97906
52.75,0.2290261,0.1154754,-0.1562568,0.9863588,0.02453091,-0.131973,-37.77699,-25.04707,18.97906
52.76,0.415704,-0.0612440899999998,-0.1562568,0.984913,0.02166424,-0.1266749,-37.77699,-25.04707,18.97906
