Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
169.213621616,0.9684806,-0.2963263,-0.3434805,0.9663813,-0.1774627,-0.1358366,-31.48043,22.19395,-5.352766
169.223753929,0.844028700000002,-0.1196068,-0.4045396,0.965358,-0.1721428,-0.1353453,-31.48043,22.19395,-5.352766
169.233886242,0.844028700000002,-0.3552328,-0.0992438299999998,0.9683111,-0.1773993,-0.1305235,-31.48043,22.19395,-5.352766
169.244018555,0.595124799999997,-0.2963263,-0.03818467,0.9712315,-0.1783268,-0.1285878,-31.48043,22.19395,-5.352766
169.254150391,0.3462211,-0.3552328,0.0839336599999998,0.9673315,-0.1778513,-0.1261841,-31.84358,21.83998,-4.971309
169.26428318,-0.02713462,-0.4141394,-0.03818467,0.9698217,-0.1836569,-0.1281203,-31.84358,21.83998,-4.971309
169.271882057,-0.3382644,-0.1785133,0.0839336599999998,0.9678962,-0.1851413,-0.1300586,-31.84358,21.83998,-4.971309
169.28201437,-0.2760384,-0.4730459,0.2671112,0.97032,-0.1827554,-0.1358379,-31.84358,21.83998,-4.971309
169.292146206,-0.2138125,-0.3552328,0.206052,0.9673632,-0.1788937,-0.1343895,-31.84358,21.83998,-4.971309
169.302278996,-0.3382644,-0.4141394,0.0839336599999998,0.9712608,-0.1807683,-0.1310057,-31.84358,21.83998,-4.971309
169.312410832,-0.649394200000002,-0.2963263,0.1449928,0.9721859,-0.1754464,-0.131957,-31.11773,22.19775,-4.970182
169.322542667,-0.587168299999999,-0.0607002599999998,-0.03818467,0.9712477,-0.1797873,-0.129556,-31.11773,22.19775,-4.970182
169.332675457,-0.711620200000003,0.05711276,-0.160303,0.9703043,-0.1817656,-0.133423,-31.11773,22.19775,-4.970182
169.342807293,-0.587168299999999,0.2927388,-0.03818467,0.9659222,-0.1813071,-0.1324683,-31.11773,22.19775,-4.970182
169.352939606,-0.4004903,0.1749258,0.206052,0.9688891,-0.1847331,-0.1392237,-31.12448,22.56027,-4.976017
169.363071919,-0.1515865,0.4105518,-0.160303,0.9694183,-0.1900304,-0.1368209,-31.12448,22.56027,-4.976017
169.373204231,0.1595432,0.4105518,-0.03818467,0.9679318,-0.1861968,-0.1397118,-31.12448,22.56027,-4.976017
169.383336544,0.03509133,0.2927388,0.0228745,0.9660119,-0.1891067,-0.1387579,-31.12448,22.56027,-4.976017
169.393468857,-0.2138125,0.05711276,-0.03818467,0.968321,-0.1779007,-0.1324547,-31.12448,22.56027,-4.976017
169.403600693,-1.02275,0.2927388,-0.160303,0.9693081,-0.1793493,-0.1329379,-31.47367,21.83142,-5.346931
169.413733482,-1.893913,0.587271500000001,-0.03818467,0.9659067,-0.1793802,-0.1334292,-31.47367,21.83142,-5.346931
169.423865318,-1.582783,0.528365,0.0228745,0.9664548,-0.1838017,-0.1411581,-31.47367,21.83142,-5.346931
169.433997154,-1.084976,0.1749258,-0.160303,0.9673749,-0.1775252,-0.143555,-31.47367,21.83142,-5.346931
169.444129944,-0.1515865,0.4105518,-0.0992438299999998,0.9697555,-0.1721832,-0.1435374,-31.47367,21.83142,-5.346931
169.45426178,0.0973172899999998,0.1749258,-0.0992438299999998,0.9678607,-0.1784585,-0.1401779,-31.48043,22.19395,-5.352766
169.461861134,-0.4004903,0.4105518,-0.0992438299999998,0.963986,-0.1804114,-0.1387445,-31.48043,22.19395,-5.352766
169.47199297,-0.2760384,0.2338323,0.0839336599999998,0.9678906,-0.1813708,-0.1411492,-31.48043,22.19395,-5.352766
169.482125759,-0.3382644,0.2927388,-0.160303,0.9654534,-0.1813678,-0.1387427,-31.48043,22.19395,-5.352766
169.492257595,-0.02713462,0.1749258,0.1449928,0.9630535,-0.1861778,-0.1334512,-31.48043,22.19395,-5.352766
169.502389908,0.03509133,-0.00179375,0.3892295,0.9610701,-0.1799678,-0.1406812,-31.48403,22.20013,-4.973663
169.512522221,0.1595432,-0.1196068,0.3281703,0.9639964,-0.1813836,-0.1392291,-31.48403,22.20013,-4.973663
169.522654534,0.2839952,-0.2374198,0.206052,0.9708083,-0.1822896,-0.1382483,-31.48403,22.20013,-4.973663
169.532786369,0.0973172899999998,-0.1196068,0.206052,0.9664212,-0.1799392,-0.142115,-31.48403,22.20013,-4.973663
169.542919159,-0.08936057,-0.1196068,0.206052,0.9702984,-0.1789322,-0.1411377,-31.48403,22.20013,-4.973663
169.553050995,-0.1515865,-0.0607002599999998,0.2671112,0.9702771,-0.1788621,-0.1334169,-31.47728,21.83761,-4.967829
169.563182831,-0.587168299999999,-0.0607002599999998,0.2671112,0.9678572,-0.1789162,-0.1372836,-31.47728,21.83761,-4.967829
169.573315621,-0.711620200000003,0.2338323,0.4502887,0.9712622,-0.1807727,-0.1314882,-31.47728,21.83761,-4.967829
169.583447456,-0.898297999999999,0.1160193,0.2671112,0.9712632,-0.1793691,-0.1367932,-31.47728,21.83761,-4.967829
169.593579292,-0.960523999999999,-0.00179375,0.206052,0.9644607,-0.180839,-0.1329536,-31.47728,21.83761,-4.967829
169.603712082,-0.836072100000001,0.05711276,0.633466100000003,0.9654773,-0.1837918,-0.1392304,-31.12448,22.56027,-4.976017
169.613843918,-1.147202,0.05711276,0.2671112,0.9703024,-0.1812905,-0.1343871,-31.12448,22.56027,-4.976017
169.623976231,-1.084976,0.2338323,0.5113478,0.9747357,-0.1870764,-0.1358358,-31.12448,22.56027,-4.976017
169.634108543,-1.084976,0.4105518,0.3281703,0.9698294,-0.1822752,-0.1358381,-31.12448,22.56027,-4.976017
169.644240856,-0.898297999999999,0.3516453,0.2671112,0.9640421,-0.1866935,-0.1377927,-31.12448,22.56027,-4.976017
169.654373169,-0.649394200000002,0.1749258,0.2671112,0.9640248,-0.1842915,-0.1397178,-31.11773,22.19775,-4.970182
169.661972046,-0.773846100000001,0.2338323,0.206052,0.965982,-0.1861944,-0.1377866,-31.11773,22.19775,-4.970182
169.672104835,-0.587168299999999,0.2927388,0.0228745,0.9689006,-0.1866468,-0.136815,-31.11773,22.19775,-4.970182
169.682236671,-0.587168299999999,0.05711276,0.2671112,0.973789,-0.1885752,-0.1401844,-31.11773,22.19775,-4.970182
169.692368507,-0.3382644,0.4105518,0.206052,0.9670029,-0.1905684,-0.1406887,-31.11773,22.19775,-4.970182
169.702501297,-0.3382644,0.4105518,0.206052,0.963051,-0.1852318,-0.1358619,-31.49079,22.56265,-4.979497
169.712633133,-0.2138125,0.4105518,0.0228745,0.9587203,-0.1891636,-0.1387769,-31.49079,22.56265,-4.979497
169.722764969,-0.4627163,0.1160193,-0.03818467,0.9689056,-0.1876015,-0.1353694,-31.49079,22.56265,-4.979497
169.732897758,-0.2138125,-0.1785133,0.0228745,0.9689368,-0.1905181,-0.1368232,-31.49079,22.56265,-4.979497
169.743029594,-0.4627163,-0.00179375,-0.03818467,0.9659249,-0.1813159,-0.1334334,-31.49079,22.56265,-4.979497
169.753162384,-0.4004903,-0.0607002599999998,0.206052,0.9669228,-0.1842074,-0.1329545,-31.48043,22.19395,-5.352766
169.76329422,-0.4004903,0.2338323,0.3892295,0.970799,-0.1822589,-0.1348705,-31.48043,22.19395,-5.352766
169.773426533,-0.2138125,0.2927388,0.3892295,0.9717636,-0.1803507,-0.1387243,-31.48043,22.19395,-5.352766
169.783558845,-0.2760384,0.05711276,0.1449928,0.9717807,-0.1836899,-0.1334234,-31.48043,22.19395,-5.352766
169.793691158,-0.2760384,0.2338323,0.0839336599999998,0.9693334,-0.1794325,-0.1421064,-31.48043,22.19395,-5.352766
169.803822994,-0.2138125,0.1749258,0.206052,0.9668762,-0.1793639,-0.1324616,-31.49079,22.56265,-4.979497
169.813955784,-0.2760384,0.4694584,0.206052,0.9644356,-0.1774735,-0.1353591,-31.49079,22.56265,-4.979497
169.82408762,-0.2138125,0.2927388,0.206052,0.9625111,-0.1798994,-0.1344042,-31.49079,22.56265,-4.979497
169.834219456,-0.2138125,0.4105518,0.0839336599999998,0.9678903,-0.1823079,-0.1377733,-31.49079,22.56265,-4.979497
169.841818809,-0.02713462,0.2927388,0.1449928,0.9654446,-0.181808,-0.1339182,-31.49079,22.56265,-4.979497
169.851951599,0.0973172899999998,0.528365,0.0228745,0.967392,-0.1808644,-0.1382541,-31.48718,22.55647,-5.3586
169.862083435,0.4084471,0.4694584,-0.03818467,0.9659682,-0.1856799,-0.1344077,-31.48718,22.55647,-5.3586
169.872215271,0.4084471,0.3516453,0.0228745,0.9659628,-0.1833172,-0.1406758,-31.48718,22.55647,-5.3586
169.882348061,0.595124799999997,0.2338323,0.0839336599999998,0.9659688,-0.1861506,-0.1329611,-31.48718,22.55647,-5.3586
169.892479897,0.657350799999998,0.3516453,0.3892295,0.9678674,-0.1808255,-0.1343924,-31.48718,22.55647,-5.3586
169.902612209,0.595124799999997,0.4105518,0.0839336599999998,0.9683095,-0.175987,-0.1348634,-31.11773,22.19775,-4.970182
169.912744522,0.3462211,0.05711276,0.1449928,0.9664232,-0.1827594,-0.1329526,-31.11773,22.19775,-4.970182
169.922876835,0.2217692,0.1749258,0.0839336599999998,0.9673749,-0.1798703,-0.1353567,-31.11773,22.19775,-4.970182
169.933008671,0.3462211,0.1160193,0.206052,0.9683322,-0.1784066,-0.1348685,-31.11773,22.19775,-4.970182
169.94314146,0.1595432,0.2338323,0.1449928,0.9644374,-0.1779486,-0.134395,-31.11773,22.19775,-4.970182
169.953273296,0.2217692,0.2338323,0.0839336599999998,0.9639754,-0.1803764,-0.134884,-31.11773,22.19775,-4.970182
169.963405132,0.2217692,0.05711276,0.0228745,0.967343,-0.17742,-0.1319737,-31.11773,22.19775,-4.970182
169.973537922,0.0973172899999998,-0.0607002599999998,0.206052,0.9688473,-0.1817814,-0.1339094,-31.11773,22.19775,-4.970182
169.983669758,0.1595432,0.1160193,0.206052,0.9688718,-0.1846761,-0.1329504,-31.11773,22.19775,-4.970182
169.993802547,0.1595432,0.05711276,0.206052,0.9606158,-0.1857041,-0.1324914,-31.48043,22.19395,-5.352766
170.003934383,0.03509133,-0.00179375,0.1449928,0.9674037,-0.184186,-0.131023,-31.48043,22.19395,-5.352766
170.014066696,0.0973172899999998,-0.1196068,0.5724069,0.9683583,-0.1827136,-0.1295697,-31.48043,22.19395,-5.352766
170.024199009,-0.08936057,-0.4141394,0.2671112,0.9678532,-0.178903,-0.1358359,-31.48043,22.19395,-5.352766
