Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
136.137849808,-0.268039,0.1735783,0.354575,0.9733827,-0.1506546,-0.1208019,-32.62421,-23.83556,13.82532
136.147981644,-0.2058131,0.1146718,0.2324566,0.9694909,-0.1516134,-0.1164711,-32.26151,-23.83176,14.2079
136.158114433,-0.1435871,-0.1798608,0.1713975,0.9684927,-0.149659,-0.1135742,-32.26151,-23.83176,14.2079
136.168246269,-0.2058131,-0.3565803,0.2935158,0.9757813,-0.1481854,-0.1174126,-32.26151,-23.83176,14.2079
136.178379059,-0.579168799999998,-0.4154868,0.1713975,0.9787248,-0.1496582,-0.1222337,-32.26151,-23.83176,14.2079
136.188510895,-0.330265,-0.4743934,0.2324566,0.971431,-0.1501771,-0.1198408,-32.26151,-23.83176,14.2079
136.198643684,-0.579168799999998,-0.1798608,0.2324566,0.9694632,-0.1482391,-0.1179116,-31.53311,-23.82929,14.65715
136.20877552,-0.4547169,-0.2387673,0.2324566,0.9723436,-0.1443451,-0.1178958,-31.53311,-23.82929,14.65715
136.21890831,-0.4547169,-0.2976738,0.354575,0.9694846,-0.1506543,-0.1174341,-31.53311,-23.82929,14.65715
136.229040146,-0.579168799999998,-0.2976738,0.2324566,0.9713773,-0.147186,-0.1101836,-31.53311,-23.82929,14.65715
136.239172936,-0.5169428,-0.3565803,0.354575,0.9733411,-0.1467658,-0.1188635,-31.53311,-23.82929,14.65715
136.249305248,-0.5169428,-0.651112900000001,0.1103383,0.9718357,-0.1414629,-0.1198211,-32.27502,-23.10671,14.19623
136.259437561,-0.5169428,-0.4154868,0.1713975,0.976281,-0.1496334,-0.1174144,-32.27502,-23.10671,14.19623
136.267036915,-0.330265,-0.710019399999999,0.2324566,0.9752887,-0.1472302,-0.1183769,-32.27502,-23.10671,14.19623
136.277168751,-0.3924909,-0.592206399999997,0.2324566,0.975773,-0.1467512,-0.1193397,-32.27502,-23.10671,14.19623
136.28730154,-0.268039,-0.5332999,0.1713975,0.9738219,-0.1467445,-0.116932,-32.27502,-23.10671,14.19623
136.297433376,-0.2058131,-0.592206399999997,0.2324566,0.9718761,-0.1467553,-0.1164545,-31.53311,-23.82929,14.65715
136.307566166,-0.1435871,-0.592206399999997,0.1713975,0.9743126,-0.1472246,-0.1169318,-31.53311,-23.82929,14.65715
136.317698479,0.04309076,-0.710019399999999,0.1103383,0.9752964,-0.1481936,-0.1178964,-31.53311,-23.82929,14.65715
136.327830315,0.2919946,-0.768925900000002,0.04927913,0.9752789,-0.1467287,-0.1164457,-31.53311,-23.82929,14.65715
136.337963104,0.4786724,-0.651112900000001,-0.01178003,0.9743326,-0.1496354,-0.1159718,-31.53311,-23.82929,14.65715
136.34809494,0.4164465,-0.4743934,-0.01178003,0.9752821,-0.1472083,-0.1159641,-32.26046,-23.48263,13.38068
136.35822773,0.4786724,-0.4743934,-0.1338984,0.9757528,-0.1452776,-0.1169239,-32.26046,-23.48263,13.38068
136.368359566,0.665350299999998,-0.2976738,-0.0728391999999998,0.9806591,-0.1500788,-0.1169215,-32.26046,-23.48263,13.38068
136.378492355,0.603124299999998,-0.0620477499999999,0.1713975,0.9757967,-0.1501123,-0.1164516,-32.26046,-23.48263,13.38068
136.388624191,0.727576200000002,0.05576527,0.1103383,0.9685211,-0.1502218,-0.1222612,-31.8916,-23.84031,13.83228
136.398756981,0.7898021,-0.4154868,-0.0728391999999998,0.9719337,-0.1506967,-0.1241836,-31.8916,-23.84031,13.83228
136.408888817,0.7898021,-0.4154868,0.1103383,0.977262,-0.1491857,-0.1222364,-31.8916,-23.84031,13.83228
136.419021607,0.5408983,-0.710019399999999,-0.1338984,0.9724308,-0.1521359,-0.1232203,-31.8916,-23.84031,13.83228
136.429153442,0.727576200000002,-1.004552,0.04927913,0.970445,-0.1496702,-0.1164645,-31.8916,-23.84031,13.83228
136.439286232,0.4786724,-1.063458,0.04927913,0.9723921,-0.1496637,-0.1174245,-31.52635,-24.19181,14.66298
136.449418068,0.5408983,-1.240178,0.1713975,0.9723823,-0.1491623,-0.1154933,-31.52635,-24.19181,14.66298
136.457017422,0.5408983,-1.063458,0.2324566,0.9777563,-0.1506161,-0.120308,-31.52635,-24.19181,14.66298
136.467150211,0.5408983,-1.122365,-0.0728391999999998,0.9724829,-0.1560598,-0.1290192,-31.52635,-24.19181,14.66298
136.477282047,0.5408983,-0.886739,-0.0728391999999998,0.9733797,-0.149238,-0.1246593,-31.52635,-24.19181,14.66298
136.487414837,0.4786724,-1.299085,0.04927913,0.9762956,-0.1496816,-0.1227225,-32.61745,-24.19808,13.83115
136.497546673,0.4786724,-1.240178,-0.01178003,0.9700249,-0.1541124,-0.1256435,-32.61745,-24.19808,13.83115
136.507679463,0.5408983,-1.122365,-0.0728391999999998,0.9767718,-0.1491763,-0.12079,-32.61745,-24.19808,13.83115
136.517811298,0.603124299999998,-0.945645499999998,-0.0728391999999998,0.9743531,-0.1501719,-0.1217635,-32.61745,-24.19808,13.83115
136.527944088,0.603124299999998,-1.063458,-0.1949575,0.9753457,-0.1530459,-0.1193544,-32.61745,-24.19808,13.83115
136.538075924,0.727576200000002,-0.945645499999998,-0.2560167,0.9748725,-0.1549678,-0.1174295,-32.62001,-23.84278,13.38303
136.548208714,0.4786724,-0.945645499999998,-0.1338984,0.9777723,-0.1530138,-0.1179004,-32.62001,-23.84278,13.38303
136.55834055,0.4164465,-0.945645499999998,-0.2560167,0.9777587,-0.151562,-0.1178973,-32.62001,-23.84278,13.38303
136.568473339,0.3542205,-1.004552,-0.2560167,0.9728803,-0.1491979,-0.119835,-32.62001,-23.84278,13.38303
136.578605175,0.2919946,-1.063458,-0.3170758,0.9748397,-0.1506389,-0.1203156,-32.62001,-23.84278,13.38303
136.588737965,0.2919946,-1.122365,-0.4391942,0.9752735,-0.1443661,-0.1227137,-31.89521,-23.83413,14.21138
136.598870754,0.3542205,-1.004552,-0.378135,0.9738672,-0.1515836,-0.1169423,-31.89521,-23.83413,14.21138
136.60900259,0.4786724,-0.768925900000002,-0.3170758,0.973384,-0.150659,-0.1212845,-31.89521,-23.83413,14.21138
136.61913538,0.2297686,-0.768925900000002,-0.1949575,0.9718996,-0.1487085,-0.1183888,-31.89521,-23.83413,14.21138
136.629267216,0.1675427,-1.063458,-0.378135,0.9743981,-0.1536031,-0.1265962,-31.89521,-23.83413,14.21138
136.639400005,-0.08136114,-1.240178,-0.3170758,0.976298,-0.1506275,-0.1203118,-31.90196,-23.47161,14.20555
136.649531841,-0.08136114,-1.475804,-0.378135,0.9797194,-0.1530074,-0.1188605,-31.90196,-23.47161,14.20555
136.657131195,-0.01913519,-1.416898,-0.378135,0.9738896,-0.1525953,-0.1217699,-31.90196,-23.47161,14.20555
136.667263508,-0.1435871,-1.416898,-0.378135,0.9767684,-0.149634,-0.1178957,-31.90196,-23.47161,14.20555
136.677395821,-0.1435871,-1.063458,-0.2560167,0.9728854,-0.1501526,-0.1183894,-31.90196,-23.47161,14.20555
136.687528133,-0.1435871,-1.004552,-0.3170758,0.978658,-0.143341,-0.119325,-31.89835,-23.47779,13.82644
136.697660446,-0.579168799999998,-1.122365,-0.3170758,0.9796717,-0.1472223,-0.1212609,-31.89835,-23.47779,13.82644
136.707792759,-0.641394799999999,-1.122365,-0.4391942,0.9733632,-0.1487146,-0.1203153,-31.89835,-23.47779,13.82644
136.717925072,-0.5169428,-1.240178,-0.5613126,0.9738384,-0.1472678,-0.121276,-31.89835,-23.47779,13.82644
136.728057384,-0.641394799999999,-1.416898,-0.4391942,0.9733238,-0.1443638,-0.1207886,-31.89835,-23.47779,13.82644
136.738189697,-0.268039,-1.240178,-0.683430899999999,0.9786989,-0.1467591,-0.1227101,-31.88845,-24.19665,14.21722
136.74832201,-0.268039,-1.299085,-0.4391942,0.9753012,-0.1477403,-0.1212733,-31.88845,-24.19665,14.21722
136.758454323,-0.1435871,-1.240178,-0.5613126,0.9748274,-0.1491915,-0.1207951,-31.88845,-24.19665,14.21722
136.768586636,-0.2058131,-1.063458,-0.4391942,0.9802233,-0.1535313,-0.1236858,-31.88845,-24.19665,14.21722
136.778718948,0.2297686,-0.8278324,-0.5002534,0.9753036,-0.1486863,-0.1188626,-31.88845,-24.19665,14.21722
136.788851261,0.4164465,-0.651112900000001,-0.378135,0.9738187,-0.1439199,-0.1256118,-31.5253,-23.84269,13.83576
136.798983574,0.7898021,-0.4743934,-0.4391942,0.9733592,-0.1463564,-0.1270659,-31.5253,-23.84269,13.83576
136.809115887,0.665350299999998,-0.5332999,-0.378135,0.9714265,-0.1473482,-0.1280381,-31.5253,-23.84269,13.83576
136.819248199,0.665350299999998,-0.2387673,-0.4391942,0.9747965,-0.1453377,-0.1227171,-31.5253,-23.84269,13.83576
136.829380512,0.5408983,-0.4743934,-0.5613126,0.972391,-0.1463771,-0.1285161,-31.5253,-23.84269,13.83576
136.836979866,0.603124299999998,-0.4154868,-0.4391942,0.9694563,-0.1444642,-0.1285195,-31.8916,-23.84031,13.83228
136.847112179,0.4786724,-0.8278324,-0.5002534,0.9709521,-0.1483285,-0.1290065,-31.8916,-23.84031,13.83228
136.857244492,0.4786724,-0.710019399999999,-0.4391942,0.9684766,-0.1425712,-0.1323784,-31.8916,-23.84031,13.83228
136.867377281,0.3542205,-1.122365,-0.5002534,0.9680192,-0.1445457,-0.1362442,-31.8916,-23.84031,13.83228
136.877509117,0.2919946,-1.122365,-0.4391942,0.9689571,-0.141142,-0.1352694,-31.8916,-23.84031,13.83228
136.887641907,0.3542205,-1.181272,-0.5002534,0.9738368,-0.1435104,-0.1338142,-31.51854,-24.20521,13.84159
136.897773743,0.1675427,-1.063458,-0.4391942,0.9723923,-0.1440364,-0.1371969,-31.51854,-24.20521,13.84159
136.907906532,0.1053167,-1.122365,-0.5613126,0.9690071,-0.1455279,-0.1386565,-31.51854,-24.20521,13.84159
136.918038368,0.04309076,-1.004552,-0.2560167,0.9724267,-0.1474326,-0.1381692,-31.51854,-24.20521,13.84159
136.928171158,0.1053167,-1.122365,-0.3170758,0.9743991,-0.1521996,-0.1319013,-31.51854,-24.20521,13.84159
136.938302994,0.04309076,-0.8278324,-0.3170758,0.9728811,-0.1463864,-0.1299625,-31.89941,-23.82692,14.65367
136.948435783,0.1675427,-0.768925900000002,-0.1949575,0.9680314,-0.1459931,-0.1357647,-31.89941,-23.82692,14.65367
136.958567619,0.2297686,-0.651112900000001,-0.1338984,0.9757847,-0.1453827,-0.1285052,-31.89941,-23.82692,14.65367
136.968700409,0.4164465,-0.8278324,-0.378135,0.9762335,-0.1405661,-0.131389,-31.89941,-23.82692,14.65367
136.978832245,0.5408983,-0.8278324,-0.3170758,0.9748103,-0.1435072,-0.1342943,-31.90977,-23.45822,15.02694
