Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
74.42,0.04106972,0.2263395,-0.0728313600000002,0.34512,-0.1749549,0.9367202,-2.355305,-21.02289,-23.8585
74.43,-0.08345333,0.3437758,-0.0727015099999998,0.3456457,-0.1760197,0.9256206,-2.355305,-21.02289,-23.8585
74.44,0.04104479,0.4022875,-0.0725334899999999,0.3456162,-0.1768605,0.9396126,-2.355305,-21.02289,-23.8585
74.45,0.04097369,0.3428572,0.1107926,0.3426905,-0.1735703,0.9314089,-2.355305,-21.02289,-23.8585
74.46,0.2274437,0.3424081,-0.0723898100000002,0.342661,-0.172066,0.9372026,-3.093542,-20.71604,-23.87033
74.47,-0.02162847,0.2832195,0.1718227,0.3441941,-0.1783981,0.9314024,-3.093542,-20.71604,-23.87033
74.48,0.04066373,0.2239757,-0.1945372,0.340309,-0.1793787,0.9333204,-3.093542,-20.71604,-23.87033
74.49,-0.02139831,0.2236944,-0.1943312,0.3378963,-0.1822705,0.9366858,-3.093542,-20.71604,-23.87033
74.5,-0.0212737,0.2823569,-0.07212219,0.3383878,-0.1822843,0.9347569,-3.093542,-20.71604,-23.87033
74.51,-0.02122743,0.1054123,-0.1940924,0.3374216,-0.181843,0.9308949,-2.727236,-20.71841,-23.86684
74.52,-0.2078786,-0.01251466,-0.1328086,0.3417462,-0.176015,0.929471,-2.727236,-20.71841,-23.86684
74.53,-0.02125233,0.1052771,-0.0715059300000001,0.3432698,-0.1832536,0.9304245,-2.727236,-20.71841,-23.86684
74.54,0.04088308,0.1051633,-0.1324944,0.3417476,-0.1783645,0.9371867,-2.727236,-20.71841,-23.86684
74.55,0.1031554,-0.01261527,-0.1323664,0.3490078,-0.173983,0.933837,-2.730841,-20.71223,-23.48774
74.56,-0.0214261,-0.01263641,-0.1323344,0.3481484,-0.1846805,0.9289863,-2.730841,-20.71223,-23.48774
74.57,-0.08364466,0.046286,-0.1321298,0.3455791,-0.1711105,0.9333518,-2.730841,-20.71223,-23.48774
74.58,-0.02135272,0.04628335,-0.1931189,0.3461241,-0.1773975,0.9333397,-2.730841,-20.71223,-23.48774
74.59,-0.0835323,-0.1304573,-0.00979472700000002,0.3471051,-0.1792949,0.936716,-2.730841,-20.71223,-23.48774
74.6,-0.2079251,0.2229566,-0.3149854,0.3471088,-0.1779002,0.9304458,-2.730841,-20.71223,-23.48774
74.61,-0.2078007,0.1638811,-0.1315657,0.3470748,-0.1759119,0.9362406,-2.7138,-21.03391,-24.68337
74.62,0.165601,0.1636937,0.05181542,0.3470724,-0.174966,0.9338298,-2.7138,-21.03391,-24.68337
74.63,-0.02112849,0.1635807,-0.3142979,0.3417668,-0.1788966,0.9318776,-2.7138,-21.03391,-24.68337
74.64,0.2277432,0.2222632,-0.1308982,0.3461233,-0.177864,0.9352689,-2.7138,-21.03391,-24.68337
