Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
137.906077385,-0.4918606,-0.2126715,-0.1691665,0.3885735,-0.1394016,0.9243624,-5.597778,-22.04311,-21.02847
137.916209221,-0.49136,-0.4479935,-0.3520356,0.3915024,-0.1408262,0.9248495,-5.597778,-22.04311,-21.02847
137.92634058,-0.4908406,-0.1529537,-0.1074143,0.3905656,-0.1451715,0.9267678,-5.60453,-21.68059,-21.03431
137.936472416,-0.3036634,-0.2704267,-0.2903802,0.3906252,-0.1486509,0.916627,-5.60453,-21.68059,-21.03431
137.946603775,-0.05447595,-0.211199,-0.3511896,0.3930764,-0.1505764,0.9156641,-5.60453,-21.68059,-21.03431
137.956736088,-0.1787813,0.08352482,-0.1067228,0.3925802,-0.1486708,0.9127716,-5.60453,-21.68059,-21.03431
137.966867447,-0.1163698,0.4367665,0.0154912,0.3930224,-0.1461773,0.9204989,-5.60453,-21.68059,-21.03431
137.974465847,-0.1162798,0.2006919,-0.1066801,0.3896548,-0.1491336,0.9175886,-5.607677,-21.32425,-21.41924
137.984597206,-0.1783792,0.3182158,0.01545717,0.39111,-0.1486427,0.9171109,-5.607677,-21.32425,-21.41924
137.994729042,-0.1783896,0.1411336,0.1374026,0.3886563,-0.1481165,0.9238613,-5.607677,-21.32425,-21.41924
138.004860401,-0.1782437,0.0820128200000002,0.3205226,0.390573,-0.142382,0.9142277,-5.607677,-21.32425,-21.41924
138.014992237,0.1952187,0.2585184,0.1981359,0.3925139,-0.1428244,0.917127,-5.607677,-21.32425,-21.41924
138.025123596,0.00843238800000002,0.1993797,0.1368854,0.3905197,-0.1398616,0.9253315,-5.984341,-20.95317,-21.04945
138.035255909,0.0705696,0.3758672,-0.1074848,0.3910173,-0.1394265,0.9195431,-5.984341,-20.95317,-21.04945
138.045386791,-0.05399045,0.1988236,-0.1075032,0.3895731,-0.1413603,0.920983,-5.984341,-20.95317,-21.04945
