Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-1.513301,-2.653131,-0.5836709,0.9797532,-0.1027378,-0.125508,-31.52898,-24.36277,15.29774
95.198783398,-1.183504,8.695923,-2.16673,0.9210789,-0.2567621,0.1760851,-34.16472,-22.09237,5.187094
95.208914757,0.3721452,7.164354,0.153518,0.9386514,-0.2149262,0.1849063,-34.16472,-22.09237,5.187094
95.219046116,0.9944048,6.752009,2.168471,0.955278,-0.1774049,0.1990237,-34.15015,-22.46829,4.371538
95.229176521,0.9944048,6.634196,3.756009,0.9564729,-0.1497929,0.2010164,-34.15015,-22.46829,4.371538
95.23930788,0.745501,6.045131,4.244482,0.9602932,-0.139688,0.191397,-34.15015,-22.46829,4.371538
95.24943924,0.745501,5.161533,4.916133,0.9574439,-0.1441536,0.181729,-34.15015,-22.46829,4.371538
95.259570599,1.181083,3.747777,4.855073,0.957519,-0.1495599,0.1725492,-34.15015,-22.46829,4.371538
95.267168522,1.492212,2.392926,4.732955,0.955209,-0.1588872,0.1599769,-34.12269,-23.56821,3.630836
95.277299881,2.30115,0.3311986,4.855073,0.9533695,-0.169566,0.158019,-34.12269,-23.56821,3.630836
95.28743124,3.794573,-1.907249,4.916133,0.9529013,-0.1724426,0.1613895,-34.12269,-23.56821,3.630836
95.297561646,5.287996,-3.968977,4.488719,0.9616266,-0.1718247,0.1686515,-34.12269,-23.56821,3.630836
95.307693005,6.345837,-4.852574,4.061305,0.9723024,-0.1740249,0.1836333,-34.12269,-23.56821,3.630836
95.317824364,5.848029,-3.733351,3.939186,1.002272,-0.16479,0.2155787,-33.47605,-22.82795,4.82604
95.327955723,3.794573,-0.7880251,4.42766,1.015203,-0.1518561,0.2431452,-33.47605,-22.82795,4.82604
95.338086605,1.741116,3.806683,4.488719,1.01153,-0.1294167,0.2658637,-33.47605,-22.82795,4.82604
95.348217487,0.4965972,7.871232,4.000245,0.9944518,-0.123241,0.2677631,-33.47605,-22.82795,4.82604
95.358348847,0.745501,10.10968,3.572831,0.9833157,-0.1215986,0.2450581,-33.47605,-22.82795,4.82604
95.368480206,1.181083,10.99328,3.328595,0.982847,-0.1183771,0.2272096,-34.1533,-22.11195,3.986601
95.378611088,2.487828,10.99328,2.901181,0.9718769,-0.1332272,0.2001266,-34.1533,-22.11195,3.986601
95.388742447,3.421217,10.22749,2.473766,0.9666901,-0.1459909,0.1846442,-34.1533,-22.11195,3.986601
95.398873806,4.167929,9.343895,2.534826,0.9759513,-0.1460021,0.1754997,-34.1533,-22.11195,3.986601
95.409004688,4.416832,9.167175,2.718003,0.9754248,-0.1477487,0.1967267,-34.1533,-22.11195,3.986601
95.419135571,3.856799,9.049362,2.22953,0.9858977,-0.1323966,0.2262222,-34.15015,-22.46829,4.371538
95.42926693,2.363376,9.638427,1.985293,0.9827654,-0.115294,0.2470005,-34.15015,-22.46829,4.371538
95.439398289,1.616664,10.81656,1.43576,0.9642916,-0.114963,0.2459885,-34.15015,-22.46829,4.371538
95.449529648,0.621049,11.17,1.374701,0.9362911,-0.1327048,0.2347795,-34.15015,-22.46829,4.371538
