Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.849636078,-3.047846,-1.895078,6.16887299999999,0.9453372,-0.2094673,-0.269062,-42.40575,-27.49891,12.11117
19.859633446,-1.694115,-0.708030899999999,6.473727,0.9609772,-0.1857279,-0.2576096,-42.40575,-27.49891,12.11117
19.869630814,-3.540112,0.8351307,6.35178600000003,0.9823645,-0.157226,-0.26914,-42.40575,-27.49891,12.11117
19.879628181,-3.663178,1.369302,6.59566799999998,0.9855013,-0.1689757,-0.285414,-42.40773,-27.4951,12.56267
19.889626026,-1.324916,2.140883,7.08343500000003,0.984526,-0.1690301,-0.2892409,-42.40773,-27.4951,12.56267
19.899623394,1.505613,3.32793,6.90052199999999,0.9667946,-0.1585274,-0.2715054,-42.40773,-27.4951,12.56267
19.909620762,-0.832649800000001,3.743397,7.08343500000003,0.9695958,-0.1522425,-0.2810835,-42.40773,-27.4951,12.56267
19.91961813,-3.540112,4.989797,7.57120099999999,0.9731218,-0.1577936,-0.2581165,-42.40773,-27.4951,12.56267
19.929615498,-4.83231,4.989797,7.51023000000002,0.9469471,-0.1914864,-0.2724195,-42.41362,-27.11856,12.10914
19.939612389,-1.755648,4.989797,6.71760999999998,0.9383222,-0.2251648,-0.2700029,-42.41362,-27.11856,12.10914
19.94961071,1.321013,4.811739,5.742078,0.9382613,-0.2216723,-0.2599536,-42.41362,-27.11856,12.10914
19.959608078,4.090009,4.514977,5.315282,0.9492895,-0.2115119,-0.235568,-42.41362,-27.11856,12.10914
19.969605446,5.566806,3.862102,5.315282,0.9238937,-0.2086822,-0.2431817,-42.41362,-27.11856,12.10914
19.979602337,4.643808,4.277568,5.315282,0.9403582,-0.2036818,-0.2633119,-42.7982,-26.7372,12.55584
19.989599705,2.367078,4.752387,5.376253,0.9546481,-0.1857476,-0.2461127,-42.7982,-26.7372,12.55584
19.999597073,1.382547,4.871092,5.559165,0.9692408,-0.1845576,-0.2537957,-42.7982,-26.7372,12.55584
20.009594917,1.136414,5.108501,5.437224,0.961114,-0.1930143,-0.2576079,-42.7982,-26.7372,12.55584
20.019592285,2.859344,5.167854,4.644604,0.9628369,-0.207169,-0.2681359,-42.7982,-26.7372,12.55584
20.029589653,4.459208,5.642673,4.461692,0.9714837,-0.1751147,-0.288738,-42.79623,-26.74102,12.10433
20.039587021,3.16701,6.65166300000002,4.644604,0.9671124,-0.1499321,-0.2887369,-42.79623,-26.74102,12.10433
20.049584389,1.505613,7.95741500000002,4.827517,0.9730923,-0.1828185,-0.2844317,-42.79623,-26.74102,12.10433
20.059581757,0.705681,10.39086,5.315282,0.9806566,-0.1962052,-0.2767842,-42.79623,-26.74102,12.10433
20.069579601,1.136414,12.23079,5.13237,0.9640088,-0.2179287,-0.2781853,-42.79623,-26.74102,12.10433
20.079576969,1.44408,13.8333,4.461692,0.9734535,-0.2264662,-0.2226848,-43.16928,-26.7471,11.71455
20.089574337,5.25914,17.80991,4.827517,0.9789948,-0.2352826,-0.1891918,-43.16928,-26.7471,11.71455
20.099571705,9.75106599999998,17.33509,3.912955,0.9439916,-0.240002,-0.204444,-43.16928,-26.7471,11.71455
20.109569073,12.64313,16.38545,3.425189,0.9528105,-0.1908047,-0.2106936,-43.16928,-26.7471,11.71455
20.119566441,11.90473,14.72359,3.242276,0.965261,-0.1531017,-0.2064178,-43.16928,-26.7471,11.71455
20.129563808,9.935666,13.89265,3.608101,0.9605216,-0.1606468,-0.2241149,-43.55805,-25.99247,11.32071
20.139561653,7.90506900000002,13.00237,3.730042,0.9675156,-0.1697064,-0.2202961,-43.55805,-25.99247,11.32071
20.149559021,5.62834,13.71459,4.217809,0.9750896,-0.1835657,-0.2112128,-43.55805,-25.99247,11.32071
20.159556389,5.505273,12.82431,4.034896,0.9624026,-0.2093792,-0.2432487,-43.55805,-25.99247,11.32071
20.169553757,6.12060500000003,11.87467,3.48616,0.9648369,-0.2093706,-0.2475601,-43.55805,-25.99247,11.32071
20.179550648,6.12060500000003,12.34949,3.181306,0.9740915,-0.2092009,-0.249012,-43.18162,-25.99292,10.93649
20.189548016,5.99753899999999,11.99338,2.632569,0.9476132,-0.1997552,-0.2216894,-43.18162,-25.99292,10.93649
20.199546337,6.36673800000001,11.51856,1.778978,0.9646487,-0.2239385,-0.1929983,-43.18162,-25.99292,10.93649
20.209543228,7.843536,10.39086,1.718008,0.9524868,-0.2244542,-0.1700054,-43.18162,-25.99292,10.93649
20.219540596,8.64346799999999,9.20381500000001,1.535095,0.9522671,-0.2128178,-0.1724008,-43.18162,-25.99292,10.93649
20.229537964,8.21273500000003,7.779358,1.169271,0.9638394,-0.2062632,-0.1714656,-43.55925,-25.68586,10.09352
20.239535332,6.55133799999999,7.06713000000001,1.413154,0.9641425,-0.1965866,-0.1767329,-43.55925,-25.68586,10.09352
20.2495327,4.643808,6.41425300000001,1.657037,0.9625811,-0.1912633,-0.1757744,-43.55925,-25.68586,10.09352
20.259530544,3.105477,5.58332,1.96189,0.9590097,-0.2089199,-0.1858137,-43.55925,-25.68586,10.09352
20.269527912,3.228544,5.345911,1.657037,0.9588548,-0.2263028,-0.173366,-43.55925,-25.68586,10.09352
20.27952528,4.459208,5.049149,1.230241,0.9563947,-0.2248059,-0.1637906,-43.93399,-25.68867,10.09074
20.289522648,5.382206,3.802749,0.681504599999997,0.9469906,-0.2165376,-0.142719,-43.93399,-25.68867,10.09074
20.299520016,4.520741,1.962826,0.620533899999998,0.9460028,-0.2154405,-0.1269245,-43.93399,-25.68867,10.09074
20.309517384,2.305545,0.3009594,0.986358399999998,0.9621259,-0.2174596,-0.116902,-43.93399,-25.68867,10.09074
20.319515228,1.382547,-1.657669,0.803446099999999,0.9662368,-0.2291945,-0.1336563,-43.93399,-25.68867,10.09074
20.329512596,1.321013,-2.785364,0.803446099999999,0.9728837,-0.2205794,-0.1623847,-44.31828,-25.30785,10.47293
20.339509964,1.505613,-2.904068,0.7424754,0.9731401,-0.2092802,-0.2025885,-44.31828,-25.30785,10.47293
20.349507332,1.813279,-2.607306,0.681504599999997,0.9797998,-0.2010324,-0.2183952,-44.31828,-25.30785,10.47293
20.3595047,2.120945,-1.95443,0.4985923,0.9735214,-0.2040984,-0.2212549,-44.31828,-25.30785,10.47293
20.369501591,1.751746,-1.064145,0.7424754,0.9755335,-0.2074646,-0.2217361,-44.31828,-25.30785,10.47293
20.379499912,1.751746,-0.1145072,0.803446099999999,0.9746962,-0.2147703,-0.2217328,-44.31659,-25.31112,10.08593
20.38949728,1.25948,0.894483100000001,0.864416900000002,0.9746355,-0.211269,-0.2107263,-44.31659,-25.31112,10.08593
20.399494648,1.136414,1.725416,1.047329,0.9741855,-0.2132041,-0.2088108,-44.31659,-25.31112,10.08593
20.409491539,2.182479,1.784769,1.047329,0.9721544,-0.2088839,-0.2102441,-44.31659,-25.31112,10.08593
20.419488907,4.520741,2.140883,0.5595631,0.9611416,-0.219337,-0.2135722,-44.31659,-25.31112,10.08593
20.429486275,7.16667,2.437645,0.681504599999997,0.9664105,-0.214312,-0.2068826,-43.94185,-25.30831,10.08871
20.439484596,8.58193500000002,2.675054,0.3766508,0.9647207,-0.2022101,-0.2083185,-43.94185,-25.30831,10.08871
20.449481487,9.62799900000003,2.496997,0.5595631,0.9672814,-0.2082705,-0.1858283,-43.94185,-25.30831,10.08871
20.459478855,10.42793,2.378292,0.3766508,0.9624204,-0.2088218,-0.1824697,-43.94185,-25.30831,10.08871
20.469476223,10.9202,1.844121,-0.05014454,0.9663847,-0.2120354,-0.1705114,-44.31239,-25.68439,10.92646
20.479473591,10.98173,1.07254,0.01082622,0.9644936,-0.2149051,-0.1614144,-44.31239,-25.68439,10.92646
20.489470959,11.2894,0.06354995,-0.05014454,0.9627175,-0.2242082,-0.1652375,-44.31239,-25.68439,10.92646
20.499468804,12.58159,-0.886087999999999,-0.4769399,0.9647304,-0.2275481,-0.1628473,-44.31239,-25.68439,10.92646
20.509466171,13.68919,-1.360907,-0.720822899999998,0.9636428,-0.221861,-0.176247,-44.31239,-25.68439,10.92646
20.519463539,13.25846,-1.657669,-0.8427644,0.9603514,-0.2026069,-0.1891677,-44.69302,-25.31067,10.47015
20.529460907,10.7356,-1.479612,-0.7817937,0.9639095,-0.1845962,-0.1934858,-44.69302,-25.31067,10.47015
20.539458275,7.78200200000001,-0.826735599999998,-0.4769399,0.9768448,-0.1990198,-0.2045119,-44.69302,-25.31067,10.47015
20.549455643,5.62834,0.3603118,-0.2940276,0.9810224,-0.2140672,-0.2116939,-44.69302,-25.31067,10.47015
20.559453488,4.766874,1.191245,-0.4159691,0.9762034,-0.2171614,-0.2207777,-44.69302,-25.31067,10.47015
20.569450855,3.35161,2.022178,-0.4769399,0.9610979,-0.2168467,-0.2068727,-44.32614,-24.9275,10.4709
20.579448223,2.797811,2.971816,-0.7817937,0.9645467,-0.2186434,-0.1982639,-44.32614,-24.9275,10.4709
20.589445591,1.874812,3.802749,-0.5379106,0.9703577,-0.216519,-0.1910959,-44.32614,-24.9275,10.4709
20.599442959,1.874812,3.684045,-0.8427644,0.9718232,-0.2163585,-0.1767412,-44.32614,-24.9275,10.4709
20.60943985,2.551678,3.387283,-1.025677,0.9679283,-0.2163696,-0.1695558,-44.32614,-24.9275,10.4709
20.619438171,2.490145,3.446635,-1.208589,0.9736159,-0.2080796,-0.1786608,-44.30584,-26.00136,10.92815
