Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
42.59,-0.1296475,-0.2276205,-0.4921927,0.9928305,-0.08810916,-0.1203389,-43.86278,-24.7928,18.47231
42.6,-0.2527139,-0.4056776,-0.736075800000001,0.9908457,-0.08620021,-0.1198573,-43.86278,-24.7928,18.47231
42.61,-0.1296475,-0.5837348,-0.736075800000001,0.9900343,-0.09500705,-0.1246394,-44.98362,-24.80777,17.68996
42.62,0.0549522,-0.8804966,-0.858017299999998,0.9904478,-0.09113328,-0.127034,-44.98362,-24.80777,17.68996
42.63,0.0549522,-0.939849000000001,-0.858017299999998,0.9895285,-0.09405833,-0.1260745,-44.98362,-24.80777,17.68996
42.64,-0.2527139,-0.999201299999999,-0.918987999999997,0.9923332,-0.08766375,-0.1236882,-44.98362,-24.80777,17.68996
42.65,-0.5603801,-0.821144199999999,-0.858017299999998,0.99374,-0.08471592,-0.1232128,-44.98362,-24.80777,17.68996
42.66,-0.4988469,-0.8804966,-0.797046500000001,0.9947698,-0.0875849,-0.1203424,-43.86278,-24.7928,18.47231
42.67,-0.4373136,-1.058554,-0.858017299999998,0.9929019,-0.09204791,-0.1260809,-43.86278,-24.7928,18.47231
42.68,-0.0681142700000001,-1.236611,-0.858017299999998,0.9939216,-0.09445746,-0.1260821,-43.86278,-24.7928,18.47231
42.69,0.3010851,-1.236611,-0.918987999999997,0.9914402,-0.09208556,-0.1270355,-43.86278,-24.7928,18.47231
42.7,0.2395519,-1.236611,-0.736075800000001,0.9983517,-0.09678649,-0.1246535,-43.86278,-24.7928,18.47231
42.71,0.2395519,-1.177258,-0.675104999999999,0.9919202,-0.09152873,-0.1203364,-44.61057,-24.80169,18.07975
42.72,0.3626184,-1.177258,-0.797046500000001,0.9949336,-0.09634176,-0.1217762,-44.61057,-24.80169,18.07975
42.73,0.4856848,-1.533373,-0.614134299999999,0.9954672,-0.09873462,-0.118905,-44.61057,-24.80169,18.07975
42.74,0.547218,-1.295963,-0.614134299999999,0.9944388,-0.09582173,-0.1169897,-44.61057,-24.80169,18.07975
42.75,0.1164854,-1.058554,-0.2483097,0.9939779,-0.09732376,-0.1208171,-44.61057,-24.80169,18.07975
42.76,0.3010851,-1.236611,-0.3702512,0.9978199,-0.09433658,-0.1213031,-44.60441,-25.17878,18.46878
